city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Visse,Visse,,58.1239,27.0211,Estonia,EE,EST,Põlva,Polva,EE-622,,,4.1,,,5,Europe/Tallinn,FALSE,1233356774
Karusmaa,Karusmaa,Karusma,58.9869,24.2328,Estonia,EE,EST,Märjamaa,Marjamaa,EE-503,,,1.5,,,5,Europe/Tallinn,FALSE,1233778903
Roomassaare,Roomassaare,Roomassaareee,58.2308,22.5047,Estonia,EE,EST,Saaremaa,Saaremaa,EE-714,,,1965.6,,,3,Europe/Tallinn,FALSE,1233806017
Kükänukk,Kukanukk,,58.1044,27.2000,Estonia,EE,EST,Põlva,Polva,EE-622,,,15.9,,,4,Europe/Tallinn,FALSE,1233553729
Sika,Sika,,57.9794,26.0722,Estonia,EE,EST,Tõrva,Torva,EE-824,,,0.8,,,5,Europe/Tallinn,FALSE,1233768363
Pilpa,Pilpa,,58.9167,24.6833,Estonia,EE,EST,Rapla,Rapla,EE-668,,,3.6,,,5,Europe/Tallinn,FALSE,1233675020
Saku,Saku,,59.3035,24.6638,Estonia,EE,EST,Saku,Saku,EE-719,,minor,1100.9,,,3,Europe/Tallinn,FALSE,1233692309
Tiharu,Tiharu,Tikharu,58.8833,22.2167,Estonia,EE,EST,Hiiumaa,Hiiumaa,EE-205,,,0.7,,0,3,Europe/Tallinn,FALSE,1233678854
Viivikonna Linnaosa,Viivikonna Linnaosa,Viivikonna Alev,59.3389,27.6911,Estonia,EE,EST,Narva-Jõesuu,Narva-Joesuu,EE-514,,,20.0,,,4,Europe/Tallinn,FALSE,1233328889
Nehatu,Nehatu,Nekhatu,59.4167,27.1333,Estonia,EE,EST,Lüganuse,Luganuse,EE-442,,,6.0,,,5,Europe/Tallinn,FALSE,1233320718
Kol’o,Kol'o,Kollo,58.2331,27.4183,Estonia,EE,EST,Räpina,Rapina,EE-708,,,2.8,,,5,Europe/Tallinn,FALSE,1233559606
Tantsumäe,Tantsumae,,57.9903,25.9119,Estonia,EE,EST,Tõrva,Torva,EE-824,,,7.4,,,5,Europe/Tallinn,FALSE,1233717690
Kalevi,Kalevi,,58.3500,22.8000,Estonia,EE,EST,Saaremaa,Saaremaa,EE-714,,,3.3,,,5,Europe/Tallinn,FALSE,1233487032
Kloostri-Metslõugu,Kloostri-Metslougu,Padise,59.2167,24.1381,Estonia,EE,EST,Lääne-Harju,Laane-Harju,EE-431,,,35.7,,,4,Europe/Tallinn,FALSE,1233469390
Põhu,Pohu,Pupsi,57.9825,25.6903,Estonia,EE,EST,Tõrva,Torva,EE-824,,,10.3,,,4,Europe/Tallinn,FALSE,1233044425
Lobjaku,Lobjaku,Lina,58.1919,26.2319,Estonia,EE,EST,Elva,Elva,EE-171,,,29.0,,,4,Europe/Tallinn,FALSE,1233591522
Pärna,Parna,,58.4547,26.7444,Estonia,EE,EST,Tartu,Tartu,EE-796,,,17.5,,,4,Europe/Tallinn,FALSE,1233506080
Käravete,Karavete,Myza Kyaravete,59.1911,25.7542,Estonia,EE,EST,Järva,Jarva,EE-255,,,90.7,,,4,Europe/Tallinn,FALSE,1233191207
Suurküla,Suurkula,Surkyula,58.2500,25.4167,Estonia,EE,EST,Mulgi,Mulgi,EE-480,,,2.5,,,5,Europe/Tallinn,FALSE,1233832611
Sirvaste-Mäeküla,Sirvaste-Maekula,Sirvaste-Mäekülä,58.0503,26.7178,Estonia,EE,EST,Kanepi,Kanepi,EE-284,,,5.4,,,5,Europe/Tallinn,FALSE,1233469178
Aiandi,Aiandi,Tammiku-Haberisti,59.3775,27.3714,Estonia,EE,EST,Jõhvi,Johvi,EE-251,,,121.5,,,4,Europe/Tallinn,FALSE,1233805148
Tuudi-Jõeääre,Tuudi-Joeaare,Tuudi-Jõeäärse,58.6861,23.7794,Estonia,EE,EST,Lääneranna,Laaneranna,EE-430,,,5.5,,,5,Europe/Tallinn,FALSE,1233678032
Vitsla,Vitsla,Vistla|Visila,59.1322,25.8194,Estonia,EE,EST,Järva,Jarva,EE-255,,,1.0,,,5,Europe/Tallinn,FALSE,1233560323
Aseri,Aseri,Aseri-Taluküla|Asserien|Aseri Mõis|Asari|Asserin|Azeri,59.4506,26.8675,Estonia,EE,EST,Viru-Nigula,Viru-Nigula,EE-903,,,378.6,,,3,Europe/Tallinn,FALSE,1233929720
Anumatu,Anumatu,,58.4000,23.0000,Estonia,EE,EST,Saaremaa,Saaremaa,EE-714,,,3.9,,,5,Europe/Tallinn,FALSE,1233123358
Haamse,Haamse,Khamse,58.3667,22.4500,Estonia,EE,EST,Saaremaa,Saaremaa,EE-714,,,0.0,,0,3,Europe/Tallinn,FALSE,1233414285
Kahu,Kahu,,58.1642,26.3444,Estonia,EE,EST,Elva,Elva,EE-171,,,10.9,,,4,Europe/Tallinn,FALSE,1233687144
Kolkja,Kolkja,Kolk’ya,58.5456,27.2150,Estonia,EE,EST,Peipsiääre,Peipsiaare,EE-586,,,52.1,,,4,Europe/Tallinn,FALSE,1233699534
Uudeküla,Uudekula,,59.3131,25.9769,Estonia,EE,EST,Kadrina,Kadrina,EE-272,,,6.4,,,5,Europe/Tallinn,FALSE,1233892316
Saba,Saba,,58.3500,25.9667,Estonia,EE,EST,Viljandi,Viljandi,EE-899,,,11.0,,,4,Europe/Tallinn,FALSE,1233864630
Valjala,Valjala,Val’yala,58.4061,22.8011,Estonia,EE,EST,Saaremaa,Saaremaa,EE-714,,,64.7,,,4,Europe/Tallinn,FALSE,1233618914
Allika,Allika,,58.6833,24.7667,Estonia,EE,EST,Põhja-Pärnumaa,Pohja-Parnumaa,EE-638,,,9.1,,,5,Europe/Tallinn,FALSE,1233187508
Saluora,Saluora,Saulora,57.6564,26.9939,Estonia,EE,EST,Rõuge,Rouge,EE-698,,,0.0,,0,3,Europe/Tallinn,FALSE,1233506186
Aegna,Aegna,Insel Wulf,59.5817,24.7531,Estonia,EE,EST,Tallinn,Tallinn,EE-784,,,2083.6,,,2,Europe/Tallinn,FALSE,1233000030
Poka,Poka,,58.3308,22.8222,Estonia,EE,EST,Saaremaa,Saaremaa,EE-714,,,5.1,,,5,Europe/Tallinn,TRUE,1233595260
Saunteküla,Sauntekula,Araste-Saunteküla,58.7450,24.3500,Estonia,EE,EST,Märjamaa,Marjamaa,EE-503,,,0.8,,,5,Europe/Tallinn,FALSE,1233346236
Uuejõe-Võidu,Uuejoe-Voidu,,58.1628,24.6083,Estonia,EE,EST,Häädemeeste,Haademeeste,EE-214,,,2.5,,,5,Europe/Tallinn,FALSE,1233486541
Laane,Laane,Kübeme,58.1147,26.1314,Estonia,EE,EST,Elva,Elva,EE-171,,,2.5,,,5,Europe/Tallinn,FALSE,1233396619
Ranna,Ranna,Rannaküla Mõis|Rannaküla Asundus|Myza Rannakyula,58.6172,22.8872,Estonia,EE,EST,Saaremaa,Saaremaa,EE-714,,,0.6,,,4,Europe/Tallinn,FALSE,1233309997
Ranna,Ranna,,58.4678,22.0544,Estonia,EE,EST,Saaremaa,Saaremaa,EE-714,,,6.6,,,5,Europe/Tallinn,TRUE,1233637400
Ranna,Ranna,Ranna Asundus,58.2664,22.8217,Estonia,EE,EST,Saaremaa,Saaremaa,EE-714,,,2.2,,,5,Europe/Tallinn,TRUE,1233776225
Keika-Tagaküla,Keika-Tagakula,Keika,59.0292,25.8961,Estonia,EE,EST,Järva,Jarva,EE-255,,,112.5,,,4,Europe/Tallinn,FALSE,1233701281
Murru-Metsa,Murru-Metsa,,58.3833,24.0167,Estonia,EE,EST,Pärnu,Parnu,EE-624,,,1.6,,,5,Europe/Tallinn,FALSE,1233040257
Astuvere,Astuvere,Dorftowerre,58.4325,26.9414,Estonia,EE,EST,Tartu,Tartu,EE-796,,,10.3,,,4,Europe/Tallinn,FALSE,1233431868
Torgu,Torgu,Torken,57.9758,22.0875,Estonia,EE,EST,Saaremaa,Saaremaa,EE-714,,,5.2,,,5,Europe/Tallinn,FALSE,1233571800
Alt-Kaansoo,Alt-Kaansoo,,58.5706,25.1850,Estonia,EE,EST,Põhja-Pärnumaa,Pohja-Parnumaa,EE-638,,,3.8,,,5,Europe/Tallinn,FALSE,1233561431
Piiskopi,Piiskopi,Piyskopi,58.0833,24.4833,Estonia,EE,EST,Häädemeeste,Haademeeste,EE-214,,,138.5,,,4,Europe/Tallinn,FALSE,1233482303
Sulõmõisa,Sulomoisa,Sulemõisa,57.6711,26.6456,Estonia,EE,EST,Rõuge,Rouge,EE-698,,,3.4,,,5,Europe/Tallinn,FALSE,1233718527
Näsuvere,Nasuvere,Nyasuvere,58.8000,25.4833,Estonia,EE,EST,Türi,Turi,EE-834,,,0.0,,0,3,Europe/Tallinn,FALSE,1233571564
Vastsemõisa,Vastsemoisa,Järve,57.9150,26.3269,Estonia,EE,EST,Otepää,Otepaa,EE-557,,,6.1,,,5,Europe/Tallinn,FALSE,1233389310
Mäemurati,Maemurati,Myaemurati,57.6000,27.0333,Estonia,EE,EST,Rõuge,Rouge,EE-698,,,3.5,,,3,Europe/Tallinn,FALSE,1233316151
Älli,Alli,,59.0717,25.8064,Estonia,EE,EST,Järva,Jarva,EE-255,,,0.7,,,5,Europe/Tallinn,FALSE,1233465794
Tsorona,Tsorona,,57.7553,27.2103,Estonia,EE,EST,Võru,Voru,EE-917,,,5.8,,,5,Europe/Tallinn,FALSE,1233792314
Randvere,Randvere,Myza Randvere,58.3044,22.4147,Estonia,EE,EST,Saaremaa,Saaremaa,EE-714,,,32.5,,,4,Europe/Tallinn,TRUE,1233469810
Raama,Raama,Põlme,57.9428,26.1683,Estonia,EE,EST,Valga,Valga,EE-855,,,0.8,,,5,Europe/Tallinn,FALSE,1233379945
Kandla,Kandla,,58.1333,24.9500,Estonia,EE,EST,Saarde,Saarde,EE-712,,,23.6,,,4,Europe/Tallinn,FALSE,1233227741
Järgküla,Jargkula,,58.8811,24.5078,Estonia,EE,EST,Märjamaa,Marjamaa,EE-503,,,42.1,,,4,Europe/Tallinn,FALSE,1233269570
Ligeda,Ligeda,,58.8008,24.4964,Estonia,EE,EST,Märjamaa,Marjamaa,EE-503,,,3.6,,,5,Europe/Tallinn,FALSE,1233034305
Ruupa,Ruupa,,58.5869,26.1856,Estonia,EE,EST,Põltsamaa,Poltsamaa,EE-618,,,3.3,,,5,Europe/Tallinn,FALSE,1233541556
Kemba,Kemba,,58.8575,26.3136,Estonia,EE,EST,Jõgeva,Jogeva,EE-247,,,4.4,,,5,Europe/Tallinn,FALSE,1233309090
Kurisu,Kurisu,,58.7628,22.5476,Estonia,EE,EST,Hiiumaa,Hiiumaa,EE-205,,,1.5,,,5,Europe/Tallinn,TRUE,1233091351
Rosenthali,Rosenthali,Rosentali|Myza Rosentkhali,59.1833,26.6333,Estonia,EE,EST,Vinni,Vinni,EE-901,,,6.0,,,5,Europe/Tallinn,FALSE,1233351575
Dejevo,Dejevo,Karujärve,58.3833,22.2167,Estonia,EE,EST,Saaremaa,Saaremaa,EE-714,,,0.0,,0,3,Europe/Tallinn,FALSE,1233135552
Söderby,Soderby,,59.1172,23.5394,Estonia,EE,EST,Lääne-Nigula,Laane-Nigula,EE-441,,,2.8,,,5,Europe/Tallinn,FALSE,1233837880
Saeveski,Saeveski,Saage,58.3850,26.9939,Estonia,EE,EST,Luunja,Luunja,EE-432,,,12.9,,,4,Europe/Tallinn,FALSE,1233887270
Mäevali,Maevali,Myaekyali,58.0833,26.6667,Estonia,EE,EST,Kanepi,Kanepi,EE-284,,,31.5,,,4,Europe/Tallinn,FALSE,1233901470
Mehikoorma,Mehikoorma,Mekhikorma|Mekhikorm|Ismenka|Mehikorm,58.2333,27.4667,Estonia,EE,EST,Räpina,Rapina,EE-708,,,86.1,,,4,Europe/Tallinn,FALSE,1233818856
Aruküla,Arukula,Aru,59.1944,24.3411,Estonia,EE,EST,Saue,Saue,EE-726,,,103.2,,,4,Europe/Tallinn,FALSE,1233426109
Palukülä,Palukula,Paluküla,57.6667,26.6233,Estonia,EE,EST,Rõuge,Rouge,EE-698,,,3.4,,,5,Europe/Tallinn,FALSE,1233798031
Karjalepiku,Karjalepiku,,58.2803,26.2936,Estonia,EE,EST,Elva,Elva,EE-171,,,20.5,,,4,Europe/Tallinn,FALSE,1233777841
Laulepa,Laulepa,Fol’vark Laulen,58.7017,23.6714,Estonia,EE,EST,Lääneranna,Laaneranna,EE-430,,,0.0,,0,3,Europe/Tallinn,FALSE,1233588448
Nutru,Nutru,,58.3800,25.3703,Estonia,EE,EST,Viljandi,Viljandi,EE-899,,,3.8,,,5,Europe/Tallinn,FALSE,1233959989
