city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Manzini,Manzini,Bremersdorp|Manêini,-26.4833,31.3667,Eswatini,SZ,SWZ,Manzini,Manzini,SZ-MA,district,admin,993.6,110508,110508,2,Africa/Mbabane,FALSE,1748177431
Mbabane,Mbabane,,-26.3167,31.1333,Eswatini,SZ,SWZ,Hhohho,Hhohho,SZ-HH,district,primary,404.6,60691,60691,1,Africa/Mbabane,FALSE,1748811945
Mhlume,Mhlume,,-26.0333,31.8500,Eswatini,SZ,SWZ,Lubombo,Lubombo,SZ-LU,district,,24.1,7761,7761,3,Africa/Mbabane,FALSE,1748701026
Siteki,Siteki,Stegi,-26.4500,31.9500,Eswatini,SZ,SWZ,Lubombo,Lubombo,SZ-LU,district,admin,24.5,6381,6381,2,Africa/Mbabane,FALSE,1748933140
Lobamba,Lobamba,Lobomba,-26.4465,31.2064,Eswatini,SZ,SWZ,Hhohho,Hhohho,SZ-HH,district,primary,130.4,5800,5800,1,Africa/Mbabane,FALSE,1748963140
"Piggs Peak","Piggs Peak",,-25.9610,31.2470,Eswatini,SZ,SWZ,Hhohho,Hhohho,SZ-HH,district,,40.0,5750,5750,4,Africa/Mbabane,FALSE,1748284923
Lavumisa,Lavumisa,Gollel,-27.3167,31.9000,Eswatini,SZ,SWZ,Shiselweni,Shiselweni,SZ-SH,district,,8.3,3695,3695,3,Africa/Mbabane,FALSE,1748490870
Hlatikulu,Hlatikulu,,-26.9667,31.3167,Eswatini,SZ,SWZ,Shiselweni,Shiselweni,SZ-SH,district,,66.0,2748,2748,3,Africa/Mbabane,FALSE,1748564468
Mhlambanyatsi,Mhlambanyatsi,Mhlambanyati,-26.4500,31.0167,Eswatini,SZ,SWZ,Manzini,Manzini,SZ-MA,district,,22.2,,,4,Africa/Mbabane,FALSE,1748049627
Ezulwini,Ezulwini,Ezulweni|Esulweni,-26.4000,31.1667,Eswatini,SZ,SWZ,Hhohho,Hhohho,SZ-HH,district,,260.1,,,3,Africa/Mbabane,FALSE,1748174567
Stylkloof,Stylkloof,,-26.7833,31.1333,Eswatini,SZ,SWZ,Manzini,Manzini,SZ-MA,district,,46.9,,,4,Africa/Mbabane,FALSE,1748048644
Bennets,Bennets,,-25.9500,31.5167,Eswatini,SZ,SWZ,Hhohho,Hhohho,SZ-HH,district,,72.7,,,4,Africa/Mbabane,FALSE,1748607200
Mahamba,Mahamba,,-27.1000,31.0833,Eswatini,SZ,SWZ,Shiselweni,Shiselweni,SZ-SH,district,,117.8,,,4,Africa/Mbabane,FALSE,1748985982
Lomati,Lomati,"Lomati Store",-25.8167,31.3500,Eswatini,SZ,SWZ,Hhohho,Hhohho,SZ-HH,district,,88.7,,,4,Africa/Mbabane,FALSE,1748736821
Matsapha,Matsapha,Matsapa|Matapa,-26.5167,31.3167,Eswatini,SZ,SWZ,Manzini,Manzini,SZ-MA,district,,1502.9,,,3,Africa/Mbabane,FALSE,1748927093
Lubuli,Lubuli,,-27.0167,31.9000,Eswatini,SZ,SWZ,Lubombo,Lubombo,SZ-LU,district,,32.3,,,4,Africa/Mbabane,FALSE,1748538337
Mhlosheni,Mhlosheni,Mhlotsheni,-27.1833,31.3833,Eswatini,SZ,SWZ,Shiselweni,Shiselweni,SZ-SH,district,,74.3,,,4,Africa/Mbabane,FALSE,1748039622
Kwaluseni,Kwaluseni,,-26.4833,31.3333,Eswatini,SZ,SWZ,Manzini,Manzini,SZ-MA,district,,1623.9,,,3,Africa/Mbabane,FALSE,1748103539
Nokwane,Nokwane,,-26.1333,31.9167,Eswatini,SZ,SWZ,Lubombo,Lubombo,SZ-LU,district,,24.1,,,4,Africa/Mbabane,FALSE,1748667519
Mgamane,Mgamane,,-26.8167,31.1000,Eswatini,SZ,SWZ,Manzini,Manzini,SZ-MA,district,,46.9,,,4,Africa/Mbabane,FALSE,1748815183
Sicunusa,Sicunusa,Sigunusa,-26.8667,30.9500,Eswatini,SZ,SWZ,Shiselweni,Shiselweni,SZ-SH,district,,28.5,,,3,Africa/Mbabane,FALSE,1748701328
Nkonjane,Nkonjane,,-26.7667,32.0833,Eswatini,SZ,SWZ,Lubombo,Lubombo,SZ-LU,district,,33.3,,,4,Africa/Mbabane,FALSE,1748572824
