city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Rīmē,Rime,,8.3000,39.1667,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,225.7,,,3,Africa/Addis_Ababa,FALSE,1231123458
Dengego,Dengego,Denengo|Dangagò|Dengego-2,9.4569,41.9114,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,568.4,,,3,Africa/Addis_Ababa,FALSE,1231484316
Dengego,Dengego,Dendego,9.9500,38.5167,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,260.9,,,3,Africa/Addis_Ababa,TRUE,1231957578
Dengego,Dengego,,9.9000,38.5833,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,242.9,,,3,Africa/Addis_Ababa,TRUE,1231746944
Dengego,Dengego,Dingago Mariam,9.3500,38.4500,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,175.0,,,4,Africa/Addis_Ababa,TRUE,1231413288
Dora,Dora,,10.0734,39.8136,Ethiopia,ET,ETH,Āmara,Amara,ET-AM,state,,207.4,,,3,Africa/Addis_Ababa,FALSE,1231219878
Abeselli,Abeselli,Abeselh,7.3506,43.6069,Ethiopia,ET,ETH,Sumalē,Sumale,ET-SO,state,,14.1,,,4,Africa/Addis_Ababa,FALSE,1231256079
Dawī,Dawi,Daui,13.2481,39.1134,Ethiopia,ET,ETH,Tigray,Tigray,ET-TI,administration,,99.0,,,4,Africa/Addis_Ababa,FALSE,1231282267
El Fud,El Fud,,7.2443,42.8226,Ethiopia,ET,ETH,Sumalē,Sumale,ET-SO,state,,18.3,,,4,Africa/Addis_Ababa,FALSE,1231458597
Ābersha,Abersha,,12.3167,38.9500,Ethiopia,ET,ETH,Āmara,Amara,ET-AM,state,,96.0,,,4,Africa/Addis_Ababa,FALSE,1231229219
Ādeza,Adeza,,12.5500,37.1333,Ethiopia,ET,ETH,Āmara,Amara,ET-AM,state,,88.8,,,4,Africa/Addis_Ababa,FALSE,1231752615
El Kure,El Kure,El Her|El Hure,5.6833,42.3500,Ethiopia,ET,ETH,Sumalē,Sumale,ET-SO,state,,11.3,,,4,Africa/Addis_Ababa,FALSE,1231684070
Mojagirgira,Mojagirgira,,9.8719,39.5168,Ethiopia,ET,ETH,Āmara,Amara,ET-AM,state,,144.6,,,4,Africa/Addis_Ababa,FALSE,1231540466
Berberi,Berberi,Barbari,7.5167,39.9833,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,184.4,,,4,Africa/Addis_Ababa,FALSE,1231541974
Berberi,Berberi,,6.8333,40.0833,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,98.4,,,4,Africa/Addis_Ababa,TRUE,1231404208
K’imburē,K'imbure,,9.7667,38.3167,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,161.2,,,4,Africa/Addis_Ababa,FALSE,1231549873
Ābuto,Abuto,,9.2667,37.6833,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,146.6,,,4,Africa/Addis_Ababa,FALSE,1231017467
Kinet,Kinet,,10.0614,39.3374,Ethiopia,ET,ETH,Āmara,Amara,ET-AM,state,,109.2,,,4,Africa/Addis_Ababa,FALSE,1231993045
Assaente,Assaente,,14.3518,38.5297,Ethiopia,ET,ETH,Tigray,Tigray,ET-TI,administration,,114.4,,,4,Africa/Addis_Ababa,FALSE,1231805467
Gubīya,Gubiya,Gubia Iesus,12.4333,37.4000,Ethiopia,ET,ETH,Āmara,Amara,ET-AM,state,,251.8,,,3,Africa/Addis_Ababa,FALSE,1231866599
K’undē,K'unde,,9.4167,38.4833,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,175.0,,,4,Africa/Addis_Ababa,FALSE,1231267518
K’undē,K'unde,,9.8333,36.9667,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,61.6,,,4,Africa/Addis_Ababa,TRUE,1231098068
Ādī Selam,Adi Selam,Addi Selam,14.0169,39.0053,Ethiopia,ET,ETH,Tigray,Tigray,ET-TI,administration,,158.7,,,4,Africa/Addis_Ababa,FALSE,1231176342
Ādī Selam,Adi Selam,Adi Sellam,13.8167,37.5833,Ethiopia,ET,ETH,Tigray,Tigray,ET-TI,administration,,49.9,,,4,Africa/Addis_Ababa,TRUE,1231726326
Ch’ēka,Ch'eka,,9.7833,36.6833,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,81.5,,,4,Africa/Addis_Ababa,FALSE,1231386123
Ringhi,Ringhi,,4.5500,40.9000,Ethiopia,ET,ETH,Sumalē,Sumale,ET-SO,state,,16.7,,,4,Africa/Addis_Ababa,FALSE,1231213574
Hudad,Hudad,,9.8833,38.7333,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,225.3,,,3,Africa/Addis_Ababa,FALSE,1231087018
Bugarī,Bugari,Buggari,10.3333,34.7167,Ethiopia,ET,ETH,Bīnshangul Gumuz,Binshangul Gumuz,ET-BE,state,,38.2,,,4,Africa/Addis_Ababa,FALSE,1231423451
Addi Onfito,Addi Onfito,Addi Onfato,13.2376,39.5786,Ethiopia,ET,ETH,Tigray,Tigray,ET-TI,administration,,108.6,,,4,Africa/Addis_Ababa,FALSE,1231880379
Gaciro,Gaciro,,6.3833,36.4000,Ethiopia,ET,ETH,YeDebub Bihēroch Bihēreseboch na Hizboch,YeDebub Biheroch Bihereseboch na Hizboch,ET-SN,state,,94.4,,,4,Africa/Addis_Ababa,FALSE,1231076497
Hakīm,Hakim,,12.3500,39.5833,Ethiopia,ET,ETH,Tigray,Tigray,ET-TI,administration,,162.1,,,4,Africa/Addis_Ababa,FALSE,1231744799
Gorura,Gorura,,13.3333,38.9667,Ethiopia,ET,ETH,Tigray,Tigray,ET-TI,administration,,87.9,,,4,Africa/Addis_Ababa,FALSE,1231847128
Indegera,Indegera,,6.3333,37.1500,Ethiopia,ET,ETH,YeDebub Bihēroch Bihēreseboch na Hizboch,YeDebub Biheroch Bihereseboch na Hizboch,ET-SN,state,,147.6,,,4,Africa/Addis_Ababa,FALSE,1231051507
Ābo’ā,Abo'a,,12.0333,37.7500,Ethiopia,ET,ETH,Āmara,Amara,ET-AM,state,,253.4,,,3,Africa/Addis_Ababa,FALSE,1231820881
Wofich,Wofich,,11.2667,39.0167,Ethiopia,ET,ETH,Āmara,Amara,ET-AM,state,,124.7,,,4,Africa/Addis_Ababa,FALSE,1231601029
Salī,Sali,,11.7167,38.3500,Ethiopia,ET,ETH,Āmara,Amara,ET-AM,state,,174.0,,,4,Africa/Addis_Ababa,FALSE,1231921461
Salī,Sali,,11.6667,38.5167,Ethiopia,ET,ETH,Āmara,Amara,ET-AM,state,,164.6,,,4,Africa/Addis_Ababa,TRUE,1231138532
Daru,Daru,,7.8667,39.7000,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,184.4,,,4,Africa/Addis_Ababa,FALSE,1231807872
Daru,Daru,,10.0167,36.9000,Ethiopia,ET,ETH,Oromīya,Oromiya,ET-OR,state,,66.3,,,4,Africa/Addis_Ababa,TRUE,1231626391
