city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Stanley,Stanley,"Port Stanley|Stanley Harbour",-51.7000,-57.8500,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,primary,53.0,2213,2213,1,Atlantic/Stanley,FALSE,1238780509
"Burnside House","Burnside House",,-51.7841,-58.9394,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238811331
"Sand Fountain","Sand Fountain","Cantera de Arena",-51.4833,-58.7500,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238820498
"Westpoint Island Settlement","Westpoint Island Settlement",,-51.3488,-60.6868,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0,,,5,Atlantic/Stanley,FALSE,1238344004
"Hope Cottage","Hope Cottage",,-51.8631,-59.3563,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238954146
"Fox Bay West Settlement","Fox Bay West Settlement","West Settlement",-51.9517,-60.0844,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238803843
"North Arm Settlement","North Arm Settlement","North Arm",-52.1237,-59.3676,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238723537
"Port Stephens Settlement","Port Stephens Settlement","Port Stephens",-52.1024,-60.8445,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238502372
"Pebble Island Settlement","Pebble Island Settlement","Pebble Island Farm",-51.3182,-59.6039,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238612539
"Keppel Settlement","Keppel Settlement",,-51.3312,-59.9433,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238731440
"Johnson Harbour Settlement","Johnson Harbour Settlement","Johnsons Harbour",-51.4984,-58.0397,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238171381
"Beaver Settlement","Beaver Settlement",,-51.8532,-61.2538,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238932399
"Mare Harbour Rancho","Mare Harbour Rancho",,-51.9000,-58.4000,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238193851
"Fitzroy Settlement","Fitzroy Settlement","Fitzroy South|Fitzroy",-51.7869,-58.2263,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238026144
"Horseshoe Bay","Horseshoe Bay",,-51.5333,-58.2167,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238893992
"Camp Verde","Camp Verde","Campo Verde",-51.5333,-58.9667,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238872298
"San Carlos Settlement","San Carlos Settlement","San Carlos|San Carlos Estate",-51.5736,-59.0350,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238591554
"Speedwell Island Settlement","Speedwell Island Settlement",,-52.2207,-59.6883,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238283172
"Dos Lomas","Dos Lomas",,-51.7833,-59.2500,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0,,,5,Atlantic/Stanley,FALSE,1238167701
"Fox Bay East Settlement","Fox Bay East Settlement","East Settlement|Bahia Fox",-51.9566,-60.0693,"Falkland Islands (Islas Malvinas)",FK,FLK,,,,,,0.0,,,5,Atlantic/Stanley,FALSE,1238628189
