city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Tórshavn,Torshavn,Thorshavn|Havn,62.0000,-6.7833,"Faroe Islands",FO,FRO,Tórshavn,Torshavn,FO-24,,primary,113.9,13326,13326,1,Atlantic/Faroe,FALSE,1234904517
Klaksvík,Klaksvik,Klakksvík|Klaksvig,62.2375,-6.5390,"Faroe Islands",FO,FRO,Klaksvík,Klaksvik,FO-10,,admin,145.6,4664,4664,2,Atlantic/Faroe,FALSE,1234149995
Hvalba,Hvalba,Kvalbö|Hvalböur,61.6000,-6.9556,"Faroe Islands",FO,FRO,Hvalba,Hvalba,FO-08,,admin,17.8,713,713,2,Atlantic/Faroe,FALSE,1234381324
Skopun,Skopun,Skopen,61.9125,-6.8719,"Faroe Islands",FO,FRO,Skopun,Skopun,FO-19,,admin,49.6,446,446,2,Atlantic/Faroe,FALSE,1234929032
Hvannasund,Hvannasund,Kvannesund,62.2833,-6.5167,"Faroe Islands",FO,FRO,Hvannasund,Hvannasund,FO-09,,admin,12.5,414,414,2,Atlantic/Faroe,FALSE,1234436400
Porkeri,Porkeri,Porkere,61.4814,-6.7458,"Faroe Islands",FO,FRO,Porkeri,Porkeri,FO-14,,admin,21.2,297,297,2,Atlantic/Faroe,FALSE,1234757268
Fámjin,Famjin,Famien,61.5264,-6.8769,"Faroe Islands",FO,FRO,Fámjin,Famjin,FO-03,,admin,7.6,83,83,2,Atlantic/Faroe,FALSE,1234221310
Skarvanes,Skarvanes,Skarvenæs,61.7931,-6.7369,"Faroe Islands",FO,FRO,,,,,,0.8,9,9,3,Atlantic/Faroe,FALSE,1234054395
Sandur,Sandur,Sand,61.8344,-6.8171,"Faroe Islands",FO,FRO,Sandur,Sandur,FO-16,,admin,11.7,,,2,Atlantic/Faroe,FALSE,1234438421
Traðir,Tradhir,Trödum,61.8437,-6.7908,"Faroe Islands",FO,FRO,,,,,,11.7,,,4,Atlantic/Faroe,FALSE,1234786317
Hattarvík,Hattarvik,Hattervig,62.3299,-6.2640,"Faroe Islands",FO,FRO,,,,,,2.2,,,5,Atlantic/Faroe,FALSE,1234056861
Koltur,Koltur,"Kolterø|Kolter Bygd|Kolter|Kolte|Koltursbygd",61.9865,-6.9624,"Faroe Islands",FO,FRO,,,,,,5.6,,,4,Atlantic/Faroe,FALSE,1234506953
Hólar,Holar,,61.6051,-6.9506,"Faroe Islands",FO,FRO,,,,,,21.5,,,4,Atlantic/Faroe,FALSE,1234754249
Funningsfjørður,Funningsfjordhur,Funningsbotnur|Funningsbothur|Fundingbund|Fundingsbotn,62.2366,-6.9253,"Faroe Islands",FO,FRO,,,,,,2.4,,,4,Atlantic/Faroe,FALSE,1234077235
Leirvík,Leirvik,Lervig|Lorvík,62.2099,-6.6928,"Faroe Islands",FO,FRO,,,,,,90.4,,,4,Atlantic/Faroe,FALSE,1234811507
Fuglafjørður,Fuglafjordhur,Fuglefjord|Fuglefiord,62.2448,-6.8150,"Faroe Islands",FO,FRO,Fuglafjarður,Fuglafjardur,FO-04,,admin,92.7,,,2,Atlantic/Faroe,FALSE,1234308038
Selatrað,Selatradh,Selletræ,62.1564,-6.8716,"Faroe Islands",FO,FRO,,,,,,2.1,,,5,Atlantic/Faroe,FALSE,1234178494
Lopra,Lopra,Lobra,61.4426,-6.7673,"Faroe Islands",FO,FRO,,,,,,30.2,,,4,Atlantic/Faroe,FALSE,1234924935
