city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Navuso,Navuso,,-18.0111,178.5172,Fiji,FJ,FJI,Naitasiri,Naitasiri,FJ-09,province,,1580.2,,,3,Pacific/Fiji,FALSE,1242276748
Vunidrala Settlement,Vunidrala Settlement,,-16.7020,-179.8661,Fiji,FJ,FJI,Cakaudrove,Cakaudrove,FJ-03,province,,137.8,,,4,Pacific/Fiji,FALSE,1242000275
Vunidrala Settlement,Vunidrala Settlement,,-16.7749,-179.7233,Fiji,FJ,FJI,Cakaudrove,Cakaudrove,FJ-03,province,,27.2,,,4,Pacific/Fiji,TRUE,1242000209
Tomuka Settlement,Tomuka Settlement,,-17.6268,177.4724,Fiji,FJ,FJI,Ba,Ba,FJ-01,province,,2746.0,,,2,Pacific/Fiji,FALSE,1242670933
Vivili,Vivili,,-16.7968,179.3753,Fiji,FJ,FJI,Cakaudrove,Cakaudrove,FJ-03,province,,26.7,,,4,Pacific/Fiji,FALSE,1242009907
Nacosari Seventh Day Adventist Settlement,Nacosari Seventh Day Adventist Settlement,,-17.9429,179.2971,Fiji,FJ,FJI,Lomaiviti,Lomaiviti,FJ-06,province,,19.5,,,4,Pacific/Fiji,FALSE,1242114943
Avea,Avea,,-17.1945,-178.9133,Fiji,FJ,FJI,Lau,Lau,FJ-05,province,,11.6,,,4,Pacific/Fiji,FALSE,1242765975
Vunama Settlement,Vunama Settlement,,-17.8037,177.7411,Fiji,FJ,FJI,Ba,Ba,FJ-01,province,,7.4,,,5,Pacific/Fiji,FALSE,1242821494
Nasinu,Nasinu,,-17.7135,178.8319,Fiji,FJ,FJI,Lomaiviti,Lomaiviti,FJ-06,province,,87.0,,,4,Pacific/Fiji,FALSE,1242390073
Nakabuta Settlement,Nakabuta Settlement,,-16.8845,178.9373,Fiji,FJ,FJI,Bua,Bua,FJ-02,province,,6.4,,,5,Pacific/Fiji,FALSE,1242000078
Nasinu,Nasinu,,-16.7721,179.4840,Fiji,FJ,FJI,Cakaudrove,Cakaudrove,FJ-03,province,,20.5,,,4,Pacific/Fiji,FALSE,1242369014
Levuka,Levuka,,-16.4851,-179.9995,Fiji,FJ,FJI,Cakaudrove,Cakaudrove,FJ-03,province,,121.4,,,4,Pacific/Fiji,FALSE,1242000243
Levuka,Levuka,,-16.6571,179.2688,Fiji,FJ,FJI,Cakaudrove,Cakaudrove,FJ-03,province,,15.2,,,4,Pacific/Fiji,TRUE,1242000333
Niuwa Settlement,Niuwa Settlement,,-16.7441,179.8415,Fiji,FJ,FJI,Cakaudrove,Cakaudrove,FJ-03,province,,5.8,,,5,Pacific/Fiji,FALSE,1242000180
Levuka,Levuka,,-18.0626,179.3086,Fiji,FJ,FJI,Lomaiviti,Lomaiviti,FJ-06,province,,13.3,,,4,Pacific/Fiji,TRUE,1242296613
Levuka,Levuka,,-19.1436,178.0357,Fiji,FJ,FJI,Kadavu,Kadavu,FJ-04,province,,25.6,,,4,Pacific/Fiji,FALSE,1242078413
Levuka,Levuka,,-18.9373,178.3537,Fiji,FJ,FJI,Kadavu,Kadavu,FJ-04,province,,10.6,,,4,Pacific/Fiji,TRUE,1242182997
Levuka,Levuka,,-18.2345,-178.8088,Fiji,FJ,FJI,Lau,Lau,FJ-05,province,,51.5,,,4,Pacific/Fiji,FALSE,1242512280
Soliyaga,Soliyaga,Suliyanga|Soliyanga|Solianga,-18.3837,178.1659,Fiji,FJ,FJI,Serua,Serua,FJ-13,province,,28.3,,,4,Pacific/Fiji,FALSE,1242938784
Naivucini,Naivucini,Naivuthini,-17.8406,178.2649,Fiji,FJ,FJI,Naitasiri,Naitasiri,FJ-09,province,,47.2,,,4,Pacific/Fiji,FALSE,1242541693
Sawene Settlement,Sawene Settlement,Sawani|Saweni,-17.9050,177.7841,Fiji,FJ,FJI,Nadroga and Navosa,Nadroga and Navosa,FJ-08,province,,11.2,,,4,Pacific/Fiji,FALSE,1242321450
