city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Rutava,Rutava,Rutala,61.0667,22.7000,Finland,FI,FIN,Satakunta,Satakunta,FI-17,region,,19.6,,,4,Europe/Helsinki,FALSE,1246092163
Koskenkylä,Koskenkyla,,60.9667,22.1667,Finland,FI,FIN,Satakunta,Satakunta,FI-17,region,,21.2,,,4,Europe/Helsinki,FALSE,1246881814
Sydmo,Sydmo,Södmo|Södby,60.3000,22.1333,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,,19.9,,,4,Europe/Helsinki,FALSE,1246334639
Mörkvik,Morkvik,,60.3167,22.4667,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,,19.9,,,4,Europe/Helsinki,FALSE,1246567227
Kytöinen,Kytoinen,,60.6678,22.2383,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,,24.6,,,4,Europe/Helsinki,FALSE,1246609032
Väkevä,Vakeva,Väkevälä,60.6833,28.0000,Finland,FI,FIN,Etelä-Karjala,Etela-Karjala,FI-02,region,,51.2,,,4,Europe/Helsinki,FALSE,1246940341
Lankkeri,Lankkeri,,60.2333,23.0006,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,,25.9,,,4,Europe/Helsinki,FALSE,1246999965
Laitasaari,Laitasaari,,64.8333,25.9167,Finland,FI,FIN,Pohjois-Pohjanmaa,Pohjois-Pohjanmaa,FI-14,region,,11.6,,,4,Europe/Helsinki,FALSE,1246420109
Fasarby,Fasarby,,60.3667,25.9833,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,,18.8,,,4,Europe/Helsinki,FALSE,1246760613
Korkeakylä,Korkeakyla,,60.4795,22.6626,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,,48.2,,,4,Europe/Helsinki,FALSE,1246000116
Leivonmäki,Leivonmaki,Leivola,62.3167,29.0833,Finland,FI,FIN,Etelä-Savo,Etela-Savo,FI-04,region,,21.0,,,4,Europe/Helsinki,FALSE,1246729833
Lågnäs,Lagnas,,60.0364,24.0547,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,,15.6,,,4,Europe/Helsinki,FALSE,1246881617
Upinniemi,Upinniemi,Obbnäs|Obbnyas|Obnesby,60.0292,24.3583,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,,111.9,,,3,Europe/Helsinki,FALSE,1246125276
Välikylä,Valikyla,,61.9000,22.7833,Finland,FI,FIN,Pirkanmaa,Pirkanmaa,FI-11,region,,9.4,,,5,Europe/Helsinki,FALSE,1246906541
Keltiäinen,Keltiainen,Keltiöinen,60.5833,23.7833,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,,13.4,,,4,Europe/Helsinki,FALSE,1246163148
Palonkylä,Palonkyla,Palo,64.6667,24.5000,Finland,FI,FIN,Pohjois-Pohjanmaa,Pohjois-Pohjanmaa,FI-14,region,,41.8,,,4,Europe/Helsinki,FALSE,1246081186
Nedsjö,Nedsjo,,62.3000,21.3833,Finland,FI,FIN,Pohjanmaa,Pohjanmaa,FI-12,region,,9.9,,,5,Europe/Helsinki,FALSE,1246393273
Gundby,Gundby,,60.1815,22.7627,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,,9.8,,,5,Europe/Helsinki,FALSE,1246000187
Päilahti,Pailahti,,61.6333,24.4833,Finland,FI,FIN,Pirkanmaa,Pirkanmaa,FI-11,region,,11.5,,,4,Europe/Helsinki,FALSE,1246303749
Telataipale,Telataipale,Telakanava,61.6500,28.6000,Finland,FI,FIN,Etelä-Savo,Etela-Savo,FI-04,region,,4.3,,,5,Europe/Helsinki,FALSE,1246410443
Kaijala,Kaijala,,60.2167,23.4167,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,,25.9,,,4,Europe/Helsinki,FALSE,1246367181
Taluskylä,Taluskyla,Talusperä,64.2333,24.2833,Finland,FI,FIN,Pohjois-Pohjanmaa,Pohjois-Pohjanmaa,FI-14,region,,11.2,,,4,Europe/Helsinki,FALSE,1246650048
Onnivaara,Onnivaara,,62.9333,28.9833,Finland,FI,FIN,Pohjois-Savo,Pohjois-Savo,FI-15,region,,4.1,,,5,Europe/Helsinki,FALSE,1246840366
Naapurinvaara,Naapurinvaara,Naapurivaara,64.1667,28.2000,Finland,FI,FIN,Kainuu,Kainuu,FI-05,region,,4.0,,,5,Europe/Helsinki,FALSE,1246940148
Tängsöda,Tangsoda,Tengsöda,60.3000,20.1333,Finland,FI,FIN,Åland,Aland,FI-01,region,,13.1,,,4,Europe/Mariehamn,FALSE,1246538215
Riutula,Riutula,Rivdul,68.9427,26.8052,Finland,FI,FIN,Lappi,Lappi,FI-10,region,,0.4,,,4,Europe/Helsinki,FALSE,1246968024
Valpperi,Valpperi,Valperi,60.6667,22.2667,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,,24.6,,,4,Europe/Helsinki,FALSE,1246288543
Tunkkari,Tunkkari,,63.4833,23.7500,Finland,FI,FIN,Keski-Pohjanmaa,Keski-Pohjanmaa,FI-07,region,,6.4,,,5,Europe/Helsinki,FALSE,1246777131
Kautranta,Kautranta,,60.6231,22.2739,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,,49.3,,,4,Europe/Helsinki,FALSE,1246521629
Mutta,Mutta,,63.0000,21.7167,Finland,FI,FIN,Pohjanmaa,Pohjanmaa,FI-12,region,,24.1,,,4,Europe/Helsinki,FALSE,1246161345
Merttilä,Merttila,,60.5500,22.2333,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,,49.3,,,4,Europe/Helsinki,FALSE,1246653750
Grevböle,Grevbole,,60.4000,26.1500,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,,18.8,,,4,Europe/Helsinki,FALSE,1246712149
Torsansalo,Torsansalo,,61.4500,29.1500,Finland,FI,FIN,Etelä-Karjala,Etela-Karjala,FI-02,region,,9.5,,,5,Europe/Helsinki,FALSE,1246497630
Autiö,Autio,,62.9833,24.7000,Finland,FI,FIN,Keski-Suomi,Keski-Suomi,FI-08,region,,4.2,,,5,Europe/Helsinki,FALSE,1246061056
Pippuri,Pippuri,Pippurn,60.0564,24.3947,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,,111.9,,,4,Europe/Helsinki,FALSE,1246449264
Heiniemi,Heiniemi,Iso Heininiemi,63.8833,24.0000,Finland,FI,FIN,Keski-Pohjanmaa,Keski-Pohjanmaa,FI-07,region,,12.8,,,4,Europe/Helsinki,FALSE,1246351653
Rytkölä,Rytkola,,62.0833,26.3000,Finland,FI,FIN,Etelä-Savo,Etela-Savo,FI-04,region,,5.2,,,5,Europe/Helsinki,FALSE,1246526494
Silkkilä,Silkkila,,60.3353,22.7739,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,,11.7,,,4,Europe/Helsinki,FALSE,1246999968
Linnunpelto,Linnunpelto,,60.3716,23.1727,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,,25.9,,,4,Europe/Helsinki,FALSE,1246999998
Hilli,Hilli,,63.4333,22.6000,Finland,FI,FIN,Pohjanmaa,Pohjanmaa,FI-12,region,,10.4,,,4,Europe/Helsinki,FALSE,1246650346
Nokkala,Nokkala,,60.8833,22.4167,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,,12.5,,,4,Europe/Helsinki,FALSE,1246310769
Syrjäkoski,Syrjakoski,,61.3833,26.2000,Finland,FI,FIN,Päijät-Häme,Paijat-Hame,FI-16,region,,27.6,,,4,Europe/Helsinki,FALSE,1246724163
Napanrinne,Napanrinne,,60.8540,26.5506,Finland,FI,FIN,Kymenlaakso,Kymenlaakso,FI-09,region,,32.8,,,4,Europe/Helsinki,FALSE,1246000139
Runtti,Runtti,,65.6000,25.1833,Finland,FI,FIN,Pohjois-Pohjanmaa,Pohjois-Pohjanmaa,FI-14,region,,6.7,,,5,Europe/Helsinki,FALSE,1246651699
Koivisto,Koivisto,,60.6667,26.3167,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,,8.1,,,5,Europe/Helsinki,FALSE,1246273464
Voikkaa,Voikkaa,,60.9353,26.6160,Finland,FI,FIN,Kymenlaakso,Kymenlaakso,FI-09,region,,32.8,,,4,Europe/Helsinki,FALSE,1246000110
