city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Helsinki,Helsinki,Yelsinki|Khel’sinki|Helsingfors|Helsinki,60.1708,24.9375,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,primary,3101.0,1360075,664921,1,Europe/Helsinki,FALSE,1246177997
Tampere,Tampere,Tammerfors,61.4981,23.7600,Finland,FI,FIN,Pirkanmaa,Pirkanmaa,FI-11,region,admin,336.2,334112,231853,2,Europe/Helsinki,FALSE,1246964318
Espoo,Espoo,Esbo,60.2056,24.6556,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,minor,1377.7,297132,297132,2,Europe/Helsinki,FALSE,1246357316
Turku,Turku,Åbo,60.4500,22.2667,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,admin,785.3,252468,187604,2,Europe/Helsinki,FALSE,1246456609
Vantaa,Vantaa,Vanda,60.2944,25.0403,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,minor,892.9,214605,214605,2,Europe/Helsinki,FALSE,1246957545
Oulu,Oulu,Uleoborg|Uleåborg,65.0142,25.4719,Finland,FI,FIN,Pohjois-Pohjanmaa,Pohjois-Pohjanmaa,FI-14,region,admin,132.5,208939,200526,2,Europe/Helsinki,FALSE,1246093273
Jyväskylä,Jyvaskyla,Yuvyaskyulya,62.2417,25.7417,Finland,FI,FIN,Keski-Suomi,Keski-Suomi,FI-08,region,admin,99.5,145887,145887,2,Europe/Helsinki,FALSE,1246938345
Kuopio,Kuopio,,62.8925,27.6783,Finland,FI,FIN,Pohjois-Savo,Pohjois-Savo,FI-15,region,admin,28.1,121557,121557,2,Europe/Helsinki,FALSE,1246334067
Lahti,Lahti,Lakhti|Lahtis,60.9833,25.6500,Finland,FI,FIN,Päijät-Häme,Paijat-Hame,FI-16,region,admin,2032.0,118119,118119,2,Europe/Helsinki,FALSE,1246538847
Kouvola,Kouvola,,60.8681,26.7042,Finland,FI,FIN,Kymenlaakso,Kymenlaakso,FI-09,region,admin,32.8,85855,85855,2,Europe/Helsinki,FALSE,1246167296
Pori,Pori,Bërneborg|Björneborg,61.4833,21.8000,Finland,FI,FIN,Satakunta,Satakunta,FI-17,region,admin,94.2,85363,85363,2,Europe/Helsinki,FALSE,1246259412
Joensuu,Joensuu,Yoensu,62.6000,29.7500,Finland,FI,FIN,Pohjois-Karjala,Pohjois-Karjala,FI-13,region,admin,31.7,75514,75514,2,Europe/Helsinki,FALSE,1246489056
Lappeenranta,Lappeenranta,Lappenranta|Villmanstrand,61.0667,28.1833,Finland,FI,FIN,Etelä-Karjala,Etela-Karjala,FI-02,region,admin,42.2,72650,72650,2,Europe/Helsinki,FALSE,1246492910
Hämeenlinna,Hameenlinna,Khamenlinna|Tavastehus,60.9944,24.4667,Finland,FI,FIN,Kanta-Häme,Kanta-Hame,FI-06,region,admin,38.5,68011,68011,2,Europe/Helsinki,FALSE,1246026891
Vaasa,Vaasa,Wasa|Vasa|Nikolainkaupunki|Nikolaistad,63.1000,21.6167,Finland,FI,FIN,Pohjanmaa,Pohjanmaa,FI-12,region,admin,321.5,67619,67619,2,Europe/Helsinki,FALSE,1246734710
Seinäjoki,Seinajoki,,62.7917,22.8417,Finland,FI,FIN,Etelä-Pohjanmaa,Etela-Pohjanmaa,FI-03,region,admin,46.8,64150,64150,2,Europe/Helsinki,FALSE,1246118146
Rovaniemi,Rovaniemi,Rovanieni|Ronianemi,66.5000,25.7333,Finland,FI,FIN,Lappi,Lappi,FI-10,region,admin,7.8,62420,62420,2,Europe/Helsinki,FALSE,1246718173
Mikkeli,Mikkeli,"Sankt Michel",61.6890,27.2720,Finland,FI,FIN,Etelä-Savo,Etela-Savo,FI-04,region,admin,80.2,54621,54621,2,Europe/Helsinki,FALSE,1246875185
Salo,Salo,"Salo Kapell",60.3861,23.1250,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,minor,26.7,52984,52984,3,Europe/Helsinki,FALSE,1246750581
Kotka,Kotka,Ruotsinsalmi|Svensksund,60.4667,26.9417,Finland,FI,FIN,Kymenlaakso,Kymenlaakso,FI-09,region,minor,183.1,50617,50617,3,Europe/Helsinki,FALSE,1246200320
Porvoo,Porvoo,Borgå|Borgo|Porvo,60.3944,25.6639,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,minor,33.6,49928,49928,3,Europe/Helsinki,FALSE,1246277728
Kokkola,Kokkola,Gamla-Karlabyu|Gamla-Kargabyu|Gamla-Kergabyu|Karleby|Gamlakarleby,63.8367,23.1333,Finland,FI,FIN,Keski-Pohjanmaa,Keski-Pohjanmaa,FI-07,region,admin,33.6,47570,47570,2,Europe/Helsinki,FALSE,1246041998
Lohja,Lohja,Lojo,60.2500,24.0667,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,minor,275.9,46785,46785,3,Europe/Helsinki,FALSE,1246687472
Hyvinkää,Hyvinkaa,Hyvinge,60.6333,24.8500,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,minor,138.8,46739,46739,3,Europe/Helsinki,FALSE,1246789945
Kirkkonummi,Kirkkonummi,Kyrkslätt,60.1167,24.4333,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,minor,111.1,40722,40722,3,Europe/Helsinki,FALSE,1246425379
Järvenpää,Jarvenpaa,Träskända,60.4750,25.0917,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,minor,1068.4,40106,40106,3,Europe/Helsinki,FALSE,1246825863
Rauma,Rauma,Raumo,61.1333,21.5000,Finland,FI,FIN,Satakunta,Satakunta,FI-17,region,minor,160.5,39809,39809,3,Europe/Helsinki,FALSE,1246262958
Tuusula,Tuusula,Thusby|Tusby,60.4333,25.0500,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,minor,171.4,38646,38646,3,Europe/Helsinki,FALSE,1246218223
Kajaani,Kajaani,Kayani|Knyaaani|Kjana|Knyaani|Kajauni|Kajana,64.2311,27.7194,Finland,FI,FIN,Kainuu,Kainuu,FI-05,region,admin,16.0,36297,36297,2,Europe/Helsinki,FALSE,1246377765
Savonlinna,Savonlinna,Nyslott,61.8681,28.8861,Finland,FI,FIN,Etelä-Savo,Etela-Savo,FI-04,region,minor,9.9,35523,35523,3,Europe/Helsinki,FALSE,1246948647
Kerava,Kerava,Kervo,60.4000,25.1000,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,minor,1146.2,35293,35293,3,Europe/Helsinki,FALSE,1246221274
Nokia,Nokia,,61.4767,23.5053,Finland,FI,FIN,Pirkanmaa,Pirkanmaa,FI-11,region,minor,119.7,33322,33322,3,Europe/Helsinki,FALSE,1246560498
Kaarina,Kaarina,"Sankt Karins|Saint Karin",60.4000,22.3667,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,minor,184.3,33099,33099,3,Europe/Helsinki,FALSE,1246381646
Ylöjärvi,Ylojarvi,Yläjarvi,61.5500,23.5833,Finland,FI,FIN,Pirkanmaa,Pirkanmaa,FI-11,region,minor,32.0,32738,32738,3,Europe/Helsinki,FALSE,1246651024
Kangasala,Kangasala,,61.4667,24.0667,Finland,FI,FIN,Pirkanmaa,Pirkanmaa,FI-11,region,minor,37.0,32229,32229,3,Europe/Helsinki,FALSE,1246606231
"Jyväskylän Maalaiskunta","Jyvaskylan Maalaiskunta",,62.2889,25.7417,Finland,FI,FIN,Keski-Suomi,Keski-Suomi,FI-08,region,,59.6,31870,31870,3,Europe/Helsinki,FALSE,1246861694
Riihimäki,Riihimaki,,60.7333,24.7667,Finland,FI,FIN,Kanta-Häme,Kanta-Hame,FI-06,region,minor,256.2,29269,29269,3,Europe/Helsinki,FALSE,1246263977
Raseborg,Raseborg,Raasepori,59.9750,23.4333,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,minor,12.1,28405,28405,3,Europe/Helsinki,FALSE,1246414831
Imatra,Imatra,,61.1833,28.7667,Finland,FI,FIN,Etelä-Karjala,Etela-Karjala,FI-02,region,minor,165.5,25655,25655,3,Europe/Helsinki,FALSE,1246114111
Sastamala,Sastamala,,61.3417,22.9083,Finland,FI,FIN,Pirkanmaa,Pirkanmaa,FI-11,region,minor,16.5,25220,25220,3,Europe/Helsinki,FALSE,1246526086
Raahe,Raahe,Rakhe|Brahestad,64.6833,24.4667,Finland,FI,FIN,Pohjois-Pohjanmaa,Pohjois-Pohjanmaa,FI-14,region,minor,41.8,25165,25165,3,Europe/Helsinki,FALSE,1246712185
Raisio,Raisio,Reso,60.4858,22.1692,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,minor,498.2,24290,24290,3,Europe/Helsinki,FALSE,1246206941
Hollola,Hollola,,60.9867,25.5167,Finland,FI,FIN,Päijät-Häme,Paijat-Hame,FI-16,region,minor,35.2,22943,22943,3,Europe/Helsinki,FALSE,1246266596
Lempäälä,Lempaala,,61.3167,23.7500,Finland,FI,FIN,Pirkanmaa,Pirkanmaa,FI-11,region,minor,96.6,22536,22536,3,Europe/Helsinki,FALSE,1246708138
Tornio,Tornio,Torneå,65.8500,24.1500,Finland,FI,FIN,Lappi,Lappi,FI-10,region,minor,18.5,21928,21928,3,Europe/Helsinki,FALSE,1246209112
Siilinjärvi,Siilinjarvi,,63.0750,27.6600,Finland,FI,FIN,Pohjois-Savo,Pohjois-Savo,FI-15,region,minor,54.8,21794,21794,3,Europe/Helsinki,FALSE,1246336548
Kurikka,Kurikka,,62.6167,22.4000,Finland,FI,FIN,Etelä-Pohjanmaa,Etela-Pohjanmaa,FI-03,region,minor,12.6,21734,21734,3,Europe/Helsinki,FALSE,1246688374
Iisalmi,Iisalmi,Idensalmi|Isal’mi,63.5567,27.1883,Finland,FI,FIN,Pohjois-Savo,Pohjois-Savo,FI-15,region,minor,28.7,21639,21639,3,Europe/Helsinki,FALSE,1246230947
Varkaus,Varkaus,,62.3167,27.8917,Finland,FI,FIN,Pohjois-Savo,Pohjois-Savo,FI-15,region,minor,152.3,21155,21155,3,Europe/Helsinki,FALSE,1246449573
Klaukkala,Klaukkala,,60.3820,24.7492,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,,4.8,21019,21019,3,Europe/Helsinki,FALSE,1246435222
Valkeakoski,Valkeakoski,,61.2667,24.0333,Finland,FI,FIN,Pirkanmaa,Pirkanmaa,FI-11,region,minor,55.9,20800,20800,3,Europe/Helsinki,FALSE,1246028934
Mäntsälä,Mantsala,,60.6331,25.3167,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,minor,40.3,20685,20685,3,Europe/Helsinki,FALSE,1246340286
Äänekoski,Aanekoski,,62.6000,25.7250,Finland,FI,FIN,Keski-Suomi,Keski-Suomi,FI-08,region,minor,22.1,19919,19919,3,Europe/Helsinki,FALSE,1246710490
Hamina,Hamina,Fredrikshamn|Khamina,60.5667,27.2000,Finland,FI,FIN,Kymenlaakso,Kymenlaakso,FI-09,region,minor,17.2,19877,19877,3,Europe/Helsinki,FALSE,1246729258
Kuusankoski,Kuusankoski,,60.9083,26.6236,Finland,FI,FIN,Kymenlaakso,Kymenlaakso,FI-09,region,,32.8,19831,19831,3,Europe/Helsinki,FALSE,1246302102
Korsholm,Korsholm,Mustasaari,63.1125,21.6778,Finland,FI,FIN,Pohjanmaa,Pohjanmaa,FI-12,region,minor,6.2,19662,19662,3,Europe/Helsinki,FALSE,1246225569
Lieto,Lieto,Lundo,60.5050,22.4583,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,minor,64.8,19596,19596,3,Europe/Helsinki,FALSE,1246293271
Heinola,Heinola,Kheynola,61.2000,26.0333,Finland,FI,FIN,Päijät-Häme,Paijat-Hame,FI-16,region,minor,23.3,19575,19575,3,Europe/Helsinki,FALSE,1246846423
Kemi,Kemi,,65.7361,24.5636,Finland,FI,FIN,Lappi,Lappi,FI-10,region,minor,26.0,19437,19437,3,Europe/Helsinki,FALSE,1246411843
Sipoo,Sipoo,Sibbo|Sibbå,60.3750,25.2667,Finland,FI,FIN,Uusimaa,Uusimaa,FI-18,region,minor,27.8,19399,19399,3,Europe/Helsinki,FALSE,1246836049
Jämsä,Jamsa,Yamsya,61.8667,25.1833,Finland,FI,FIN,Keski-Suomi,Keski-Suomi,FI-08,region,minor,10.6,19347,19347,3,Europe/Helsinki,FALSE,1246902464
Jakobstad,Jakobstad,Yakobstad|Pietarsari|Pietasaari|Pietarsaari,63.6667,22.7000,Finland,FI,FIN,Pohjanmaa,Pohjanmaa,FI-12,region,minor,217.0,19207,19207,3,Europe/Helsinki,FALSE,1246775062
Naantali,Naantali,Nodendal’|Nantali|Nådendal,60.4667,22.0333,Finland,FI,FIN,Varsinais-Suomi,Varsinais-Suomi,FI-19,region,minor,61.3,19167,19167,3,Europe/Helsinki,FALSE,1246881232
Haukipudas,Haukipudas,Khaukipudas,65.1833,25.3500,Finland,FI,FIN,Pohjois-Pohjanmaa,Pohjois-Pohjanmaa,FI-14,region,,18.6,18994,18994,3,Europe/Helsinki,FALSE,1246294051
Laukaa,Laukaa,,62.4167,25.9500,Finland,FI,FIN,Keski-Suomi,Keski-Suomi,FI-08,region,minor,30.7,18978,18978,3,Europe/Helsinki,FALSE,1246056174
Pirkkala,Pirkkala,,61.4667,23.6500,Finland,FI,FIN,Pirkanmaa,Pirkanmaa,FI-11,region,minor,258.9,18913,18913,3,Europe/Helsinki,FALSE,1246586300
Pieksämäki,Pieksamaki,Pieksämä|Pieksyamyaki|Pieksämä,62.3003,27.1642,Finland,FI,FIN,Etelä-Savo,Etela-Savo,FI-04,region,minor,9.9,18220,18220,3,Europe/Helsinki,FALSE,1246171745
Kempele,Kempele,Kempelen,64.9125,25.5083,Finland,FI,FIN,Pohjois-Pohjanmaa,Pohjois-Pohjanmaa,FI-14,region,minor,163.2,17535,17535,3,Europe/Helsinki,FALSE,1246739287
Forssa,Forssa,,60.8167,23.6250,Finland,FI,FIN,Kanta-Häme,Kanta-Hame,FI-06,region,minor,68.4,17185,17185,3,Europe/Helsinki,FALSE,1246156595
Janakkala,Janakkala,,60.9167,24.6500,Finland,FI,FIN,Kanta-Häme,Kanta-Hame,FI-06,region,minor,30.2,16853,16853,3,Europe/Helsinki,FALSE,1246767263
Kauhava,Kauhava,Kaukhava,63.1000,23.0667,Finland,FI,FIN,Etelä-Pohjanmaa,Etela-Pohjanmaa,FI-03,region,minor,12.6,16784,16784,3,Europe/Helsinki,FALSE,1246180633
Orimattila,Orimattila,,60.8042,25.7333,Finland,FI,FIN,Päijät-Häme,Paijat-Hame,FI-16,region,minor,19.9,16221,16221,3,Europe/Helsinki,FALSE,1246385500
