city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Le Poislay,Le Poislay,,48.0681,1.0672,France,FR,FRA,Centre-Val de Loire,Centre-Val de Loire,FR-CVL,,,12.1,192,192,3,Europe/Paris,FALSE,1250788960
Serans,Serans,,49.1872,1.8319,France,FR,FRA,Hauts-de-France,Hauts-de-France,FR-HDF,region,,21.8,192,192,3,Europe/Paris,FALSE,1250197596
L’Herm,L'Herm,,42.9733,1.6869,France,FR,FRA,Occitanie,Occitanie,FR-OCC,region,,13.1,192,192,3,Europe/Paris,FALSE,1250631878
Drosay,Drosay,,49.7950,0.7414,France,FR,FRA,Normandie,Normandie,FR-NOR,region,,29.9,192,192,3,Europe/Paris,FALSE,1250077306
Belcastel,Belcastel,,44.3894,2.3378,France,FR,FRA,Occitanie,Occitanie,FR-OCC,region,,17.9,192,192,3,Europe/Paris,TRUE,1250638402
Louit,Louit,,43.3036,0.1561,France,FR,FRA,Occitanie,Occitanie,FR-OCC,region,,38.1,192,192,3,Europe/Paris,FALSE,1250343105
Cubières,Cubieres,,44.4742,3.7733,France,FR,FRA,Occitanie,Occitanie,FR-OCC,region,,3.9,192,192,3,Europe/Paris,FALSE,1250723960
Cahus,Cahus,,44.9575,1.9200,France,FR,FRA,Occitanie,Occitanie,FR-OCC,region,,19.2,192,192,3,Europe/Paris,FALSE,1250517780
Croix-Fonsommes,Croix-Fonsommes,Croix,49.9217,3.4031,France,FR,FRA,Hauts-de-France,Hauts-de-France,FR-HDF,region,,20.5,192,192,3,Europe/Paris,FALSE,1250767437
Rimbachzell,Rimbachzell,,47.9011,7.1769,France,FR,FRA,Grand Est,Grand Est,FR-GES,region,,107.3,192,192,3,Europe/Paris,FALSE,1250671015
Vaudéville,Vaudeville,,48.2306,6.5431,France,FR,FRA,Grand Est,Grand Est,FR-GES,region,,59.6,192,192,3,Europe/Paris,FALSE,1250250865
