city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Cayenne,Cayenne,,4.9330,-52.3300,"French Guiana",GF,GUF,,,,,primary,2611.7,61550,61550,1,America/Cayenne,FALSE,1254304969
Saint-Laurent-du-Maroni,Saint-Laurent-du-Maroni,"Laurent|Maroni|Saint Laurent|Sainte Laurent",5.4976,-54.0325,"French Guiana",GF,GUF,,,,,minor,19.2,24287,24287,3,America/Cayenne,FALSE,1254543638
Kourou,Kourou,"Bourg de Kourou|Kouro",5.1600,-52.6499,"French Guiana",GF,GUF,,,,,minor,15.3,24029,24029,3,America/Cayenne,FALSE,1254317561
Sinnamary,Sinnamary,Sinnamari|Sinamary|Sinnama,5.3800,-52.9600,"French Guiana",GF,GUF,,,,,minor,2.9,3180,3180,3,America/Cayenne,FALSE,1254385870
Saint-Georges,Saint-Georges,"Oyapock|Saint Georges",3.9105,-51.8100,"French Guiana",GF,GUF,,,,,minor,3.1,2742,2742,3,America/Cayenne,FALSE,1254726319
Roura,Roura,,4.7300,-52.3300,"French Guiana",GF,GUF,,,,,minor,1.1,2229,2229,3,America/Cayenne,FALSE,1254511393
Iracoubo,Iracoubo,,5.4804,-53.2200,"French Guiana",GF,GUF,,,,,minor,1.1,1536,1536,3,America/Cayenne,FALSE,1254480447
Senkinen,Senkinen,,5.1000,-54.3667,"French Guiana",GF,GUF,,,,,,6.0,,,5,America/Cayenne,FALSE,1254948324
"Antécume Pata","Antecume Pata",,3.2864,-54.0694,"French Guiana",GF,GUF,,,,,,0.9,,,5,America/Cayenne,FALSE,1254424486
"Niewe Rust","Niewe Rust",,5.5833,-55.0333,"French Guiana",GF,GUF,,,,,,16.6,,,4,America/Paramaribo,FALSE,1254639478
"Mont Louis","Mont Louis",,5.1985,-54.3147,"French Guiana",GF,GUF,,,,,,6.0,,,5,America/Cayenne,FALSE,1254838908
Collery,Collery,,4.9041,-52.3248,"French Guiana",GF,GUF,,,,,,2611.7,,,2,America/Cayenne,FALSE,1254642844
Picard,Picard,"Lieu-dit Picard",4.2051,-52.2607,"French Guiana",GF,GUF,,,,,,0.1,,,5,America/Cayenne,FALSE,1254665964
Adotian,Adotian,,4.5293,-54.4431,"French Guiana",GF,GUF,,,,,,2.0,,,5,America/Cayenne,FALSE,1254724987
"Deux Branches","Deux Branches",,4.8781,-52.9924,"French Guiana",GF,GUF,,,,,,0.2,,,5,America/Cayenne,FALSE,1254465264
Anton,Anton,,5.5418,-53.4264,"French Guiana",GF,GUF,,,,,,1.1,,,5,America/Cayenne,FALSE,1254325116
Apatou,Apatou,,5.0426,-54.0443,"French Guiana",GF,GUF,,,,,,19.2,,,4,America/Cayenne,FALSE,1254012994
Apatou,Apatou,,5.1553,-54.3431,"French Guiana",GF,GUF,,,,,,6.0,,,5,America/Cayenne,TRUE,1254380614
Palassissi,Palassissi,,3.2841,-54.0842,"French Guiana",GF,GUF,,,,,,0.9,,,5,America/Cayenne,FALSE,1254642659
"Les Îlets de Macrabo","Les Ilets de Macrabo",,4.7994,-52.3523,"French Guiana",GF,GUF,,,,,,294.1,,,3,America/Cayenne,FALSE,1254000054
"Crique Anguille","Crique Anguille",,4.8327,-52.5097,"French Guiana",GF,GUF,,,,,,7.4,,,5,America/Cayenne,FALSE,1254297257
