city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Papeete,Papeete,Papeiti|Papiete|Papiti|Vaiete,-17.5334,-149.5667,"French Polynesia",PF,PYF,"Îles du Vent","Iles du Vent",PF-02,"administrative subdivision",primary,1425.8,131695,131695,1,Pacific/Tahiti,FALSE,1258907380
Avatoru,Avatoru,,-14.9440,-147.7086,"French Polynesia",PF,PYF,"Îles Tuamotu-Gambier","Iles Tuamotu-Gambier",PF-05,"administrative subdivision",,28.9,,,4,Pacific/Tahiti,FALSE,1258855365
Hauturua,Hauturua,,-17.7500,-149.3500,"French Polynesia",PF,PYF,,,,,,115.6,,,4,Pacific/Tahiti,FALSE,1258425557
Vaitoto,Vaitoto,,-17.7667,-149.1167,"French Polynesia",PF,PYF,,,,,,26.0,,,4,Pacific/Tahiti,FALSE,1258869984
Rikitea,Rikitea,Rihirea,-23.1232,-134.9686,"French Polynesia",PF,PYF,"Îles Tuamotu-Gambier","Iles Tuamotu-Gambier",PF-05,"administrative subdivision",,21.2,,,4,Pacific/Gambier,FALSE,1258952634
Paopao,Paopao,,-17.5000,-149.8167,"French Polynesia",PF,PYF,,,,,,213.0,,,3,Pacific/Tahiti,FALSE,1258028758
Uritutua,Uritutua,,-17.8004,-149.2953,"French Polynesia",PF,PYF,"Îles du Vent","Iles du Vent",PF-02,"administrative subdivision",,131.3,,,4,Pacific/Tahiti,FALSE,1258967772
Niumaa,Niumaa,,-17.7358,-149.2365,"French Polynesia",PF,PYF,"Îles du Vent","Iles du Vent",PF-02,"administrative subdivision",,83.0,,,4,Pacific/Tahiti,FALSE,1258093590
Tiaraha,Tiaraha,,-17.5500,-149.7833,"French Polynesia",PF,PYF,,,,,,174.8,,,4,Pacific/Tahiti,FALSE,1258027090
Nutae,Nutae,,-17.7401,-149.2539,"French Polynesia",PF,PYF,"Îles du Vent","Iles du Vent",PF-02,"administrative subdivision",,117.9,,,4,Pacific/Tahiti,FALSE,1258955916
Faanui,Faanui,Fanui,-16.4870,-151.7423,"French Polynesia",PF,PYF,"Îles Sous-le-Vent","Iles Sous-le-Vent",PF-04,"administrative subdivision",,346.7,,,3,Pacific/Tahiti,FALSE,1258554689
Otepa,Otepa,,-18.1062,-140.9059,"French Polynesia",PF,PYF,"Îles Tuamotu-Gambier","Iles Tuamotu-Gambier",PF-05,"administrative subdivision",,11.4,,,4,Pacific/Tahiti,FALSE,1258165756
Katiro,Katiro,,-17.7833,-149.2833,"French Polynesia",PF,PYF,,,,,,248.8,,,3,Pacific/Tahiti,FALSE,1258889835
Taiokai,Taiokai,,-10.4167,-138.6667,"French Polynesia",PF,PYF,,,,,,7.0,,,5,Pacific/Marquesas,FALSE,1258598084
Haapape,Haapape,Haapane,-17.5000,-149.4833,"French Polynesia",PF,PYF,,,,,,334.2,,,3,Pacific/Tahiti,FALSE,1258372229
