city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Sare Louba,Sare Louba,,13.5333,-15.0333,"Gambia, The",GM,GMB,Central River,Central River,GM-M,division,,110.3,,,4,Africa/Banjul,FALSE,1270377471
Tuman Tenda,Tuman Tenda,,13.2167,-16.4747,"Gambia, The",GM,GMB,West Coast,West Coast,GM-W,division,,199.3,,,4,Africa/Banjul,FALSE,1270664713
Mamadi Ceesay,Mamadi Ceesay,,13.5000,-14.4500,"Gambia, The",GM,GMB,Upper River,Upper River,GM-U,division,,84.5,,,4,Africa/Banjul,FALSE,1270245502
Jaggle,Jaggle,Jaggli,13.7500,-15.2500,"Gambia, The",GM,GMB,Central River,Central River,GM-M,division,,98.4,,,4,Africa/Dakar,FALSE,1270939842
Ker N’Gatta,Ker N'Gatta,,13.5500,-16.3833,"Gambia, The",GM,GMB,North Bank,North Bank,GM-N,division,,203.6,,,3,Africa/Banjul,FALSE,1270088525
Ker Jawbe,Ker Jawbe,,13.5833,-15.9167,"Gambia, The",GM,GMB,North Bank,North Bank,GM-N,division,,100.4,,,4,Africa/Banjul,FALSE,1270820755
Taimang,Taimang,,13.6333,-15.0667,"Gambia, The",GM,GMB,Central River,Central River,GM-M,division,,82.0,,,4,Africa/Banjul,FALSE,1270993002
Ker Malick Sarr,Ker Malick Sarr,,13.5869,-16.3611,"Gambia, The",GM,GMB,North Bank,North Bank,GM-N,division,,171.2,,,4,Africa/Banjul,FALSE,1270980757
Sinchang,Sinchang,,13.4000,-13.8833,"Gambia, The",GM,GMB,Upper River,Upper River,GM-U,division,,161.1,,,4,Africa/Banjul,FALSE,1270584292
Jalo Kunda Malick N’Yang,Jalo Kunda Malick N'Yang,,13.7500,-14.9667,"Gambia, The",GM,GMB,Central River,Central River,GM-M,division,,80.5,,,4,Africa/Banjul,FALSE,1270703488
Pelngo,Pelngo,,13.7333,-15.3833,"Gambia, The",GM,GMB,Central River,Central River,GM-M,division,,107.6,,,4,Africa/Banjul,FALSE,1270560549
