city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Gaza,Gaza,Ghuzze|Ghazzi|Ghazze|Ghazza|Ghazah|Azzah|‘Azzā|Ghazzah,31.5069,34.4560,"Gaza Strip",XG,XGZ,,,,,primary,13000,590481,590481,1,Asia/Gaza,FALSE,1916116052
"Khān Yūnis","Khan Yunis","Khān Yūnus|Khan Younes|Hanūt Yōnā|Yunas|Yunus|Khan Yumus",31.3444,34.3031,"Gaza Strip",XG,XGZ,,,,,,3759.6,205125,205125,2,Asia/Gaza,FALSE,1916583637
Jabālyā,Jabalya,Jabāliyā|Jabaliya|Jabalya,31.5281,34.4831,"Gaza Strip",XG,XGZ,,,,,,8411.6,172704,172704,2,Asia/Gaza,FALSE,1916175096
Rafaḩ,Rafah,"Rifah|Raphia|Rafīah|Rafaa|Er Rafa|Rafa",31.2725,34.2586,"Gaza Strip",XG,XGZ,,,,,,2685.9,171899,171899,2,Asia/Gaza,FALSE,1916824868
"Bayt Lāhyā","Bayt Lahya","Beit Lāhiya|Bayt Lāhiyah|Bayt Lāhiya|Beit Lahya",31.5500,34.5000,"Gaza Strip",XG,XGZ,,,,,,8411.6,89838,89838,2,Asia/Gaza,FALSE,1916827259
"Dayr al Balaḩ","Dayr al Balah","Deir el-Balah|Belar|Der el Bela",31.4189,34.3517,"Gaza Strip",XG,XGZ,,,,,,5111.0,75132,75132,2,Asia/Gaza,FALSE,1916770606
"Banī Suhaylā","Bani Suhayla","Bani Suheila|Banī Suhaylah|Banī Suhayl",31.3428,34.3253,"Gaza Strip",XG,XGZ,,,,,,3524.1,41439,41439,2,Asia/Gaza,FALSE,1916052157
"‘Abasān al Kabīrah","`Abasan al Kabirah","Abasân el-Kabîr|Abasān|Abasān al Kabīr",31.3237,34.3476,"Gaza Strip",XG,XGZ,,,,,,3524.1,26767,26767,2,Asia/Gaza,FALSE,1916769088
"Az Zuwāydah","Az Zuwaydah","Az Zuwaydah",31.4306,34.3717,"Gaza Strip",XG,XGZ,,,,,,1558.2,23841,23841,3,Asia/Gaza,FALSE,1916190557
"Al Mughrāqah","Al Mughraqah","Abū Mudayin",31.4659,34.4121,"Gaza Strip",XG,XGZ,,,,,,10575.0,,,2,Asia/Gaza,FALSE,1916999897
"Wādī as Salqā","Wadi as Salqa","Wādī as Salgā",31.4005,34.3375,"Gaza Strip",XG,XGZ,,,,,,5612.8,,,2,Asia/Gaza,FALSE,1916533778
"Umm Kamīl","Umm Kamil",Mukhaymil|Mukheimil,31.2970,34.3039,"Gaza Strip",XG,XGZ,,,,,,4724.1,,,2,Asia/Gaza,FALSE,1916087245
"Al Mashāhirah","Al Mashahirah","Al Mashahira",31.5167,34.4667,"Gaza Strip",XG,XGZ,,,,,,10274.4,,,2,Asia/Gaza,FALSE,1916331290
"Al Mawāşī","Al Mawasi",Rafaḩ,31.3292,34.2311,"Gaza Strip",XG,XGZ,,,,,,1759.8,,,3,Asia/Gaza,FALSE,1916166821
"Al Burayj","Al Burayj","Al-Bureij|El Bureij",31.4394,34.4031,"Gaza Strip",XG,XGZ,,,,,,5612.8,,,2,Asia/Gaza,FALSE,1916097590
"Al Qarārah","Al Qararah","Al Qarara",31.3739,34.3408,"Gaza Strip",XG,XGZ,,,,,,3524.1,,,2,Asia/Gaza,FALSE,1916996033
"An Naşr","An Nasr","Al Bayk|Al Bayūk",31.2814,34.3025,"Gaza Strip",XG,XGZ,,,,,,5322.6,,,2,Asia/Gaza,FALSE,1916481768
"Qā‘ al Kharābah","Qa` al Kharabah","Qa‘ el-Kharaba|Qa‘ al Kharābah",31.3090,34.3056,"Gaza Strip",XG,XGZ,,,,,,3524.1,,,2,Asia/Gaza,FALSE,1916627250
"Umm al Kilāb","Umm al Kilab","Umm el-Kilab",31.2959,34.2915,"Gaza Strip",XG,XGZ,,,,,,5322.6,,,2,Asia/Gaza,FALSE,1916030816
"An Nazlah","An Nazlah","En Nezle|En Nazle|Nazla|El Nesleh|Nazlah|Nuzle",31.5333,34.4833,"Gaza Strip",XG,XGZ,,,,,,8411.6,,,2,Asia/Gaza,FALSE,1916133471
"Juḩr ad Dīk","Juhr ad Dik","Juhor ad Dik",31.4557,34.4372,"Gaza Strip",XG,XGZ,,,,,,10575.0,,,2,Asia/Gaza,FALSE,1916162009
"Rafiaẖ Yam","Rafiah Yam",,31.2833,34.2333,"Gaza Strip",XG,XGZ,,,,,,171.3,,,4,Africa/Cairo,FALSE,1916498254
Khuzā‘ah,Khuza`ah,"Khirbat Ikhzā‘ah|Khirbat Ikhzā‘a|Kh Ikhza‘a",31.3068,34.3611,"Gaza Strip",XG,XGZ,,,,,,3524.1,,,2,Asia/Gaza,FALSE,1916598676
"Al Muşaddar","Al Musaddar","Al Musaddar",31.4105,34.3780,"Gaza Strip",XG,XGZ,,,,,,5612.8,,,2,Asia/Gaza,FALSE,1916961376
"As Surayij","As Surayij",,31.3605,34.3608,"Gaza Strip",XG,XGZ,,,,,,3455.1,,,2,Asia/Gaza,FALSE,1916327200
"‘Izbat Bayt Ḩanūn","`Izbat Bayt Hanun","‘Izbat Beit Hanun",31.5360,34.5213,"Gaza Strip",XG,XGZ,,,,,,8411.6,,,2,Asia/Gaza,FALSE,1916768972
"Al Fukhkhārī","Al Fukhkhari","El Fukhkhari|Al Fakhkhārī",31.2928,34.3306,"Gaza Strip",XG,XGZ,,,,,,3524.1,,,2,Asia/Gaza,FALSE,1916665750
"Qīzān an Najjār","Qizan an Najjar","Qazān an Najjār",31.3238,34.2866,"Gaza Strip",XG,XGZ,,,,,,3524.1,,,2,Asia/Gaza,FALSE,1916010574
"Saknat az Zarqā’","Saknat az Zarqa'",,31.5167,34.4667,"Gaza Strip",XG,XGZ,,,,,,10274.4,,,2,Asia/Gaza,FALSE,1916996770
"‘Arab Maslakh Bayt Lāhyā","`Arab Maslakh Bayt Lahya","‘Arab Maslakh Bayt Lā’iyā|‘Arab Maslakh Beit Lahya",31.5341,34.5143,"Gaza Strip",XG,XGZ,,,,,,8411.6,,,2,Asia/Gaza,FALSE,1916048183
"Madīnat al ‘Awdah","Madinat al `Awdah","Madīnat al ‘Awda",31.5471,34.4637,"Gaza Strip",XG,XGZ,,,,,,8429.9,,,2,Asia/Gaza,FALSE,1916209941
"Shūkat aş Şūfī","Shukat as Sufi","Shoket es Sufi|Shawkat aş Şūfī",31.2600,34.2826,"Gaza Strip",XG,XGZ,,,,,,5322.6,,,2,Asia/Gaza,FALSE,1916104829
"Al Qaryah as Suwaydīyah","Al Qaryah as Suwaydiyah",,31.3236,34.2208,"Gaza Strip",XG,XGZ,,,,,,171.3,,,4,Asia/Gaza,FALSE,1916694828
"Bayt Ḩānūn","Bayt Hanun","Beit Hanun|Bayt Ḩanūn",31.5353,34.5358,"Gaza Strip",XG,XGZ,,,,,,8411.6,,,2,Asia/Gaza,FALSE,1916612743
"Umm an Naşr","Umm an Nasr","Al Qaryah al Badawiyah al Maslakh",31.5608,34.5186,"Gaza Strip",XG,XGZ,,,,,,8357.4,,,2,Asia/Gaza,FALSE,1916728463
"Daribat ash Shaykh Hammuda","Daribat ash Shaykh Hammuda",,31.3664,34.3550,"Gaza Strip",XG,XGZ,,,,,,3524.1,,,2,Asia/Gaza,FALSE,1916515236
"Qā‘ al Qurayn","Qa` al Qurayn","Qa‘ el-Qurein|Qa‘ al Qurein",31.3031,34.3220,"Gaza Strip",XG,XGZ,,,,,,3524.1,,,2,Asia/Gaza,FALSE,1916243244
"Naḥal Qatif","Nahal Qatif",Nahal-Katif|Katif,31.4251,34.3734,"Gaza Strip",XG,XGZ,,,,,,5612.8,,,2,Asia/Gaza,FALSE,1916045561
"An Nuşayrāt","An Nusayrat",Nuseirat|Nuṣeirā|Nuşayrāt,31.4486,34.3925,"Gaza Strip",XG,XGZ,,,,,,5612.8,,,2,Asia/Gaza,FALSE,1916082726
"‘Abasān al Jadīdah","`Abasan al Jadidah","‘Abasan al Jadida|‘Abasān aş Şaghīrah",31.3416,34.3459,"Gaza Strip",XG,XGZ,,,,,,3524.1,,,2,Asia/Gaza,FALSE,1916077804
