city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Grak’ali,Grak'ali,Grakali,41.9409,44.2884,Georgia,GE,GEO,Shida Kartli,Shida Kartli,GE-SK,region,,49.9,,,4,Asia/Tbilisi,FALSE,1268119244
Kits’nisi,Kits'nisi,K’itsnisi,42.1273,44.0951,Georgia,GE,GEO,Shida Kartli,Shida Kartli,GE-SK,region,,30.5,,,4,Asia/Tbilisi,FALSE,1268007093
Partskhisi,Partskhisi,Parikhisiya|Partskhisi,41.5768,44.5648,Georgia,GE,GEO,Kvemo Kartli,Kvemo Kartli,GE-KK,region,,15.7,,,4,Asia/Tbilisi,FALSE,1268843056
Akhmaji,Akhmaji,Akhmadzhi,42.0553,44.4782,Georgia,GE,GEO,Mtskheta Mtianeti,Mtskheta Mtianeti,GE-MM,region,,2.4,,,5,Asia/Tbilisi,FALSE,1268901485
Biisi,Biisi,,41.8665,43.9813,Georgia,GE,GEO,Shida Kartli,Shida Kartli,GE-SK,region,,30.5,,,4,Asia/Tbilisi,FALSE,1268378381
Sabatlo,Sabatlo,Tsit’eli Sabat’lo|Tsiteli-Sabatlo|Siteli-Sabatlo,41.3229,46.6673,Georgia,GE,GEO,K’akheti,K'akheti,GE-KA,region,,7.0,,,4,Asia/Tbilisi,FALSE,1268156687
Kasatikay,Kasatikay,,42.3938,44.0062,Georgia,GE,GEO,Shida Kartli,Shida Kartli,GE-SK,region,,0,,,5,Asia/Tbilisi,FALSE,1268623976
Tivi,Tivi,,41.9087,45.9604,Georgia,GE,GEO,K’akheti,K'akheti,GE-KA,region,,26.9,,,4,Asia/Tbilisi,FALSE,1268778529
Damala,Damala,Tamala,41.5792,43.2908,Georgia,GE,GEO,Samtskhe-Javakheti,Samtskhe-Javakheti,GE-SJ,region,,11.5,,,4,Asia/Tbilisi,FALSE,1268786962
Blordza,Blordza,,41.6667,43.1667,Georgia,GE,GEO,Samtskhe-Javakheti,Samtskhe-Javakheti,GE-SJ,region,,38.2,,,4,Asia/Tbilisi,FALSE,1268910598
K’akhipari,K'akhipari,,41.8592,45.6386,Georgia,GE,GEO,K’akheti,K'akheti,GE-KA,region,,43.8,,,4,Asia/Tbilisi,FALSE,1268000153
Tkhinvala,Tkhinvala,Tkhinvali,41.7432,44.6949,Georgia,GE,GEO,Tbilisi,Tbilisi,GE-TB,city,,61.2,,,4,Asia/Tbilisi,FALSE,1268468405
Sakadagiano,Sakadagiano,Sak’adagiano|Sagadagiano,41.8813,44.5695,Georgia,GE,GEO,Shida Kartli,Shida Kartli,GE-SK,region,,49.9,,,4,Asia/Tbilisi,FALSE,1268193890
Eshera,Eshera,Eshiri|Esheri|Yeshera|Eshiry,43.0406,40.9358,Georgia,GE,GEO,Abkhazia,Abkhazia,GE-AB,autonomous republic,,58.2,,,4,Europe/Moscow,FALSE,1268940528
Oshanakhevi,Oshanakhevi,,41.5506,42.4341,Georgia,GE,GEO,Ajaria,Ajaria,GE-AJ,autonomous republic,,27.7,,,4,Asia/Tbilisi,FALSE,1268000071
Khevisch’ala,Khevisch'ala,Khevischala,42.1323,45.2014,Georgia,GE,GEO,K’akheti,K'akheti,GE-KA,region,,11.9,,,4,Asia/Tbilisi,FALSE,1268222289
Monast’eri,Monast'eri,Monasteri,42.2007,44.5813,Georgia,GE,GEO,Mtskheta Mtianeti,Mtskheta Mtianeti,GE-MM,region,,2.1,,,5,Asia/Tbilisi,FALSE,1268962413
Ch’iora,Ch'iora,Chiora,42.7437,43.5540,Georgia,GE,GEO,Rach’a-Lechkhumi da Kvemo Svaneti,Rach'a-Lechkhumi da Kvemo Svaneti,GE-RL,region,,2.6,,,5,Asia/Tbilisi,FALSE,1268446326
Didi Namt’vriani,Didi Namt'vriani,,41.7385,44.3250,Georgia,GE,GEO,Kvemo Kartli,Kvemo Kartli,GE-KK,region,,15.7,,,4,Asia/Tbilisi,FALSE,1268000188
Vedzatkhevi,Vedzatkhevi,Vetzatkhevi|Vedzat,41.9592,44.9906,Georgia,GE,GEO,Mtskheta Mtianeti,Mtskheta Mtianeti,GE-MM,region,,8.9,,,5,Asia/Tbilisi,FALSE,1268233810
Vedzatkhevi,Vedzatkhevi,,42.1315,44.6671,Georgia,GE,GEO,Mtskheta Mtianeti,Mtskheta Mtianeti,GE-MM,region,,7.4,,,5,Asia/Tbilisi,TRUE,1268830219
