city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Wiesenburg,Wiesenburg,,52.1167,12.4500,Germany,DE,DEU,Brandenburg,Brandenburg,DE-BB,state,,19.5,4253,4253,3,Europe/Berlin,FALSE,1276640204
Selbitz,Selbitz,,50.3167,11.7500,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,153.4,4249,4249,3,Europe/Berlin,FALSE,1276164658
Rheinböllen,Rheinbollen,,50.0000,7.6667,Germany,DE,DEU,Rhineland-Palatinate,Rhineland-Palatinate,DE-RP,state,,259.7,4249,4249,3,Europe/Berlin,FALSE,1276003133
Burg (Spreewald),Burg (Spreewald),Burg-Dorf|Burg|Bórkowy (Błota)|Bórkowy,51.8347,14.1500,Germany,DE,DEU,Brandenburg,Brandenburg,DE-BB,state,,120.8,4246,4246,3,Europe/Berlin,FALSE,1276446060
Pfaffing,Pfaffing,,48.0542,12.1092,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,119.9,4242,4242,3,Europe/Berlin,TRUE,1276936189
Waldalgesheim,Waldalgesheim,,49.9511,7.8364,Germany,DE,DEU,Rhineland-Palatinate,Rhineland-Palatinate,DE-RP,state,,264.9,4241,4241,3,Europe/Berlin,FALSE,1276765525
Weinbach,Weinbach,,50.4333,8.3000,Germany,DE,DEU,Hesse,Hesse,DE-HE,state,,112.4,4233,4233,3,Europe/Berlin,FALSE,1276792444
Görwihl,Gorwihl,Göhrwil,47.6411,8.0783,Germany,DE,DEU,Baden-Württemberg,Baden-Wurttemberg,DE-BW,state,,84.1,4233,4233,3,Europe/Berlin,FALSE,1276704475
Neuzelle,Neuzelle,,52.0833,14.6333,Germany,DE,DEU,Brandenburg,Brandenburg,DE-BB,state,,31.1,4232,4232,3,Europe/Berlin,FALSE,1276154418
Waldkappel,Waldkappel,,51.1500,9.8833,Germany,DE,DEU,Hesse,Hesse,DE-HE,state,,43.8,4231,4231,3,Europe/Berlin,FALSE,1276438141
Neckarbischofsheim,Neckarbischofsheim,Neckar-bischofshein,49.2925,8.9606,Germany,DE,DEU,Baden-Württemberg,Baden-Wurttemberg,DE-BW,state,,160.2,4230,4230,3,Europe/Berlin,FALSE,1276086458
Wanfried,Wanfried,,51.1833,10.1667,Germany,DE,DEU,Hesse,Hesse,DE-HE,state,,90.2,4227,4227,3,Europe/Berlin,FALSE,1276729160
Buchenberg,Buchenberg,,47.7000,10.2167,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,72.7,4227,4227,3,Europe/Berlin,FALSE,1276751414
Kranzberg,Kranzberg,Crantsperg,48.4000,11.6167,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,107.0,4226,4226,3,Europe/Berlin,FALSE,1276852529
Twiste,Twiste,,51.3167,8.9500,Germany,DE,DEU,Hesse,Hesse,DE-HE,state,,57.1,4226,4226,3,Europe/Berlin,FALSE,1276044080
Daaden,Daaden,,50.7397,7.9683,Germany,DE,DEU,Rhineland-Palatinate,Rhineland-Palatinate,DE-RP,state,,216.0,4225,4225,3,Europe/Berlin,FALSE,1276140122
Alfhausen,Alfhausen,,52.5019,7.9514,Germany,DE,DEU,Lower Saxony,Lower Saxony,DE-NI,state,,108.3,4224,4224,3,Europe/Berlin,FALSE,1276305904
Hallerndorf,Hallerndorf,,49.7667,10.9833,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,102.1,4219,4219,3,Europe/Berlin,FALSE,1276884759
Niederaichbach,Niederaichbach,,48.6000,12.3167,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,123.8,4218,4218,3,Europe/Berlin,FALSE,1276250029
Schönheide,Schonheide,,50.5036,12.5236,Germany,DE,DEU,Saxony,Saxony,DE-SN,state,,149.8,4216,4216,3,Europe/Berlin,FALSE,1276352121
Metten,Metten,,48.8667,12.9167,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,352.8,4216,4216,3,Europe/Berlin,FALSE,1276208667
Untersiemau,Untersiemau,,50.1942,10.9731,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,205.7,4215,4215,3,Europe/Berlin,FALSE,1276687881
Thyrnau,Thyrnau,,48.6167,13.5333,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,124.0,4214,4214,3,Europe/Berlin,FALSE,1276673734
Waldershof,Waldershof,,49.9667,12.0667,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,69.7,4212,4212,3,Europe/Berlin,FALSE,1276682513
Wolpertswende,Wolpertswende,,47.8944,9.6125,Germany,DE,DEU,Baden-Württemberg,Baden-Wurttemberg,DE-BW,state,,158.5,4209,4209,3,Europe/Berlin,FALSE,1276681288
Brück,Bruck,,52.2000,12.7667,Germany,DE,DEU,Brandenburg,Brandenburg,DE-BB,state,,49.1,4209,4209,3,Europe/Berlin,FALSE,1276569715
Burg,Burg,,54.0000,9.2667,Germany,DE,DEU,Schleswig-Holstein,Schleswig-Holstein,DE-SH,state,,373.9,4206,4206,3,Europe/Berlin,FALSE,1276475417
Mainflingen,Mainflingen,,50.0333,9.0333,Germany,DE,DEU,Hesse,Hesse,DE-HE,state,,452.3,4206,4206,3,Europe/Berlin,FALSE,1276428132
Doberschau,Doberschau,Dobruša,51.1417,14.3572,Germany,DE,DEU,Saxony,Saxony,DE-SN,state,,103.8,4201,4201,3,Europe/Berlin,FALSE,1276257516
Rott am Inn,Rott am Inn,,47.9667,12.1167,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,214.6,4200,4200,3,Europe/Berlin,FALSE,1276014141
Stammham,Stammham,,48.8500,11.4667,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,203.0,4198,4198,3,Europe/Berlin,FALSE,1276624022
Woldegk,Woldegk,,53.4594,13.5828,Germany,DE,DEU,Mecklenburg-Western Pomerania,Mecklenburg-Western Pomerania,DE-MV,state,,28.7,4196,4196,3,Europe/Berlin,FALSE,1276825891
Messel,Messel,,49.9333,8.7333,Germany,DE,DEU,Hesse,Hesse,DE-HE,state,,283.0,4194,4194,3,Europe/Berlin,FALSE,1276483738
Ostseebad Zinnowitz,Ostseebad Zinnowitz,Zinnowitz,54.0764,13.9114,Germany,DE,DEU,Mecklenburg-Western Pomerania,Mecklenburg-Western Pomerania,DE-MV,state,,463.9,4194,4194,3,Europe/Berlin,FALSE,1276465246
Altenmarkt an der Alz,Altenmarkt an der Alz,Altenmarkt,48.0000,12.5167,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,160.7,4193,4193,3,Europe/Berlin,FALSE,1276019647
Cadenberge,Cadenberge,Kadenberge,53.7717,9.0578,Germany,DE,DEU,Lower Saxony,Lower Saxony,DE-NI,state,,135.3,4193,4193,3,Europe/Berlin,FALSE,1276578485
Buch,Buch,,48.2167,10.1667,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,105.1,4192,4192,3,Europe/Berlin,TRUE,1276746099
Seeheilbad Graal-Müritz,Seeheilbad Graal-Muritz,Ostseebad Graal-Müritz|Graal-Müritz,54.2500,12.2500,Germany,DE,DEU,Mecklenburg-Western Pomerania,Mecklenburg-Western Pomerania,DE-MV,state,,501.6,4183,4183,3,Europe/Berlin,FALSE,1276873222
Bockhorn,Bockhorn,,48.3167,11.9833,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,88.6,4179,4179,3,Europe/Berlin,FALSE,1276109557
Schwebheim,Schwebheim,,49.9972,10.2458,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,515.9,4179,4179,3,Europe/Berlin,FALSE,1276849921
Bermatingen,Bermatingen,,47.7292,9.3500,Germany,DE,DEU,Baden-Württemberg,Baden-Wurttemberg,DE-BW,state,,270.4,4177,4177,3,Europe/Berlin,FALSE,1276898564
Dahlen,Dahlen,,51.3667,13.0000,Germany,DE,DEU,Saxony,Saxony,DE-SN,state,,58.2,4171,4171,3,Europe/Berlin,FALSE,1276083903
Sankt Blasien,Sankt Blasien,,47.7619,8.1283,Germany,DE,DEU,Baden-Württemberg,Baden-Wurttemberg,DE-BW,state,,76.6,4169,4169,3,Europe/Berlin,FALSE,1276725935
Wietzendorf,Wietzendorf,,52.9186,9.9769,Germany,DE,DEU,Lower Saxony,Lower Saxony,DE-NI,state,,38.8,4169,4169,3,Europe/Berlin,FALSE,1276603193
Großdubrau,Grossdubrau,Wulka Dubrawa,51.2500,14.4667,Germany,DE,DEU,Saxony,Saxony,DE-SN,state,,76.9,4168,4168,3,Europe/Berlin,FALSE,1276622847
Tarmstedt,Tarmstedt,,53.2167,9.0667,Germany,DE,DEU,Lower Saxony,Lower Saxony,DE-NI,state,,157.0,4167,4167,3,Europe/Berlin,FALSE,1276269189
Amstetten,Amstetten,,48.5794,9.8744,Germany,DE,DEU,Baden-Württemberg,Baden-Wurttemberg,DE-BW,state,,83.7,4166,4166,3,Europe/Berlin,FALSE,1276680856
Kochel,Kochel,,47.6547,11.3647,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,52.0,4165,4165,3,Europe/Berlin,FALSE,1276529929
Rietz Neuendorf,Rietz Neuendorf,,52.2331,14.1667,Germany,DE,DEU,Brandenburg,Brandenburg,DE-BB,state,,22.7,4164,4164,3,Europe/Berlin,FALSE,1276507716
Mauer,Mauer,,49.3389,8.7986,Germany,DE,DEU,Baden-Württemberg,Baden-Wurttemberg,DE-BW,state,,660.8,4163,4163,3,Europe/Berlin,TRUE,1276001572
Geringswalde,Geringswalde,,51.0764,12.9042,Germany,DE,DEU,Saxony,Saxony,DE-SN,state,,138.4,4158,4158,3,Europe/Berlin,FALSE,1276155301
Gorxheim,Gorxheim,,49.5333,8.7333,Germany,DE,DEU,Baden-Württemberg,Baden-Wurttemberg,DE-BW,state,,397.7,4156,4156,3,Europe/Berlin,FALSE,1276077245
Rheinbrohl,Rheinbrohl,,50.4950,7.3347,Germany,DE,DEU,Rhineland-Palatinate,Rhineland-Palatinate,DE-RP,state,,241.6,4155,4155,3,Europe/Berlin,FALSE,1276000875
Stadtlauringen,Stadtlauringen,,50.1881,10.3594,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,65.3,4155,4155,3,Europe/Berlin,FALSE,1276955966
Krostitz,Krostitz,,51.4622,12.4533,Germany,DE,DEU,Saxony,Saxony,DE-SN,state,,96.2,4155,4155,3,Europe/Berlin,FALSE,1276024628
Neckarwestheim,Neckarwestheim,,49.0500,9.1833,Germany,DE,DEU,Baden-Württemberg,Baden-Wurttemberg,DE-BW,state,,297.1,4154,4154,3,Europe/Berlin,FALSE,1276085430
Buch am Erlbach,Buch am Erlbach,Buch,48.4500,12.0500,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,155.2,4149,4149,3,Europe/Berlin,FALSE,1276471345
Niedernhall,Niedernhall,,49.3000,9.6167,Germany,DE,DEU,Baden-Württemberg,Baden-Wurttemberg,DE-BW,state,,233.9,4142,4142,3,Europe/Berlin,FALSE,1276126170
Ahorn,Ahorn,,50.2333,10.9500,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,208.8,4141,4141,3,Europe/Berlin,FALSE,1276018801
Massing,Massing,Maszing,48.4000,12.7500,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,114.6,4140,4140,3,Europe/Berlin,FALSE,1276084414
Mönkeberg,Monkeberg,,54.3500,10.1889,Germany,DE,DEU,Schleswig-Holstein,Schleswig-Holstein,DE-SH,state,,1527.7,4140,4140,3,Europe/Berlin,FALSE,1276584264
Fronhausen,Fronhausen,,50.7000,8.7167,Germany,DE,DEU,Hesse,Hesse,DE-HE,state,,148.5,4139,4139,3,Europe/Berlin,FALSE,1276646439
Freudenberg,Freudenberg,,49.4833,11.9833,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,56.1,4138,4138,3,Europe/Berlin,FALSE,1276715991
Langerringen,Langerringen,,48.1500,10.7667,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,98.2,4136,4136,3,Europe/Berlin,FALSE,1276348142
Thurnau,Thurnau,,50.0256,11.3942,Germany,DE,DEU,Bavaria,Bavaria,DE-BY,state,,64.4,4131,4131,3,Europe/Berlin,FALSE,1276099269
Zahna,Zahna,,51.9167,12.7833,Germany,DE,DEU,Saxony-Anhalt,Saxony-Anhalt,DE-ST,state,,75.1,4131,4131,4,Europe/Berlin,FALSE,1276427094
Langenlonsheim,Langenlonsheim,,49.8947,7.8981,Germany,DE,DEU,Rhineland-Palatinate,Rhineland-Palatinate,DE-RP,state,,346.4,4126,4126,3,Europe/Berlin,FALSE,1276768309
Niederau,Niederau,,51.1756,13.5425,Germany,DE,DEU,Saxony,Saxony,DE-SN,state,,117.0,4124,4124,3,Europe/Berlin,FALSE,1276043853
Gondelsheim,Gondelsheim,,49.0606,8.6572,Germany,DE,DEU,Baden-Württemberg,Baden-Wurttemberg,DE-BW,state,,277.5,4124,4124,3,Europe/Berlin,FALSE,1276146332
Niederfischbach,Niederfischbach,,50.8556,7.8778,Germany,DE,DEU,Rhineland-Palatinate,Rhineland-Palatinate,DE-RP,state,,284.5,4119,4119,3,Europe/Berlin,FALSE,1276267979
