city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Kwaboanta Ada,Kwaboanta Ada,,5.9167,-0.5667,Ghana,GH,GHA,Eastern,Eastern,GH-EP,region,,198.2,,,4,Africa/Accra,FALSE,1288609896
Ajeiagbo,Ajeiagbo,,5.8333,-0.3500,Ghana,GH,GHA,Eastern,Eastern,GH-EP,region,,322.1,,,3,Africa/Accra,FALSE,1288802404
Awodua,Awodua,Awudua,5.4253,-2.0928,Ghana,GH,GHA,Western,Western,GH-WP,region,,112.0,,,4,Africa/Accra,FALSE,1288087786
Nyambisa,Nyambisa,,10.7333,-1.4500,Ghana,GH,GHA,Upper East,Upper East,GH-UE,region,,55.5,,,4,Africa/Accra,FALSE,1288004144
Tarkwa,Tarkwa,,5.0033,-1.9661,Ghana,GH,GHA,Western,Western,GH-WP,region,,56.4,,,4,Africa/Accra,TRUE,1288003057
Bedomase,Bedomase,Bodomase|Bedomasi,6.9579,-1.5056,Ghana,GH,GHA,Ashanti,Ashanti,GH-AH,region,,506.1,,,3,Africa/Accra,FALSE,1288706447
Bedomase,Bedomase,,6.4920,-1.5161,Ghana,GH,GHA,Ashanti,Ashanti,GH-AH,region,,401.6,,,3,Africa/Accra,TRUE,1288001261
Kramokurom,Kramokurom,,6.8217,-2.9350,Ghana,GH,GHA,Western,Western,GH-WP,region,,63.5,,,4,Africa/Accra,FALSE,1288001655
Dakrubongo,Dakrubongo,Dokrubonga,9.3167,-0.8000,Ghana,GH,GHA,Northern,Northern,GH-NP,region,,588.4,,,3,Africa/Accra,FALSE,1288176368
Fungu,Fungu,Fung,10.1335,-0.9969,Ghana,GH,GHA,North East,North East,GH-NE,region,,51.0,,,4,Africa/Accra,FALSE,1288198040
Petichi,Petichi,,5.9618,-1.6439,Ghana,GH,GHA,Ashanti,Ashanti,GH-AH,region,,255.1,,,3,Africa/Accra,FALSE,1288556537
Ohianimegywasi,Ohianimegywasi,,6.6500,-1.3167,Ghana,GH,GHA,Ashanti,Ashanti,GH-AH,region,,357.2,,,3,Africa/Accra,FALSE,1288651219
Meyeden,Meyeden,Miyeden,6.8125,-2.1362,Ghana,GH,GHA,Ashanti,Ashanti,GH-AH,region,,90.5,,,4,Africa/Accra,FALSE,1288002076
Kokronpe,Kokronpe,Kokrompe,6.4667,-0.7333,Ghana,GH,GHA,Eastern,Eastern,GH-EP,region,,232.8,,,3,Africa/Accra,FALSE,1288537451
Ayongkura,Ayongkura,,6.8167,-1.0500,Ghana,GH,GHA,Ashanti,Ashanti,GH-AH,region,,106.6,,,4,Africa/Accra,FALSE,1288503033
Sie,Sie,,7.5495,-2.3359,Ghana,GH,GHA,Bono,Bono,GH-BO,,,111.0,,,4,Africa/Accra,FALSE,1288004649
Yaw Mensakurom,Yaw Mensakurom,,7.7185,-2.6953,Ghana,GH,GHA,Bono,Bono,GH-BO,,,127.2,,,4,Africa/Accra,FALSE,1288005577
Manoakrom,Manoakrom,,5.6300,-2.8995,Ghana,GH,GHA,Western,Western,GH-WP,region,,52.8,,,4,Africa/Accra,FALSE,1288386090
