city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Nuuk,Nuuk,Godthåb|Nuk|Godthaab,64.1814,-51.6942,Greenland,GL,GRL,Sermersooq,Sermersooq,GL-SM,municipality,primary,26.7,18326,18326,1,America/Nuuk,FALSE,1304028354
Sisimiut,Sisimiut,Holstensborg|Holstenborg|Amerdlok|Holsteinborg|Holsteinsborg,66.9389,-53.6722,Greenland,GL,GRL,Qeqqata,Qeqqata,GL-QE,municipality,admin,162.3,5582,5582,2,America/Nuuk,FALSE,1304160154
Ilulissat,Ilulissat,Ilulisat|Jakobshavn,69.2167,-51.1000,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,admin,421.1,4737,4737,2,America/Nuuk,FALSE,1304656747
Aasiaat,Aasiaat,Egedesminde|Ausiait,68.7097,-52.8694,Greenland,GL,GRL,Qeqertalik,Qeqertalik,GL-QT,,admin,0.8,3069,3069,2,America/Nuuk,FALSE,1304194714
Qaqortoq,Qaqortoq,"Kakortok|Kakortak|Julian Haab|Julianehaab|Julianehåb",60.7222,-46.0403,Greenland,GL,GRL,Kujalleq,Kujalleq,GL-KU,municipality,admin,160.8,3050,3050,2,America/Nuuk,FALSE,1304746917
Maniitsoq,Maniitsoq,Maitsoq|Manitsoq|Manitsok|Sukkertoppen,65.4167,-52.9000,Greenland,GL,GRL,Qeqqata,Qeqqata,GL-QE,municipality,,297.6,2534,2534,3,America/Nuuk,FALSE,1304554134
Tasiilaq,Tasiilaq,Ammassalik|Angmagsslik|Angmagssalik|Angmassalik,65.6136,-37.6311,Greenland,GL,GRL,Sermersooq,Sermersooq,GL-SM,municipality,,487.8,1985,1985,3,America/Nuuk,FALSE,1304230512
Uummannaq,Uummannaq,,70.6747,-52.1264,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,136.7,1407,1407,3,America/Nuuk,FALSE,1304056798
Qullissat,Qullissat,Kutdlisat|Kutdligssat|Qutdligssat|Qubdligssat,70.0844,-53.0097,Greenland,GL,GRL,Qeqertalik,Qeqertalik,GL-QT,,,0.0,1400,1400,3,America/Nuuk,FALSE,1304598266
Narsaq,Narsaq,Narssaq|Narsak,60.9122,-46.0486,Greenland,GL,GRL,Kujalleq,Kujalleq,GL-KU,municipality,,204.6,1346,1346,3,America/Nuuk,FALSE,1304094768
Paamiut,Paamiut,Frederikshaab|Frederikshåb|Pamiut,61.9944,-49.6667,Greenland,GL,GRL,Sermersooq,Sermersooq,GL-SM,municipality,,0,1308,1308,3,America/Nuuk,FALSE,1304323922
Nanortalik,Nanortalik,Ilivileq,60.1419,-45.2433,Greenland,GL,GRL,Kujalleq,Kujalleq,GL-KU,municipality,,114.6,1185,1185,3,America/Nuuk,FALSE,1304761443
Upernavik,Upernavik,"Upernivik|Summer Place",72.7869,-56.1472,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,258.8,1092,1092,3,America/Nuuk,FALSE,1304750851
Qasigiannguit,Qasigiannguit,Christianshaab|Qasigianguit|Kasigianguit|Christianshåb,68.8201,-51.1932,Greenland,GL,GRL,Qeqertalik,Qeqertalik,GL-QT,,,390.3,1081,1081,3,America/Nuuk,FALSE,1304001772
Godhavn,Godhavn,"Port of Lievely|Qeqertarssuaq|K’ekertarssuak|Kekertarsuak|Qeqertarsuaq|Iluilek",69.2472,-53.5333,Greenland,GL,GRL,Qeqertalik,Qeqertalik,GL-QT,,,81.8,839,839,3,America/Nuuk,FALSE,1304388071
Qaanaaq,Qaanaaq,Kanâq|Kanâk|Karna|Qânâq|Thule,77.4667,-69.2306,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,0.0,646,646,3,America/Thule,FALSE,1304094556
Kangaatsiaq,Kangaatsiaq,Kangâtsiaq|Kangatsiak,68.3069,-53.4636,Greenland,GL,GRL,Qeqertalik,Qeqertalik,GL-QT,,,74.1,520,520,3,America/Nuuk,FALSE,1304191278
Kullorsuaq,Kullorsuaq,Kuvdlorssuak,74.5792,-57.2181,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,150.6,453,453,4,America/Nuuk,FALSE,1304004889
Scoresbysund,Scoresbysund,"Scoresby Sound|Ittoqqortoormiit|Itseqqortoormiit|Igtorqortôrmît|Igdlorqortôrmiut|Illoqqortoormiut",70.4853,-21.9667,Greenland,GL,GRL,Sermersooq,Sermersooq,GL-SM,municipality,,6.8,345,345,3,America/Scoresbysund,FALSE,1304036812
Kangaamiut,Kangaamiut,"Gammel Sukkertoppen|Kanganiut|Old Sukkertoppen|Kangâmiut",65.8250,-53.3375,Greenland,GL,GRL,Qeqqata,Qeqqata,GL-QE,municipality,,158.3,293,293,4,America/Nuuk,FALSE,1304413656
Tasiusaq,Tasiusaq,"Tasiusak|Tasiussaq|Tasiussak|Majestic Bay Settlement",73.3689,-56.0556,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,105.5,252,252,4,America/Nuuk,FALSE,1304103267
Niaqornaarsuk,Niaqornaarsuk,Niakornarsuk|Niaqornârssuk,68.2322,-52.8583,Greenland,GL,GRL,Qeqertalik,Qeqertalik,GL-QT,,,255.8,249,249,3,America/Nuuk,FALSE,1304774754
Kuummiit,Kuummiit,Kuummiut|Kûngmiut,65.8653,-37.0083,Greenland,GL,GRL,Sermersooq,Sermersooq,GL-SM,municipality,,48.0,248,248,4,America/Nuuk,FALSE,1304101278
Kulusuk,Kulusuk,,65.5753,-37.1833,Greenland,GL,GRL,Sermersooq,Sermersooq,GL-SM,municipality,,29.4,241,241,4,America/Nuuk,FALSE,1304671891
Ikerasak,Ikerasak,,70.5028,-51.3028,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,230.4,233,233,3,America/Nuuk,FALSE,1304975235
Saattut,Saattut,Sãtut,70.8117,-51.6333,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,113.8,226,226,4,America/Nuuk,FALSE,1304284130
Attu,Attu,Agto,67.9406,-53.6228,Greenland,GL,GRL,Qeqertalik,Qeqertalik,GL-QT,,,61.0,203,203,4,America/Nuuk,FALSE,1304618770
"Alluitsup Paa","Alluitsup Paa","Sydprøven|South Proven|Agdluitsup Pâ",60.4625,-45.5694,Greenland,GL,GRL,Kujalleq,Kujalleq,GL-KU,municipality,,106.9,202,202,4,America/Nuuk,FALSE,1304083192
"Upernavik Kujalleq","Upernavik Kujalleq","South Upernavik|Søndre Upernivik|Søndre Upernavik",72.1544,-55.5247,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,174.8,201,201,4,America/Nuuk,FALSE,1304094075
Atammik,Atammik,Atangmik,64.8036,-52.1764,Greenland,GL,GRL,Qeqqata,Qeqqata,GL-QE,municipality,,17.7,196,196,4,America/Nuuk,FALSE,1304360828
Kraulshavn,Kraulshavn,Nuussuaq,74.1111,-57.0611,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,267.8,181,181,3,America/Nuuk,FALSE,1304966853
Qaarsut,Qaarsut,Kaersut|Qaersut,70.7319,-52.6375,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,27.9,174,174,4,America/Nuuk,FALSE,1304682433
Qeqertarsuatsiaat,Qeqertarsuatsiaat,Kekertarsuatsiak|Fiskenaes|Qeqertarssuatsiait|Fiskenæsset|Fiskernæs|Fiskengesset,63.0889,-50.6778,Greenland,GL,GRL,Sermersooq,Sermersooq,GL-SM,municipality,,29.1,169,169,4,America/Nuuk,FALSE,1304505364
Ukkusissat,Ukkusissat,Uvkusigsat|Uvkusigssat,71.0492,-51.8875,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,134.2,154,154,4,America/Nuuk,FALSE,1304388069
Aappilattoq,Aappilattoq,Augpilagtok|Augpalartok|Augpaiartok|Aappilattorq|Augpilagtoq,72.8833,-55.6000,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,144.8,149,149,4,America/Nuuk,FALSE,1304602752
Saqqaq,Saqqaq,Sarqaq|Sarkak,70.0097,-51.9458,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,18.9,132,132,4,America/Nuuk,FALSE,1304700743
Kangersuatsiaq,Kangersuatsiaq,Kangersuatsiak|Kangerssuatsiaq|Prøven,72.3797,-55.5500,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,69.0,130,130,4,America/Nuuk,FALSE,1304939198
Narsarsuaq,Narsarsuaq,Narssarssuaq|Narsarsuak|Narsarssurk|Narsarssunk|Narsarssuak|Narsarssauk,61.1458,-45.4347,Greenland,GL,GRL,Kujalleq,Kujalleq,GL-KU,municipality,,14.0,123,123,4,America/Nuuk,FALSE,1304138343
Qeqertaq,Qeqertaq,Kekertak,69.9972,-51.3028,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,303.7,114,114,3,America/Nuuk,FALSE,1304012684
Aappilattoq,Aappilattoq,,60.1503,-44.2850,Greenland,GL,GRL,Kujalleq,Kujalleq,GL-KU,municipality,,0.0,100,100,3,America/Nuuk,FALSE,1304002714
Ikerasaarsuk,Ikerasaarsuk,Ikerasârssuk,68.1403,-53.4444,Greenland,GL,GRL,Qeqertalik,Qeqertalik,GL-QT,,,0,98,98,5,America/Nuuk,FALSE,1304494550
Sarfannguaq,Sarfannguaq,Sarfánguaq|Sarfannguit|Sarfanguak,66.8972,-52.8611,Greenland,GL,GRL,Qeqqata,Qeqqata,GL-QE,municipality,,50.3,96,96,4,America/Nuuk,FALSE,1304542036
Tiniteqilaaq,Tiniteqilaaq,Tiniteqilâq,65.8889,-37.7792,Greenland,GL,GRL,Sermersooq,Sermersooq,GL-SM,municipality,,2.4,96,96,5,America/Nuuk,FALSE,1304543516
Ikamiut,Ikamiut,,68.6333,-51.8328,Greenland,GL,GRL,Qeqertalik,Qeqertalik,GL-QT,,,230.6,86,86,3,America/Nuuk,FALSE,1304764733
Nuugaatsiaq,Nuugaatsiaq,Nûgâtsiaq,71.5350,-53.2125,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,17.6,84,84,4,America/Nuuk,FALSE,1304367075
Napasoq,Napasoq,Napassoq|Napassok|Napasok,65.0472,-52.3806,Greenland,GL,GRL,Qeqqata,Qeqqata,GL-QE,municipality,,26.6,80,80,4,America/Nuuk,FALSE,1304656712
Iginniarfik,Iginniarfik,Igíniarfik,68.1481,-53.1722,Greenland,GL,GRL,Qeqertalik,Qeqertalik,GL-QT,,,22.0,76,76,4,America/Nuuk,FALSE,1304578880
Arsuk,Arsuk,,61.1750,-48.4500,Greenland,GL,GRL,Sermersooq,Sermersooq,GL-SM,municipality,,59.7,73,73,4,America/Nuuk,FALSE,1304389773
Itilleq,Itilleq,Itivdleq|Itivdlek,66.5778,-53.5000,Greenland,GL,GRL,Qeqqata,Qeqqata,GL-QE,municipality,,62.8,71,71,3,America/Nuuk,FALSE,1304232917
Akunnaaq,Akunnaaq,Akumak|Akúnâq,68.7436,-52.3286,Greenland,GL,GRL,Qeqertalik,Qeqertalik,GL-QT,,,79.6,66,66,4,America/Nuuk,FALSE,1304351172
"Narsaq Kujalleq","Narsaq Kujalleq","Narsak|Narssak kujatdlek|Frederiksdal",60.0047,-44.6653,Greenland,GL,GRL,Kujalleq,Kujalleq,GL-KU,municipality,,39.3,66,66,4,America/Nuuk,FALSE,1304487323
Isortoq,Isortoq,Isertoq,65.5486,-38.9750,Greenland,GL,GRL,Sermersooq,Sermersooq,GL-SM,municipality,,10.4,64,64,4,America/Nuuk,FALSE,1304725562
Savissivik,Savissivik,"Sowallick Point|Savigsivik",76.0194,-65.1139,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,12.0,55,55,4,America/Thule,FALSE,1304246272
Claushavn,Claushavn,Ilimanaq|Ilulisat,69.0811,-51.1153,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,9.1,53,53,5,America/Nuuk,FALSE,1304876705
Tasiusaq,Tasiusaq,Tasiussaq,60.1931,-44.8197,Greenland,GL,GRL,Kujalleq,Kujalleq,GL-KU,municipality,,95.8,53,53,4,America/Nuuk,FALSE,1304871733
Kapisillit,Kapisillit,Kapisigdlit|Kapisilik,64.4361,-50.2694,Greenland,GL,GRL,Sermersooq,Sermersooq,GL-SM,municipality,,32.3,52,52,4,America/Nuuk,FALSE,1304713615
"Hunde Ejland","Hunde Ejland",Kitsigsuarssuit,68.8569,-53.1208,Greenland,GL,GRL,Qeqertalik,Qeqertalik,GL-QT,,,91.0,50,50,4,America/Nuuk,FALSE,1304842813
Eqalugaarsuit,Eqalugaarsuit,,60.6222,-45.9097,Greenland,GL,GRL,Kujalleq,Kujalleq,GL-KU,municipality,,56.4,49,49,4,America/Nuuk,FALSE,1304405162
Naajat,Naajat,Naujât,73.1431,-55.8069,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,0,49,49,5,America/Nuuk,FALSE,1304210745
Siorapaluk,Siorapaluk,Igdluluarssuit|Sioropaluk,77.7856,-70.6333,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,0.0,43,43,5,America/Thule,FALSE,1304718851
Qassiarsuk,Qassiarsuk,Kagsiarsuk|Kagssiarssuk|Qagssiarssuk|Qaksiarsuk,61.1500,-45.5167,Greenland,GL,GRL,Kujalleq,Kujalleq,GL-KU,municipality,,23.8,39,39,4,America/Nuuk,FALSE,1304029725
Niaqornat,Niaqornat,Niakornat,70.7889,-53.6639,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,0,35,35,5,America/Nuuk,FALSE,1304000459
Ammassivik,Ammassivik,Sletten,60.5967,-45.3861,Greenland,GL,GRL,Kujalleq,Kujalleq,GL-KU,municipality,,21.8,32,32,4,America/Nuuk,FALSE,1304982916
Rodebay,Rodebay,Oqaitsut,69.3444,-51.0028,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,14.5,29,29,4,America/Nuuk,FALSE,1304490947
Qeqertat,Qeqertat,Quequrtat|Kekertat,77.4942,-66.6847,Greenland,GL,GRL,Avannaata,Avannaata,GL-AV,,,0,23,23,5,America/Thule,FALSE,1304667228
Igaliku,Igaliku,Igaliko,60.9878,-45.4208,Greenland,GL,GRL,Kujalleq,Kujalleq,GL-KU,municipality,,7.6,21,21,5,America/Nuuk,FALSE,1304985114
Saarloq,Saarloq,Sardlok|Sârdloq|Sardlog,60.5375,-46.0258,Greenland,GL,GRL,Kujalleq,Kujalleq,GL-KU,municipality,,68.0,21,21,4,America/Nuuk,FALSE,1304694962
Qassimiut,Qassimiut,Kagsimiut|Qagssimiut,60.7814,-47.1597,Greenland,GL,GRL,Kujalleq,Kujalleq,GL-KU,municipality,,11.2,20,20,4,America/Nuuk,FALSE,1304412743
Nord,Nord,,81.7166,-17.8000,Greenland,GL,GRL,,,,,,0,10,10,5,America/Nuuk,FALSE,1304217709
