city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"Saint David’s","Saint David's",,12.0444,-61.6806,Grenada,GD,GRD,"Saint David","Saint David",GD-02,parish,,261.0,12486,12486,3,America/Grenada,FALSE,1308183777
"Saint George’s","Saint George's","Georgetown|Saint George|Port Royal|Port Louis|Lewis|Fort Royal|Grenada City",12.0500,-61.7500,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,primary,492.7,4315,4315,1,America/Grenada,FALSE,1308891766
Gouyave,Gouyave,"Gouave|Charlotte Town|Guyave|Goyave",12.1664,-61.7300,Grenada,GD,GRD,"Saint John","Saint John",GD-04,parish,,189.3,3378,3378,3,America/Grenada,FALSE,1308209730
Grenville,Grenville,"La Baye",12.1192,-61.6264,Grenada,GD,GRD,"Saint Andrew","Saint Andrew",GD-01,parish,,270.4,2476,2476,3,America/Grenada,FALSE,1308853472
"Grand Roy","Grand Roy",,12.1167,-61.7500,Grenada,GD,GRD,"Saint John","Saint John",GD-04,parish,,189.3,2400,2400,4,America/Grenada,FALSE,1308877466
Sauteurs,Sauteurs,Sautiers,12.2183,-61.6392,Grenada,GD,GRD,"Saint Patrick","Saint Patrick",GD-06,parish,,211.8,1300,1300,3,America/Grenada,FALSE,1308688774
Hillsborough,Hillsborough,,12.4833,-61.4667,Grenada,GD,GRD,,,,,,130.3,1000,1000,3,America/Grenada,FALSE,1308415691
Willis,Willis,,12.0833,-61.7167,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,500,500,3,America/Grenada,FALSE,1308061160
"Mount William","Mount William",,12.0687,-61.6810,Grenada,GD,GRD,"Saint David","Saint David",GD-02,parish,,350.7,,,3,America/Grenada,FALSE,1308661661
Ford,Ford,,12.1307,-61.6275,Grenada,GD,GRD,"Saint Andrew","Saint Andrew",GD-01,parish,,270.4,,,3,America/Grenada,FALSE,1308343018
"The Bocas","The Bocas",,12.0442,-61.7341,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308625541
"Mount Nesbit","Mount Nesbit",,12.1482,-61.7285,Grenada,GD,GRD,"Saint John","Saint John",GD-04,parish,,189.3,,,4,America/Grenada,FALSE,1308120886
"Mount William","Mount William",,12.2199,-61.6719,Grenada,GD,GRD,"Saint Patrick","Saint Patrick",GD-06,parish,,211.8,,,3,America/Grenada,FALSE,1308488273
Chantimelle,Chantimelle,,12.2000,-61.6500,Grenada,GD,GRD,"Saint Patrick","Saint Patrick",GD-06,parish,,211.8,,,3,America/Grenada,FALSE,1308599300
"Lower La Tante","Lower La Tante",,12.0541,-61.6444,Grenada,GD,GRD,"Saint David","Saint David",GD-02,parish,,331.3,,,3,America/Grenada,FALSE,1308060885
"Morne Rouge","Morne Rouge",,12.0167,-61.7667,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308932114
Vincennes,Vincennes,,12.0530,-61.6893,Grenada,GD,GRD,"Saint David","Saint David",GD-02,parish,,351.0,,,3,America/Grenada,FALSE,1308514347
Mardigras,Mardigras,,12.0507,-61.7240,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308728859
Belvidere,Belvidere,,12.1354,-61.6970,Grenada,GD,GRD,"Saint John","Saint John",GD-04,parish,,189.3,,,4,America/Grenada,FALSE,1308889845
Laborie,Laborie,,12.0420,-61.7284,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308636979
"Bois de Gannes","Bois de Gannes",,12.0333,-61.7000,Grenada,GD,GRD,"Saint David","Saint David",GD-02,parish,,351.0,,,3,America/Grenada,FALSE,1308380741
Mango,Mango,,12.0884,-61.7231,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308447346
Constantine,Constantine,,12.0793,-61.7204,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308933619
"Petit Bouc","Petit Bouc",,12.0192,-61.7507,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308567316
Windsor,Windsor,,12.1362,-61.6746,Grenada,GD,GRD,"Saint Andrew","Saint Andrew",GD-01,parish,,270.4,,,3,America/Grenada,FALSE,1308394066
"Corbeau Town","Corbeau Town",,12.0460,-61.7195,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308178038
L’Appelle,L'Appelle,,12.5167,-61.4333,Grenada,GD,GRD,,,,,,130.3,,,4,America/Grenada,FALSE,1308465138
Nianganfoix,Nianganfoix,,12.1219,-61.6751,Grenada,GD,GRD,"Saint Andrew","Saint Andrew",GD-01,parish,,270.4,,,3,America/Grenada,FALSE,1308056589
"Levera Development","Levera Development",,12.2102,-61.6147,Grenada,GD,GRD,"Saint Patrick","Saint Patrick",GD-06,parish,,211.8,,,3,America/Grenada,FALSE,1308804735
Golflands,Golflands,,12.0167,-61.7500,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308173728
Confer,Confer,"Canne Fond",12.0180,-61.7242,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308556896
"Union Village","Union Village",Union,12.1000,-61.6333,Grenada,GD,GRD,"Saint Andrew","Saint Andrew",GD-01,parish,,270.4,,,3,America/Grenada,FALSE,1308602684
Belvedere,Belvedere,,12.5000,-61.4333,Grenada,GD,GRD,,,,,,130.3,,,4,America/Grenada,FALSE,1308227973
Paddock,Paddock,,12.0452,-61.7437,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308712300
Clozier,Clozier,,12.1421,-61.6973,Grenada,GD,GRD,"Saint John","Saint John",GD-04,parish,,189.3,,,4,America/Grenada,FALSE,1308446625
"Diego Piece","Diego Piece",,12.2000,-61.6667,Grenada,GD,GRD,"Saint Mark","Saint Mark",GD-05,parish,,188.2,,,4,America/Grenada,FALSE,1308022789
Dover,Dover,,12.5000,-61.4333,Grenada,GD,GRD,,,,,,130.3,,,4,America/Grenada,FALSE,1308736071
"Saint Mary","Saint Mary",,12.1505,-61.7015,Grenada,GD,GRD,"Saint John","Saint John",GD-04,parish,,189.3,,,4,America/Grenada,FALSE,1308555897
Bylands,Bylands,,12.1351,-61.6600,Grenada,GD,GRD,"Saint Andrew","Saint Andrew",GD-01,parish,,270.4,,,3,America/Grenada,FALSE,1308115082
Richmond,Richmond,,12.1026,-61.7324,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308977507
"Felix Park","Felix Park",,12.0638,-61.6488,Grenada,GD,GRD,"Saint Andrew","Saint Andrew",GD-01,parish,,272.1,,,3,America/Grenada,FALSE,1308640548
Hermitage,Hermitage,,12.4350,-61.4667,Grenada,GD,GRD,,,,,,130.3,,,4,America/Grenada,FALSE,1308842492
"Ruth Howard","Ruth Howard",,12.0167,-61.7556,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308948690
Soubise,Soubise,,12.1122,-61.6286,Grenada,GD,GRD,"Saint Andrew","Saint Andrew",GD-01,parish,,270.4,,,3,America/Grenada,FALSE,1308193983
"Ka-fe Beau","Ka-fe Beau",,12.0333,-61.7500,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308275487
Prospect,Prospect,"Le Sausos",12.2235,-61.6631,Grenada,GD,GRD,"Saint Patrick","Saint Patrick",GD-06,parish,,211.8,,,3,America/Grenada,FALSE,1308943646
"True Blue","True Blue",,12.0003,-61.7675,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308751126
"Blow Hole","Blow Hole",,11.9833,-61.7833,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308364527
Tricolar,Tricolar,,12.1864,-61.6528,Grenada,GD,GRD,"Saint Patrick","Saint Patrick",GD-06,parish,,211.8,,,3,America/Grenada,FALSE,1308976050
"Amber Belair","Amber Belair",,12.0039,-61.7619,Grenada,GD,GRD,"Saint George","Saint George",GD-03,parish,,492.7,,,3,America/Grenada,FALSE,1308905917
Deblando,Deblando,,12.1000,-61.6333,Grenada,GD,GRD,"Saint Andrew","Saint Andrew",GD-01,parish,,270.4,,,3,America/Grenada,FALSE,1308577743
"Westerhall Land Settlement","Westerhall Land Settlement",,12.0245,-61.6985,Grenada,GD,GRD,"Saint David","Saint David",GD-02,parish,,351.0,,,3,America/Grenada,FALSE,1308572254
"Mount Alexander","Mount Alexander",,12.2167,-61.6500,Grenada,GD,GRD,"Saint Patrick","Saint Patrick",GD-06,parish,,211.8,,,3,America/Grenada,FALSE,1308468196
"Mount Nesbit Land Settlement","Mount Nesbit Land Settlement",,12.1397,-61.7195,Grenada,GD,GRD,"Saint John","Saint John",GD-04,parish,,189.3,,,4,America/Grenada,FALSE,1308727761
"Becke Moui","Becke Moui",,12.0167,-61.7000,Grenada,GD,GRD,"Saint David","Saint David",GD-02,parish,,392.2,,,3,America/Grenada,FALSE,1308990884
Barique,Barique,,12.1667,-61.6500,Grenada,GD,GRD,"Saint Patrick","Saint Patrick",GD-06,parish,,211.8,,,3,America/Grenada,FALSE,1308672026
