city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Petites Mamelles,Petites Mamelles,,16.0500,-61.6167,Guadeloupe,GP,GLP,,,,,,177.7,,,4,America/Guadeloupe,FALSE,1312918339
Goguette,Goguette,La Goguette,16.4492,-61.5161,Guadeloupe,GP,GLP,,,,,,118.3,,,4,America/Guadeloupe,FALSE,1312283312
Revel,Revel,,16.0501,-61.6956,Guadeloupe,GP,GLP,,,,,,300.7,,,3,America/Guadeloupe,FALSE,1312000602
Pointe d’Or,Pointe d'Or,,16.2892,-61.4963,Guadeloupe,GP,GLP,,,,,,757.3,,,3,America/Guadeloupe,FALSE,1312001012
Cocagne,Cocagne,,16.1265,-61.7695,Guadeloupe,GP,GLP,,,,,,178.2,,,4,America/Guadeloupe,FALSE,1312000418
Bougerel,Bougerel,,16.0465,-61.6978,Guadeloupe,GP,GLP,,,,,,326.0,,,3,America/Guadeloupe,FALSE,1312000599
Blanchette,Blanchette,,16.0338,-61.7453,Guadeloupe,GP,GLP,,,,,,159.0,,,4,America/Guadeloupe,FALSE,1312000980
Bougenot,Bougenot,,16.0236,-61.7368,Guadeloupe,GP,GLP,,,,,,197.3,,,4,America/Guadeloupe,FALSE,1312000941
Lubeth,Lubeth,,16.3798,-61.4137,Guadeloupe,GP,GLP,,,,,,235.9,,,3,America/Guadeloupe,FALSE,1312001100
Belbois,Belbois,,15.9777,-61.2473,Guadeloupe,GP,GLP,,,,,,41.8,,,4,America/Guadeloupe,FALSE,1312000779
Lamothe,Lamothe,Lamotte,16.2508,-61.4261,Guadeloupe,GP,GLP,,,,,,341.9,,,3,America/Guadeloupe,FALSE,1312231375
Lamothe,Lamothe,,16.2097,-61.6182,Guadeloupe,GP,GLP,,,,,,190.0,,,4,America/Guadeloupe,TRUE,1312000127
Boursois,Boursois,,16.2634,-61.4767,Guadeloupe,GP,GLP,,,,,,757.3,,,3,America/Guadeloupe,FALSE,1312000900
Gest,Gest,,16.0779,-61.7499,Guadeloupe,GP,GLP,,,,,,129.1,,,4,America/Guadeloupe,FALSE,1312972877
Lagarde,Lagarde,,16.4086,-61.4255,Guadeloupe,GP,GLP,,,,,,113.1,,,4,America/Guadeloupe,FALSE,1312001086
Sans Fenêtre,Sans Fenetre,,16.4610,-61.5096,Guadeloupe,GP,GLP,,,,,,65.2,,,4,America/Guadeloupe,FALSE,1312001136
Fond Marius,Fond Marius,,16.2097,-61.4872,Guadeloupe,GP,GLP,,,,,,604.6,,,3,America/Guadeloupe,FALSE,1312001032
Bas-Vent,Bas-Vent,Bas Vent,16.3423,-61.7707,Guadeloupe,GP,GLP,,,,,,148.9,,,4,America/Guadeloupe,FALSE,1312097149
Lahaut,Lahaut,,16.3064,-61.7894,Guadeloupe,GP,GLP,,,,,,148.9,,,4,America/Guadeloupe,FALSE,1312000141
Chastel,Chastel,,16.3333,-61.5112,Guadeloupe,GP,GLP,,,,,,249.2,,,3,America/Guadeloupe,FALSE,1312000569
Béguette,Beguette,,16.3179,-61.4843,Guadeloupe,GP,GLP,,,,,,249.2,,,3,America/Guadeloupe,FALSE,1312001059
Molasse,Molasse,,16.2871,-61.4788,Guadeloupe,GP,GLP,,,,,,757.3,,,3,America/Guadeloupe,FALSE,1312001117
Dumaine,Dumaine,,16.3773,-61.4545,Guadeloupe,GP,GLP,,,,,,113.1,,,4,America/Guadeloupe,FALSE,1312001098
Garel,Garel,,15.9459,-61.2522,Guadeloupe,GP,GLP,,,,,,54.1,,,4,America/Guadeloupe,FALSE,1312968187
Vieux-Habitants,Vieux-Habitants,Les Habitants,16.0587,-61.7667,Guadeloupe,GP,GLP,,,,,,129.1,,,4,America/Guadeloupe,FALSE,1312615796
Paul,Paul,,16.2402,-61.6651,Guadeloupe,GP,GLP,,,,,,288.7,,,3,America/Guadeloupe,FALSE,1312000134
Gaschet,Gaschet,,16.3985,-61.4987,Guadeloupe,GP,GLP,,,,,,113.1,,,4,America/Guadeloupe,FALSE,1312001093
Louisiane,Louisiane,,16.2626,-61.3951,Guadeloupe,GP,GLP,,,,,,341.9,,,3,America/Guadeloupe,FALSE,1312629282
Sainte-Marie des Bois,Sainte-Marie des Bois,,16.0667,-61.5833,Guadeloupe,GP,GLP,,,,,,177.7,,,4,America/Guadeloupe,FALSE,1312116073
Kiot,Kiot,,16.2783,-61.3368,Guadeloupe,GP,GLP,,,,,,340.6,,,3,America/Guadeloupe,FALSE,1312000441
Bouquincant,Bouquincant,Bouquinquant,15.8885,-61.2770,Guadeloupe,GP,GLP,,,,,,95.3,,,4,America/Guadeloupe,FALSE,1312000736
Cocoyer,Cocoyer,,16.2372,-61.4825,Guadeloupe,GP,GLP,,,,,,604.6,,,3,America/Guadeloupe,FALSE,1312992204
Cocoyer,Cocoyer,,16.2736,-61.2690,Guadeloupe,GP,GLP,,,,,,322.2,,,3,America/Guadeloupe,TRUE,1312000995
Cocoyer,Cocoyer,,16.3021,-61.3765,Guadeloupe,GP,GLP,,,,,,278.8,,,3,America/Guadeloupe,TRUE,1312000803
Cocoyer,Cocoyer,,15.9607,-61.6725,Guadeloupe,GP,GLP,,,,,,275.1,,,3,America/Guadeloupe,TRUE,1312001038
Cocoyer,Cocoyer,,16.1883,-61.6490,Guadeloupe,GP,GLP,,,,,,190.0,,,4,America/Guadeloupe,TRUE,1312000194
Cocoyer,Cocoyer,,16.3269,-61.0418,Guadeloupe,GP,GLP,,,,,,66.8,,,4,America/Guadeloupe,TRUE,1312000715
Débauchée,Debauchee,,16.2995,-61.6912,Guadeloupe,GP,GLP,,,,,,187.3,,,4,America/Guadeloupe,FALSE,1312000153
Birmingham,Birmingham,,16.2752,-61.5768,Guadeloupe,GP,GLP,,,,,,776.7,,,3,America/Guadeloupe,FALSE,1312000481
Pistolet,Pistolet,,16.4986,-61.4639,Guadeloupe,GP,GLP,,,,,,65.2,,,4,America/Guadeloupe,FALSE,1312001076
Giraud,Giraud,,15.9476,-61.2701,Guadeloupe,GP,GLP,,,,,,41.8,,,4,America/Guadeloupe,FALSE,1312752577
La Chapelle,La Chapelle,,15.8848,-61.2606,Guadeloupe,GP,GLP,,,,,,95.3,,,4,America/Guadeloupe,FALSE,1312680006
La Chapelle,La Chapelle,,16.4686,-61.5128,Guadeloupe,GP,GLP,,,,,,65.2,,,4,America/Guadeloupe,TRUE,1312000834
Hameau,Hameau,,16.4000,-61.4167,Guadeloupe,GP,GLP,,,,,,113.1,,,4,America/Guadeloupe,FALSE,1312690971
Tamazeau,Tamazeau,,16.3174,-61.3117,Guadeloupe,GP,GLP,,,,,,278.8,,,3,America/Guadeloupe,FALSE,1312000308
Beaurenom,Beaurenom,,15.8789,-61.3069,Guadeloupe,GP,GLP,,,,,,95.3,,,4,America/Guadeloupe,FALSE,1312292797
La Bouaye,La Bouaye,,16.2187,-61.4938,Guadeloupe,GP,GLP,,,,,,604.6,,,3,America/Guadeloupe,FALSE,1312001029
Bois Joli,Bois Joli,,16.2742,-61.4989,Guadeloupe,GP,GLP,,,,,,757.3,,,3,America/Guadeloupe,FALSE,1312001016
Bois Joli,Bois Joli,,15.9083,-61.2453,Guadeloupe,GP,GLP,,,,,,69.2,,,4,America/Guadeloupe,TRUE,1312000520
Dolé,Dole,Dôlé,15.9895,-61.6700,Guadeloupe,GP,GLP,,,,,,372.2,,,3,America/Guadeloupe,FALSE,1312391904
