city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Adacao,Adacao,,13.4916,144.8446,Guam,GU,GUM,,,,,,1113.5,,,3,Pacific/Guam,FALSE,1316840826
Afame,Afame,,13.4588,144.7625,Guam,GU,GUM,,,,,,509.6,,,3,Pacific/Guam,FALSE,1316655450
"Agana Heights","Agana Heights",,13.4640,144.7458,Guam,GU,GUM,,,,,,1626.1,,,3,Pacific/Guam,FALSE,1316319705
Agat,Agat,,13.3814,144.6618,Guam,GU,GUM,,,,,,983.9,,,3,Pacific/Guam,FALSE,1316640518
Anao,Anao,,13.5240,144.9075,Guam,GU,GUM,,,,,,140.3,,,4,Pacific/Guam,FALSE,1316741982
"Andersen AFB","Andersen AFB",,13.5637,144.9260,Guam,GU,GUM,,,,,,359,,,3,Pacific/Guam,FALSE,1316921068
Apotgan,Apotgan,,13.4893,144.7777,Guam,GU,GUM,,,,,,2245.3,,,2,Pacific/Guam,FALSE,1316071779
"Apra Harbor","Apra Harbor",,13.4286,144.6544,Guam,GU,GUM,,,,,,217.3,,,3,Pacific/Guam,FALSE,1316421772
Asan,Asan,,13.4724,144.7172,Guam,GU,GUM,,,,,,241.4,,,3,Pacific/Guam,FALSE,1316478354
Astumbo,Astumbo,,13.5490,144.8456,Guam,GU,GUM,,,,,,483.1,,,3,Pacific/Guam,FALSE,1316454090
Barrigada,Barrigada,,13.4637,144.7987,Guam,GU,GUM,,,,,,1399.3,,,3,Pacific/Guam,FALSE,1316332603
"Barrigada Heights","Barrigada Heights",,13.4914,144.8257,Guam,GU,GUM,,,,,,965.2,,,3,Pacific/Guam,FALSE,1316167942
Chaguian,Chaguian,,13.5690,144.8856,Guam,GU,GUM,,,,,,324.3,,,3,Pacific/Guam,FALSE,1316686822
"Chalan Pago","Chalan Pago",,13.4338,144.7779,Guam,GU,GUM,,,,,,578,,,3,Pacific/Guam,FALSE,1316678436
Dededo,Dededo,,13.5234,144.8364,Guam,GU,GUM,,,,,,2970.9,,,2,Pacific/Guam,FALSE,1316733946
"Finegayan Station","Finegayan Station",,13.5828,144.8441,Guam,GU,GUM,,,,,,13.4,,,4,Pacific/Guam,FALSE,1316109293
Hagåtña,Hagta,,13.4745,144.7504,Guam,GU,GUM,,,,,primary,509.9,1051,1051,1,Pacific/Guam,FALSE,1316937540
"Harmon Industrial Park","Harmon Industrial Park",,13.4995,144.8073,Guam,GU,GUM,,,,,,691,,,3,Pacific/Guam,FALSE,1316844021
Inarajan,Inarajan,,13.2773,144.7404,Guam,GU,GUM,,,,,,84.4,,,4,Pacific/Guam,FALSE,1316549278
Ipan,Ipan,,13.3536,144.7673,Guam,GU,GUM,,,,,,248.9,,,3,Pacific/Guam,FALSE,1316429969
Liguan,Liguan,,13.5167,144.8240,Guam,GU,GUM,,,,,,2462.6,,,2,Pacific/Guam,FALSE,1316803034
"Machananao East","Machananao East",,13.5672,144.8695,Guam,GU,GUM,,,,,,845.4,,,3,Pacific/Guam,FALSE,1316718870
"Machananao West","Machananao West",,13.5766,144.8579,Guam,GU,GUM,,,,,,759.7,,,3,Pacific/Guam,FALSE,1316308282
Machanao,Machanao,,13.5634,144.8538,Guam,GU,GUM,,,,,,1964.2,,,3,Pacific/Guam,FALSE,1316998761
Macheche,Macheche,,13.5060,144.8316,Guam,GU,GUM,,,,,,946.5,,,3,Pacific/Guam,FALSE,1316574080
Maina,Maina,,13.4692,144.7332,Guam,GU,GUM,,,,,,100.3,122411,1100,2,Pacific/Guam,FALSE,1316874021
Maite,Maite,,13.4771,144.7650,Guam,GU,GUM,,,,,,2173.9,,,2,Pacific/Guam,FALSE,1316380634
Malojloj,Malojloj,,13.3109,144.7640,Guam,GU,GUM,,,,,,148.1,,,4,Pacific/Guam,FALSE,1316096459
Mangilao,Mangilao,,13.4482,144.8006,Guam,GU,GUM,,,,,,2478.8,,,2,Pacific/Guam,FALSE,1316166611
Mataguac,Mataguac,,13.5408,144.8830,Guam,GU,GUM,,,,,,918,,,3,Pacific/Guam,FALSE,1316487237
Merizo,Merizo,,13.2702,144.6779,Guam,GU,GUM,,,,,,118,,,4,Pacific/Guam,FALSE,1316583106
Mogfog,Mogfog,,13.5043,144.8465,Guam,GU,GUM,,,,,,1535.2,,,3,Pacific/Guam,FALSE,1316284317
Mongmong,Mongmong,,13.4700,144.7684,Guam,GU,GUM,,,,,,2066.3,,,2,Pacific/Guam,FALSE,1316921095
"Naval Hospital","Naval Hospital",,13.4739,144.7401,Guam,GU,GUM,,,,,,330.3,,,3,Pacific/Guam,FALSE,1316854989
"Nimitz Hill","Nimitz Hill",,13.4608,144.7057,Guam,GU,GUM,,,,,,413.8,,,3,Pacific/Guam,FALSE,1316870033
"Nimitz Hill Annex","Nimitz Hill Annex",,13.4590,144.7239,Guam,GU,GUM,,,,,,148.2,,,4,Pacific/Guam,FALSE,1316874707
