city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
El Chico,El Chico,,15.0167,-89.8333,Guatemala,GT,GTM,Zacapa,Zacapa,GT-19,,,38.7,,,4,America/Guatemala,FALSE,1320852980
San Diego,San Diego,,14.9001,-90.5505,Guatemala,GT,GTM,Baja Verapaz,Baja Verapaz,GT-15,,,76.3,,,4,America/Guatemala,FALSE,1320104317
Laguna Chinacá,Laguna Chinaca,,15.3356,-91.4310,Guatemala,GT,GTM,Huehuetenango,Huehuetenango,GT-13,,,732.3,,,3,America/Guatemala,FALSE,1320000858
San Diego,San Diego,,16.0489,-90.0602,Guatemala,GT,GTM,Petén,Peten,GT-17,,,45.5,,,4,America/Guatemala,FALSE,1320658290
Chupadero,Chupadero,El Chupadero,14.9590,-89.2398,Guatemala,GT,GTM,Zacapa,Zacapa,GT-19,,,177.1,,,4,America/Guatemala,FALSE,1320232014
San José Frontera,San Jose Frontera,,16.0569,-91.5333,Guatemala,GT,GTM,Huehuetenango,Huehuetenango,GT-13,,,71.0,,,4,America/Guatemala,FALSE,1320982153
Linares,Linares,,14.3442,-89.7607,Guatemala,GT,GTM,Jutiapa,Jutiapa,GT-22,,,84.0,,,4,America/Guatemala,FALSE,1320337479
San Isidro Abajo,San Isidro Abajo,,15.5880,-91.8795,Guatemala,GT,GTM,Huehuetenango,Huehuetenango,GT-13,,,476.1,,,3,America/Guatemala,FALSE,1320330058
Portezuelo,Portezuelo,,14.9652,-89.9255,Guatemala,GT,GTM,El Progreso,El Progreso,GT-02,,,122.2,,,4,America/Guatemala,FALSE,1320180329
Chirrujá,Chirruja,,15.9404,-89.3902,Guatemala,GT,GTM,Petén,Peten,GT-17,,,33.8,,,4,America/Guatemala,FALSE,1320008913
Portezuelo,Portezuelo,El Portezuelo,14.3296,-90.2887,Guatemala,GT,GTM,Santa Rosa,Santa Rosa,GT-06,,,284.4,,,3,America/Guatemala,FALSE,1320114682
Trinidad,Trinidad,,15.0326,-90.9668,Guatemala,GT,GTM,Quiché,Quiche,GT-14,,,310.7,,,3,America/Guatemala,FALSE,1320004554
El Palomar,El Palomar,,14.3071,-90.0245,Guatemala,GT,GTM,Jutiapa,Jutiapa,GT-22,,,282.8,,,3,America/Guatemala,FALSE,1320008324
Portezuelo,Portezuelo,,14.9015,-91.1835,Guatemala,GT,GTM,Totonicapán,Totonicapan,GT-08,,,699.3,,,3,America/Guatemala,FALSE,1320003016
La Ceiba,La Ceiba,,14.8404,-89.4218,Guatemala,GT,GTM,Chiquimula,Chiquimula,GT-20,,,297.8,,,3,America/Guatemala,FALSE,1320005704
La Ceiba,La Ceiba,,14.8936,-89.3631,Guatemala,GT,GTM,Chiquimula,Chiquimula,GT-20,,,271.6,,,3,America/Guatemala,TRUE,1320005557
La Ceiba,La Ceiba,La Ceibita|Ceiba,14.7332,-89.4476,Guatemala,GT,GTM,Chiquimula,Chiquimula,GT-20,,,179.7,,,4,America/Guatemala,TRUE,1320599310
La Ceiba,La Ceiba,Los Achiotillos,14.5666,-89.9012,Guatemala,GT,GTM,Jalapa,Jalapa,GT-21,,,170.7,,,4,America/Guatemala,FALSE,1320156656
La Ceiba,La Ceiba,,14.7794,-89.8224,Guatemala,GT,GTM,Jalapa,Jalapa,GT-21,,,152.2,,,4,America/Guatemala,TRUE,1320027691
La Ceiba,La Ceiba,,14.0764,-90.0185,Guatemala,GT,GTM,Jutiapa,Jutiapa,GT-22,,,155.7,,,4,America/Guatemala,FALSE,1320069541
