city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Dakongo,Dakongo,,8.5333,-10.6000,Guinea,GN,GIN,N’Zérékoré,N'Zerekore,GN-N,administrative region,,54.9,,,4,Africa/Conakry,FALSE,1324010452
Koté,Kote,Kolé,12.0667,-10.1833,Guinea,GN,GIN,Kankan,Kankan,GN-K,administrative region,,34.8,,,4,Africa/Conakry,FALSE,1324170183
Founkoura,Founkoura,,9.7167,-9.7833,Guinea,GN,GIN,Kankan,Kankan,GN-K,administrative region,,36.0,,,4,Africa/Conakry,FALSE,1324963051
Diéoulénou,Dieoulenou,,8.4667,-8.6500,Guinea,GN,GIN,N’Zérékoré,N'Zerekore,GN-N,administrative region,,24.5,,,4,Africa/Conakry,FALSE,1324206588
Kalidou,Kalidou,,8.6358,-9.3194,Guinea,GN,GIN,N’Zérékoré,N'Zerekore,GN-N,administrative region,,12.7,,,4,Africa/Conakry,FALSE,1324429156
Kalakiridou,Kalakiridou,Karakéridougou,9.1000,-10.3500,Guinea,GN,GIN,Faranah,Faranah,GN-F,administrative region,,41.3,,,4,Africa/Conakry,FALSE,1324368589
Souloukoula,Souloukoula,,10.4833,-8.5000,Guinea,GN,GIN,Kankan,Kankan,GN-K,administrative region,,22.6,,,4,Africa/Conakry,FALSE,1324944543
Takabara,Takabara,,11.8333,-11.5000,Guinea,GN,GIN,Labé,Labe,GN-L,administrative region,,7.9,,,5,Africa/Conakry,FALSE,1324347634
Doumba Diolo,Doumba Diolo,Bensané|Bénnsané,11.4500,-13.9500,Guinea,GN,GIN,Boké,Boke,GN-B,administrative region,,14.0,,,4,Africa/Conakry,FALSE,1324364587
Ansagnéré Soguiyabé,Ansagnere Soguiyabe,,11.3833,-10.9500,Guinea,GN,GIN,Faranah,Faranah,GN-F,administrative region,,20.0,,,4,Africa/Conakry,FALSE,1324144464
Késééso,Keseeso,Kesserisso|Késsériso,8.5500,-7.7167,Guinea,GN,GIN,N’Zérékoré,N'Zerekore,GN-N,administrative region,,20.7,,,4,Africa/Conakry,FALSE,1324424783
Geïpa,Geipa,,7.4294,-8.8308,Guinea,GN,GIN,N’Zérékoré,N'Zerekore,GN-N,administrative region,,42.6,,,4,Africa/Conakry,FALSE,1324944509
Gbangolossou,Gbangolossou,Gbangorossou,7.6939,-8.3081,Guinea,GN,GIN,N’Zérékoré,N'Zerekore,GN-N,administrative region,,30.6,,,4,Africa/Conakry,FALSE,1324573959
Ninguéti,Ningueti,Ninguetti,10.0833,-13.2167,Guinea,GN,GIN,,,,,,29.4,,,4,Africa/Conakry,FALSE,1324746696
Yenkité,Yenkite,Yenguité|Yenguilé,10.4167,-13.9000,Guinea,GN,GIN,Boké,Boke,GN-B,administrative region,,15.9,,,4,Africa/Conakry,FALSE,1324301521
Sakoya,Sakoya,Sachoya,11.1833,-10.6667,Guinea,GN,GIN,Faranah,Faranah,GN-F,administrative region,,28.2,,,4,Africa/Conakry,FALSE,1324675298
