city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Sinchã Coli,Sincha Coli,,12.6500,-15.2500,Guinea-Bissau,GW,GNB,Oio,Oio,GW-OI,region,,89.5,,,4,Africa/Bissau,FALSE,1624628396
Mampatual,Mampatual,Mampatanal,11.4333,-15.1333,Guinea-Bissau,GW,GNB,Quinara,Quinara,GW-QU,region,,47.3,,,4,Africa/Bissau,FALSE,1624542052
Uacaba,Uacaba,,11.9500,-14.6167,Guinea-Bissau,GW,GNB,Bafatá,Bafata,GW-BA,region,,18.2,,,4,Africa/Bissau,FALSE,1624981819
Sinchã Nhobo,Sincha Nhobo,,12.0000,-14.6667,Guinea-Bissau,GW,GNB,Bafatá,Bafata,GW-BA,region,,18.2,,,4,Africa/Bissau,FALSE,1624499919
Sare Díurè,Sare Diure,,12.6000,-14.9500,Guinea-Bissau,GW,GNB,Oio,Oio,GW-OI,region,,36.3,,,4,Africa/Bissau,FALSE,1624946745
Fangor,Fangor,Fancor,12.3806,-15.6972,Guinea-Bissau,GW,GNB,Cacheu,Cacheu,GW-CA,region,,67.3,,,4,Africa/Bissau,FALSE,1624509381
Chamarra,Chamarra,,11.5000,-14.8000,Guinea-Bissau,GW,GNB,Tombali,Tombali,GW-TO,region,,19.4,,,4,Africa/Bissau,FALSE,1624658029
Gel,Gel,,12.2100,-15.8386,Guinea-Bissau,GW,GNB,Cacheu,Cacheu,GW-CA,region,,60.0,,,4,Africa/Bissau,FALSE,1624130382
Sinchã Bácar,Sincha Bacar,,12.5000,-14.6833,Guinea-Bissau,GW,GNB,Bafatá,Bafata,GW-BA,region,,39.4,,,4,Africa/Bissau,FALSE,1624342881
Sinchã Bácar,Sincha Bacar,,12.5333,-14.7667,Guinea-Bissau,GW,GNB,Bafatá,Bafata,GW-BA,region,,39.4,,,4,Africa/Bissau,TRUE,1624222276
Sinchã Bácar,Sincha Bacar,,12.0333,-14.6500,Guinea-Bissau,GW,GNB,Bafatá,Bafata,GW-BA,region,,18.2,,,4,Africa/Bissau,TRUE,1624033929
Mantefa,Mantefa,,12.1056,-15.3200,Guinea-Bissau,GW,GNB,Oio,Oio,GW-OI,region,,49.7,,,4,Africa/Bissau,FALSE,1624095369
Sinchã Bácar Demba,Sincha Bacar Demba,,12.3000,-14.2667,Guinea-Bissau,GW,GNB,Gabú,Gabu,GW-GA,region,,42.4,,,4,Africa/Bissau,FALSE,1624487269
Injafo,Injafo,,12.4000,-15.6167,Guinea-Bissau,GW,GNB,Cacheu,Cacheu,GW-CA,region,,67.3,,,4,Africa/Bissau,FALSE,1624745134
Cantumane,Cantumane,,11.3333,-15.1667,Guinea-Bissau,GW,GNB,Tombali,Tombali,GW-TO,region,,47.3,,,4,Africa/Bissau,FALSE,1624188885
Bujemê,Bujeme,,12.0167,-14.8667,Guinea-Bissau,GW,GNB,Bafatá,Bafata,GW-BA,region,,48.3,,,4,Africa/Bissau,FALSE,1624837082
Beguingue,Beguingue,Biguingue,12.4169,-16.1706,Guinea-Bissau,GW,GNB,Cacheu,Cacheu,GW-CA,region,,33.0,,,4,Africa/Bissau,FALSE,1624211544
Pentiã,Pentia,,11.9500,-15.9500,Guinea-Bissau,GW,GNB,Cacheu,Cacheu,GW-CA,region,,75.3,,,4,Africa/Bissau,FALSE,1624668170
Sare Demba,Sare Demba,,12.6667,-15.2167,Guinea-Bissau,GW,GNB,Oio,Oio,GW-OI,region,,114.3,,,4,Africa/Bissau,FALSE,1624480950
Sare Demba,Sare Demba,,12.5214,-15.0767,Guinea-Bissau,GW,GNB,Oio,Oio,GW-OI,region,,36.3,,,4,Africa/Bissau,TRUE,1624615771
Gancôli Bilò,Gancoli Bilo,,12.2833,-14.3833,Guinea-Bissau,GW,GNB,Gabú,Gabu,GW-GA,region,,42.4,,,4,Africa/Bissau,FALSE,1624799056
Gansoncò,Gansonco,Flaque Soncò,11.7167,-15.4167,Guinea-Bissau,GW,GNB,Quinara,Quinara,GW-QU,region,,23.4,,,4,Africa/Bissau,FALSE,1624634470
Gamafé,Gamafe,Gam Mofé,11.6000,-15.4167,Guinea-Bissau,GW,GNB,Bolama/Bijagós,Bolama/Bijagos,GW-BL,region,,23.4,,,4,Africa/Bissau,FALSE,1624162926
Carabanedim,Carabanedim,,12.3611,-15.8003,Guinea-Bissau,GW,GNB,Cacheu,Cacheu,GW-CA,region,,67.3,,,4,Africa/Bissau,FALSE,1624450226
Madina Demba Seidi,Madina Demba Seidi,,12.6667,-14.4667,Guinea-Bissau,GW,GNB,Bafatá,Bafata,GW-BA,region,,39.4,,,4,Africa/Bissau,FALSE,1624183505
Candefo,Candefo,,11.0333,-14.9333,Guinea-Bissau,GW,GNB,Tombali,Tombali,GW-TO,region,,22.7,,,4,Africa/Conakry,FALSE,1624963978
Enxudé,Enxude,Enchudé,11.8333,-15.4167,Guinea-Bissau,GW,GNB,Quinara,Quinara,GW-QU,region,,23.4,,,4,Africa/Bissau,FALSE,1624593292
Sare Délò Mamadu,Sare Delo Mamadu,,12.3667,-14.3000,Guinea-Bissau,GW,GNB,Gabú,Gabu,GW-GA,region,,42.7,,,4,Africa/Bissau,FALSE,1624989049
Buba Inchengué,Buba Inchengue,Bula Cunchungo,11.7333,-15.1000,Guinea-Bissau,GW,GNB,Quinara,Quinara,GW-QU,region,,20.3,,,4,Africa/Bissau,FALSE,1624677378
Bissaque,Bissaque,,12.1333,-14.8167,Guinea-Bissau,GW,GNB,Bafatá,Bafata,GW-BA,region,,18.2,,,4,Africa/Bissau,FALSE,1624459191
Sare Bambè,Sare Bambe,,12.0667,-14.6333,Guinea-Bissau,GW,GNB,Bafatá,Bafata,GW-BA,region,,18.2,,,4,Africa/Bissau,FALSE,1624720293
Caurbá,Caurba,Cauro,12.4453,-15.3175,Guinea-Bissau,GW,GNB,Oio,Oio,GW-OI,region,,36.3,,,4,Africa/Bissau,FALSE,1624807968
Campo Antigo,Campo Antigo,,11.8667,-15.6167,Guinea-Bissau,GW,GNB,Bissau,Bissau,GW-BS,autonomous sector,,6468.3,,,2,Africa/Bissau,FALSE,1624485745
