city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Conakry,Conakry,Konakry|Konakri,9.5092,-13.7122,Guinea,GN,GIN,Conakry,Conakry,GN-C,governorate,primary,3706.4,1667864,1667864,1,Africa/Conakry,FALSE,1324568159
Mamou,Mamou,,10.3833,-12.0833,Guinea,GN,GIN,Mamou,Mamou,GN-M,"administrative region",admin,512.5,376269,376269,2,Africa/Conakry,FALSE,1324990909
Guéckédou,Gueckedou,Guékédou,8.5667,-10.1333,Guinea,GN,GIN,N’Zérékoré,N'Zerekore,GN-N,"administrative region",minor,493.4,221715,221715,2,Africa/Conakry,FALSE,1324580681
Kankan,Kankan,,10.3833,-9.3000,Guinea,GN,GIN,Kankan,Kankan,GN-K,"administrative region",admin,796.3,198013,198013,2,Africa/Conakry,FALSE,1324495325
N’Zérékoré,N'Zerekore,Nzérékoré,7.7500,-8.8167,Guinea,GN,GIN,N’Zérékoré,N'Zerekore,GN-N,"administrative region",admin,2591.0,195027,195027,2,Africa/Conakry,FALSE,1324336588
Siguiri,Siguiri,Sigiri,11.4167,-9.1667,Guinea,GN,GIN,Kankan,Kankan,GN-K,"administrative region",minor,304.8,183875,183875,2,Africa/Conakry,FALSE,1324494896
Kindia,Kindia,Kindla,10.0497,-12.8542,Guinea,GN,GIN,Kindia,Kindia,GN-D,"administrative region",admin,209.6,181126,181126,2,Africa/Conakry,FALSE,1324348910
Boké,Boke,Boqué,10.9400,-14.3000,Guinea,GN,GIN,Boké,Boke,GN-B,"administrative region",admin,299.1,116270,116270,2,Africa/Conakry,FALSE,1324037897
Labé,Labe,,11.3167,-12.2833,Guinea,GN,GIN,Labé,Labe,GN-L,"administrative region",admin,2248.3,107695,107695,2,Africa/Conakry,FALSE,1324900784
Faranah,Faranah,,10.0333,-10.7333,Guinea,GN,GIN,Faranah,Faranah,GN-F,"administrative region",admin,255.0,78108,78108,2,Africa/Conakry,FALSE,1324603099
Kamsar,Kamsar,Kansar|Kamissar,10.6500,-14.6167,Guinea,GN,GIN,Boké,Boke,GN-B,"administrative region",,248.7,68999,68999,3,Africa/Conakry,FALSE,1324075393
Kissidougou,Kissidougou,Kissidugu,9.1905,-10.1200,Guinea,GN,GIN,Faranah,Faranah,GN-F,"administrative region",minor,567.5,66815,66815,3,Africa/Conakry,FALSE,1324750427
Macenta,Macenta,Magenta,8.5504,-9.4800,Guinea,GN,GIN,N’Zérékoré,N'Zerekore,GN-N,"administrative region",minor,636.6,43102,43102,3,Africa/Conakry,FALSE,1324817479
Dabola,Dabola,,10.7500,-11.1167,Guinea,GN,GIN,Faranah,Faranah,GN-F,"administrative region",minor,203.3,38617,38617,3,Africa/Conakry,FALSE,1324368075
Kéniéran,Kenieran,Kéniéra,11.1167,-8.9333,Guinea,GN,GIN,Kankan,Kankan,GN-K,"administrative region",,109.2,37944,37944,3,Africa/Conakry,FALSE,1324706488
