city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Vieux Caille,Vieux Caille,,18.5158,-72.4111,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,14146.3,,,2,America/Port-au-Prince,FALSE,1332980576
Vieux Caille,Vieux Caille,,18.3481,-72.6185,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,121.5,,,4,America/Port-au-Prince,TRUE,1332601508
La Liberté,La Liberte,,18.3667,-72.5500,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,75.6,,,4,America/Port-au-Prince,FALSE,1332027718
Jean,Jean,,18.9167,-72.5833,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,83.0,,,4,America/Port-au-Prince,FALSE,1332282452
Forge Dosdon,Forge Dosdon,,19.7833,-72.8333,Haiti,HT,HTI,Artibonite,Artibonite,HT-AR,department,,168.1,,,4,America/Port-au-Prince,FALSE,1332934502
Semaille,Semaille,,18.3167,-73.4833,Haiti,HT,HTI,Sud,Sud,HT-SD,department,,273.7,,,3,America/Port-au-Prince,FALSE,1332205565
Trou Caïman,Trou Caiman,Caïman,18.6582,-72.1458,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,321.8,,,3,America/Port-au-Prince,FALSE,1332233475
Bodin,Bodin,Baudin,18.3078,-72.7003,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,387.8,,,3,America/Port-au-Prince,FALSE,1332551390
Bodin,Bodin,Baden,18.8909,-73.2710,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,84.4,,,4,America/Port-au-Prince,TRUE,1332986252
Liane Trompette,Liane Trompette,,18.8000,-71.7333,Haiti,HT,HTI,Centre,Centre,HT-CE,department,,424.5,,,3,America/Port-au-Prince,FALSE,1332233911
Carouin,Carouin,,19.5333,-72.5000,Haiti,HT,HTI,Artibonite,Artibonite,HT-AR,department,,101.7,,,4,America/Port-au-Prince,FALSE,1332049759
Guêpe,Guepe,,18.2667,-73.1333,Haiti,HT,HTI,Sud,Sud,HT-SD,department,,182.8,,,4,America/Port-au-Prince,FALSE,1332187141
