city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Port-au-Prince,Port-au-Prince,"Ville de Port-au-Prince|Pòtoprens",18.5333,-72.3333,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,primary,27395.0,987310,987310,1,America/Port-au-Prince,FALSE,1332401940
Carrefour,Carrefour,Kafou,18.5344,-72.4094,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,3096.1,511345,511345,2,America/Port-au-Prince,FALSE,1332000098
Pétion-Ville,Petion-Ville,"Pétionville|Ville de Pétion-Ville|Petyon-Vil",18.5128,-72.2864,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,2173.0,359615,359615,2,America/Port-au-Prince,FALSE,1332051873
Gonaïves,Gonaives,"Ville des Gonaïves|Gonayiv",19.4456,-72.6883,Haiti,HT,HTI,Artibonite,Artibonite,HT-AR,department,admin,564.9,324043,324043,2,America/Port-au-Prince,FALSE,1332384588
Croix-des-Bouquets,Croix-des-Bouquets,"Croix des Bouquets",18.5761,-72.2269,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,4657.1,284812,284812,2,America/Port-au-Prince,FALSE,1332000065
Delmas,Delmas,Dèlma,18.5500,-72.3000,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,10240.8,284079,284079,2,America/Port-au-Prince,FALSE,1332257532
Cap-Haïtien,Cap-Haitien,"Ville du Cap-Haitien|Cape Haytien|Guárico|Le Cap|Cap-Français|Cape Haitien|Okap",19.7600,-72.2000,Haiti,HT,HTI,Nord,Nord,HT-ND,department,admin,3556.8,190289,190289,2,America/Port-au-Prince,FALSE,1332333795
"Petite Rivière de l’Artibonite","Petite Riviere de l'Artibonite","Ville de Petite Rivière de l’Artibonite|La Petite Riviere|Ti Rivyè Latibonit",19.1333,-72.4833,Haiti,HT,HTI,Artibonite,Artibonite,HT-AR,department,,1188.0,170740,170740,2,America/Port-au-Prince,FALSE,1332451568
Saint-Marc,Saint-Marc,"Sen Mak",19.1167,-72.7000,Haiti,HT,HTI,Artibonite,Artibonite,HT-AR,department,,321.9,160181,160181,2,America/Port-au-Prince,FALSE,1332084366
Jean-Rabel,Jean-Rabel,"Ville de Jean Rabel|Jan Rabèl",19.8500,-73.2000,Haiti,HT,HTI,Nord-Ouest,Nord-Ouest,HT-NO,department,,304.0,148416,148416,2,America/Port-au-Prince,FALSE,1332096865
Jacmel,Jacmel,Jakmèl,18.2353,-72.5367,Haiti,HT,HTI,Sud-Est,Sud-Est,HT-SE,department,admin,1182.5,137966,137966,2,America/Port-au-Prince,FALSE,1332314393
Arcahaie,Arcahaie,"Ville de l’Arcahaie|Archaie|L’Arcahaie|Akayè",18.7667,-72.5167,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,319.0,130306,130306,2,America/Port-au-Prince,FALSE,1332347269
Tabarre,Tabarre,Taba,18.5833,-72.2667,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,5324.0,130283,130283,2,America/Port-au-Prince,FALSE,1332354236
Dessalines,Dessalines,Marchand|Desalin,19.2833,-72.5000,Haiti,HT,HTI,Artibonite,Artibonite,HT-AR,department,,278.0,127529,127529,2,America/Port-au-Prince,FALSE,1332184774
Port-de-Paix,Port-de-Paix,"Port Paix|Valparaiso|Pòdpè",19.9500,-72.8333,Haiti,HT,HTI,Nord-Ouest,Nord-Ouest,HT-NO,department,admin,368.0,121220,121220,2,America/Port-au-Prince,FALSE,1332536650
Aquin,Aquin,Aken,18.2833,-73.4000,Haiti,HT,HTI,Sud,Sud,HT-SD,department,,163.0,104216,104216,2,America/Port-au-Prince,FALSE,1332922439
Hinche,Hinche,Ench,19.1500,-72.0167,Haiti,HT,HTI,Centre,Centre,HT-CE,department,admin,172.3,102745,102745,2,America/Port-au-Prince,FALSE,1332748356
"Saint-Michel de l’Atalaye","Saint-Michel de l'Atalaye","Saint Michel de L’Attaiaye|Saint Michel|Ville de Saint Michel|Sen Michèl Latalay",19.3667,-72.3333,Haiti,HT,HTI,Artibonite,Artibonite,HT-AR,department,,515.0,95216,95216,3,America/Port-au-Prince,FALSE,1332572826
Léogâne,Leogane,"Ville de Léogane|Yaguana|Leyogàn",18.5108,-72.6339,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,5513.7,90000,90000,2,America/Port-au-Prince,FALSE,1332045113
"Les Cayes","Les Cayes","Cayes|Aux Cayes|Ville des Cayes|Okay",18.2000,-73.7500,Haiti,HT,HTI,Sud,Sud,HT-SD,department,admin,1640.6,86780,86780,2,America/Port-au-Prince,FALSE,1332587854
Ganthier,Ganthier,Gantier|Gantye,18.5333,-72.0667,Haiti,HT,HTI,Ouest,Ouest,HT-OU,department,,144.3,71261,71261,3,America/Port-au-Prince,FALSE,1332549888
"Saint-Louis du Nord","Saint-Louis du Nord","Saint Louis|Sen Lwi di Nò",19.9333,-72.7167,Haiti,HT,HTI,Nord-Ouest,Nord-Ouest,HT-NO,department,,4186.0,69592,69592,2,America/Port-au-Prince,FALSE,1332427646
Limonade,Limonade,Limonad,19.6667,-72.1167,Haiti,HT,HTI,Nord,Nord,HT-ND,department,,989.6,69256,69256,3,America/Port-au-Prince,FALSE,1332450528
