city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Llano del Pueblo,Llano del Pueblo,,13.7325,-87.7125,Honduras,HN,HND,Valle,Valle,HN-VA,department,,45.7,,,4,America/Tegucigalpa,FALSE,1340669323
Higuerales,Higuerales,,15.7667,-85.8833,Honduras,HN,HND,Colón,Colon,HN-CL,department,,43.4,,,4,America/Tegucigalpa,FALSE,1340997927
El Cordoncillo,El Cordoncillo,Cordoncillo,14.1000,-88.5833,Honduras,HN,HND,Lempira,Lempira,HN-LE,department,,67.3,,,4,America/Tegucigalpa,FALSE,1340159690
Vallecito,Vallecito,,14.8667,-87.6500,Honduras,HN,HND,Comayagua,Comayagua,HN-CM,department,,168.1,,,4,America/Tegucigalpa,FALSE,1340179499
Vallecito,Vallecito,,15.8833,-85.4667,Honduras,HN,HND,Colón,Colon,HN-CL,department,,31.9,,,4,America/Tegucigalpa,FALSE,1340274587
Campo Nuevo,Campo Nuevo,,15.5000,-86.6500,Honduras,HN,HND,Yoro,Yoro,HN-YO,department,,72.0,,,4,America/Tegucigalpa,FALSE,1340534993
San Francisco de Ojuera,San Francisco de Ojuera,San Francisco Ojuera|San Francisco,14.7500,-88.1833,Honduras,HN,HND,Santa Bárbara,Santa Barbara,HN-SB,department,,51.4,,,4,America/Tegucigalpa,FALSE,1340507998
Buena Vista,Buena Vista,,13.6506,-87.0303,Honduras,HN,HND,El Paraíso,El Paraiso,HN-EP,department,,75.1,,,4,America/Tegucigalpa,FALSE,1340308361
Buena Vista,Buena Vista,,13.8167,-86.6500,Honduras,HN,HND,El Paraíso,El Paraiso,HN-EP,department,,63.8,,,4,America/Tegucigalpa,TRUE,1340908435
Buena Vista,Buena Vista,,14.2000,-86.5667,Honduras,HN,HND,El Paraíso,El Paraiso,HN-EP,department,,57.1,,,4,America/Tegucigalpa,TRUE,1340640807
Buena Vista,Buena Vista,,14.1667,-86.8000,Honduras,HN,HND,El Paraíso,El Paraiso,HN-EP,department,,51.3,,,4,America/Tegucigalpa,TRUE,1340070249
Buena Vista,Buena Vista,,13.7522,-87.0442,Honduras,HN,HND,El Paraíso,El Paraiso,HN-EP,department,,31.6,,,4,America/Tegucigalpa,TRUE,1340096571
El Higuito,El Higuito,Higuito,13.7000,-87.6333,Honduras,HN,HND,Valle,Valle,HN-VA,department,,141.8,,,4,America/Tegucigalpa,FALSE,1340202697
El Higuito,El Higuito,,13.5236,-87.7208,Honduras,HN,HND,Valle,Valle,HN-VA,department,,115.4,,,4,America/Tegucigalpa,TRUE,1340952754
Cerro Colorado,Cerro Colorado,,14.0500,-88.4333,Honduras,HN,HND,Lempira,Lempira,HN-LE,department,,82.8,,,4,America/Tegucigalpa,FALSE,1340296072
Hipericón,Hipericon,,14.2167,-87.2500,Honduras,HN,HND,La Paz,La Paz,HN-LP,department,,883.4,,,3,America/Tegucigalpa,FALSE,1340676226
Curarén,Curaren,,13.8486,-87.5319,Honduras,HN,HND,Francisco Morazán,Francisco Morazan,HN-FM,department,,98.0,,,4,America/Tegucigalpa,FALSE,1340803182
Talanqueras,Talanqueras,Talangueras,14.8667,-86.8833,Honduras,HN,HND,Francisco Morazán,Francisco Morazan,HN-FM,department,,22.0,,,4,America/Tegucigalpa,FALSE,1340634871
Lepaguare,Lepaguare,,14.2000,-87.8167,Honduras,HN,HND,La Paz,La Paz,HN-LP,department,,32.4,,,4,America/Tegucigalpa,FALSE,1340059549
Tepic,Tepic,,15.8000,-85.8167,Honduras,HN,HND,Colón,Colon,HN-CL,department,,63.3,,,4,America/Tegucigalpa,FALSE,1340712895
Walpatá,Walpata,,15.2740,-83.8489,Honduras,HN,HND,Gracias a Dios,Gracias a Dios,HN-GD,department,,59.3,,,4,America/Tegucigalpa,FALSE,1340077002
El Barrio,El Barrio,,14.8000,-88.6000,Honduras,HN,HND,Lempira,Lempira,HN-LE,department,,511.7,,,3,America/Tegucigalpa,FALSE,1340680672
El Barrio,El Barrio,,14.0000,-88.4833,Honduras,HN,HND,Lempira,Lempira,HN-LE,department,,56.2,,,4,America/Tegucigalpa,TRUE,1340676549
El Barrio,El Barrio,,14.1167,-88.4000,Honduras,HN,HND,Lempira,Lempira,HN-LE,department,,46.6,,,4,America/Tegucigalpa,TRUE,1340483142
Las Lagunas,Las Lagunas,Lagunas,14.8833,-87.3000,Honduras,HN,HND,Comayagua,Comayagua,HN-CM,department,,33.6,,,4,America/Tegucigalpa,FALSE,1340629097
La Chachagua,La Chachagua,,13.8000,-87.2333,Honduras,HN,HND,Francisco Morazán,Francisco Morazan,HN-FM,department,,97.3,,,4,America/Tegucigalpa,FALSE,1340648294
Las Lagunas,Las Lagunas,Lagunas,13.5167,-86.8833,Honduras,HN,HND,Choluteca,Choluteca,HN-CH,department,,8.3,,,5,America/Tegucigalpa,FALSE,1340145921
Nueva Arcadia,Nueva Arcadia,,15.0333,-88.7167,Honduras,HN,HND,Copán,Copan,HN-CP,department,,106.4,,,4,America/Tegucigalpa,FALSE,1340556627
Juancho,Juancho,,13.5539,-87.5900,Honduras,HN,HND,Valle,Valle,HN-VA,department,,107.8,,,4,America/Tegucigalpa,FALSE,1340068166
Chiquero,Chiquero,,15.8500,-85.0833,Honduras,HN,HND,Colón,Colon,HN-CL,department,,10.6,,,4,America/Tegucigalpa,FALSE,1340898797
Los Chorritos,Los Chorritos,,13.7833,-87.3000,Honduras,HN,HND,Francisco Morazán,Francisco Morazan,HN-FM,department,,230.6,,,3,America/Tegucigalpa,FALSE,1340635998
Monte Obscuro,Monte Obscuro,,13.5228,-87.3792,Honduras,HN,HND,Valle,Valle,HN-VA,department,,155.6,,,4,America/Tegucigalpa,FALSE,1340639384
Paya,Paya,,15.1833,-87.4667,Honduras,HN,HND,Yoro,Yoro,HN-YO,department,,48.6,,,4,America/Tegucigalpa,FALSE,1340223294
Las Coloradas,Las Coloradas,Los Coloradas|Coloradas|Los Colorados,15.0333,-86.9000,Honduras,HN,HND,Olancho,Olancho,HN-OL,department,,27.1,,,4,America/Tegucigalpa,FALSE,1340513954
Vega de las Chanchas,Vega de las Chanchas,,14.7167,-88.6667,Honduras,HN,HND,Copán,Copan,HN-CP,department,,213.6,,,3,America/Tegucigalpa,FALSE,1340151266
Quebrada Honda,Quebrada Honda,,14.9667,-86.7167,Honduras,HN,HND,Olancho,Olancho,HN-OL,department,,91.2,,,4,America/Tegucigalpa,FALSE,1340198265
Mojinga,Mojinga,,15.1333,-87.1833,Honduras,HN,HND,Yoro,Yoro,HN-YO,department,,72.5,,,4,America/Tegucigalpa,FALSE,1340052270
Isici,Isici,,13.6500,-86.8667,Honduras,HN,HND,El Paraíso,El Paraiso,HN-EP,department,,15.6,,,4,America/Tegucigalpa,FALSE,1340816455
El Pelillal,El Pelillal,,14.0667,-87.5667,Honduras,HN,HND,Francisco Morazán,Francisco Morazan,HN-FM,department,,42.8,,,4,America/Tegucigalpa,FALSE,1340993668
Yabaltara,Yabaltara,,14.9333,-83.8333,Honduras,HN,HND,Gracias a Dios,Gracias a Dios,HN-GD,department,,2.6,,,5,America/Tegucigalpa,FALSE,1340283527
Gravel Bay,Gravel Bay,,16.3000,-86.5833,Honduras,HN,HND,Islas de la Bahía,Islas de la Bahia,HN-IB,department,,804.5,,,3,America/Tegucigalpa,FALSE,1340895503
El Paso Real,El Paso Real,Paso Real,15.1667,-86.8667,Honduras,HN,HND,Yoro,Yoro,HN-YO,department,,22.0,,,4,America/Tegucigalpa,FALSE,1340585294
Joya Grande,Joya Grande,,14.3667,-87.0667,Honduras,HN,HND,Francisco Morazán,Francisco Morazan,HN-FM,department,,18.9,,,4,America/Tegucigalpa,FALSE,1340943708
El Chino,El Chino,El Chivo,13.8167,-86.8000,Honduras,HN,HND,El Paraíso,El Paraiso,HN-EP,department,,43.5,,,4,America/Tegucigalpa,FALSE,1340768215
Cayo Sierpe,Cayo Sierpe,,15.0333,-83.7000,Honduras,HN,HND,Gracias a Dios,Gracias a Dios,HN-GD,department,,9.0,,,5,America/Tegucigalpa,FALSE,1340785608
Las Cuevitas,Las Cuevitas,,13.5578,-87.4892,Honduras,HN,HND,Valle,Valle,HN-VA,department,,869.1,,,3,America/Tegucigalpa,FALSE,1340577944
Las Cuevitas,Las Cuevitas,Las Cuebitas,13.5167,-87.5167,Honduras,HN,HND,Valle,Valle,HN-VA,department,,84.0,,,4,America/Tegucigalpa,TRUE,1340220490
Las Cuevitas,Las Cuevitas,Cuevitas,13.6525,-87.5642,Honduras,HN,HND,Valle,Valle,HN-VA,department,,72.7,,,4,America/Tegucigalpa,TRUE,1340936276
Tomalá,Tomala,,15.6833,-86.5000,Honduras,HN,HND,Atlántida,Atlantida,HN-AT,department,,68.1,,,4,America/Tegucigalpa,FALSE,1340049203
Malguarita,Malguarita,,14.1833,-87.3500,Honduras,HN,HND,Francisco Morazán,Francisco Morazan,HN-FM,department,,883.4,,,3,America/Tegucigalpa,FALSE,1340040926
Koko,Koko,,15.3000,-84.2000,Honduras,HN,HND,Gracias a Dios,Gracias a Dios,HN-GD,department,,0.5,,,5,America/Tegucigalpa,FALSE,1340161491
Punuare Arriba,Punuare Arriba,Punuaro Arriba,14.7000,-86.3167,Honduras,HN,HND,Olancho,Olancho,HN-OL,department,,21.5,,,4,America/Tegucigalpa,FALSE,1340133448
Los Arabos,Los Arabos,,13.6619,-87.0692,Honduras,HN,HND,El Paraíso,El Paraiso,HN-EP,department,,38.3,,,4,America/Tegucigalpa,FALSE,1340817826
El Agua Fría,El Agua Fria,Agua Fría,14.3333,-88.7500,Honduras,HN,HND,Lempira,Lempira,HN-LE,department,,70.8,,,4,America/Tegucigalpa,FALSE,1340089264
Campo Uno,Campo Uno,,15.4167,-87.9167,Honduras,HN,HND,Cortés,Cortes,HN-CR,department,,1520.9,,,3,America/Tegucigalpa,FALSE,1340429643
Ranchería,Rancheria,,13.6433,-87.7147,Honduras,HN,HND,Valle,Valle,HN-VA,department,,42.7,,,4,America/Tegucigalpa,FALSE,1340666340
El Cabro,El Cabro,,13.9417,-87.8975,Honduras,HN,HND,La Paz,La Paz,HN-LP,department,,6.3,,,5,America/Tegucigalpa,FALSE,1340120976
Montuca,Montuca,Caserio Montuca,14.1500,-88.4000,Honduras,HN,HND,Lempira,Lempira,HN-LE,department,,79.4,,,4,America/Tegucigalpa,FALSE,1340262816
Hacienda El Jícaro,Hacienda El Jicaro,,13.2714,-87.4436,Honduras,HN,HND,Choluteca,Choluteca,HN-CH,department,,72.7,,,4,America/Tegucigalpa,FALSE,1340892441
La Garita,La Garita,,13.5083,-87.0622,Honduras,HN,HND,El Paraíso,El Paraiso,HN-EP,department,,75.2,,,4,America/Tegucigalpa,FALSE,1340003942
Las Marías,Las Marias,,13.8500,-88.2500,Honduras,HN,HND,Intibucá,Intibuca,HN-IN,department,,256.5,,,3,America/El_Salvador,FALSE,1340494392
Santa Catarina,Santa Catarina,,13.9500,-88.2833,Honduras,HN,HND,Intibucá,Intibuca,HN-IN,department,,131.4,,,4,America/Tegucigalpa,FALSE,1340751323
Santa Catarina,Santa Catarina,,14.2667,-88.1333,Honduras,HN,HND,Intibucá,Intibuca,HN-IN,department,,12.7,,,4,America/Tegucigalpa,TRUE,1340548474
El Río,El Rio,,13.9333,-86.8333,Honduras,HN,HND,El Paraíso,El Paraiso,HN-EP,department,,23.1,,,4,America/Tegucigalpa,FALSE,1340963325
El Puyadero,El Puyadero,,13.5711,-87.4311,Honduras,HN,HND,Valle,Valle,HN-VA,department,,141.7,,,4,America/Tegucigalpa,FALSE,1340404415
Las Lajas,Las Lajas,,14.1833,-88.2500,Honduras,HN,HND,Intibucá,Intibuca,HN-IN,department,,25.3,,,4,America/Tegucigalpa,FALSE,1340696428
El Alto,El Alto,,14.5667,-86.2167,Honduras,HN,HND,Olancho,Olancho,HN-OL,department,,74.8,,,4,America/Tegucigalpa,FALSE,1340896313
El Chaparral,El Chaparral,,13.6378,-87.0533,Honduras,HN,HND,El Paraíso,El Paraiso,HN-EP,department,,48.4,,,4,America/Tegucigalpa,FALSE,1340392995
Hacienda Monte Líbano,Hacienda Monte Libano,,13.1772,-87.1778,Honduras,HN,HND,Choluteca,Choluteca,HN-CH,department,,124.6,,,4,America/Tegucigalpa,FALSE,1340282933
El Jicaral,El Jicaral,,13.7928,-87.7025,Honduras,HN,HND,Valle,Valle,HN-VA,department,,82.7,,,4,America/Tegucigalpa,FALSE,1340339297
Los Colucos,Los Colucos,,15.4167,-88.1833,Honduras,HN,HND,Cortés,Cortes,HN-CR,department,,958.0,,,3,America/Tegucigalpa,FALSE,1340618679
Piedra Parada,Piedra Parada,,13.5333,-87.0000,Honduras,HN,HND,Choluteca,Choluteca,HN-CH,department,,41.1,,,4,America/Tegucigalpa,FALSE,1340482463
Los Encuentros,Los Encuentros,,13.9847,-87.1414,Honduras,HN,HND,Francisco Morazán,Francisco Morazan,HN-FM,department,,883.4,,,3,America/Tegucigalpa,FALSE,1340117420
Los Encuentros,Los Encuentros,,13.7833,-87.3833,Honduras,HN,HND,Francisco Morazán,Francisco Morazan,HN-FM,department,,43.6,,,4,America/Tegucigalpa,TRUE,1340508451
Los Encuentros,Los Encuentros,,13.8486,-87.0683,Honduras,HN,HND,Francisco Morazán,Francisco Morazan,HN-FM,department,,10.8,,,4,America/Tegucigalpa,TRUE,1340908562
Las Uvillas,Las Uvillas,,14.1333,-88.6167,Honduras,HN,HND,Lempira,Lempira,HN-LE,department,,55.8,,,4,America/Tegucigalpa,FALSE,1340695331
El Picacho,El Picacho,Picacho,13.9833,-88.1833,Honduras,HN,HND,Intibucá,Intibuca,HN-IN,department,,69.4,,,4,America/El_Salvador,FALSE,1340852456
El Picacho,El Picacho,Picacho,14.1667,-88.2500,Honduras,HN,HND,Intibucá,Intibuca,HN-IN,department,,46.2,,,4,America/Tegucigalpa,TRUE,1340064434
San Jerónimo de Vado Ancho,San Jeronimo de Vado Ancho,San Jeronimo Vado Ancho,13.5833,-86.9667,Honduras,HN,HND,El Paraíso,El Paraiso,HN-EP,department,,8.1,,,5,America/Tegucigalpa,FALSE,1340792992
Punta Novillo,Punta Novillo,,13.3369,-87.6578,Honduras,HN,HND,Valle,Valle,HN-VA,department,,96.2,,,4,America/Tegucigalpa,FALSE,1340325346
Guacual,Guacual,,14.1000,-88.5333,Honduras,HN,HND,Lempira,Lempira,HN-LE,department,,120.1,,,4,America/Tegucigalpa,FALSE,1340687121
Cefalú,Cefalu,,15.7000,-86.5000,Honduras,HN,HND,Atlántida,Atlantida,HN-AT,department,,97.5,,,4,America/Tegucigalpa,FALSE,1340269354
Palmirito,Palmirito,,15.5833,-87.8667,Honduras,HN,HND,Cortés,Cortes,HN-CR,department,,579.1,,,3,America/Tegucigalpa,FALSE,1340658014
Sisimite,Sisimite,,15.5833,-87.9500,Honduras,HN,HND,Cortés,Cortes,HN-CR,department,,579.1,,,3,America/Tegucigalpa,FALSE,1340560528
Las Barrancas,Las Barrancas,,13.8167,-86.6167,Honduras,HN,HND,El Paraíso,El Paraiso,HN-EP,department,,94.7,,,4,America/Tegucigalpa,FALSE,1340247227
Terrero Hondo,Terrero Hondo,,13.6642,-87.4072,Honduras,HN,HND,Choluteca,Choluteca,HN-CH,department,,71.7,,,4,America/Tegucigalpa,FALSE,1340719210
El Guanacaste,El Guanacaste,,13.9992,-87.8156,Honduras,HN,HND,La Paz,La Paz,HN-LP,department,,101.0,,,4,America/Tegucigalpa,FALSE,1340964890
Subirana,Subirana,,15.2000,-87.4500,Honduras,HN,HND,Yoro,Yoro,HN-YO,department,,48.6,,,4,America/Tegucigalpa,FALSE,1340886908
Santa Lucía,Santa Lucia,,15.1167,-87.7000,Honduras,HN,HND,Yoro,Yoro,HN-YO,department,,18.3,,,4,America/Tegucigalpa,FALSE,1340854119
La Capa Rosa,La Capa Rosa,,14.7333,-87.7833,Honduras,HN,HND,Comayagua,Comayagua,HN-CM,department,,28.7,,,4,America/Tegucigalpa,FALSE,1340995064
Bañaderos,Banaderos,,13.6342,-87.4311,Honduras,HN,HND,Valle,Valle,HN-VA,department,,77.2,,,4,America/Tegucigalpa,FALSE,1340605298
La Vecina,La Vecina,,14.0667,-88.6167,Honduras,HN,HND,Lempira,Lempira,HN-LE,department,,130.1,,,4,America/Tegucigalpa,FALSE,1340425519
