city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Ha Che,Ha Che,Xiashe,22.4494,114.0939,Hong Kong,HK,HKG,,,,,,812.5,,,3,Asia/Hong_Kong,FALSE,1344022854
Ling Nam San Tsuen,Ling Nam San Tsuen,Lingnanxincun,22.2933,114.2397,Hong Kong,HK,HKG,,,,,,45316.0,,,2,Asia/Hong_Kong,FALSE,1344000049
Fuk Lok Tsuen,Fuk Lok Tsuen,,22.3833,114.1667,Hong Kong,HK,HKG,,,,,,9479.1,,,2,Asia/Hong_Kong,FALSE,1344703180
Sheung Keng Hau,Sheung Keng Hau,Sheung King Hau|Shangjingkou,22.3636,114.1748,Hong Kong,HK,HKG,,,,,,19589.7,,,2,Asia/Hong_Kong,FALSE,1344627350
Cheung Wo,Cheung Wo,Changwo,22.5000,114.3000,Hong Kong,HK,HKG,,,,,,178.6,,,4,Asia/Hong_Kong,FALSE,1344207912
Tai Kok Tsui,Tai Kok Tsui,Dajiaozui|Ta-chiao Tsui|Tai Kok Tsu,22.3215,114.1630,Hong Kong,HK,HKG,,,,,,102117.0,,,2,Asia/Hong_Kong,FALSE,1344000064
Fui Sha Wai,Fui Sha Wai,Huishawei,22.4378,114.0066,Hong Kong,HK,HKG,,,,,,3068.9,,,2,Asia/Hong_Kong,FALSE,1344088386
Shek Chung Au,Shek Chung Au,Lap Wo Tsuen|Shichongau,22.5367,114.2091,Hong Kong,HK,HKG,,,,,,178.6,,,4,Asia/Hong_Kong,FALSE,1344663458
Muk Min Shan,Muk Min Shan,Mumianshan,22.3895,114.2714,Hong Kong,HK,HKG,,,,,,3130.4,,,2,Asia/Hong_Kong,FALSE,1344816571
Po Tong Ha,Po Tong Ha,Baotangxia,22.4165,113.9717,Hong Kong,HK,HKG,,,,,,9757.8,,,2,Asia/Hong_Kong,FALSE,1344536137
Lo Uk,Lo Uk,Luowu,22.3500,114.1000,Hong Kong,HK,HKG,,,,,,59965.0,,,2,Asia/Hong_Kong,FALSE,1344297718
Lo Uk,Lo Uk,,22.2663,114.2315,Hong Kong,HK,HKG,,,,,,8751.1,,,2,Asia/Hong_Kong,TRUE,1344000022
Mui Tsz Lam,Mui Tsz Lam,Meizilin,22.3930,114.2337,Hong Kong,HK,HKG,,,,,,1702.3,,,3,Asia/Hong_Kong,FALSE,1344277261
Kwun Hang,Kwun Hang,Guankeng,22.4291,114.2596,Hong Kong,HK,HKG,,,,,,252.1,,,3,Asia/Hong_Kong,FALSE,1344441126
Yau Yat Tsuen,Yau Yat Tsuen,Youyicun,22.3307,114.1740,Hong Kong,HK,HKG,,,,,,49927.9,,,2,Asia/Hong_Kong,FALSE,1344000109
Sheung Kwai Chung Wai,Sheung Kwai Chung Wai,,22.3798,114.1409,Hong Kong,HK,HKG,,,,,,33617.5,,,2,Asia/Hong_Kong,FALSE,1344290893
Sai Ying Pun,Sai Ying Pun,Sei Ying Poon|Sai Ying Poon,22.2859,114.1428,Hong Kong,HK,HKG,,,,,,71549.4,,,2,Asia/Hong_Kong,FALSE,1344000054
Sheung Tong,Sheung Tong,Shangtang,22.3904,114.0809,Hong Kong,HK,HKG,,,,,,2496.5,,,2,Asia/Hong_Kong,FALSE,1344956729
Tsing Leng Tsui,Tsing Leng Tsui,Qinglingzui,22.3543,114.1083,Hong Kong,HK,HKG,,,,,,59965.0,,,2,Asia/Hong_Kong,FALSE,1344807072
Nai Wai,Nai Wai,Niwei,22.4233,113.9886,Hong Kong,HK,HKG,,,,,,4150.7,,,2,Asia/Hong_Kong,FALSE,1344960311
Ting Kok,Ting Kok,Tingjiao,22.4722,114.2201,Hong Kong,HK,HKG,,,,,,644.1,,,3,Asia/Hong_Kong,FALSE,1344924390
Lo Wai,Lo Wai,Laowei,22.3796,114.1250,Hong Kong,HK,HKG,,,,,,14916.9,,,2,Asia/Hong_Kong,FALSE,1344572027
Sam Shing Hui,Sam Shing Hui,Sam Shing Hiu,22.3833,113.9833,Hong Kong,HK,HKG,,,,,,3275.6,,,2,Asia/Hong_Kong,FALSE,1344433378
Shek Pai Wan Resettlement Estate,Shek Pai Wan Resettlement Estate,Shipai Wan Cun,22.2493,114.1581,Hong Kong,HK,HKG,,,,,,89210.0,,,2,Asia/Hong_Kong,FALSE,1344395293
Mang Tong,Mang Tong,,22.2667,114.0000,Hong Kong,HK,HKG,,,,,,144.8,,,4,Asia/Hong_Kong,FALSE,1344268058
Mok Ka,Mok Ka,Mojia,22.2705,113.9291,Hong Kong,HK,HKG,,,,,,144.8,,,4,Asia/Hong_Kong,FALSE,1344254821
Lo Tsz Tin,Lo Tsz Tin,Cuocitian,22.4737,114.2258,Hong Kong,HK,HKG,,,,,,644.1,,,3,Asia/Hong_Kong,FALSE,1344293936
Leng Tsai,Leng Tsai,Lingzai,22.5182,114.1712,Hong Kong,HK,HKG,,,,,,1065.0,,,3,Asia/Hong_Kong,FALSE,1344230011
San Tau,San Tau,Santou,22.2869,113.9216,Hong Kong,HK,HKG,,,,,,144.8,,,4,Asia/Hong_Kong,FALSE,1344857114
Hung Uk Tsuen,Hung Uk Tsuen,Hongwucun,22.4417,114.0034,Hong Kong,HK,HKG,,,,,,3068.9,,,2,Asia/Hong_Kong,FALSE,1344389323
Wong Keng Tsai,Wong Keng Tsai,Huangjingzai,22.3426,114.2337,Hong Kong,HK,HKG,,,,,,1191.2,,,3,Asia/Hong_Kong,FALSE,1344367226
Yau Yue Wan,Yau Yue Wan,Chung Ji|Yaoyuwan|Yau Ue Wan|Youyuwan,22.3271,114.2606,Hong Kong,HK,HKG,,,,,,1391.0,,,3,Asia/Hong_Kong,FALSE,1344946227
A Shan,A Shan,Tsing Tau|A Shan San Wai|Yashan,22.4732,114.1977,Hong Kong,HK,HKG,,,,,,663.6,,,3,Asia/Hong_Kong,FALSE,1344622827
