city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"Hong Kong","Hong Kong","Xianggang|Heung Kong",22.3000,114.2000,"Hong Kong",HK,HKG,,,,,primary,25689.7,7450000,7298600,1,Asia/Hong_Kong,FALSE,1344982653
Kowloon,Kowloon,"Chiu-lung|Kau Lung|Jiulong",22.3167,114.1833,"Hong Kong",HK,HKG,,,,,,43033.0,2108419,2108419,1,Asia/Hong_Kong,FALSE,1344538284
"Sha Tin","Sha Tin","Sha Tin New Town|Shatian",22.3802,114.1898,"Hong Kong",HK,HKG,,,,,,60467.8,640000,640000,2,Asia/Hong_Kong,FALSE,1344745541
"Kowloon City","Kowloon City","Kowloon|Kau Lung Sheng|Chiu-lung-ku-ch’eng|Jiulongcheng",22.3282,114.1916,"Hong Kong",HK,HKG,,,,,,41999.2,418732,418732,2,Asia/Hong_Kong,FALSE,1344000061
"Sham Shui Po","Sham Shui Po","Shan Shin Po|Sam shui po|Shenshuibu",22.3307,114.1622,"Hong Kong",HK,HKG,,,,,,42813.2,405869,405869,2,Asia/Hong_Kong,FALSE,1344000058
"Tin Shui Wai","Tin Shui Wai","Tianshui Wei",22.4600,114.0020,"Hong Kong",HK,HKG,,,,,,67906.0,286232,286232,2,Asia/Hong_Kong,FALSE,1344389641
"Central District","Central District","Zhonghuan|Chung Wan|Choong Wan",22.2867,114.1550,"Hong Kong",HK,HKG,,,,,,18801.0,235953,235953,2,Asia/Hong_Kong,FALSE,1344000057
"Tsing Yi Town","Tsing Yi Town",Qingyi,22.3456,114.1000,"Hong Kong",HK,HKG,,,,,,59965.0,191500,191500,2,Asia/Hong_Kong,FALSE,1344057832
"Lam Tin","Lam Tin",Lantian,22.3094,114.2361,"Hong Kong",HK,HKG,,,,,,59985.0,131000,131000,2,Asia/Hong_Kong,FALSE,1344141583
"San Tung Chung Hang","San Tung Chung Hang","Old Tung Chung Hang|New Tung Chung Hang|Tung Chung Hang|Tung Chung|Xindongchongkeng",22.2869,113.9436,"Hong Kong",HK,HKG,,,,,,144.8,116022,116022,2,Asia/Hong_Kong,FALSE,1344851698
"Kennedy Town","Kennedy Town",Jiannidecheng,22.2800,114.1250,"Hong Kong",HK,HKG,,,,,,36502.6,54000,54000,2,Asia/Hong_Kong,FALSE,1344000050
"Kwai Chung","Kwai Chung","Chung Kwai Chung|Kuichong",22.3674,114.1273,"Hong Kong",HK,HKG,,,,,,65397.3,38674,38674,2,Asia/Hong_Kong,FALSE,1344773013
"Pak Tin Pa","Pak Tin Pa",Baitianba,22.3364,114.1667,"Hong Kong",HK,HKG,,,,,,14916.9,21902,21902,2,Asia/Hong_Kong,FALSE,1344000101
"Cheung Chau","Cheung Chau",Changzhou,22.2106,114.0289,"Hong Kong",HK,HKG,,,,,,8506.4,19769,19769,2,Asia/Hong_Kong,FALSE,1344565945
"Choi Hung","Choi Hung",,22.3350,114.2067,"Hong Kong",HK,HKG,,,,,,45440.8,18435,18435,2,Asia/Hong_Kong,FALSE,1344000072
"Shek Tong Tsui","Shek Tong Tsui","Shitangzui|Sheh Tong Tsui",22.2871,114.1357,"Hong Kong",HK,HKG,,,,,,67158.6,17170,17170,2,Asia/Hong_Kong,FALSE,1344000053
"Wang Tau Hom","Wang Tau Hom",Hengtoukan,22.3408,114.1871,"Hong Kong",HK,HKG,,,,,,61227.7,17116,17116,2,Asia/Hong_Kong,FALSE,1344000105
"Shek Wai Kok","Shek Wai Kok",,22.3753,114.1237,"Hong Kong",HK,HKG,,,,,,14916.9,16605,16605,2,Asia/Hong_Kong,FALSE,1344833550
"Tung Tau Tsuen","Tung Tau Tsuen","Tung Tau Village|Tung Tau Tsun|Tung Tau|Dongtoucun",22.3334,114.1924,"Hong Kong",HK,HKG,,,,,,15348.4,15562,15562,2,Asia/Hong_Kong,TRUE,1344000062
"Sha Kok Mei","Sha Kok Mei","Sha Kok Mi|Shajiaowei",22.3784,114.1941,"Hong Kong",HK,HKG,,,,,,3130.4,14522,14522,2,Asia/Hong_Kong,FALSE,1344631625
