city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Tiszapalkonya,Tiszapalkonya,,47.8852,21.0552,Hungary,HU,HUN,Borsod-Abaúj-Zemplén,Borsod-Abauj-Zemplen,HU-BZ,county,,106.1,1431,1431,3,Europe/Budapest,FALSE,1348244214
Ászár,Aszar,,47.5095,18.0031,Hungary,HU,HUN,Komárom-Esztergom,Komarom-Esztergom,HU-KE,county,,76.2,1425,1425,3,Europe/Budapest,FALSE,1348420955
Pácin,Pacin,,48.3309,21.8309,Hungary,HU,HUN,Borsod-Abaúj-Zemplén,Borsod-Abauj-Zemplen,HU-BZ,county,,42.0,1425,1425,3,Europe/Budapest,FALSE,1348762104
Hangony,Hangony,,48.2293,20.1975,Hungary,HU,HUN,Borsod-Abaúj-Zemplén,Borsod-Abauj-Zemplen,HU-BZ,county,,36.4,1424,1424,3,Europe/Budapest,FALSE,1348851500
Szabolcsveresmart,Szabolcsveresmart,,48.3000,22.0167,Hungary,HU,HUN,Szabolcs-Szatmár-Bereg,Szabolcs-Szatmar-Bereg,HU-SZ,county,,62.0,1424,1424,3,Europe/Budapest,FALSE,1348303397
Bátmonostor,Batmonostor,,46.1000,18.9333,Hungary,HU,HUN,Bács-Kiskun,Bacs-Kiskun,HU-BK,county,,37.5,1423,1423,3,Europe/Budapest,FALSE,1348577717
Szůcsi,Szucsi,,47.8019,19.7619,Hungary,HU,HUN,Heves,Heves,HU-HE,county,,81.7,1421,1421,3,Europe/Budapest,FALSE,1348112368
Söjtör,Sojtor,,46.6667,16.8500,Hungary,HU,HUN,Zala,Zala,HU-ZA,county,,39.3,1420,1420,3,Europe/Budapest,FALSE,1348747038
Egerbakta,Egerbakta,,47.9350,20.2911,Hungary,HU,HUN,Heves,Heves,HU-HE,county,,43.9,1420,1420,3,Europe/Budapest,FALSE,1348026003
Sajópetri,Sajopetri,,48.0333,20.9000,Hungary,HU,HUN,Borsod-Abaúj-Zemplén,Borsod-Abauj-Zemplen,HU-BZ,county,,153.1,1419,1419,3,Europe/Budapest,FALSE,1348175024
Lövő,Lovo,,47.5018,16.7852,Hungary,HU,HUN,Győr-Moson-Sopron,Gyor-Moson-Sopron,HU-GS,county,,80.8,1417,1417,3,Europe/Budapest,FALSE,1348208595
