city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Budapest,Budapest,,47.4925,19.0514,Hungary,HU,HUN,Budapest,Budapest,HU-BU,"capital city",primary,3182.0,2997958,1671004,1,Europe/Budapest,FALSE,1348611435
Debrecen,Debrecen,Debreczin|Debreczen|Hadházytelep|Hajdúszentgyörgy|Józsa,47.5300,21.6392,Hungary,HU,HUN,Hajdú-Bihar,Hajdu-Bihar,HU-HB,county,admin,436.6,328642,201582,2,Europe/Budapest,FALSE,1348460698
Székesfehérvár,Szekesfehervar,,47.1956,18.4089,Hungary,HU,HUN,Fejér,Fejer,HU-FE,county,admin,561.3,272474,95915,2,Europe/Budapest,FALSE,1348968301
Pécs,Pecs,"Somogy|Nadarpad|Mecsekalja|Vasas|Patacs|Meced Sabolc|Mecek Sabolc|Hird|Rácváros|Pečuj|Málom|Magyarürügy|Mecsekszabolcs|Fünfkirchen|Nagyárpád|Fuenfkirchen|Nadapipad",46.0711,18.2331,Hungary,HU,HUN,Baranya,Baranya,HU-BA,county,admin,866.4,251412,141031,2,Europe/Budapest,FALSE,1348611992
Győr,Gyor,Pinnyéd|Raab|Ménfőcsanak|Győrszentiván|Gyirmót,47.6842,17.6344,Hungary,HU,HUN,Győr-Moson-Sopron,Gyor-Moson-Sopron,HU-GS,county,admin,744.6,246159,130020,2,Europe/Budapest,FALSE,1348507878
Szeged,Szeged,Szegedin|Tápé|Szőreg|Gyála|Kiskundorozsma|Algyő|Gyálarét|Segedin|Seghedin,46.2550,20.1450,Hungary,HU,HUN,Csongrád-Csanád,Csongrad-Csanad,HU-CS,county,admin,565.2,239025,158829,2,Europe/Budapest,FALSE,1348655615
Nyíregyháza,Nyiregyhaza,Nyírszőllős|Oros|Nyírszőlős,47.9531,21.7271,Hungary,HU,HUN,Szabolcs-Szatmár-Bereg,Szabolcs-Szatmar-Bereg,HU-SZ,county,admin,421.5,238020,115711,2,Europe/Budapest,FALSE,1348653343
Kecskemét,Kecskemet,Hetényegyháza|Hetény,46.9061,19.6897,Hungary,HU,HUN,Bács-Kiskun,Bacs-Kiskun,HU-BK,county,admin,340.2,187835,109731,2,Europe/Budapest,FALSE,1348900171
Szombathely,Szombathely,Perint|Szentkirály|Olad|Szombatnely|Gyöngyöshermán|Kámon|Zanat|Herény|Steinamanger|Savaria|Szombatehly|Sabaria,47.2351,16.6219,Hungary,HU,HUN,Vas,Vas,HU-VA,county,admin,800.09,147920,78025,2,Europe/Budapest,FALSE,1348565183
Miskolc,Miskolc,Bükkszentlászló|Miskolcz|Miskole,48.0833,20.6667,Hungary,HU,HUN,Borsod-Abaúj-Zemplén,Borsod-Abauj-Zemplen,HU-BZ,county,admin,613.7,145248,145248,2,Europe/Budapest,FALSE,1348668815
Veszprém,Veszprem,Kádárta|Gyulafirátót|Vessprém,47.0930,17.9138,Hungary,HU,HUN,Veszprém,Veszprem,HU-VE,county,admin,447.1,133880,56777,2,Europe/Budapest,FALSE,1348279762
Kaposvár,Kaposvar,Töröcske|Toponár|Kaposszentjakab|Kaposfüred,46.3638,17.7823,Hungary,HU,HUN,Somogy,Somogy,HU-SO,county,admin,521.7,112253,59270,2,Europe/Budapest,FALSE,1348114190
Gödöllő,Godollo,Gödölö,47.6000,19.3667,Hungary,HU,HUN,Pest,Pest,HU-PE,county,minor,527.4,104471,32688,2,Europe/Budapest,FALSE,1348039473
Sopron,Sopron,Scarbantia|Scarabantia|Szorpron|Ödenburg,47.6849,16.5831,Hungary,HU,HUN,Sopron,Sopron,HU-SN,"urban county",admin,365.6,98479,61784,2,Europe/Budapest,FALSE,1348988570
Érd,Erd,,47.3784,18.9220,Hungary,HU,HUN,Pest,Pest,HU-PE,county,minor,1169.5,70800,70800,3,Europe/Budapest,FALSE,1348575496
Szolnok,Szolnok,,47.1747,20.1965,Hungary,HU,HUN,Jász-Nagykun-Szolnok,Jasz-Nagykun-Szolnok,HU-JN,county,admin,358.5,67126,67126,2,Europe/Budapest,FALSE,1348287339
Tatabánya,Tatabanya,,47.5862,18.3949,Hungary,HU,HUN,Komárom-Esztergom,Komarom-Esztergom,HU-KE,county,admin,720.6,65874,65874,2,Europe/Budapest,FALSE,1348450358
Zalaegerszeg,Zalaegerszeg,,46.8392,16.8511,Hungary,HU,HUN,Zala,Zala,HU-ZA,county,admin,541.3,55433,55433,2,Europe/Budapest,FALSE,1348293073
Békéscsaba,Bekescsaba,Gerla|Nagymajor|Mezőmegyer,46.6790,21.0910,Hungary,HU,HUN,Békés,Bekes,HU-BE,county,admin,284.1,55091,55091,2,Europe/Budapest,FALSE,1348329493
Eger,Eger,Szarvaskő|Erlau|Jager,47.8990,20.3747,Hungary,HU,HUN,Heves,Heves,HU-HE,county,admin,542.3,50018,50018,2,Europe/Budapest,FALSE,1348559499
Nagykanizsa,Nagykanizsa,"Grosz Kanischa|Gross Kanischa|Bajcsa|Bagolasánc|Miklósfa|Korpavár|Somogyszentmiklós|Bagola",46.4550,16.9925,Hungary,HU,HUN,Nagykanizsa,Nagykanizsa,HU-NK,"urban county",admin,291.0,43188,43188,2,Europe/Budapest,FALSE,1348509592
Dunakeszi,Dunakeszi,,47.6303,19.1412,Hungary,HU,HUN,Pest,Pest,HU-PE,county,minor,1386.4,43061,43061,3,Europe/Budapest,FALSE,1348178190
Hódmezővásárhely,Hodmezovasarhely,,46.4304,20.3188,Hungary,HU,HUN,Hódmezővásárhely,Hodmezovasarhely,HU-HV,"urban county",admin,86.0,41944,41944,2,Europe/Budapest,FALSE,1348676241
Dunaújváros,Dunaujvaros,Stalinvaros|Dunapentele|Sztálinváros,46.9806,18.9127,Hungary,HU,HUN,Dunaújváros,Dunaujvaros,HU-DU,"urban county",admin,795.2,41873,41873,2,Europe/Budapest,FALSE,1348928583
Szigetszentmiklós,Szigetszentmiklos,Szigetsentmiklos|Szigentmiklos,47.3456,19.0483,Hungary,HU,HUN,Pest,Pest,HU-PE,county,minor,873.1,39954,39954,3,Europe/Budapest,FALSE,1348768623
Cegléd,Cegled,Czegled,47.1743,19.8020,Hungary,HU,HUN,Pest,Pest,HU-PE,county,minor,148.4,36344,36344,3,Europe/Budapest,FALSE,1348930347
