city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Jauneke,Jauneke,,31.1886,74.9513,India,IN,IND,Punjab,Punjab,IN-PB,state,,421.3,1346,1346,3,Asia/Kolkata,FALSE,1356858401
Sammandampālaiyam,Sammandampalaiyam,,10.9906,77.4923,India,IN,IND,Tamil Nādu,Tamil Nadu,IN-TN,state,,1837.5,1346,1346,3,Asia/Kolkata,FALSE,1356170151
Sekli,Sekli,,23.1327,76.2754,India,IN,IND,Madhya Pradesh,Madhya Pradesh,IN-MP,state,,236.2,1346,1346,3,Asia/Kolkata,FALSE,1356274028
Mulluvalli,Mulluvalli,,13.5282,75.4887,India,IN,IND,Karnātaka,Karnataka,IN-KA,state,,96.9,1346,1346,4,Asia/Kolkata,FALSE,1356541466
Pūjārihalli,Pujarihalli,,13.6384,77.0954,India,IN,IND,Karnātaka,Karnataka,IN-KA,state,,248.8,1346,1346,3,Asia/Kolkata,TRUE,1356375861
Kuntanpalli,Kuntanpalli,,17.4994,78.6386,India,IN,IND,Telangāna,Telangana,IN-TG,state,,1904.4,1346,1346,3,Asia/Kolkata,FALSE,1356808912
Phāngia,Phangia,,22.9378,77.1305,India,IN,IND,Madhya Pradesh,Madhya Pradesh,IN-MP,state,,144.1,1346,1346,4,Asia/Kolkata,FALSE,1356087569
Nawānpind Raiyān,Nawanpind Raiyan,,31.1098,75.5255,India,IN,IND,Punjab,Punjab,IN-PB,state,,467.6,1346,1346,3,Asia/Kolkata,FALSE,1356268045
Sirsī,Sirsi,,25.0167,77.2500,India,IN,IND,Madhya Pradesh,Madhya Pradesh,IN-MP,state,,285.6,1346,1346,3,Asia/Kolkata,TRUE,1356362713
Kandlagūdūru,Kandlaguduru,,14.9713,77.7219,India,IN,IND,Andhra Pradesh,Andhra Pradesh,IN-AP,state,,169.7,1346,1346,4,Asia/Kolkata,FALSE,1356778458
Saidpura,Saidpura,,25.8083,85.6056,India,IN,IND,Bihār,Bihar,IN-BR,state,,2173.0,1346,1346,2,Asia/Kolkata,TRUE,1356050886
Ankawāri,Ankawari,,22.0493,78.0059,India,IN,IND,Madhya Pradesh,Madhya Pradesh,IN-MP,state,,276.1,1346,1346,3,Asia/Kolkata,FALSE,1356640236
Ghansoda,Ghansoda,,23.5226,76.6020,India,IN,IND,Madhya Pradesh,Madhya Pradesh,IN-MP,state,,197.5,1346,1346,4,Asia/Kolkata,TRUE,1356264357
Antappāguda,Antappaguda,,17.3957,78.0503,India,IN,IND,Telangāna,Telangana,IN-TG,state,,435.9,1346,1346,3,Asia/Kolkata,FALSE,1356344349
Kandīpār,Kandipar,,22.1482,79.5779,India,IN,IND,Madhya Pradesh,Madhya Pradesh,IN-MP,state,,238.7,1346,1346,3,Asia/Kolkata,FALSE,1356149877
Ādupur,Adupur,,25.2164,86.2108,India,IN,IND,Bihār,Bihar,IN-BR,state,,964.0,1346,1346,3,Asia/Kolkata,FALSE,1356874649
Jamgāin,Jamgain,,22.9195,84.5269,India,IN,IND,Jhārkhand,Jharkhand,IN-JH,state,,169.7,1346,1346,4,Asia/Kolkata,TRUE,1356197209
Uksa,Uksa,,24.5852,82.1773,India,IN,IND,Madhya Pradesh,Madhya Pradesh,IN-MP,state,,516.7,1346,1346,3,Asia/Kolkata,FALSE,1356967865
Naukā,Nauka,,23.7236,83.8255,India,IN,IND,Jhārkhand,Jharkhand,IN-JH,state,,130.2,1346,1346,4,Asia/Kolkata,FALSE,1356018928
Kili Bodla,Kili Bodla,,31.0698,74.9598,India,IN,IND,Punjab,Punjab,IN-PB,state,,441.9,1346,1346,3,Asia/Kolkata,FALSE,1356063780
Jenjra,Jenjra,,20.9137,82.5330,India,IN,IND,Odisha,Odisha,IN-OR,state,,246.6,1346,1346,3,Asia/Kolkata,FALSE,1356272276
Bathri,Bathri,,32.6327,75.5648,India,IN,IND,Jammu and Kashmīr,Jammu and Kashmir,IN-JK,state,,348.1,1346,1346,3,Asia/Kolkata,FALSE,1356546494
Khajurī,Khajuri,,23.6398,83.8012,India,IN,IND,Jhārkhand,Jharkhand,IN-JH,state,,130.2,1346,1346,4,Asia/Kolkata,TRUE,1356840324
Kamalāpuram,Kamalapuram,,14.8723,77.5315,India,IN,IND,Andhra Pradesh,Andhra Pradesh,IN-AP,state,,181.2,1346,1346,4,Asia/Kolkata,TRUE,1356002683
Vadampūndi,Vadampundi,,12.3076,79.6175,India,IN,IND,Tamil Nādu,Tamil Nadu,IN-TN,state,,533.0,1346,1346,3,Asia/Kolkata,FALSE,1356528769
Kanhauli,Kanhauli,,25.2613,85.7202,India,IN,IND,Bihār,Bihar,IN-BR,state,,1174.2,1346,1346,3,Asia/Kolkata,TRUE,1356971419
Konappampatti,Konappampatti,,11.0955,78.3900,India,IN,IND,Tamil Nādu,Tamil Nadu,IN-TN,state,,405.6,1346,1346,3,Asia/Kolkata,FALSE,1356233559
Sīto Nauābād,Sito Nauabad,,31.1853,74.7996,India,IN,IND,Punjab,Punjab,IN-PB,state,,421.3,1346,1346,3,Asia/Kolkata,FALSE,1356401370
Kallahalli,Kallahalli,,12.2012,76.5822,India,IN,IND,Karnātaka,Karnataka,IN-KA,state,,1791.2,1346,1346,3,Asia/Kolkata,FALSE,1356243943
Chennanahalli,Chennanahalli,,12.2737,78.2210,India,IN,IND,Tamil Nādu,Tamil Nadu,IN-TN,state,,509.5,1346,1346,3,Asia/Kolkata,FALSE,1356131457
Srīpatihalli,Sripatihalli,,12.9620,77.1672,India,IN,IND,Karnātaka,Karnataka,IN-KA,state,,292.1,1345,1345,3,Asia/Kolkata,FALSE,1356601304
Palehrā,Palehra,,22.6653,80.5262,India,IN,IND,Madhya Pradesh,Madhya Pradesh,IN-MP,state,,310.6,1345,1345,3,Asia/Kolkata,FALSE,1356037145
Piriya,Piriya,,25.5216,84.1256,India,IN,IND,Bihār,Bihar,IN-BR,state,,896.1,1345,1345,3,Asia/Kolkata,FALSE,1356123084
Manikpur,Manikpur,,25.8129,85.0080,India,IN,IND,Bihār,Bihar,IN-BR,state,,2012.3,1345,1345,2,Asia/Kolkata,TRUE,1356072597
Kākareta,Kakareta,,24.5358,80.2633,India,IN,IND,Madhya Pradesh,Madhya Pradesh,IN-MP,state,,267.8,1345,1345,3,Asia/Kolkata,FALSE,1356700497
Madhe,Madhe,,24.7543,84.1451,India,IN,IND,Bihār,Bihar,IN-BR,state,,471.4,1345,1345,3,Asia/Kolkata,FALSE,1356218546
Machagondanahalli,Machagondanahalli,,12.7270,76.0014,India,IN,IND,Karnātaka,Karnataka,IN-KA,state,,310.5,1345,1345,3,Asia/Kolkata,FALSE,1356127332
Piskā,Piska,,23.5344,85.4895,India,IN,IND,Jhārkhand,Jharkhand,IN-JH,state,,542.7,1345,1345,3,Asia/Kolkata,TRUE,1356178578
Mandi,Mandi,,34.2653,74.4235,India,IN,IND,Jammu and Kashmīr,Jammu and Kashmir,IN-JK,state,,838.1,1345,1345,3,Asia/Kolkata,TRUE,1356032063
Nayāgaon,Nayagaon,Halimpur,26.3164,85.5634,India,IN,IND,Bihār,Bihar,IN-BR,state,,1718.8,1345,1345,3,Asia/Kolkata,TRUE,1356043305
Barej,Barej,,24.1739,77.8229,India,IN,IND,Madhya Pradesh,Madhya Pradesh,IN-MP,state,,213.5,1345,1345,3,Asia/Kolkata,FALSE,1356785457
Pālki,Palki,,23.5505,77.9394,India,IN,IND,Madhya Pradesh,Madhya Pradesh,IN-MP,state,,84.6,1345,1345,4,Asia/Kolkata,TRUE,1356229787
Barāhari,Barahari,,26.0802,86.8084,India,IN,IND,Bihār,Bihar,IN-BR,state,,867.5,1345,1345,3,Asia/Kolkata,TRUE,1356532114
Chhaparwāhī,Chhaparwahi,,21.9616,80.4078,India,IN,IND,Madhya Pradesh,Madhya Pradesh,IN-MP,state,,152.8,1345,1345,4,Asia/Kolkata,FALSE,1356147355
Sindhuvāda,Sindhuvada,,18.5151,83.9217,India,IN,IND,Andhra Pradesh,Andhra Pradesh,IN-AP,state,,428.0,1345,1345,3,Asia/Kolkata,FALSE,1356142263
Gudrū,Gudru,,22.2735,80.1202,India,IN,IND,Madhya Pradesh,Madhya Pradesh,IN-MP,state,,152.8,1345,1345,4,Asia/Kolkata,FALSE,1356218309
Sirsa Jalālpur,Sirsa Jalalpur,,26.0764,84.7472,India,IN,IND,Bihār,Bihar,IN-BR,state,,2063.8,1345,1345,2,Asia/Kolkata,FALSE,1356147525
Lālpur,Lalpur,,25.0338,85.9803,India,IN,IND,Bihār,Bihar,IN-BR,state,,723.8,1345,1345,3,Asia/Kolkata,TRUE,1356380752
Chute,Chute,,23.8686,85.7391,India,IN,IND,Jhārkhand,Jharkhand,IN-JH,state,,461.2,1345,1345,3,Asia/Kolkata,FALSE,1356179578
Kadavampatti,Kadavampatti,,10.4696,78.6043,India,IN,IND,Tamil Nādu,Tamil Nadu,IN-TN,state,,362.7,1345,1345,3,Asia/Kolkata,FALSE,1356176047
Deokha,Deokha,,24.9423,78.8604,India,IN,IND,Madhya Pradesh,Madhya Pradesh,IN-MP,state,,384.1,1345,1345,3,Asia/Kolkata,FALSE,1356971483
Singasandra,Singasandra,,12.6479,77.3631,India,IN,IND,Karnātaka,Karnataka,IN-KA,state,,331.2,1345,1345,3,Asia/Kolkata,TRUE,1356929907
