city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Ciawi,Ciawi,,-6.6024,105.8296,Indonesia,ID,IDN,Banten,Banten,ID-BT,province,,460.1,,,3,Asia/Jakarta,TRUE,1360273651
Ciawi,Ciawi,Tjiawi,-6.7000,105.5500,Indonesia,ID,IDN,Banten,Banten,ID-BT,province,,460.1,,,3,Asia/Jakarta,TRUE,1360516187
Ciawi,Ciawi,,-6.6440,105.9497,Indonesia,ID,IDN,Banten,Banten,ID-BT,province,,439.5,,,3,Asia/Jakarta,TRUE,1360511829
Ciawi,Ciawi,,-6.8396,106.4330,Indonesia,ID,IDN,Banten,Banten,ID-BT,province,,432.8,,,3,Asia/Jakarta,TRUE,1360304450
Ciawi,Ciawi,,-6.4793,106.2116,Indonesia,ID,IDN,Banten,Banten,ID-BT,province,,432.7,,,3,Asia/Jakarta,TRUE,1360145960
Ciawi,Ciawi,,-6.8525,106.3638,Indonesia,ID,IDN,Banten,Banten,ID-BT,province,,432.7,,,3,Asia/Jakarta,TRUE,1360542526
Ciawi,Ciawi,,-6.6525,106.2114,Indonesia,ID,IDN,Banten,Banten,ID-BT,province,,432.7,,,3,Asia/Jakarta,TRUE,1360769333
Ciawi,Ciawi,,-6.4780,106.0744,Indonesia,ID,IDN,Banten,Banten,ID-BT,province,,432.7,,,3,Asia/Jakarta,TRUE,1360940867
Sungai Ipung,Sungai Ipung,Soengai Ipoeng,1.0833,112.8000,Indonesia,ID,IDN,Kalimantan Barat,Kalimantan Barat,ID-KB,province,,8.9,,,5,Asia/Pontianak,FALSE,1360027588
Semunai,Semunai,,1.1880,101.3110,Indonesia,ID,IDN,Riau,Riau,ID-RI,province,,60.9,,,4,Asia/Jakarta,FALSE,1360558246
Suban,Suban,,-3.3668,104.4949,Indonesia,ID,IDN,Sumatera Selatan,Sumatera Selatan,ID-SS,province,,110.7,,,4,Asia/Jakarta,FALSE,1360041746
Suban,Suban,,-4.1249,103.0289,Indonesia,ID,IDN,Sumatera Selatan,Sumatera Selatan,ID-SS,province,,85.0,,,4,Asia/Jakarta,TRUE,1360011558
Waringinpermai,Waringinpermai,,-6.2511,106.9132,Indonesia,ID,IDN,Jakarta,Jakarta,ID-JK,special district,,16225.4,,,2,Asia/Jakarta,FALSE,1360292978
Plembutan Barat,Plembutan Barat,,-7.9597,110.5450,Indonesia,ID,IDN,Yogyakarta,Yogyakarta,ID-YO,special region,,457.6,,,3,Asia/Jakarta,FALSE,1360197332
Beloksao,Beloksao,,-8.3140,116.2780,Indonesia,ID,IDN,Nusa Tenggara Barat,Nusa Tenggara Barat,ID-NB,province,,286.8,,,3,Asia/Makassar,FALSE,1360837077
Sumurlaban,Sumurlaban,,-6.6034,105.8528,Indonesia,ID,IDN,Banten,Banten,ID-BT,province,,460.1,,,3,Asia/Jakarta,FALSE,1360016939
Dangkel,Dangkel,,-7.3142,110.3931,Indonesia,ID,IDN,Jawa Tengah,Jawa Tengah,ID-JT,province,,1028.0,,,3,Asia/Jakarta,FALSE,1360415317
Dangkel,Dangkel,,-7.2278,110.1136,Indonesia,ID,IDN,Jawa Tengah,Jawa Tengah,ID-JT,province,,851.9,,,3,Asia/Jakarta,TRUE,1360723470
