city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Kahnakūyeh,Kahnakuyeh,Kahnakūyek|Kohan Kūyeh|Kahnekūyeh,28.9531,53.6758,Iran,IR,IRN,Fārs,Fars,IR-07,province,,52.8,305,305,3,Asia/Tehran,FALSE,1364535604
Jalālvand-e ‘Olyā,Jalalvand-e `Olya,Jalālvand,34.4647,45.8992,Iran,IR,IRN,Kermānshāh,Kermanshah,IR-05,province,,97.5,305,305,3,Asia/Tehran,FALSE,1364000767
Homājegeh,Homajegeh,,34.9486,46.0225,Iran,IR,IRN,Kermānshāh,Kermanshah,IR-05,province,,102.9,305,305,3,Asia/Tehran,FALSE,1364457358
Kāmrānīyeh-ye Bālā,Kamraniyeh-ye Bala,Kāmrānīyeh,28.9161,58.6733,Iran,IR,IRN,Kermān,Kerman,IR-08,province,,150.1,305,305,3,Asia/Tehran,FALSE,1364392238
Angūrtlār-e Soflá,Angurtlar-e Sofla,Azhdarlū,39.1667,48.0667,Iran,IR,IRN,Ardabīl,Ardabil,IR-24,province,,30.0,305,305,3,Asia/Tehran,FALSE,1364515829
Garāb,Garab,Garm Ab,31.1639,50.4433,Iran,IR,IRN,Kohgīlūyeh va Bowyer Aḩmad,Kohgiluyeh va Bowyer Ahmad,IR-17,province,,30.8,305,305,3,Asia/Tehran,FALSE,1364503416
Asmāhūr-e ‘Olyā,Asmahur-e `Olya,Esmāhūr-e ‘Olyā|Esmāhūr Bālā|Esmahoor Olya|Asmāhūr-e Bālā,33.3656,49.7983,Iran,IR,IRN,Lorestān,Lorestan,IR-15,province,,27.1,305,305,3,Asia/Tehran,FALSE,1364993323
Dorofk-e ‘Olyā,Dorofk-e `Olya,Dorofk-e Bālā,36.3969,57.7686,Iran,IR,IRN,Khorāsān-e Raẕavī,Khorasan-e Razavi,IR-09,,,13.2,305,305,3,Asia/Tehran,FALSE,1364346086
Gīlāvand,Gilavand,,33.3683,48.5911,Iran,IR,IRN,Lorestān,Lorestan,IR-15,province,,87.0,305,305,3,Asia/Tehran,FALSE,1364667808
Kaldarreh-ye Soflá,Kaldarreh-ye Sofla,,37.1128,50.3200,Iran,IR,IRN,Gīlān,Gilan,IR-01,province,,104.4,304,304,3,Asia/Tehran,FALSE,1364003730
