city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Baghdad,Baghdad,Baghdād|Beghdad|Bagdad,33.3153,44.3661,Iraq,IQ,IRQ,Baghdād,Baghdad,IQ-BG,governorate,primary,8909.2,6183000,8126755,1,Asia/Baghdad,FALSE,1368596238
Mosul,Mosul,Mousl|Musił|Al Mosul|Mossoul|Moussoul|Al Mūşil|Al Mawşil,36.3400,43.1300,Iraq,IQ,IRQ,Nīnawá,Ninawa,IQ-NI,governorate,admin,585.6,1792000,1792000,1,Asia/Baghdad,FALSE,1368194914
Al Başrah,Al Basrah,Bassora|Basrah|Basra|Bassra|Bussora|Busrah|Busra|Bassorah,30.5150,47.8100,Iraq,IQ,IRQ,Al Başrah,Al Basrah,IQ-BA,governorate,admin,1727.7,1326564,1326564,1,Asia/Baghdad,FALSE,1368714645
Kirkuk,Kirkuk,Kerkouk|Kirkūk|Karkuk|Kirkuk|Kerkuk|Karkh Slukh|Karkh Slukh|Karkūk,35.4667,44.3167,Iraq,IQ,IRQ,Karkūk,Karkuk,IQ-KI,governorate,admin,464.6,975000,975000,2,Asia/Baghdad,FALSE,1368344172
As Sulaymānīyah,As Sulaymaniyah,Sulaimaniya|Al-Sulaimaniya|Slēmānī|Sleimāni|Sulaymānīyah|Sulaimania|Sulaimany|Sulaimanieh|Slêmanî,35.5572,45.4356,Iraq,IQ,IRQ,As Sulaymānīyah,As Sulaymaniyah,IQ-SU,governorate,admin,509.1,878146,878146,2,Asia/Baghdad,FALSE,1368735317
Ar Ramādī,Ar Ramadi,Ramadie|Ramadi|Rumādīyeh|Al-Rumadi|Ramadiyah|Rumādīya|Ramadieh,33.4258,43.2992,Iraq,IQ,IRQ,Al Anbār,Al Anbar,IQ-AN,governorate,admin,114.2,874543,874543,2,Asia/Baghdad,FALSE,1368838855
Erbil,Erbil,Hawler|Arbeel|Hawlēr|Arbēla|Irbīl|Hewlêr|Arbīl,36.1912,44.0092,Iraq,IQ,IRQ,Arbīl,Arbil,IQ-AR,governorate,admin,70.5,846000,846000,2,Asia/Baghdad,FALSE,1368578192
An Najaf,An Najaf,Al Najaf al Ashraf|Neshed Ali|Nedjef|Najaf|Meshed ’Ali|An Najaf al Ashraf,32.0000,44.3300,Iraq,IQ,IRQ,An Najaf,An Najaf,IQ-NA,governorate,admin,698.9,724700,724700,2,Asia/Baghdad,FALSE,1368003357
Karbalā’,Karbala',Kerbala|Meshed Hussein|Karbalaa|Kerbela|Meshed Hussain,32.6167,44.0333,Iraq,IQ,IRQ,Karbalā’,Karbala',IQ-KA,governorate,admin,507.9,690100,690100,2,Asia/Baghdad,FALSE,1368597794
An Nāşirīyah,An Nasiriyah,Muntafik|Nasriye|Nasrie|Nasiriyeh|An Nāsirīya|Nāsirīyah|Al-Nasiriya|Muntifik,31.0439,46.2575,Iraq,IQ,IRQ,Dhī Qār,Dhi Qar,IQ-DQ,governorate,admin,239.1,541600,541600,2,Asia/Baghdad,FALSE,1368273311
Al Ḩillah,Al Hillah,Hilah|Al-Hella|Hillé|Hilla,32.4775,44.4314,Iraq,IQ,IRQ,Bābil,Babil,IQ-BB,governorate,admin,606.4,541034,541034,2,Asia/Baghdad,FALSE,1368916692
Al ‘Amārah,Al `Amarah,‘Amāra|Amara|Amarah|Amaré,31.8333,47.1500,Iraq,IQ,IRQ,Maysān,Maysan,IQ-MA,governorate,admin,122.3,511500,511500,2,Asia/Baghdad,FALSE,1368336235
Ba‘qūbah,Ba`qubah,Baqubeh|Ba’qūba|Bakuba|Baquba,33.7500,44.6333,Iraq,IQ,IRQ,Diyālá,Diyala,IQ-DI,governorate,admin,189.3,467900,467900,2,Asia/Baghdad,FALSE,1368444902
Ad Dīwānīyah,Ad Diwaniyah,Ad Dīwānīya|Ad Diwania|Al-Diwaniya|Hiska|Diwaniyeh|Diwaniyan|Dīwanīya|Diwanie,31.9892,44.9247,Iraq,IQ,IRQ,Al Qādisīyah,Al Qadisiyah,IQ-QA,governorate,admin,217.9,391600,391600,2,Asia/Baghdad,FALSE,1368864006
Az Zubayr,Az Zubayr,Az Zuhair|Az Zubair|Zubair|Zobier|El Zubair,30.3833,47.7000,Iraq,IQ,IRQ,Al Başrah,Al Basrah,IQ-BA,governorate,minor,56.9,370000,370000,2,Asia/Baghdad,FALSE,1368147923
Sawrān,Sawran,Diyana|Diyane|Diana|Soran|Diyānā|Qaryat Diyānā,36.6606,44.5508,Iraq,IQ,IRQ,Arbīl,Arbil,IQ-AR,governorate,minor,215.5,350000,350000,2,Asia/Baghdad,FALSE,1368321779
Dahūk,Dahuk,Dûhok|Dohuk|Duhuk|Dihōk|Duhok|Dihūk|Dihuk|Dihok,36.8667,43.0000,Iraq,IQ,IRQ,Dahūk,Dahuk,IQ-DA,governorate,admin,647.4,330600,330600,2,Asia/Baghdad,FALSE,1368137126
Al Kūt,Al Kut,Kut-al-Almārah|Kūt al ‘Amārah|Kūt-al-Imārah|Kut al Imāra|Kūt,32.4907,45.8304,Iraq,IQ,IRQ,Wāsiţ,Wasit,IQ-WA,governorate,admin,124.5,321521,321521,2,Asia/Baghdad,FALSE,1368569694
Ash Shāmīyah,Ash Shamiyah,Ummal Barur|Shamiya|Ash Shāmīya,31.9636,44.5989,Iraq,IQ,IRQ,Al Qādisīyah,Al Qadisiyah,IQ-QA,governorate,minor,217.9,300000,300000,2,Asia/Baghdad,FALSE,1368487355
Al Qurnah,Al Qurnah,Al Qurna|Qurnah,31.0158,47.4306,Iraq,IQ,IRQ,Al Başrah,Al Basrah,IQ-BA,governorate,minor,117.1,286073,286073,2,Asia/Baghdad,FALSE,1368380047
Al Ḩamzah,Al Hamzah,Quwām al Hamza|Qawām al Ḩamzah|Ḩamzah,31.7339,45.0086,Iraq,IQ,IRQ,Al Qādisīyah,Al Qadisiyah,IQ-QA,governorate,minor,217.9,260000,260000,2,Asia/Baghdad,FALSE,1368300397
