city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Askinch Upper,Askinch Upper,,52.7893,-6.2653,Ireland,IE,IRL,Wexford,Wexford,IE-WX,county,,60.9,,,4,Europe/Dublin,FALSE,1372001274
Elton,Elton,,52.4283,-8.4611,Ireland,IE,IRL,Limerick,Limerick,IE-LC,city and county,,41.7,,,4,Europe/Dublin,FALSE,1372936722
Hillville,Hillville,,52.1106,-9.7736,Ireland,IE,IRL,Kerry,Kerry,IE-KY,county,,204.5,,,3,Europe/Dublin,FALSE,1372016334
Clontarf,Clontarf,Cluain Tarbh,53.3609,-6.1945,Ireland,IE,IRL,Dublin,Dublin,IE-DU,city,,4324.7,,,2,Europe/Dublin,FALSE,1372931270
Barrakilly,Barrakilly,,51.7458,-9.8636,Ireland,IE,IRL,Cork,Cork,IE-CO,county,,18.2,,,4,Europe/Dublin,FALSE,1372841762
Fiodh an Átha,Fiodh an Atha,Finea|Finnea,53.7826,-7.3955,Ireland,IE,IRL,Westmeath,Westmeath,IE-WH,county,,9.4,,,5,Europe/Dublin,FALSE,1372259236
Bellarush,Bellarush,,54.0883,-8.3628,Ireland,IE,IRL,Sligo,Sligo,IE-SO,county,,26.1,,,4,Europe/Dublin,FALSE,1372000590
Dunbur,Dunbur,,52.9564,-6.0194,Ireland,IE,IRL,Wicklow,Wicklow,IE-WW,county,,108.1,,,4,Europe/Dublin,FALSE,1372777831
Cappataggle,Cappataggle,,53.2833,-8.4000,Ireland,IE,IRL,Galway,Galway,IE-G,county,,24.3,,,4,Europe/Dublin,FALSE,1372749925
Ballinlag,Ballinlag,,53.9000,-9.0015,Ireland,IE,IRL,Mayo,Mayo,IE-MO,county,,21.4,,,4,Europe/Dublin,FALSE,1372001223
Three Bridges,Three Bridges,,52.9233,-6.6180,Ireland,IE,IRL,Wicklow,Wicklow,IE-WW,county,,24.7,,,4,Europe/Dublin,FALSE,1372000291
Macreddin,Macreddin,,52.8842,-6.3309,Ireland,IE,IRL,Wicklow,Wicklow,IE-WW,county,,23.6,,,4,Europe/Dublin,FALSE,1372781388
Clonfane,Clonfane,,53.5784,-6.8382,Ireland,IE,IRL,Meath,Meath,IE-MH,county,,35.5,,,4,Europe/Dublin,FALSE,1372480763
Clodiagh Bridge,Clodiagh Bridge,,52.2864,-7.2989,Ireland,IE,IRL,Waterford,Waterford,IE-WF,city and county,,46.6,,,4,Europe/Dublin,FALSE,1372690721
Kilcummin Farmhill,Kilcummin Farmhill,Kilcummin,52.1000,-9.4667,Ireland,IE,IRL,Kerry,Kerry,IE-KY,county,,76.9,,,4,Europe/Dublin,FALSE,1372276295
Reenconnell,Reenconnell,Rinn Chonaill,52.1847,-10.3158,Ireland,IE,IRL,Kerry,Kerry,IE-KY,county,,11.7,,,4,Europe/Dublin,FALSE,1372858704
Inchicorrigane,Inchicorrigane,,52.1203,-9.3939,Ireland,IE,IRL,Kerry,Kerry,IE-KY,county,,31.4,,,4,Europe/Dublin,FALSE,1372424093
Keeraunbeg,Keeraunbeg,An Caorán Beag,53.2464,-9.6128,Ireland,IE,IRL,Galway,Galway,IE-G,county,,81.7,,,4,Europe/Dublin,FALSE,1372456094
Carrigans,Carrigans,An Carraigín,54.9500,-7.4333,Ireland,IE,IRL,Donegal,Donegal,IE-DL,county,,451.2,,,3,Europe/Dublin,FALSE,1372644830
Matehy,Matehy,,51.9528,-8.6572,Ireland,IE,IRL,Cork,Cork,IE-CO,county,,48.7,,,4,Europe/Dublin,FALSE,1372972718
Cloonusker,Cloonusker,,52.9414,-8.5717,Ireland,IE,IRL,Clare,Clare,IE-CE,county,,7.2,,,5,Europe/Dublin,FALSE,1372041489
Slievenabrehan,Slievenabrehan,,53.7769,-8.9145,Ireland,IE,IRL,Mayo,Mayo,IE-MO,county,,53.7,,,4,Europe/Dublin,FALSE,1372000891
Gillstown Great,Gillstown Great,,53.6427,-6.9091,Ireland,IE,IRL,Meath,Meath,IE-MH,county,,64.0,,,4,Europe/Dublin,FALSE,1372280984
Clydagh,Clydagh,Claídeach,53.3247,-9.1642,Ireland,IE,IRL,Galway,Galway,IE-G,county,,161.6,,,4,Europe/Dublin,FALSE,1372076801
Bullys Corner,Bullys Corner,,52.8491,-6.5685,Ireland,IE,IRL,Carlow,Carlow,IE-CW,county,,23.1,,,4,Europe/Dublin,FALSE,1372051776
Cloonmore Upper,Cloonmore Upper,,53.8017,-8.9769,Ireland,IE,IRL,Mayo,Mayo,IE-MO,county,,26.2,,,4,Europe/Dublin,FALSE,1372001305
Slieveroe,Slieveroe,,52.9382,-6.2037,Ireland,IE,IRL,Wicklow,Wicklow,IE-WW,county,,21.3,,,4,Europe/Dublin,FALSE,1372001010
Ballingate Bridge,Ballingate Bridge,,52.7167,-6.5517,Ireland,IE,IRL,Wicklow,Wicklow,IE-WW,county,,24.6,,,4,Europe/Dublin,FALSE,1372733851
Beagh Bridge,Beagh Bridge,,54.7953,-8.4367,Ireland,IE,IRL,Donegal,Donegal,IE-DL,county,,16.4,,,4,Europe/Dublin,FALSE,1372318282
Knockoconor,Knockoconor,,54.0439,-8.4379,Ireland,IE,IRL,Sligo,Sligo,IE-SO,county,,12.9,,,4,Europe/Dublin,FALSE,1372002021
Kill,Kill,,52.1761,-7.3350,Ireland,IE,IRL,Waterford,Waterford,IE-WF,city and county,,71.1,,,4,Europe/Dublin,FALSE,1372108307
Cappagh House,Cappagh House,,52.7197,-6.7733,Ireland,IE,IRL,Carlow,Carlow,IE-CW,county,,34.9,,,4,Europe/Dublin,FALSE,1372678434
Gainstown,Gainstown,,53.6234,-6.7097,Ireland,IE,IRL,Meath,Meath,IE-MH,county,,63.5,,,4,Europe/Dublin,FALSE,1372911354
Gortnacrue,Gortnacrue,,51.9411,-8.1789,Ireland,IE,IRL,Cork,Cork,IE-CO,county,,39.1,,,4,Europe/Dublin,FALSE,1372458237
Cloonagh Bridge,Cloonagh Bridge,,52.2414,-9.4647,Ireland,IE,IRL,Kerry,Kerry,IE-KY,county,,923.9,,,3,Europe/Dublin,FALSE,1372156642
Ballynahaia,Ballynahaia,,54.0708,-7.0406,Ireland,IE,IRL,Cavan,Cavan,IE-CN,county,,21.6,,,4,Europe/Dublin,FALSE,1372450525
Ballykerin,Ballykerin,,52.1500,-7.7000,Ireland,IE,IRL,Waterford,Waterford,IE-WF,city and county,,27.5,,,4,Europe/Dublin,FALSE,1372999691
Ashakiltubbrid,Ashakiltubbrid,,53.9333,-7.7500,Ireland,IE,IRL,Leitrim,Leitrim,IE-LM,county,,14.5,,,4,Europe/Dublin,FALSE,1372000311
Tomathone Upper,Tomathone Upper,,52.7549,-6.3064,Ireland,IE,IRL,Wexford,Wexford,IE-WX,county,,48.4,,,4,Europe/Dublin,FALSE,1372001266
Killincoole,Killincoole,,53.9344,-6.4778,Ireland,IE,IRL,Louth,Louth,IE-LH,county,,28.7,,,4,Europe/Dublin,FALSE,1372380737
Luttrellstown,Luttrellstown,,53.3739,-6.4322,Ireland,IE,IRL,Fingal,Fingal,IE-FI,county,,55.8,,,4,Europe/Dublin,FALSE,1372274912
Curraghderrig,Curraghderrig,An Currach Dearg,52.5527,-9.5841,Ireland,IE,IRL,Kerry,Kerry,IE-KY,county,,19.0,,,4,Europe/Dublin,FALSE,1372000371
Saint Margaret’s,Saint Margaret's,,53.4317,-6.3003,Ireland,IE,IRL,Fingal,Fingal,IE-FI,county,,69.5,,,4,Europe/Dublin,FALSE,1372186736
Barranny,Barranny,Barr Eanaigh,53.3644,-9.0600,Ireland,IE,IRL,Galway,Galway,IE-G,county,,28.7,,,4,Europe/Dublin,FALSE,1372523698
Carrigeenblike,Carrigeenblike,,54.0702,-8.2986,Ireland,IE,IRL,Sligo,Sligo,IE-SO,county,,14.6,,,4,Europe/Dublin,FALSE,1372001923
Huband Bridge,Huband Bridge,,53.2656,-6.8636,Ireland,IE,IRL,Kildare,Kildare,IE-KE,county,,72.5,,,4,Europe/Dublin,FALSE,1372642095
Dundonnell,Dundonnell,,53.3833,-8.1667,Ireland,IE,IRL,Roscommon,Roscommon,IE-RN,county,,22.9,,,4,Europe/Dublin,FALSE,1372981865
Laghloon,Laghloon,,53.7653,-9.5756,Ireland,IE,IRL,Mayo,Mayo,IE-MO,county,,41.0,,,4,Europe/Dublin,FALSE,1372122404
Shinnagh,Shinnagh,,53.9132,-9.2108,Ireland,IE,IRL,Mayo,Mayo,IE-MO,county,,31.4,,,4,Europe/Dublin,FALSE,1372748766
Clara Bridge,Clara Bridge,,52.9500,-6.2500,Ireland,IE,IRL,Wicklow,Wicklow,IE-WW,county,,22.5,,,4,Europe/Dublin,FALSE,1372948812
Ballylangley,Ballylangley,,51.7586,-8.7094,Ireland,IE,IRL,Cork,Cork,IE-CO,county,,58.1,,,4,Europe/Dublin,FALSE,1372146294
Cloghore,Cloghore,Cloghope,54.4833,-8.1000,Ireland,IE,IRL,Donegal,Donegal,IE-DL,county,,210.7,,,3,Europe/Dublin,FALSE,1372182965
Ballynakillew,Ballynakillew,,54.0495,-8.5251,Ireland,IE,IRL,Sligo,Sligo,IE-SO,county,,13.7,,,4,Europe/Dublin,FALSE,1372002280
Riverview,Riverview,,52.9069,-8.2450,Ireland,IE,IRL,Tipperary,Tipperary,IE-TA,county,,47.7,,,4,Europe/Dublin,FALSE,1372745184
Camross,Camross,,53.0036,-7.5906,Ireland,IE,IRL,Laois,Laois,IE-LS,county,,15.1,,,4,Europe/Dublin,FALSE,1372824041
Blackers Bridge,Blackers Bridge,,52.5489,-6.7228,Ireland,IE,IRL,Wexford,Wexford,IE-WX,county,,23.1,,,4,Europe/Dublin,FALSE,1372510467
Coolamoney,Coolamoney,,53.8833,-6.6000,Ireland,IE,IRL,Louth,Louth,IE-LH,county,,41.8,,,4,Europe/Dublin,FALSE,1372532621
Brackloon South,Brackloon South,,53.7820,-8.7083,Ireland,IE,IRL,Mayo,Mayo,IE-MO,county,,15.1,,,4,Europe/Dublin,FALSE,1372000935
Carran,Carran,,52.6122,-7.1403,Ireland,IE,IRL,Kilkenny,Kilkenny,IE-KK,county,,21.8,,,4,Europe/Dublin,FALSE,1372778439
Ballymacloughlin,Ballymacloughlin,,53.8108,-9.1104,Ireland,IE,IRL,Mayo,Mayo,IE-MO,county,,21.6,,,4,Europe/Dublin,FALSE,1372398667
Twomileditch,Twomileditch,,53.3039,-8.9978,Ireland,IE,IRL,Galway,Galway,IE-G,county,,105.0,,,4,Europe/Dublin,FALSE,1372984563
Rossmore,Rossmore,,52.1500,-9.5833,Ireland,IE,IRL,Kerry,Kerry,IE-KY,county,,28.2,,,4,Europe/Dublin,FALSE,1372760259
Killowen,Killowen,,53.3886,-7.1622,Ireland,IE,IRL,Offaly,Offaly,IE-OY,county,,20.9,,,4,Europe/Dublin,FALSE,1372667672
Corraffrin,Corraffrin,,54.7708,-7.7711,Ireland,IE,IRL,Donegal,Donegal,IE-DL,county,,25.8,,,4,Europe/Dublin,FALSE,1372090595
Letterlicky Bridge,Letterlicky Bridge,,51.6467,-9.4544,Ireland,IE,IRL,Cork,Cork,IE-CO,county,,16.0,,,4,Europe/Dublin,FALSE,1372071625
Loughtown,Loughtown,,53.9692,-7.9619,Ireland,IE,IRL,Leitrim,Leitrim,IE-LM,county,,29.8,,,4,Europe/Dublin,FALSE,1372797595
Rahan,Rahan,,53.2772,-7.6306,Ireland,IE,IRL,Offaly,Offaly,IE-OY,county,,31.3,,,4,Europe/Dublin,FALSE,1372367221
Mill Town,Mill Town,,54.1367,-6.6914,Ireland,IE,IRL,Monaghan,Monaghan,IE-MN,county,,28.4,,,4,Europe/Dublin,FALSE,1372162318
Barrow,Barrow,,52.3083,-9.8442,Ireland,IE,IRL,Kerry,Kerry,IE-KY,county,,55.2,,,4,Europe/Dublin,FALSE,1372202518
Knockmullin,Knockmullin,,54.1630,-8.5075,Ireland,IE,IRL,Sligo,Sligo,IE-SO,county,,46.0,,,4,Europe/Dublin,FALSE,1372002242
Brownsmills,Brownsmills,,51.7253,-8.5211,Ireland,IE,IRL,Cork,Cork,IE-CO,county,,109.5,,,4,Europe/Dublin,FALSE,1372725186
Modelligo,Modelligo,,52.1464,-7.7497,Ireland,IE,IRL,Waterford,Waterford,IE-WF,city and county,,18.3,,,4,Europe/Dublin,FALSE,1372094083
Boolabeha Bridge,Boolabeha Bridge,,52.7092,-7.7175,Ireland,IE,IRL,Tipperary,Tipperary,IE-TA,county,,22.3,,,4,Europe/Dublin,FALSE,1372847083
Knocknageeha,Knocknageeha,,54.1862,-8.3834,Ireland,IE,IRL,Sligo,Sligo,IE-SO,county,,19.2,,,4,Europe/Dublin,FALSE,1372000729
Knocknageeha,Knocknageeha,,54.0320,-8.5651,Ireland,IE,IRL,Sligo,Sligo,IE-SO,county,,14.0,,,4,Europe/Dublin,TRUE,1372000448
Blainroe,Blainroe,,52.9381,-6.0386,Ireland,IE,IRL,Wicklow,Wicklow,IE-WW,county,,46.1,,,4,Europe/Dublin,FALSE,1372283708
Garrauncam Bridge,Garrauncam Bridge,,52.8997,-8.6967,Ireland,IE,IRL,Clare,Clare,IE-CE,county,,13.6,,,4,Europe/Dublin,FALSE,1372531390
Mullaghanarry,Mullaghanarry,,54.0911,-8.7211,Ireland,IE,IRL,Sligo,Sligo,IE-SO,county,,22.0,,,4,Europe/Dublin,FALSE,1372145655
Sinclair’s Village,Sinclair's Village,,53.3011,-8.2647,Ireland,IE,IRL,Galway,Galway,IE-G,county,,26.8,,,4,Europe/Dublin,FALSE,1372239097
Agall,Agall,,53.2561,-7.6017,Ireland,IE,IRL,Offaly,Offaly,IE-OY,county,,18.8,,,4,Europe/Dublin,FALSE,1372014765
Kildoon,Kildoon,,53.0833,-6.9000,Ireland,IE,IRL,Kildare,Kildare,IE-KE,county,,28.9,,,4,Europe/Dublin,FALSE,1372391528
Ogonnelloe,Ogonnelloe,,52.8881,-8.4575,Ireland,IE,IRL,Clare,Clare,IE-CE,county,,40.7,,,4,Europe/Dublin,FALSE,1372732752
Cloonanure,Cloonanure,,54.0061,-8.4866,Ireland,IE,IRL,Sligo,Sligo,IE-SO,county,,16.0,,,4,Europe/Dublin,FALSE,1372001457
Fontstown,Fontstown,,53.0500,-6.8928,Ireland,IE,IRL,Kildare,Kildare,IE-KE,county,,25.8,,,4,Europe/Dublin,FALSE,1372658233
Glebe,Glebe,,54.2434,-8.7337,Ireland,IE,IRL,Sligo,Sligo,IE-SO,county,,12.5,,,4,Europe/Dublin,FALSE,1372002110
Carrowcuilleen,Carrowcuilleen,,54.2544,-9.3311,Ireland,IE,IRL,Mayo,Mayo,IE-MO,county,,5.2,,,5,Europe/Dublin,FALSE,1372529162
Carrowmanagh,Carrowmanagh,,53.3439,-8.4083,Ireland,IE,IRL,Galway,Galway,IE-G,county,,17.9,,,4,Europe/Dublin,FALSE,1372556059
Crohy,Crohy,An Chruach,54.9119,-8.4419,Ireland,IE,IRL,Donegal,Donegal,IE-DL,county,,15.2,,,4,Europe/Dublin,FALSE,1372058395
Hempstown,Hempstown,,53.2022,-6.5011,Ireland,IE,IRL,Wicklow,Wicklow,IE-WW,county,,38.5,,,4,Europe/Dublin,FALSE,1372440090
Killenoher,Killenoher,,52.7883,-7.6903,Ireland,IE,IRL,Tipperary,Tipperary,IE-TA,county,,11.7,,,4,Europe/Dublin,FALSE,1372371593
Loughamore,Loughamore,,53.3319,-9.7583,Ireland,IE,IRL,Galway,Galway,IE-G,county,,37.1,,,4,Europe/Dublin,FALSE,1372121587
Cloran and Corcullentry,Cloran and Corcullentry,,53.6400,-6.9773,Ireland,IE,IRL,Westmeath,Westmeath,IE-WH,county,,28.1,,,4,Europe/Dublin,FALSE,1372444792
Ashtree Cross Roads,Ashtree Cross Roads,,52.9586,-8.3482,Ireland,IE,IRL,Clare,Clare,IE-CE,county,,16.1,,,4,Europe/Dublin,FALSE,1372000071
Knockmore,Knockmore,,54.0519,-8.2512,Ireland,IE,IRL,Sligo,Sligo,IE-SO,county,,14.4,,,4,Europe/Dublin,FALSE,1372001930
Cranford,Cranford,Creamhghort,55.1439,-7.6964,Ireland,IE,IRL,Donegal,Donegal,IE-DL,county,,32.1,,,4,Europe/Dublin,FALSE,1372129898
