city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Douglas,Douglas,"Port Douglas",54.1500,-4.4775,"Isle of Man",IM,IMN,,,,,primary,2954.0,27938,27938,1,Europe/Isle_of_Man,FALSE,1833688345
Onchan,Onchan,Conchan,54.1750,-4.4550,"Isle of Man",IM,IMN,,,,,,385.4,9172,9172,3,Europe/Isle_of_Man,FALSE,1833737971
Ramsey,Ramsey,,54.3211,-4.3844,"Isle of Man",IM,IMN,,,,,,1670.1,7309,7309,3,Europe/Isle_of_Man,FALSE,1833166352
Peel,Peel,,54.2210,-4.6910,"Isle of Man",IM,IMN,,,,,,3559.8,5374,5374,2,Europe/Isle_of_Man,FALSE,1833068263
"Port Erin","Port Erin",,54.0860,-4.7560,"Isle of Man",IM,IMN,,,,,,1210.4,3530,3530,3,Europe/Isle_of_Man,FALSE,1833160869
Castletown,Castletown,,54.0740,-4.6540,"Isle of Man",IM,IMN,,,,,,1347.8,3100,3100,3,Europe/Isle_of_Man,FALSE,1833364128
"Port Saint Mary","Port Saint Mary","Port Mary",54.0749,-4.7389,"Isle of Man",IM,IMN,,,,,,1469.8,1957,1957,3,Europe/Isle_of_Man,FALSE,1833559906
Laxey,Laxey,,54.2278,-4.4019,"Isle of Man",IM,IMN,,,,,,621.2,1768,1768,3,Europe/Isle_of_Man,FALSE,1833058780
Andreas,Andreas,,54.3670,-4.4440,"Isle of Man",IM,IMN,,,,,,48.6,1428,1428,3,Europe/Isle_of_Man,FALSE,1833614731
Crosby,Crosby,,54.1833,-4.5667,"Isle of Man",IM,IMN,,,,,,105.6,900,900,4,Europe/Isle_of_Man,FALSE,1833737956
Colby,Colby,,54.0980,-4.7030,"Isle of Man",IM,IMN,,,,,,66.3,289,289,3,Europe/Isle_of_Man,FALSE,1833875212
Maughold,Maughold,"Saint Maughold",54.3000,-4.3167,"Isle of Man",IM,IMN,,,,,,28.6,,,4,Europe/Isle_of_Man,FALSE,1833942027
"Union Mills","Union Mills",,54.1680,-4.5210,"Isle of Man",IM,IMN,,,,,,107.0,,,4,Europe/Isle_of_Man,FALSE,1833292468
"Dog Mills","Dog Mills",,54.3500,-4.3833,"Isle of Man",IM,IMN,,,,,,16.6,,,4,Europe/Isle_of_Man,FALSE,1833000000
