city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"Tel Aviv-Yafo","Tel Aviv-Yafo","Tel Aviv|Tell Abīb|Tell Afif|Jaffa-Tel Aviv|Tel Aviv-Jaffa",32.0800,34.7800,Israel,IL,ISR,"Tel Aviv","Tel Aviv",IL-TA,district,admin,8857.9,1388400,460613,1,Asia/Jerusalem,FALSE,1376401542
Jerusalem,Jerusalem,,31.7789,35.2256,Israel,IL,ISR,Jerusalem,Jerusalem,IL-JM,district,primary,7466.3,936425,936425,1,Asia/Jerusalem,FALSE,1376261644
Haifa,Haifa,Caiffa|H̱efa|Heifā,32.8192,34.9992,Israel,IL,ISR,Haifa,Haifa,IL-HA,district,admin,4961.9,600000,282831,2,Asia/Jerusalem,FALSE,1376133727
"Rishon LeẔiyyon","Rishon LeZiyyon","‘Uyūn Qāra|Rishon Lsiyon|Rishon Le Zion|Rishon Letsiyon|Richon le Sion|Le Tsīyōn|Rishon le Ziyon|Ayun Kara|Rishon le Siyon|Rishon LeTsiyyon",31.9500,34.8000,Israel,IL,ISR,Central,Central,IL-M,district,,4234.9,249860,249860,2,Asia/Jerusalem,FALSE,1376642268
"Petaẖ Tiqwa","Petah Tiqwa","Petaẖ Tikva|Mulebbis|Tigrah|Pethah Tiqvā|Petah Tikwah",32.0889,34.8864,Israel,IL,ISR,Central,Central,IL-M,district,,6584.4,236169,236169,2,Asia/Jerusalem,FALSE,1376362310
Ashdod,Ashdod,"Ashdod on the Sea|Ukreir|Ashdod Yam",31.8000,34.6500,Israel,IL,ISR,Southern,Southern,IL-D,district,,4660.6,220174,220174,2,Asia/Jerusalem,FALSE,1376458766
Netanya,Netanya,Nathanya|Ntanya|Natanya,32.3286,34.8567,Israel,IL,ISR,Central,Central,IL-M,district,,1464.0,217200,217200,2,Asia/Jerusalem,FALSE,1376203187
Beersheba,Beersheba,"Bir es Sab‘|Bir el Saba|B’eyr-Sheva’|Bir es Sabe|Berséba|Bersabée|Be’ér Sheva|Be’er Sheva‘",31.2589,34.7997,Israel,IL,ISR,Southern,Southern,IL-D,district,admin,224.2,209000,209000,2,Asia/Jerusalem,FALSE,1376023307
Holon,Holon,,32.0167,34.7667,Israel,IL,ISR,"Tel Aviv","Tel Aviv",IL-TA,district,,9715.0,194300,194300,2,Asia/Jerusalem,FALSE,1376222772
"Bené Beraq","Bene Beraq","Benai Beraq|Benei Beraq|Beney Beraq|Bné Beraq",32.0833,34.8333,Israel,IL,ISR,"Tel Aviv","Tel Aviv",IL-TA,district,,12254.5,193774,193774,2,Asia/Jerusalem,FALSE,1376944837
"Ramat Gan","Ramat Gan",Gan,32.0700,34.8236,Israel,IL,ISR,"Tel Aviv","Tel Aviv",IL-TA,district,,12254.5,159200,159200,2,Asia/Jerusalem,FALSE,1376357911
Ashqelon,Ashqelon,"Majdal|El Medjdel|Ashkelon|Migdal Ascalon|Majdal ‘Asqalān|El Majdal|Ashquelon|Al Majdal|Migdal Gad|Migdal Ashqelon",31.6667,34.5667,Israel,IL,ISR,Southern,Southern,IL-D,district,,423.2,134454,134454,2,Asia/Jerusalem,FALSE,1376324059
Reẖovot,Rehovot,"Rhovot|Rehovoth|Khirbet Deirān|Ruhaybah",31.8969,34.8167,Israel,IL,ISR,Central,Central,IL-M,district,,1573.6,132671,132671,2,Asia/Jerusalem,FALSE,1376684821
"Bat Yam","Bat Yam",,32.0167,34.7500,Israel,IL,ISR,"Tel Aviv","Tel Aviv",IL-TA,district,,10149.4,128800,128800,2,Asia/Jerusalem,FALSE,1376837517
"Bet Shemesh","Bet Shemesh","Beit-Shemesh|Maabarat Hartuv",31.7456,34.9867,Israel,IL,ISR,Jerusalem,Jerusalem,IL-JM,district,,338.1,118700,118700,2,Asia/Jerusalem,FALSE,1376846832
"Kefar Sava","Kefar Sava","Kafr Sābā|Kufr Sāba|Kfar Saba|Kefr Saba|Kefár Saba|Kefr Sabba",32.1714,34.9083,Israel,IL,ISR,Central,Central,IL-M,district,,6720.0,100800,100800,2,Asia/Jerusalem,FALSE,1376008883
"Modi‘in Makkabbim Re‘ut","Modi`in Makkabbim Re`ut","Makkabbim|Makkabim|Makkabbim Re‘ut|Re‘ut|Modi‘in|Ramot Modi‘in|Naẖal Modi‘im|Gane Modi‘in",31.9077,35.0076,Israel,IL,ISR,Central,Central,IL-M,district,,1935.1,97097,97097,3,Asia/Jerusalem,FALSE,1376334230
Hadera,Hadera,"Haderah|Hudeira|El Khudeira|Hedora|Khederah|Hědērā|Hadeyra",32.4500,34.9167,Israel,IL,ISR,Haifa,Haifa,IL-HA,district,,1938.9,95700,95700,3,Asia/Jerusalem,FALSE,1376761209
Herẕliyya,Herzliyya,"Herzlia B|Hervlia B|Hervlia|Herzliya|Hertsliyah|Herseliya|Herzliyah|Hertsliyya",32.1653,34.8458,Israel,IL,ISR,"Tel Aviv","Tel Aviv",IL-TA,district,,4354.4,93989,93989,2,Asia/Jerusalem,FALSE,1376303805
Nazareth,Nazareth,"Natserat|Natsrat|Naẕerat|Natseret|Natséret|Naẕẕerat|En Nāsira|Nātsrat",32.7019,35.3033,Israel,IL,ISR,Northern,Northern,IL-Z,district,admin,1402.3,83400,83400,2,Asia/Jerusalem,FALSE,1376505625
Lod,Lod,Lidd|Lūd|Lydda|Ludd,31.9519,34.8881,Israel,IL,ISR,Central,Central,IL-M,district,,540.0,75700,75700,3,Asia/Jerusalem,FALSE,1376929543
