city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Casale Zappulla,Casale Zappulla,Zappulla,36.7667,14.8000,Italy,IT,ITA,Sicilia,Sicilia,IT-82,autonomous region,,7.0,,,5,Europe/Rome,FALSE,1380509739
Tofe,Tofe,,42.8833,13.3000,Italy,IT,ITA,Marche,Marche,IT-57,region,,4.3,,,5,Europe/Rome,FALSE,1380089693
Santa Paola,Santa Paola,,44.0339,12.3056,Italy,IT,ITA,Emilia-Romagna,Emilia-Romagna,IT-45,region,,178.2,,,4,Europe/Rome,FALSE,1380250444
Podere San Pancrazio,Podere San Pancrazio,,44.7167,11.3833,Italy,IT,ITA,Emilia-Romagna,Emilia-Romagna,IT-45,region,,193.9,,,4,Europe/Rome,FALSE,1380450247
Marina Serra,Marina Serra,La Serra,39.9131,18.3904,Italy,IT,ITA,Puglia,Puglia,IT-75,region,,157.3,,,4,Europe/Rome,FALSE,1380905645
Pozzo Cocuzza,Pozzo Cocuzza,,37.1333,14.7333,Italy,IT,ITA,Sicilia,Sicilia,IT-82,autonomous region,,0.7,,,5,Europe/Rome,FALSE,1380071247
Pradielis,Pradielis,,46.2798,13.2611,Italy,IT,ITA,Friuli Venezia Giulia,Friuli Venezia Giulia,IT-36,region,,67.5,,,4,Europe/Rome,FALSE,1380621698
Plata,Plata,,46.8223,11.1758,Italy,IT,ITA,Trentino-Alto Adige,Trentino-Alto Adige,IT-32,autonomous region,,441.4,,,3,Europe/Rome,FALSE,1380341822
Monte di Fuori,Monte di Fuori,,46.7167,12.3333,Italy,IT,ITA,Trentino-Alto Adige,Trentino-Alto Adige,IT-32,autonomous region,,1.7,,,5,Europe/Rome,FALSE,1380274082
Montagna,Montagna,,39.9013,15.9212,Italy,IT,ITA,Calabria,Calabria,IT-78,region,,94.3,,,4,Europe/Rome,FALSE,1380758320
Sòis,Sois,,46.1325,12.1678,Italy,IT,ITA,Veneto,Veneto,IT-34,region,,317.7,,,3,Europe/Rome,FALSE,1380019771
San Gottardo,San Gottardo,San Gouardo,46.1682,12.1144,Italy,IT,ITA,Veneto,Veneto,IT-34,region,,54.9,,,4,Europe/Rome,FALSE,1380289688
Sant’Angelo in Formis,Sant'Angelo in Formis,,41.1184,14.2604,Italy,IT,ITA,Campania,Campania,IT-72,region,,1075.9,,,3,Europe/Rome,FALSE,1380550079
Luignano,Luignano,,45.2159,9.9033,Italy,IT,ITA,Lombardy,Lombardy,IT-25,region,,29.3,,,4,Europe/Rome,FALSE,1380513530
Piumazzo,Piumazzo,,44.5461,11.0697,Italy,IT,ITA,Emilia-Romagna,Emilia-Romagna,IT-45,region,,99.5,,,4,Europe/Rome,FALSE,1380347729
San Biase,San Biase,San Blase,40.2034,15.2820,Italy,IT,ITA,Campania,Campania,IT-72,region,,553.0,,,3,Europe/Rome,FALSE,1380822876
San Biase,San Biase,,39.2242,16.0906,Italy,IT,ITA,Calabria,Calabria,IT-78,region,,216.3,,,3,Europe/Rome,FALSE,1380242775
Breccanecca,Breccanecca,,44.3336,9.3675,Italy,IT,ITA,Liguria,Liguria,IT-42,region,,123.8,,,4,Europe/Rome,FALSE,1380814847
Sant’Anna,Sant'Anna,Santa Anna|Lucca Borgo Sant’Anna,43.8333,10.4833,Italy,IT,ITA,Tuscany,Tuscany,IT-52,region,,266.6,,,3,Europe/Rome,FALSE,1380878239
Sant’Anna,Sant'Anna,San Anna,42.8000,10.3667,Italy,IT,ITA,Tuscany,Tuscany,IT-52,region,,8.5,,,5,Europe/Rome,TRUE,1380491080
Vicolo Rancolfo,Vicolo Rancolfo,,43.2333,12.4167,Italy,IT,ITA,Umbria,Umbria,IT-55,region,,137.6,,,4,Europe/Rome,FALSE,1380015300
Drò,Dro,,45.9667,10.9000,Italy,IT,ITA,Trentino-Alto Adige,Trentino-Alto Adige,IT-32,autonomous region,,18.0,,,4,Europe/Rome,FALSE,1380004719
