city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Dangouasso,Dangouasso,,7.9094,-4.3561,Côte d’Ivoire,CI,CIV,Vallée du Bandama,Vallee du Bandama,CI-VB,district,,35.6,,,4,Africa/Abidjan,FALSE,1384369864
Déma,Dema,,7.3083,-6.4819,Côte d’Ivoire,CI,CIV,Sassandra-Marahoué,Sassandra-Marahoue,CI-SM,district,,220.4,,,3,Africa/Abidjan,FALSE,1384795452
Moromoro,Moromoro,,9.7383,-4.2394,Côte d’Ivoire,CI,CIV,Zanzan,Zanzan,CI-ZZ,district,,14.1,,,4,Africa/Abidjan,FALSE,1384495364
Manzanouan,Manzanouan,,7.2000,-2.9833,Côte d’Ivoire,CI,CIV,Zanzan,Zanzan,CI-ZZ,district,,70.1,,,4,Africa/Abidjan,FALSE,1384547356
Akoumiakro,Akoumiakro,,7.8742,-5.5787,Côte d’Ivoire,CI,CIV,Vallée du Bandama,Vallee du Bandama,CI-VB,district,,81.8,,,4,Africa/Abidjan,FALSE,1384942953
Kéliéguhé,Kelieguhe,,6.5648,-6.8480,Côte d’Ivoire,CI,CIV,Sassandra-Marahoué,Sassandra-Marahoue,CI-SM,district,,73.1,,,4,Africa/Abidjan,FALSE,1384580028
Guinglo,Guinglo,Guiglo,6.8906,-7.4879,Côte d’Ivoire,CI,CIV,Montagnes,Montagnes,CI-MG,district,,177.2,,,4,Africa/Abidjan,FALSE,1384116474
Kamonokaha,Kamonokaha,,9.4551,-4.8213,Côte d’Ivoire,CI,CIV,Savanes,Savanes,CI-SV,district,,12.7,,,4,Africa/Abidjan,FALSE,1384469505
Sambadougou,Sambadougou,,8.6122,-7.2344,Côte d’Ivoire,CI,CIV,Denguélé,Denguele,CI-DN,district,,25.3,,,4,Africa/Abidjan,FALSE,1384494225
Wangaré,Wangare,,8.2219,-3.0505,Côte d’Ivoire,CI,CIV,Zanzan,Zanzan,CI-ZZ,district,,63.3,,,4,Africa/Abidjan,FALSE,1384533312
Douopo,Douopo,,4.4441,-7.3131,Côte d’Ivoire,CI,CIV,Bas-Sassandra,Bas-Sassandra,CI-BS,district,,100.6,,,4,Africa/Abidjan,FALSE,1384883671
Béhéké,Beheke,,7.7349,-5.2614,Côte d’Ivoire,CI,CIV,Vallée du Bandama,Vallee du Bandama,CI-VB,district,,101.4,,,4,Africa/Abidjan,FALSE,1384306714
Lecré Oboka,Lecre Oboka,,5.2889,-4.3175,Côte d’Ivoire,CI,CIV,Lagunes,Lagunes,CI-LG,district,,214.9,,,3,Africa/Abidjan,FALSE,1384927720
Daliguépa,Daliguepa,,6.1429,-5.8852,Côte d’Ivoire,CI,CIV,Gôh-Djiboua,Goh-Djiboua,CI-GD,district,,291.8,,,3,Africa/Abidjan,FALSE,1384179794
Gama,Gama,,9.0586,-6.2231,Côte d’Ivoire,CI,CIV,Savanes,Savanes,CI-SV,district,,24.0,,,4,Africa/Abidjan,FALSE,1384826707
Malamalakro,Malamalakro,,5.2437,-2.9706,Côte d’Ivoire,CI,CIV,Comoé,Comoe,CI-CM,district,,199.4,,,4,Africa/Abidjan,FALSE,1384043935
Kouakakro,Kouakakro,,7.4462,-5.0961,Côte d’Ivoire,CI,CIV,Vallée du Bandama,Vallee du Bandama,CI-VB,district,,112.2,,,4,Africa/Abidjan,FALSE,1384850415
Darabougou,Darabougou,,9.3827,-4.7687,Côte d’Ivoire,CI,CIV,Savanes,Savanes,CI-SV,district,,12.7,,,4,Africa/Abidjan,FALSE,1384194904
Mahibouo,Mahibouo,Mahiboua,6.0490,-5.9215,Côte d’Ivoire,CI,CIV,Gôh-Djiboua,Goh-Djiboua,CI-GD,district,,198.9,,,4,Africa/Abidjan,FALSE,1384711136
Arrah,Arrah,Arra,6.6734,-3.9694,Côte d’Ivoire,CI,CIV,Lacs,Lacs,CI-LC,district,minor,50.9,,,3,Africa/Abidjan,FALSE,1384761306
Patanou,Patanou,,7.4306,-5.3034,Côte d’Ivoire,CI,CIV,Vallée du Bandama,Vallee du Bandama,CI-VB,district,,56.0,,,4,Africa/Abidjan,FALSE,1384070289
Dabé,Dabe,,8.7592,-6.9169,Côte d’Ivoire,CI,CIV,Woroba,Woroba,CI-WR,district,,7.7,,,5,Africa/Abidjan,FALSE,1384815049
Nionlé Gouépleu,Nionle Gouepleu,Gbépleu,7.1615,-7.7902,Côte d’Ivoire,CI,CIV,Montagnes,Montagnes,CI-MG,district,,110.9,,,4,Africa/Abidjan,FALSE,1384957136
Kablaké Wappou,Kablake Wappou,Wapou|Kablaké Ouappou|Wappu|Ouappou|Kablaké,4.5173,-7.1925,Côte d’Ivoire,CI,CIV,Bas-Sassandra,Bas-Sassandra,CI-BS,district,,74.3,,,4,Africa/Abidjan,FALSE,1384328207
Païmoko,Paimoko,,9.5021,-3.4204,Côte d’Ivoire,CI,CIV,Zanzan,Zanzan,CI-ZZ,district,,44.3,,,4,Africa/Abidjan,FALSE,1384901005
Badikaha,Badikaha,Bad-Kaha|Gbadi-Kaha|Gbadi,9.1917,-5.1650,Côte d’Ivoire,CI,CIV,Vallée du Bandama,Vallee du Bandama,CI-VB,district,,34.7,,,4,Africa/Abidjan,FALSE,1384929103
Kouénoufla Don,Kouenoufla Don,Kouénoufla,7.3545,-6.7515,Côte d’Ivoire,CI,CIV,Sassandra-Marahoué,Sassandra-Marahoue,CI-SM,district,,53.9,,,4,Africa/Abidjan,FALSE,1384585450
Sombo,Sombo,,5.8635,-4.0506,Côte d’Ivoire,CI,CIV,Lagunes,Lagunes,CI-LG,district,,170.1,,,4,Africa/Abidjan,FALSE,1384394220
Tulé,Tule,,7.9347,-6.1308,Côte d’Ivoire,CI,CIV,Woroba,Woroba,CI-WR,district,,80.1,,,4,Africa/Abidjan,FALSE,1384165160
Djamalabo,Djamalabo,Diamalabo|Agpessé,7.5887,-4.9555,Côte d’Ivoire,CI,CIV,Vallée du Bandama,Vallee du Bandama,CI-VB,district,,370.3,,,3,Africa/Abidjan,FALSE,1384606293
Moyako,Moyako,Moroyako,8.9015,-7.1253,Côte d’Ivoire,CI,CIV,Woroba,Woroba,CI-WR,district,,7.7,,,5,Africa/Abidjan,FALSE,1384252352
Guégouen,Guegouen,,7.5664,-7.6920,Côte d’Ivoire,CI,CIV,Montagnes,Montagnes,CI-MG,district,,84.6,,,4,Africa/Abidjan,FALSE,1384541627
Sotité,Sotite,,9.3333,-3.1667,Côte d’Ivoire,CI,CIV,Zanzan,Zanzan,CI-ZZ,district,,27.7,,,4,Africa/Abidjan,FALSE,1384907663
Makey,Makey,Maké,5.2111,-5.1483,Côte d’Ivoire,CI,CIV,Lagunes,Lagunes,CI-LG,district,,80.2,,,4,Africa/Abidjan,FALSE,1384720814
Barou,Barou,,5.5667,-7.3167,Côte d’Ivoire,CI,CIV,Bas-Sassandra,Bas-Sassandra,CI-BS,district,,35.7,,,4,Africa/Abidjan,FALSE,1384741812
Braffo Diby,Braffo Diby,,5.5914,-4.4630,Côte d’Ivoire,CI,CIV,Lagunes,Lagunes,CI-LG,district,,72.6,,,4,Africa/Abidjan,FALSE,1384007672
Zikagbeu,Zikagbeu,Zikagbe|Zikaboué,6.7561,-6.8912,Côte d’Ivoire,CI,CIV,Sassandra-Marahoué,Sassandra-Marahoue,CI-SM,district,,86.1,,,4,Africa/Abidjan,FALSE,1384633736
Nabapévogo,Nabapevogo,,10.0833,-5.5500,Côte d’Ivoire,CI,CIV,Savanes,Savanes,CI-SV,district,,50.2,,,4,Africa/Abidjan,FALSE,1384005309
Tonantouo,Tonantouo,,7.1177,-8.2236,Côte d’Ivoire,CI,CIV,Montagnes,Montagnes,CI-MG,district,,139.0,,,4,Africa/Abidjan,FALSE,1384979145
Wékélé,Wekele,,8.5729,-3.9002,Côte d’Ivoire,CI,CIV,Zanzan,Zanzan,CI-ZZ,district,,16.9,,,4,Africa/Abidjan,FALSE,1384791046
Tokoguéagui,Tokogueagui,Taogréagui,5.5089,-6.5861,Côte d’Ivoire,CI,CIV,Bas-Sassandra,Bas-Sassandra,CI-BS,district,,157.0,,,4,Africa/Abidjan,FALSE,1384006512
Akaffou Yapi,Akaffou Yapi,,5.8843,-4.0497,Côte d’Ivoire,CI,CIV,Lagunes,Lagunes,CI-LG,district,,170.1,,,4,Africa/Abidjan,FALSE,1384316642
Aouan,Aouan,Ahouan,7.5194,-3.6675,Côte d’Ivoire,CI,CIV,Lacs,Lacs,CI-LC,district,,23.0,,,4,Africa/Abidjan,FALSE,1384220227
Bera,Bera,,5.9400,-4.3899,Côte d’Ivoire,CI,CIV,Lagunes,Lagunes,CI-LG,district,,111.9,,,4,Africa/Abidjan,FALSE,1384250683
Safolo,Safolo,,8.2980,-4.3833,Côte d’Ivoire,CI,CIV,Vallée du Bandama,Vallee du Bandama,CI-VB,district,,35.9,,,4,Africa/Abidjan,FALSE,1384889672
Bériaboukro,Beriaboukro,,6.3833,-5.3000,Côte d’Ivoire,CI,CIV,Lacs,Lacs,CI-LC,district,,106.8,,,4,Africa/Abidjan,FALSE,1384089555
Diénakouro,Dienakouro,Diénadougou,7.8653,-3.7054,Côte d’Ivoire,CI,CIV,Zanzan,Zanzan,CI-ZZ,district,,23.5,,,4,Africa/Abidjan,FALSE,1384645616
