city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Stonehenge,Stonehenge,,18.3833,-77.5500,Jamaica,JM,JAM,Trelawny,Trelawny,JM-07,parish,,87.0,,,4,America/Jamaica,FALSE,1388802694
Box,Box,,18.4667,-77.9333,Jamaica,JM,JAM,Saint James,Saint James,JM-08,parish,,321.9,,,3,America/Jamaica,FALSE,1388290464
Adelphi,Adelphi,,18.4467,-77.7931,Jamaica,JM,JAM,Saint James,Saint James,JM-08,parish,,321.9,,,3,America/Jamaica,FALSE,1388194081
The Lodge,The Lodge,,18.1333,-77.0333,Jamaica,JM,JAM,Saint Catherine,Saint Catherine,JM-14,parish,,459.3,,,3,America/Jamaica,FALSE,1388530044
Knutsford,Knutsford,,18.3500,-77.3667,Jamaica,JM,JAM,Saint Ann,Saint Ann,JM-06,parish,,144.5,,,4,America/Jamaica,FALSE,1388104125
Crawford,Crawford,Crawfords,18.0417,-77.9111,Jamaica,JM,JAM,Saint Elizabeth,Saint Elizabeth,JM-11,parish,,127.6,,,4,America/Jamaica,FALSE,1388302113
Pedro,Pedro,Pedro Farm,18.2810,-77.1997,Jamaica,JM,JAM,Saint Ann,Saint Ann,JM-06,parish,,144.5,,,4,America/Jamaica,FALSE,1388318281
Crescent Park,Crescent Park,Cresent Park,18.3125,-77.1452,Jamaica,JM,JAM,Saint Ann,Saint Ann,JM-06,parish,,144.5,,,4,America/Jamaica,FALSE,1388488697
Dover,Dover,Dove,18.2605,-76.7050,Jamaica,JM,JAM,Portland,Portland,JM-04,parish,,168.4,,,4,America/Jamaica,FALSE,1388499438
Ironshore,Ironshore,,18.5174,-77.8637,Jamaica,JM,JAM,Saint James,Saint James,JM-08,parish,,321.9,,,3,America/Jamaica,FALSE,1388314128
Clarks Town,Clarks Town,Clark Town|Clarke’s Town,18.4000,-77.2167,Jamaica,JM,JAM,Saint Ann,Saint Ann,JM-06,parish,,144.5,,,4,America/Jamaica,FALSE,1388907181
Clarks Town,Clarks Town,,18.4090,-77.5420,Jamaica,JM,JAM,Trelawny,Trelawny,JM-07,parish,,87.0,,,4,America/Jamaica,FALSE,1388660935
Limetree Valley,Limetree Valley,,18.3000,-77.2167,Jamaica,JM,JAM,Saint Ann,Saint Ann,JM-06,parish,,144.5,,,4,America/Jamaica,FALSE,1388192470
Mount Pleasant,Mount Pleasant,,18.3683,-78.2935,Jamaica,JM,JAM,Hanover,Hanover,JM-09,parish,,157.1,,,4,America/Jamaica,FALSE,1388117449
Woodlands,Woodlands,,17.9000,-77.4833,Jamaica,JM,JAM,Manchester,Manchester,JM-12,parish,,234.9,,,3,America/Jamaica,FALSE,1388267613
Woodlands,Woodlands,Woodlands Pen,17.9667,-76.9500,Jamaica,JM,JAM,Saint Catherine,Saint Catherine,JM-14,parish,,459.3,,,3,America/Jamaica,FALSE,1388388471
Mexico,Mexico,,18.1813,-77.6648,Jamaica,JM,JAM,Saint Elizabeth,Saint Elizabeth,JM-11,parish,,127.6,,,4,America/Jamaica,FALSE,1388205617
Epworth,Epworth,,18.3716,-77.1400,Jamaica,JM,JAM,Saint Ann,Saint Ann,JM-06,parish,,144.5,,,4,America/Jamaica,FALSE,1388228884
Mount Pleasant,Mount Pleasant,,18.1106,-76.7926,Jamaica,JM,JAM,Saint Andrew,Saint Andrew,JM-02,parish,,1341.3,,,3,America/Jamaica,FALSE,1388809628
The Alps,The Alps,Alps,18.3333,-77.5167,Jamaica,JM,JAM,Trelawny,Trelawny,JM-07,parish,,87.0,,,4,America/Jamaica,FALSE,1388931154
Hopeton,Hopeton,Hopeton House,18.1678,-77.9469,Jamaica,JM,JAM,Westmoreland,Westmoreland,JM-10,parish,,188.2,,,4,America/Jamaica,FALSE,1388357260
Hopeton,Hopeton,,17.9602,-77.6667,Jamaica,JM,JAM,Saint Elizabeth,Saint Elizabeth,JM-11,parish,,127.6,,,4,America/Jamaica,FALSE,1388411773
Mount Pleasant,Mount Pleasant,,18.2667,-77.1167,Jamaica,JM,JAM,Saint Ann,Saint Ann,JM-06,parish,,144.5,,,4,America/Jamaica,FALSE,1388311346
Cacoon Castle,Cacoon Castle,,18.4030,-78.0148,Jamaica,JM,JAM,Hanover,Hanover,JM-09,parish,,157.1,,,4,America/Jamaica,FALSE,1388341255
Panton Town,Panton Town,,17.9167,-76.3500,Jamaica,JM,JAM,Saint Thomas,Saint Thomas,JM-03,parish,,130.4,,,4,America/Jamaica,FALSE,1388898903
Spicy Grove,Spicy Grove,,18.3972,-76.9483,Jamaica,JM,JAM,Saint Mary,Saint Mary,JM-05,parish,,183.3,,,4,America/Jamaica,FALSE,1388320147
Spicy Grove,Spicy Grove,,18.2480,-76.7362,Jamaica,JM,JAM,Saint Mary,Saint Mary,JM-05,parish,,183.3,,,4,America/Jamaica,TRUE,1388173445
Seville,Seville,,18.4427,-77.2210,Jamaica,JM,JAM,Saint Ann,Saint Ann,JM-06,parish,,144.5,,,4,America/Jamaica,FALSE,1388955833
Rosend,Rosend,,18.2968,-76.8379,Jamaica,JM,JAM,Saint Mary,Saint Mary,JM-05,parish,,183.3,,,4,America/Jamaica,FALSE,1388056587
Tower Hill,Tower Hill,,18.0128,-76.6510,Jamaica,JM,JAM,Saint Andrew,Saint Andrew,JM-02,parish,,1341.3,,,3,America/Jamaica,FALSE,1388073671
Eltham,Eltham,,18.4017,-77.0746,Jamaica,JM,JAM,Saint Ann,Saint Ann,JM-06,parish,,144.5,,,4,America/Jamaica,FALSE,1388779357
Rennals,Rennals,,18.0667,-77.1167,Jamaica,JM,JAM,Saint Catherine,Saint Catherine,JM-14,parish,,459.3,,,3,America/Jamaica,FALSE,1388843033
Union,Union,,18.3500,-77.0667,Jamaica,JM,JAM,Saint Ann,Saint Ann,JM-06,parish,,144.5,,,4,America/Jamaica,FALSE,1388397069
Caswell Hill,Caswell Hill,,17.8500,-77.2667,Jamaica,JM,JAM,Clarendon,Clarendon,JM-13,parish,,210.9,,,3,America/Jamaica,FALSE,1388988220
Christianfield Village,Christianfield Village,,18.1500,-76.5333,Jamaica,JM,JAM,Portland,Portland,JM-04,parish,,99.4,,,4,America/Jamaica,FALSE,1388917622
Constitution Hill,Constitution Hill,,18.0141,-76.7113,Jamaica,JM,JAM,Saint Andrew,Saint Andrew,JM-02,parish,,1341.3,,,3,America/Jamaica,FALSE,1388030973
Seven Oaks,Seven Oaks,,18.4500,-77.3500,Jamaica,JM,JAM,Saint Ann,Saint Ann,JM-06,parish,,144.5,,,4,America/Jamaica,FALSE,1388066856
Somerset,Somerset,Somersett,18.0667,-77.5500,Jamaica,JM,JAM,Manchester,Manchester,JM-12,parish,,234.9,,,3,America/Jamaica,FALSE,1388151664
