city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Kingston,Kingston,,17.9714,-76.7931,Jamaica,JM,JAM,Kingston,Kingston,JM-01,parish,primary,1208.3,580000,580000,1,America/Jamaica,FALSE,1388709177
Portmore,Portmore,,17.9500,-76.8799,Jamaica,JM,JAM,"Saint Catherine","Saint Catherine",JM-14,parish,,459.3,156469,156469,2,America/Jamaica,FALSE,1388926551
"Spanish Town","Spanish Town","Saint Jago de la Vega",17.9959,-76.9551,Jamaica,JM,JAM,"Saint Catherine","Saint Catherine",JM-14,parish,admin,459.3,131056,131056,2,America/Jamaica,FALSE,1388689196
"Montego Bay","Montego Bay","Montego|Mantica Bahia",18.4667,-77.9167,Jamaica,JM,JAM,"Saint James","Saint James",JM-08,parish,admin,321.9,97890,97890,2,America/Jamaica,FALSE,1388955058
"Half Way Tree","Half Way Tree",,18.0106,-76.7847,Jamaica,JM,JAM,"Saint Andrew","Saint Andrew",JM-02,parish,admin,1341.3,96494,96494,2,America/Jamaica,FALSE,1388715163
"May Pen","May Pen",,17.9650,-77.2450,Jamaica,JM,JAM,Clarendon,Clarendon,JM-13,parish,admin,210.9,61548,61548,2,America/Jamaica,FALSE,1388671677
Mandeville,Mandeville,,18.0333,-77.5000,Jamaica,JM,JAM,Manchester,Manchester,JM-12,parish,admin,234.9,48317,48317,2,America/Jamaica,FALSE,1388493847
"Old Harbour","Old Harbour","Old Harbor",17.9333,-77.1167,Jamaica,JM,JAM,"Saint Catherine","Saint Catherine",JM-14,parish,,459.3,28665,28665,3,America/Jamaica,FALSE,1388632984
Linstead,Linstead,,18.1368,-77.0317,Jamaica,JM,JAM,"Saint Catherine","Saint Catherine",JM-14,parish,,459.3,22757,22757,3,America/Jamaica,FALSE,1388611853
Savanna-la-Mar,Savanna-la-Mar,"Savannah la Mar",18.2167,-78.1333,Jamaica,JM,JAM,Westmoreland,Westmoreland,JM-10,parish,admin,188.2,22600,22600,2,America/Jamaica,FALSE,1388690384
"Ocho Rios","Ocho Rios","Las Chorreras|Ocho Rios Bay",18.4167,-77.1167,Jamaica,JM,JAM,"Saint Ann","Saint Ann",JM-06,parish,,144.5,16671,16671,3,America/Jamaica,FALSE,1388472214
"Port Antonio","Port Antonio","Saint Francois",18.1757,-76.4503,Jamaica,JM,JAM,Portland,Portland,JM-04,parish,admin,99.4,14816,14816,2,America/Jamaica,FALSE,1388024275
"Bog Walk","Bog Walk","Bog Walk Village",18.1020,-77.0054,Jamaica,JM,JAM,"Saint Catherine","Saint Catherine",JM-14,parish,,459.3,13889,13889,3,America/Jamaica,FALSE,1388794020
Ewarton,Ewarton,,18.1833,-77.0833,Jamaica,JM,JAM,"Saint Catherine","Saint Catherine",JM-14,parish,,459.3,13807,13807,3,America/Jamaica,FALSE,1388307474
"Saint Ann’s Bay","Saint Ann's Bay","Santa Gloria",18.4360,-77.2020,Jamaica,JM,JAM,"Saint Ann","Saint Ann",JM-06,parish,admin,144.5,13671,13671,2,America/Jamaica,FALSE,1388256334
"Port Morant","Port Morant",,17.9000,-76.3167,Jamaica,JM,JAM,"Saint Thomas","Saint Thomas",JM-03,parish,,130.4,11536,11536,3,America/Jamaica,FALSE,1388362870
"Morant Bay","Morant Bay",Morant,17.8819,-76.4074,Jamaica,JM,JAM,"Saint Thomas","Saint Thomas",JM-03,parish,admin,130.4,11121,11121,2,America/Jamaica,FALSE,1388124588
"Browns Town","Browns Town",,18.3919,-77.3669,Jamaica,JM,JAM,"Saint Ann","Saint Ann",JM-06,parish,,144.5,7923,7923,3,America/Jamaica,FALSE,1388441725
