city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Nishi-sayagatanimachi,Nishi-sayagatanimachi,,33.8760,130.8305,Japan,JP,JPN,Fukuoka,Fukuoka,JP-40,prefecture,,2004.3,,,2,Asia/Tokyo,FALSE,1392974527
Shirahamachō,Shirahamacho,,36.0824,136.0292,Japan,JP,JPN,Fukui,Fukui,JP-18,prefecture,,478.8,,,3,Asia/Tokyo,FALSE,1392000538
Isomitsu,Isomitsu,,33.7167,130.6824,Japan,JP,JPN,Fukuoka,Fukuoka,JP-40,prefecture,,216.5,,,3,Asia/Tokyo,FALSE,1392531455
Daikokumachi,Daikokumachi,,33.6278,130.7967,Japan,JP,JPN,Fukuoka,Fukuoka,JP-40,prefecture,,932.0,,,3,Asia/Tokyo,FALSE,1392463384
Sukawa,Sukawa,Sugawa,35.3500,138.9500,Japan,JP,JPN,Shizuoka,Shizuoka,JP-22,prefecture,,153.4,,,4,Asia/Tokyo,FALSE,1392485880
Hikida,Hikida,,35.4651,140.0959,Japan,JP,JPN,Chiba,Chiba,JP-12,prefecture,,802.7,,,3,Asia/Tokyo,FALSE,1392669623
Hikida,Hikida,,35.2837,140.2942,Japan,JP,JPN,Chiba,Chiba,JP-12,prefecture,,274.4,,,3,Asia/Tokyo,TRUE,1392881527
Shinkado,Shinkado,,33.6901,130.8005,Japan,JP,JPN,Fukuoka,Fukuoka,JP-40,prefecture,,690.3,,,3,Asia/Tokyo,FALSE,1392305462
Kurijima,Kurijima,Kurishima,34.8659,138.0755,Japan,JP,JPN,Shizuoka,Shizuoka,JP-22,prefecture,,312.2,,,3,Asia/Tokyo,FALSE,1392963949
Kasuga,Kasuga,,38.3466,141.0057,Japan,JP,JPN,Miyagi,Miyagi,JP-04,prefecture,,745.2,,,3,Asia/Tokyo,FALSE,1392740700
Tateishi,Tateishi,Hiraizumi,38.9833,141.1167,Japan,JP,JPN,Iwate,Iwate,JP-03,prefecture,,120.3,,,4,Asia/Tokyo,FALSE,1392007825
Iwatomi,Iwatomi,,35.2733,139.9148,Japan,JP,JPN,Chiba,Chiba,JP-12,prefecture,,246.7,,,3,Asia/Tokyo,FALSE,1392322946
Ishihama,Ishihama,,39.0167,141.7000,Japan,JP,JPN,Iwate,Iwate,JP-03,prefecture,,116.2,,,4,Asia/Tokyo,FALSE,1392885743
Ishihama,Ishihama,,39.5167,142.0333,Japan,JP,JPN,Iwate,Iwate,JP-03,prefecture,,43.4,,,4,Asia/Tokyo,TRUE,1392015531
Ōfunatsu,Ofunatsu,,35.9503,140.6222,Japan,JP,JPN,Ibaraki,Ibaraki,JP-08,prefecture,,745.9,,,3,Asia/Tokyo,FALSE,1392785389
Ishihama,Ishihama,,38.9132,141.6460,Japan,JP,JPN,Miyagi,Miyagi,JP-04,prefecture,,216.6,,,3,Asia/Tokyo,FALSE,1392624886
