city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"Saint Helier","Saint Helier",,49.1858,-2.1100,Jersey,JE,JEY,,,,,primary,3162.5,33522,33522,1,Europe/Jersey,FALSE,1832490253
"Saint John’s Church","Saint John's Church","Saint John’s|Saint Jean|St. John’s Church|Saint John",49.2456,-2.1386,Jersey,JE,JEY,,,,,,335.5,,,3,Europe/Jersey,FALSE,1832239765
"La Falaise","La Falaise",,49.2494,-2.1689,Jersey,JE,JEY,,,,,,283.2,,,3,Europe/Jersey,FALSE,1832306637
Gorey,Gorey,Gouray,49.1994,-2.0194,Jersey,JE,JEY,,,,,,372.7,,,3,Europe/Jersey,FALSE,1832733403
Portinfer,Portinfer,,49.2511,-2.2258,Jersey,JE,JEY,,,,,,277.2,,,3,Europe/Jersey,FALSE,1832377993
"Le Rondin","Le Rondin",,49.2389,-2.1811,Jersey,JE,JEY,,,,,,295.7,,,3,Europe/Jersey,FALSE,1832293635
"La Villaise","La Villaise",,49.2408,-2.2367,Jersey,JE,JEY,,,,,,277.2,,,3,Europe/Jersey,FALSE,1832763711
"Lower Blanc Pignon","Lower Blanc Pignon",,49.1947,-2.1622,Jersey,JE,JEY,,,,,,584.5,,,3,Europe/Jersey,FALSE,1832802512
"Grand Chemins","Grand Chemins",,49.2000,-2.0667,Jersey,JE,JEY,,,,,,1578.7,,,3,Europe/Jersey,FALSE,1832057936
"Six Rues","Six Rues",,49.2333,-2.1500,Jersey,JE,JEY,,,,,,626.6,,,3,Europe/Jersey,FALSE,1832451188
Beaumont,Beaumont,,49.1964,-2.1586,Jersey,JE,JEY,,,,,,584.5,,,3,Europe/Jersey,FALSE,1832704259
"Bel Royal","Bel Royal",,49.1981,-2.1472,Jersey,JE,JEY,,,,,,626.6,,,3,Europe/Jersey,FALSE,1832000000
"Ville au Bas","Ville au Bas","La Ville au Bas",49.2264,-2.2122,Jersey,JE,JEY,,,,,,277.2,,,3,Europe/Jersey,FALSE,1832134939
"Mont Fiquet","Mont Fiquet","Le Mont Ficquet",49.1797,-2.2142,Jersey,JE,JEY,,,,,,753.8,,,3,Europe/Jersey,FALSE,1832692088
"Mont Mado","Mont Mado","Mount Mado|Le Mont Mado",49.2469,-2.1242,Jersey,JE,JEY,,,,,,335.5,,,3,Europe/Jersey,FALSE,1832721104
"Grand Mourier","Grand Mourier",,49.2553,-2.1483,Jersey,JE,JEY,,,,,,335.5,,,3,Europe/Jersey,FALSE,1832172954
Longueville,Longueville,,49.1833,-2.0833,Jersey,JE,JEY,,,,,,1831.1,,,3,Europe/Jersey,FALSE,1832895898
"Ville ès Nouaux","Ville es Nouaux","La Ville ès Nouaux",49.1947,-2.1286,Jersey,JE,JEY,,,,,,3813.1,,,2,Europe/Jersey,FALSE,1832037348
"Ville Bagot","Ville Bagot","La Ville Bagot",49.2436,-2.2075,Jersey,JE,JEY,,,,,,277.3,,,3,Europe/Jersey,FALSE,1832754254
Rozel,Rozel,"Rozel Seigneurie",49.2364,-2.0461,Jersey,JE,JEY,,,,,,306.0,,,3,Europe/Jersey,FALSE,1832592465
"La Haule","La Haule",,49.1833,-2.1833,Jersey,JE,JEY,,,,,,753.8,,,3,Europe/Jersey,FALSE,1832946012
"Ville des Quennevais","Ville des Quennevais","Ville ès Quenvais|La Ville des Quennevais|Ville des Quenvais",49.2019,-2.2003,Jersey,JE,JEY,,,,,,585.5,,,3,Europe/Jersey,FALSE,1832041323
"Saint Aubin","Saint Aubin","Saint Aubyn",49.1875,-2.1706,Jersey,JE,JEY,,,,,,753.8,,,3,Europe/Jersey,FALSE,1832367627
"La Hougue","La Hougue",,49.2167,-2.2167,Jersey,JE,JEY,,,,,,278.0,,,3,Europe/Jersey,FALSE,1832331893
Perruque,Perruque,"La Perruqe",49.2517,-2.1442,Jersey,JE,JEY,,,,,,335.5,,,3,Europe/Jersey,FALSE,1832889954
"La Moye","La Moye",,49.1822,-2.2222,Jersey,JE,JEY,,,,,,753.8,,,3,Europe/Jersey,FALSE,1832250239
"Les Creux","Les Creux",,49.1806,-2.2056,Jersey,JE,JEY,,,,,,753.8,,,3,Europe/Jersey,FALSE,1832981835
"La Fosse","La Fosse",,49.1747,-2.1806,Jersey,JE,JEY,,,,,,753.8,,,3,Europe/Jersey,FALSE,1832109971
"Belle Vue","Belle Vue",,49.1914,-2.1731,Jersey,JE,JEY,,,,,,753.8,,,3,Europe/Jersey,FALSE,1832660646
Millbrook,Millbrook,,49.1986,-2.1383,Jersey,JE,JEY,,,,,,1730.8,,,3,Europe/Jersey,FALSE,1832229719
L’Etacq,L'Etacq,L’Etac,49.2361,-2.2339,Jersey,JE,JEY,,,,,,277.2,,,3,Europe/Jersey,FALSE,1832432069
"Saint Peter’s Church","Saint Peter's Church","Saint Peter Church|Saint Peter|Saint Peter’s",49.2122,-2.1836,Jersey,JE,JEY,,,,,,487.1,,,3,Europe/Jersey,FALSE,1832436707
