city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Az Zaytūn,Az Zaytun,,32.4540,35.8300,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,731.6,,,3,Asia/Amman,FALSE,1400000014
Al ‘Āqib,Al `Aqib,,32.2740,36.4110,Jordan,JO,JOR,Al Mafraq,Al Mafraq,JO-MA,governorate,,165.9,,,4,Asia/Amman,FALSE,1400564074
Zumlat aţ Tarqī,Zumlat at Tarqi,Az Zumlah|Ez Zumla,32.4647,36.2169,Jordan,JO,JOR,Al Mafraq,Al Mafraq,JO-MA,governorate,,260.4,,,3,Asia/Amman,FALSE,1400449250
Az Zubaydīyah,Az Zubaydiyah,Ez Zubeidiya,32.3786,36.2949,Jordan,JO,JOR,Al Mafraq,Al Mafraq,JO-MA,governorate,,133.4,,,4,Asia/Amman,FALSE,1400338879
Al Harbaj,Al Harbaj,Harbaj|El Harbaj|El Herbej,31.6596,35.8361,Jordan,JO,JOR,Al ‘Āşimah,Al 'Asimah,JO-AM,governorate,,19.0,,,4,Asia/Amman,FALSE,1400372032
Rujm al ‘Uqāb,Rujm al `Uqab,,31.5163,35.9574,Jordan,JO,JOR,Al ‘Āşimah,Al 'Asimah,JO-AM,governorate,,3.2,,,5,Asia/Amman,FALSE,1400759236
Al Kittah,Al Kittah,Al Kittā|Kitta|El Kitta|El-Kitte,32.2769,35.8411,Jordan,JO,JOR,Jarash,Jarash,JO-JA,governorate,,716.3,,,3,Asia/Amman,FALSE,1400431231
Jabā,Jaba,Khirbat Jabā,32.3267,35.9334,Jordan,JO,JOR,Jarash,Jarash,JO-JA,governorate,,716.3,,,3,Asia/Amman,FALSE,1400932801
Suwaymirah,Suwaymirah,Suweimira,30.0839,35.4917,Jordan,JO,JOR,Ma‘ān,Ma'an,JO-MN,governorate,,13.2,,,4,Asia/Amman,FALSE,1400086320
Sīyāḩ,Siyah,,31.8470,35.8578,Jordan,JO,JOR,Al ‘Āşimah,Al 'Asimah,JO-AM,governorate,,566.1,,,3,Asia/Amman,FALSE,1400000005
Ath Thughrah,Ath Thughrah,Eth Thughra|El Thoghre|Thughra,31.9425,35.7232,Jordan,JO,JOR,Al Balqā’,Al Balqa',JO-BA,governorate,,115.2,,,4,Asia/Amman,FALSE,1400959188
Libb,Libb,,31.6057,35.7612,Jordan,JO,JOR,Mādabā,Madaba,JO-MD,governorate,,151.7,,,4,Asia/Amman,FALSE,1400067367
‘Irjān,`Irjan,Irjān,32.3945,35.7334,Jordan,JO,JOR,‘Ajlūn,'Ajlun,JO-AJ,governorate,minor,563.1,,,3,Asia/Amman,FALSE,1400430888
Shayz̧am,Shayzam,,30.8664,35.6791,Jordan,JO,JOR,Aţ Ţafīlah,At Tafilah,JO-AT,governorate,,54.7,,,4,Asia/Amman,FALSE,1400424769
Al Mazra‘ah,Al Mazra`ah,,31.4210,35.8249,Jordan,JO,JOR,Al Karak,Al Karak,JO-KA,governorate,,106.8,,,4,Asia/Amman,FALSE,1400320071
Al Wasīyah,Al Wasiyah,,31.7555,35.7885,Jordan,JO,JOR,Mādabā,Madaba,JO-MD,governorate,,450.1,,,3,Asia/Amman,FALSE,1400325119
Umm Qays,Umm Qays,Gadara|Mukus|Mukes|Um Qeis|Umm Qeis|Gādēr,32.6542,35.6875,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,428.3,,,3,Asia/Amman,FALSE,1400466096
Al Wasīyah,Al Wasiyah,,32.3423,36.0122,Jordan,JO,JOR,Al Mafraq,Al Mafraq,JO-MA,governorate,,151.8,,,4,Asia/Amman,FALSE,1400173970
Khirbat Tha‘lā’,Khirbat Tha`la',,32.4748,35.6711,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,683.3,,,3,Asia/Amman,FALSE,1400029901
Manshīyat Banī Ḩasan,Manshiyat Bani Hasan,El Manshīya|Al Manshīyah,32.3707,36.0793,Jordan,JO,JOR,Al Mafraq,Al Mafraq,JO-MA,governorate,minor,344.6,,,3,Asia/Amman,FALSE,1400011577
Baţnā,Batna,,32.0000,35.7045,Jordan,JO,JOR,Al Balqā’,Al Balqa',JO-BA,governorate,,587.2,,,3,Asia/Amman,FALSE,1400307142
Ath Thallāj,Ath Thallaj,,32.2849,36.7390,Jordan,JO,JOR,Al Mafraq,Al Mafraq,JO-MA,governorate,,27.5,,,4,Asia/Amman,FALSE,1400339359
Al Barz,Al Barz,,32.6195,35.8091,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,2171.4,,,2,Asia/Amman,FALSE,1400228545
Kafr Abīl,Kafr Abil,Kufr Abîl|Kefr Abil,32.4175,35.6631,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,683.3,,,3,Asia/Amman,FALSE,1400489030
Dhībah,Dhibah,,31.4937,35.7612,Jordan,JO,JOR,Mādabā,Madaba,JO-MD,governorate,,79.3,,,4,Asia/Amman,FALSE,1400022950
Is‘arah,Is`arah,Is‘ara,32.6275,35.7509,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,2156.6,,,2,Asia/Amman,FALSE,1400320595
