city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Amman,Amman,"Rabbah|Philadelphia|Rabbath Ammon|‘Ammān",31.9497,35.9328,Jordan,JO,JOR,"Al ‘Āşimah","Al 'Asimah",JO-AM,governorate,primary,2385.4,4007526,4007526,1,Asia/Amman,FALSE,1400522593
"Al Mafraq","Al Mafraq","Qal‘at el Mafraq|Qal‘at al Mafraq|Mafraq|El-Fedein|Kalat el Mafrak",32.3399,36.2052,Jordan,JO,JOR,"Al Mafraq","Al Mafraq",JO-MA,governorate,admin,521.1,580000,580000,2,Asia/Amman,FALSE,1400040712
Irbid,Irbid,Arbēla,32.5500,35.8500,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,admin,1400,569068,569068,2,Asia/Amman,FALSE,1400221568
"Az Zarqā’","Az Zarqa'","Zerka|Qal‘at az Zarqā’|Qal‘at ez Zerqa|Zarqā’|Kalaat el Zerka",32.0833,36.1000,Jordan,JO,JOR,"Az Zarqā’","Az Zarqa'",JO-AZ,governorate,admin,1975.5,481300,481300,2,Asia/Amman,FALSE,1400161837
"Ar Ruşayfah","Ar Rusayfah","Ruseifa|Reseife|Er Ruseifa|Er Refeia",32.0178,36.0464,Jordan,JO,JOR,"Az Zarqā’","Az Zarqa'",JO-AZ,governorate,minor,7368.4,472604,472604,2,Asia/Amman,FALSE,1400369457
"Al Juwayyidah","Al Juwayyidah","El Juweiyida|El Joweide|Juweiyida|Al Juwaydah",31.9167,35.9500,Jordan,JO,JOR,"Al ‘Āşimah","Al 'Asimah",JO-AM,governorate,minor,2638.0,176400,176400,2,Asia/Amman,FALSE,1400206772
Saḩāb,Sahab,Sehab,31.8667,36.0000,Jordan,JO,JOR,"Al ‘Āşimah","Al 'Asimah",JO-AM,governorate,minor,135.3,169434,169434,2,Asia/Amman,FALSE,1400064688
"Ar Ramthā","Ar Ramtha","El Remteh|Ramtha|Er Remtha",32.5589,36.0147,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,minor,525.2,155693,155693,2,Asia/Amman,FALSE,1400675695
‘Ajlūn,`Ajlun,Adjlun,32.3325,35.7517,Jordan,JO,JOR,‘Ajlūn,'Ajlun,JO-AJ,governorate,admin,355.7,148870,148870,2,Asia/Amman,FALSE,1400775371
"Al ‘Aqabah","Al `Aqabah","Akaba|‘Aqaba|Qal‘at el ‘Aqaba",29.5319,35.0056,Jordan,JO,JOR,"Al ‘Aqabah","Al 'Aqabah",JO-AQ,governorate,admin,60.7,148398,140000,2,Asia/Amman,FALSE,1400618058
"Al Jīzah","Al Jizah",Jīzah|Jīze|Ziza|Jîza,31.6833,35.9500,Jordan,JO,JOR,"Al ‘Āşimah","Al 'Asimah",JO-AM,governorate,minor,19.0,95045,95045,3,Asia/Amman,FALSE,1400797654
"As Salţ","As Salt","Al-Salt|Salt|Rāmoth Gil‘ād|Es Salt",32.0333,35.7333,Jordan,JO,JOR,"Al Balqā’","Al Balqa'",JO-BA,governorate,admin,587.2,88900,88900,2,Asia/Amman,FALSE,1400470384
Mādabā,Madaba,Mādeba|Medeba|Meidevā|Ma’dabā,31.7167,35.8000,Jordan,JO,JOR,Mādabā,Madaba,JO-MD,governorate,admin,2145.0,84600,84600,2,Asia/Amman,FALSE,1400962992
Jarash,Jarash,Gerasa|Djerash|Jerasa|Jerash,32.2806,35.8972,Jordan,JO,JOR,Jarash,Jarash,JO-JA,governorate,admin,123.8,50745,50745,2,Asia/Amman,FALSE,1400505859
Ma‘ān,Ma`an,Ahamant,30.1962,35.7341,Jordan,JO,JOR,Ma‘ān,Ma'an,JO-MN,governorate,admin,14.9,50350,50350,2,Asia/Amman,FALSE,1400670443
"Al Ḩişn","Al Hisn","Husn|El Husn",32.4583,35.8583,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,minor,689.7,35085,35085,3,Asia/Amman,FALSE,1400378169
"Aţ Ţurrah","At Turrah","Turra|Eṭ Ṭurra",32.6368,35.9900,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,1248.1,34948,34948,3,Asia/Amman,FALSE,1400078308
"Dayr Abū Sa‘īd","Dayr Abu Sa`id","Deir Abu Sa‘īd|Dayr Abī Sa‘īd",32.5025,35.6922,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,minor,683.3,29590,29590,3,Asia/Amman,FALSE,1400352428
"Ash Shajarah","Ash Shajarah","Shajara|Shajarah|Esh Shajara",32.6417,35.9417,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,525.2,27902,27902,3,Asia/Amman,FALSE,1400450578
Mu’tah,Mu'tah,Mota|Mote|Mauta,31.1000,35.7000,Jordan,JO,JOR,"Al Karak","Al Karak",JO-KA,governorate,,171.2,27426,27426,3,Asia/Amman,FALSE,1400088878
"Ash Shūnah ash Shamālīyah","Ash Shunah ash Shamaliyah","Khirbat Shūna|Shuna Shamaliya|Shuna esh Shamaliya|Ash Shūnah|Khirbat esh Shuna|Khirbat esh Shūma|Shūna|Khirbat ash Shūnah",32.6100,35.6081,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,minor,583.4,25000,25000,3,Asia/Amman,FALSE,1400135383
"Aţ Ţafīlah","At Tafilah","Tafile|Tafileh|Tafīla|Et Tafīla|El Tafile|Aṭ Ṭafīla|Tofel|Tufailah|Tophel",30.8400,35.6000,Jordan,JO,JOR,"Aţ Ţafīlah","At Tafilah",JO-AT,governorate,admin,54.7,23512,23512,2,Asia/Amman,FALSE,1400134505
"Al Fuḩayş","Al Fuhays","Fuḥeiṣ|Feheis|El Fuheis",32.0167,35.7667,Jordan,JO,JOR,"Al Balqā’","Al Balqa'",JO-BA,governorate,minor,1068.6,21908,21908,3,Asia/Amman,FALSE,1400712553
"Al Karak","Al Karak","Qīr Moāv|Kerak|Kir Moab|El Kerak|Karak",31.1833,35.7000,Jordan,JO,JOR,"Al Karak","Al Karak",JO-KA,governorate,admin,6.2,21678,21678,2,Asia/Amman,FALSE,1400073941
Şammā,Samma,Sammeh,32.5700,35.6900,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,1356.0,18659,18659,3,Asia/Amman,FALSE,1400057552
Māḩiş,Mahis,Mahas,31.9833,35.7667,Jordan,JO,JOR,"Al Balqā’","Al Balqa'",JO-BA,governorate,,1068.6,17754,17754,3,Asia/Amman,FALSE,1400449886
"Al Mazār ash Shamālī","Al Mazar ash Shamali","Mazâr|El Mazār|Al Mazār",32.4725,35.7928,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,minor,731.6,16000,16000,3,Asia/Amman,FALSE,1400714744
"Muthallath al Azraq","Muthallath al Azraq","Azraq ash Shīshān|Azraq esh Shīshān|Azraq Ashikah|Al Azraq|Azraq Shishan|Azraq",31.8342,36.8150,Jordan,JO,JOR,"Az Zarqā’","Az Zarqa'",JO-AZ,governorate,minor,3.0,14800,14800,3,Asia/Amman,FALSE,1400807685
"Kafr ‘Awān","Kafr `Awan","Kufr ‘Awān",32.4167,35.6833,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,683.3,13056,13056,3,Asia/Amman,FALSE,1400261137
Malkā,Malka,Melka|Malqá|Malkah,32.6653,35.7333,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,428.3,11706,11706,3,Asia/Amman,FALSE,1400950108
Sākib,Sakib,,32.2854,35.8113,Jordan,JO,JOR,Jarash,Jarash,JO-JA,governorate,,724.1,11586,11586,3,Asia/Amman,FALSE,1400579775
Buşayrā,Busayra,"El Buseira|Al Buşayrah|Buseira|Buşayrah|El Busera",30.7389,35.6072,Jordan,JO,JOR,"Aţ Ţafīlah","At Tafilah",JO-AT,governorate,minor,110.7,10587,10587,3,Asia/Amman,FALSE,1400361602
Ḩalāwah,Halawah,Ḥalāwa,32.3828,35.6619,Jordan,JO,JOR,‘Ajlūn,'Ajlun,JO-AJ,governorate,,355.7,8647,8647,3,Asia/Amman,FALSE,1400561057
"Dayr ‘Allā","Dayr `Alla","Deir ‘Alla",32.1889,35.6031,Jordan,JO,JOR,"Al Balqā’","Al Balqa'",JO-BA,governorate,minor,307.1,7321,7321,3,Asia/Amman,FALSE,1400148561
"Kafr Rākib","Kafr Rakib","Kufr Rākib",32.4519,35.6944,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,683.3,7192,7192,3,Asia/Amman,FALSE,1400198421
"Al Qaţrānah","Al Qatranah","Qatrani|El Qatrāna|Al Qaţrāna",31.2536,36.0472,Jordan,JO,JOR,"Al Karak","Al Karak",JO-KA,governorate,minor,5.9,7070,7070,3,Asia/Amman,FALSE,1400272186
Zūbiyā,Zubiya,Zubia,32.4306,35.7750,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,726.9,7000,7000,3,Asia/Amman,FALSE,1400703948
"Al Hāshimīyah","Al Hashimiyah",,32.3642,35.6597,Jordan,JO,JOR,‘Ajlūn,'Ajlun,JO-AJ,governorate,,1042.0,6515,6515,3,Asia/Amman,FALSE,1400000107
"Al Jafr","Al Jafr","El Jafr",30.2933,36.2139,Jordan,JO,JOR,Ma‘ān,Ma'an,JO-MN,governorate,minor,0.3,6380,6380,3,Asia/Amman,FALSE,1400456164
Suwaymah,Suwaymah,Sūwaymah|Suweima|Sweime,31.7659,35.5984,Jordan,JO,JOR,"Al Balqā’","Al Balqa'",JO-BA,governorate,,200.0,5000,5000,4,Asia/Amman,FALSE,1400081515
Gharandal,Gharandal,,30.7153,35.6500,Jordan,JO,JOR,"Aţ Ţafīlah","At Tafilah",JO-AT,governorate,,110.7,4680,4680,4,Asia/Amman,FALSE,1400031941
"Ash Shawbak","Ash Shawbak","Esh Shobek|Shobek|Shawbak Fort|Shaubak|Shaubak Fort",30.5189,35.5578,Jordan,JO,JOR,Ma‘ān,Ma'an,JO-MN,governorate,minor,34.9,4275,4275,3,Asia/Amman,FALSE,1400625627
Juḩfīyah,Juhfiyah,Juḥfīya|Johfiya,32.4892,35.8264,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,731.6,4251,4251,3,Asia/Amman,FALSE,1400711872
"Ash Shūnah al Janūbīyah","Ash Shunah al Janubiyah","Shûna|El Shune|El Shun|Ash Shūnah|Shūnet Nimrīn|Shuna Janubiya|Shuna al Janubiya|Shūnat Nimrīn",31.9148,35.6133,Jordan,JO,JOR,"Al Balqā’","Al Balqa'",JO-BA,governorate,minor,200.0,3400,3400,3,Asia/Amman,FALSE,1400660319
"Umm al Kundum","Umm al Kundum","Um el Kundum|Khirbat el Bisharat",31.8741,35.8827,Jordan,JO,JOR,"Al ‘Āşimah","Al 'Asimah",JO-AM,governorate,,757.0,2430,2430,3,Asia/Amman,FALSE,1400390154
Adhruḩ,Adhruh,Udhruḩ|Aḑruḩ,30.3281,35.5986,Jordan,JO,JOR,Ma‘ān,Ma'an,JO-MN,governorate,minor,20.2,1700,1700,3,Asia/Amman,FALSE,1400167294
"Al Mudawwarah","Al Mudawwarah","El ’Mudawwara|Ḥuṣn el Mudawwara|Mudawwara",29.3335,36.0253,Jordan,JO,JOR,Ma‘ān,Ma'an,JO-MN,governorate,,0.3,691,691,3,Asia/Amman,FALSE,1400039990
"Al Balāwinah","Al Balawinah",,32.2407,35.6239,Jordan,JO,JOR,"Al Balqā’","Al Balqa'",JO-BA,governorate,,307.1,,,3,Asia/Amman,FALSE,1400867223
Arḩāb,Arhab,Irḩāb,30.9380,35.6154,Jordan,JO,JOR,"Aţ Ţafīlah","At Tafilah",JO-AT,governorate,,54.7,,,4,Asia/Amman,FALSE,1400175607
"Abū al Ghurbān","Abu al Ghurban",,31.2814,36.1068,Jordan,JO,JOR,"Al Karak","Al Karak",JO-KA,governorate,,5.9,,,5,Asia/Amman,FALSE,1400638277
"Tajammu‘ as Sinn","Tajammu` as Sinn",,31.5991,35.7579,Jordan,JO,JOR,Mādabā,Madaba,JO-MD,governorate,,151.7,,,4,Asia/Amman,FALSE,1400388147
"Al ‘Arāqīn","Al `Araqin",,31.4047,35.7150,Jordan,JO,JOR,Mādabā,Madaba,JO-MD,governorate,,143.4,,,4,Asia/Amman,FALSE,1400000090
"Khishā‘ al Qinn","Khisha` al Qinn",,32.3267,36.9068,Jordan,JO,JOR,"Al Mafraq","Al Mafraq",JO-MA,governorate,,27.5,,,4,Asia/Amman,FALSE,1400683281
Sha‘thah,Sha`thah,"Khirbat Sha‘thā",31.9933,35.6822,Jordan,JO,JOR,"Al Balqā’","Al Balqa'",JO-BA,governorate,,349.4,,,3,Asia/Amman,FALSE,1400052985
"Bīr al Bayţār","Bir al Baytar","Al Bayţār|El Bīṭār",30.3206,35.5311,Jordan,JO,JOR,Ma‘ān,Ma'an,JO-MN,governorate,,45.1,,,4,Asia/Amman,FALSE,1400368683
Miḩnā,Mihna,Mehna,31.1215,35.6949,Jordan,JO,JOR,"Al Karak","Al Karak",JO-KA,governorate,,220.2,,,3,Asia/Amman,FALSE,1400942200
"Al Khuḑar","Al Khudar",,32.2933,35.8265,Jordan,JO,JOR,Jarash,Jarash,JO-JA,governorate,,716.3,,,3,Asia/Amman,FALSE,1400000097
"Umm as Summāq","Umm as Summaq","Um el Semmaq|Um es Summāq|Umm as Summāq ath Thānī",31.8854,35.8543,Jordan,JO,JOR,"Al ‘Āşimah","Al 'Asimah",JO-AM,governorate,,1736.2,,,3,Asia/Amman,FALSE,1400381719
"Qaryat ‘Uqlah","Qaryat `Uqlah",,32.1236,35.8843,Jordan,JO,JOR,"Az Zarqā’","Az Zarqa'",JO-AZ,governorate,,433.7,,,3,Asia/Amman,FALSE,1400198303
Sulaykhāt,Sulaykhat,"Suleikhāt|Seleikhat|As Sulaykhāt",32.3294,35.6018,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,479.1,,,3,Asia/Amman,FALSE,1400492259
"Ad Dayrah al Gharbīyah","Ad Dayrah al Gharbiyah",,32.1175,35.7037,Jordan,JO,JOR,"Al Balqā’","Al Balqa'",JO-BA,governorate,,147.2,,,4,Asia/Amman,FALSE,1400458977
"Khirbat Ḩadījah","Khirbat Hadijah",,32.4642,35.9376,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,689.7,,,3,Asia/Amman,FALSE,1400635183
"Khirbat Ar‘ān","Khirbat Ar`an","Khirbat Id‘ān",32.6393,35.7289,Jordan,JO,JOR,Irbid,Irbid,JO-IR,governorate,,556.0,,,3,Asia/Amman,FALSE,1400538708
"Aḑ Ḑabāb","Ad Dabab",Dabāb,31.0365,35.6347,Jordan,JO,JOR,"Al Karak","Al Karak",JO-KA,governorate,,171.2,,,4,Asia/Amman,FALSE,1400926838
"Ar Riyāshī","Ar Riyashi","Ar Riyāshah|Er Riyāshī|‘Ain er Riyāsha",32.2507,35.9247,Jordan,JO,JOR,Jarash,Jarash,JO-JA,governorate,,716.3,,,3,Asia/Amman,FALSE,1400483989
