city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Molodezhnyy,Molodezhnyy,Molodëzhnoye,49.8748,82.4903,Kazakhstan,KZ,KAZ,East Kazakhstan,East Kazakhstan,KZ-63,region,minor,35.1,,,3,Asia/Almaty,FALSE,1398806889
Tīmīnskīy,Timinskiy,Timinskiy,53.5321,63.4619,Kazakhstan,KZ,KAZ,Qostanay,Qostanay,KZ-39,province,,50.2,,,4,Asia/Qostanay,FALSE,1398743413
Yeseraspa,Yeseraspa,,51.8000,75.8500,Kazakhstan,KZ,KAZ,Pavlodar,Pavlodar,KZ-55,province,,7.1,,,5,Asia/Almaty,FALSE,1398300817
Russkaya Ivanovka,Russkaya Ivanovka,Russko-Ivanovskiy|Russko-Ivanovskoye,50.3205,73.0792,Kazakhstan,KZ,KAZ,Qaraghandy,Qaraghandy,KZ-35,province,,2.5,,,5,Asia/Almaty,FALSE,1398065084
Qyzyltas,Qyzyltas,Kyzyltasskoye|Kzyl-Tas,51.2234,73.6442,Kazakhstan,KZ,KAZ,Qaraghandy,Qaraghandy,KZ-35,province,,2.5,,,5,Asia/Almaty,FALSE,1398429962
Zhalanash,Zhalanash,,46.4333,59.9000,Kazakhstan,KZ,KAZ,Qyzylorda,Qyzylorda,KZ-43,province,,1.7,,,5,Asia/Qyzylorda,TRUE,1398715023
Qyzyltas,Qyzyltas,Ferma Numer Tri Sovkhoza Kirovskiy|Kyzyltas,43.2457,74.8128,Kazakhstan,KZ,KAZ,Zhambyl,Zhambyl,KZ-31,province,,17.7,,,4,Asia/Almaty,FALSE,1398813411
Ionosfernoye,Ionosfernoye,,49.9764,72.6706,Kazakhstan,KZ,KAZ,Qaraghandy,Qaraghandy,KZ-35,province,,50.5,,,4,Asia/Almaty,FALSE,1398000223
Romanovka,Romanovka,Romanovskoye,52.2352,77.5999,Kazakhstan,KZ,KAZ,Pavlodar,Pavlodar,KZ-55,province,,60.1,,,4,Asia/Almaty,FALSE,1398214986
Saty,Saty,Abay,51.3196,77.7495,Kazakhstan,KZ,KAZ,Pavlodar,Pavlodar,KZ-55,province,,0.5,,,5,Asia/Almaty,FALSE,1398927036
Chapaevka,Chapaevka,Chapayevka,53.3841,66.0907,Kazakhstan,KZ,KAZ,Qostanay,Qostanay,KZ-39,province,,3.1,,,5,Asia/Qostanay,FALSE,1398597462
Tlinshe,Tlinshe,,50.1333,47.8667,Kazakhstan,KZ,KAZ,West Kazakhstan,West Kazakhstan,KZ-27,region,,1.5,,,5,Asia/Oral,FALSE,1398788159
Yusup,Yusup,Yussup,43.6667,67.3333,Kazakhstan,KZ,KAZ,Qyzylorda,Qyzylorda,KZ-43,province,,4.4,,,5,Asia/Qyzylorda,FALSE,1398452172
Ūryupīnka,Uryupinka,Uryupinskoye|Uryupinka,51.9382,70.4199,Kazakhstan,KZ,KAZ,Aqmola,Aqmola,KZ-11,province,,2.2,,,5,Asia/Almaty,FALSE,1398357828
Pervomaysk,Pervomaysk,Kommunar|Pervomayskoye,53.4462,75.7658,Kazakhstan,KZ,KAZ,Pavlodar,Pavlodar,KZ-55,province,,2.2,,,5,Asia/Almaty,FALSE,1398996869
Soltkay,Soltkay,,48.4500,49.1833,Kazakhstan,KZ,KAZ,West Kazakhstan,West Kazakhstan,KZ-27,region,,1.1,,,5,Asia/Oral,FALSE,1398045469
Tassū,Tassu,Tassu,52.7310,71.2269,Kazakhstan,KZ,KAZ,Aqmola,Aqmola,KZ-11,province,,1.2,,,5,Asia/Almaty,FALSE,1398978649
Dzhambul,Dzhambul,,47.4005,80.8661,Kazakhstan,KZ,KAZ,Abay,Abay,KZ-10,region,,3.0,,,5,Asia/Almaty,FALSE,1398898721
Īirli,Iirli,Baturinka,49.4496,81.5843,Kazakhstan,KZ,KAZ,Abay,Abay,KZ-10,region,,1.5,,,5,Asia/Almaty,FALSE,1398611221
Shubartaū,Shubartau,Shubartau,48.1427,76.7310,Kazakhstan,KZ,KAZ,Qaraghandy,Qaraghandy,KZ-35,province,,2.1,,,5,Asia/Almaty,FALSE,1398000363
Surkol’,Surkol',,50.2500,61.7667,Kazakhstan,KZ,KAZ,Aqtöbe,Aqtobe,KZ-15,province,,0.5,,,5,Asia/Aqtobe,FALSE,1398762635
Prīvol’noe,Privol'noe,Sovkhoz Privol’nyy|Privol’nyy|Privol’noye,53.2189,66.9176,Kazakhstan,KZ,KAZ,North Kazakhstan,North Kazakhstan,KZ-59,region,,3.1,,,4,Asia/Almaty,FALSE,1398617332
Prīvol’noe,Privol'noe,Privol’noye,52.5999,67.8247,Kazakhstan,KZ,KAZ,North Kazakhstan,North Kazakhstan,KZ-59,region,,3.1,,,5,Asia/Almaty,TRUE,1398249104
