city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Kwa Bechombo,Kwa Bechombo,,-3.9333,39.6167,Kenya,KE,KEN,Mombasa,Mombasa,KE-28,county,,401.0,,,3,Africa/Nairobi,FALSE,1404603198
Kwangwari,Kwangwari,,-1.2833,36.7500,Kenya,KE,KEN,Nairobi City,Nairobi City,KE-30,county,,31887.1,,,2,Africa/Nairobi,FALSE,1404164197
Kagene,Kagene,Kaaga,0.0455,37.6868,Kenya,KE,KEN,Meru,Meru,KE-26,county,,1111.3,,,3,Africa/Nairobi,FALSE,1404028873
Muriling,Muriling,,2.4500,35.9300,Kenya,KE,KEN,Turkana,Turkana,KE-43,county,,21.5,,,4,Africa/Nairobi,FALSE,1404353545
Kirege,Kirege,,-0.3415,37.6201,Kenya,KE,KEN,Tharaka-Nithi,Tharaka-Nithi,KE-41,county,,865.3,,,3,Africa/Nairobi,FALSE,1404003072
Mayanja,Mayanja,,0.6499,34.5174,Kenya,KE,KEN,Bungoma,Bungoma,KE-03,county,,980.2,,,3,Africa/Nairobi,FALSE,1404001845
Golbanti,Golbanti,Borobini|Golbanti Mission,-2.4597,40.2000,Kenya,KE,KEN,Tana River,Tana River,KE-40,county,,129.1,,,4,Africa/Nairobi,FALSE,1404105679
Ol Kalau South Settlement,Ol Kalau South Settlement,,-0.2744,36.3400,Kenya,KE,KEN,Nyandarua,Nyandarua,KE-35,county,,252.3,,,3,Africa/Nairobi,FALSE,1404000521
Marienga,Marienga,,-0.9473,34.5588,Kenya,KE,KEN,Migori,Migori,KE-27,county,,197.5,,,4,Africa/Nairobi,FALSE,1404002847
Rambara,Rambara,,-0.0656,34.7102,Kenya,KE,KEN,Kisumu,Kisumu,KE-17,county,,1394.2,,,3,Africa/Nairobi,FALSE,1404955129
Kaveta,Kaveta,,-1.3512,37.9954,Kenya,KE,KEN,Kitui,Kitui,KE-18,county,,485.4,,,3,Africa/Nairobi,FALSE,1404001419
Roka,Roka,,-3.4361,39.9032,Kenya,KE,KEN,Kilifi,Kilifi,KE-14,county,,425.6,,,3,Africa/Nairobi,FALSE,1404090163
Masandare,Masandare,,-0.9700,35.6000,Kenya,KE,KEN,Narok,Narok,KE-33,county,,71.6,,,4,Africa/Nairobi,FALSE,1404303641
