city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Tarawa,Tarawa,,1.3382,173.0176,Kiribati,KI,KIR,,,,,primary,8348.8,28802,28802,1,Pacific/Tarawa,FALSE,1296152641
Betio,Betio,,1.3500,172.9333,Kiribati,KI,KIR,,,,,,11270.1,17356,17356,2,Pacific/Tarawa,FALSE,1296879625
Bikenibeu,Bikenibeu,,1.3670,173.1260,Kiribati,KI,KIR,,,,,,3628.7,6568,6568,2,Pacific/Tarawa,FALSE,1296659529
Teaoraereke,Teaoraereke,"Teaoraereke Mission|Teaoraereka",1.3342,173.0139,Kiribati,KI,KIR,,,,,,4251.9,6073,6073,2,Pacific/Tarawa,FALSE,1296060597
Bairiki,Bairiki,Tarawa,1.3256,172.9833,Kiribati,KI,KIR,,,,,,7658.7,3524,3524,2,Pacific/Tarawa,FALSE,1296097744
London,London,,1.9833,-157.4750,Kiribati,KI,KIR,,,,,,2833.6,1879,1879,2,Pacific/Kiritimati,FALSE,1296228675
Roreti,Roreti,,-2.6500,176.8333,Kiribati,KI,KIR,,,,,,157.0,853,853,4,Pacific/Tarawa,FALSE,1296588051
Poland,Poland,,1.8644,-157.5519,Kiribati,KI,KIR,,,,,,10.0,441,441,3,Pacific/Kiritimati,FALSE,1296000025
Taburao,Taburao,Tebero,1.8167,173.0167,Kiribati,KI,KIR,,,,,,451.0,322,322,3,Pacific/Tarawa,FALSE,1296137265
Koinawa,Koinawa,,1.8667,172.9833,Kiribati,KI,KIR,,,,,,128.7,312,312,4,Pacific/Tarawa,FALSE,1296342965
Taku,Taku,,-1.5167,175.0667,Kiribati,KI,KIR,,,,,,63.7,151,151,4,Pacific/Tarawa,FALSE,1296348470
Tabiauea,Tabiauea,King|Tebiayea|Tebiauea,0.9278,173.0281,Kiribati,KI,KIR,,,,,,123.9,147,147,4,Pacific/Tarawa,FALSE,1296192759
Tabiang,Tabiang,Tapiang,-0.8833,169.5333,Kiribati,KI,KIR,,,,,,312.3,,,3,Pacific/Tarawa,FALSE,1296568515
Tabiang,Tabiang,,-1.3000,175.9833,Kiribati,KI,KIR,,,,,,92.5,,,4,Pacific/Tarawa,TRUE,1296360098
Tabiang,Tabiang,Tabiañ,0.4833,173.8333,Kiribati,KI,KIR,,,,,,37.0,,,4,Pacific/Tarawa,TRUE,1296032763
Ukiangang,Ukiangang,,3.0500,172.7667,Kiribati,KI,KIR,,,,,,155.3,,,4,Pacific/Tarawa,FALSE,1296126579
Terokea,Terokea,,1.9827,173.3007,Kiribati,KI,KIR,,,,,,92.7,,,4,Pacific/Tarawa,FALSE,1296000009
Bainona,Bainona,,1.9863,173.2980,Kiribati,KI,KIR,,,,,,224.7,,,3,Pacific/Tarawa,FALSE,1296000008
Riaria,Riaria,,1.7833,173.0500,Kiribati,KI,KIR,,,,,,318.5,,,3,Pacific/Tarawa,FALSE,1296162276
Tekaranga,Tekaranga,,1.0017,173.0294,Kiribati,KI,KIR,,,,,,317.7,,,3,Pacific/Tarawa,FALSE,1296225258
Ritiati,Ritiati,,-4.6667,-174.5333,Kiribati,KI,KIR,,,,,,0,,,5,Pacific/Kanton,FALSE,1296115200
Ooma,Ooma,Uma,-0.9000,169.5500,Kiribati,KI,KIR,,,,,,0,,,5,Pacific/Tarawa,FALSE,1296638236
Rawannawi,Rawannawi,,2.0517,173.2628,Kiribati,KI,KIR,,,,,,1195.9,,,3,Pacific/Tarawa,FALSE,1296861696
Tabukiniberu,Tabukiniberu,Tabukinberu,-1.3500,175.9833,Kiribati,KI,KIR,,,,,,20.3,,,4,Pacific/Tarawa,FALSE,1296254664
Takarano,Takarano,Takarona,1.9500,172.9167,Kiribati,KI,KIR,,,,,,280.4,,,3,Pacific/Tarawa,FALSE,1296851523
Temotu,Temotu,,2.0355,173.2582,Kiribati,KI,KIR,,,,,,562.4,,,3,Pacific/Tarawa,FALSE,1296000001
Tebikeriki,Tebikeriki,,-1.3000,175.9500,Kiribati,KI,KIR,,,,,,10.8,,,4,Pacific/Tarawa,FALSE,1296240868
Taratai,Taratai,Taritai,1.5485,172.9927,Kiribati,KI,KIR,,,,,,226.9,,,3,Pacific/Tarawa,FALSE,1296710266
Abamakoro,Abamakoro,,-0.5379,174.2489,Kiribati,KI,KIR,,,,,,288.7,,,3,Pacific/Tarawa,FALSE,1296504331
Kuria,Kuria,,1.8313,173.0120,Kiribati,KI,KIR,,,,,,667.8,,,3,Pacific/Tarawa,FALSE,1296717430
Tetake,Tetake,,-0.7167,174.4667,Kiribati,KI,KIR,,,,,,118.6,,,4,Pacific/Tarawa,FALSE,1296576763
Autokia,Autokia,Autukia,-1.3000,175.9667,Kiribati,KI,KIR,,,,,,253.3,,,3,Pacific/Tarawa,FALSE,1296392942
Tanimaiaki,Tanimaiaki,Tanimaiki,1.7559,173.0421,Kiribati,KI,KIR,,,,,,348.1,,,3,Pacific/Tarawa,FALSE,1296739031
Tanimaiaki,Tanimaiaki,,3.0833,172.8500,Kiribati,KI,KIR,,,,,,255.2,,,3,Pacific/Tarawa,TRUE,1296084116
Nuribenua,Nuribenua,,-1.1500,174.6667,Kiribati,KI,KIR,,,,,,461.5,,,3,Pacific/Tarawa,FALSE,1296692488
Autukia,Autukia,,-0.6500,174.4500,Kiribati,KI,KIR,,,,,,0,,,5,Pacific/Tarawa,FALSE,1296000000
Ijaki,Ijaki,Aiaki,-1.9167,175.5833,Kiribati,KI,KIR,,,,,,99.6,,,3,Pacific/Tarawa,FALSE,1296969331
Teteirio,Teteirio,,-1.3500,176.0000,Kiribati,KI,KIR,,,,,,9.5,,,5,Pacific/Tarawa,FALSE,1296428992
Aoniman,Aoniman,,-1.3000,175.9833,Kiribati,KI,KIR,,,,,,92.5,,,4,Pacific/Tarawa,FALSE,1296707041
Temaiku,Temaiku,,1.3639,173.1617,Kiribati,KI,KIR,,,,,,1515.7,,,3,Pacific/Tarawa,FALSE,1296000016
"Banana Village","Banana Village",,1.9837,-157.3651,Kiribati,KI,KIR,,,,,,235.2,,,3,Pacific/Kiritimati,FALSE,1296000002
Antakana,Antakana,,3.3174,172.9763,Kiribati,KI,KIR,,,,,,245.5,,,3,Pacific/Tarawa,FALSE,1296163953
Eita,Eita,,1.3606,173.0745,Kiribati,KI,KIR,,,,,,10466.5,,,2,Pacific/Tarawa,FALSE,1296141254
Eita,Eita,,-1.2000,174.7333,Kiribati,KI,KIR,,,,,,833.0,,,3,Pacific/Tarawa,TRUE,1296821506
Manoku,Manoku,,0.3333,173.9500,Kiribati,KI,KIR,,,,,,37.3,,,4,Pacific/Tarawa,FALSE,1296376670
Kainaba,Kainaba,,1.4542,173.0607,Kiribati,KI,KIR,,,,,,354.0,,,3,Pacific/Tarawa,FALSE,1296000013
Nanibaba,Nanibaba,,-0.6667,174.4500,Kiribati,KI,KIR,,,,,,722.4,,,3,Pacific/Tarawa,FALSE,1296685780
Tuarabu,Tuarabu,,1.7981,173.0389,Kiribati,KI,KIR,,,,,,360.1,,,3,Pacific/Tarawa,FALSE,1296869206
Nuka,Nuka,,-1.3500,176.0000,Kiribati,KI,KIR,,,,,,9.5,,,5,Pacific/Tarawa,FALSE,1296346617
Tabwewa,Tabwewa,Tarawa|Tapiwa,-0.8833,169.5333,Kiribati,KI,KIR,,,,,,312.3,,,3,Pacific/Tarawa,FALSE,1296589694
Tekatirirake,Tekatirirake,,0.4667,173.8667,Kiribati,KI,KIR,,,,,,80.5,,,4,Pacific/Tarawa,FALSE,1296464994
Nabeina,Nabeina,,1.4361,173.0780,Kiribati,KI,KIR,,,,,,941.8,,,3,Pacific/Tarawa,FALSE,1296006184
Arariki,Arariki,,-4.5167,-172.2167,Kiribati,KI,KIR,,,,,,0,,,5,Pacific/Kanton,FALSE,1296694359
Tanimainiku,Tanimainiku,,0.4833,173.8667,Kiribati,KI,KIR,,,,,,39.1,,,4,Pacific/Tarawa,FALSE,1296455416
Tematantongo,Tematantongo,,1.0006,173.0333,Kiribati,KI,KIR,,,,,,317.7,,,3,Pacific/Tarawa,FALSE,1296000017
Oneaka,Oneaka,,0.2552,173.3651,Kiribati,KI,KIR,,,,,,0,,,5,Pacific/Tarawa,FALSE,1296021271
Notoue,Notoue,Noto|Ereti-bou,1.5156,173.0077,Kiribati,KI,KIR,,,,,,941.3,,,3,Pacific/Tarawa,FALSE,1296702190
Tebobonga,Tebobonga,,-0.6833,174.4667,Kiribati,KI,KIR,,,,,,338.2,,,3,Pacific/Tarawa,FALSE,1296863533
Taribo,Taribo,,-2.6333,176.8167,Kiribati,KI,KIR,,,,,,42.6,,,4,Pacific/Tarawa,FALSE,1296838086
Taritai,Taritai,,1.5193,173.0134,Kiribati,KI,KIR,,,,,,23.3,,,4,Pacific/Tarawa,FALSE,1296000010
Bonriki,Bonriki,,1.3722,173.1525,Kiribati,KI,KIR,,,,,,3715.1,,,2,Pacific/Tarawa,FALSE,1296000011
Tetabakea,Tetabakea,Tetabakia,-0.8000,174.4667,Kiribati,KI,KIR,,,,,,25.7,,,4,Pacific/Tarawa,FALSE,1296888778
Aonobuaka,Aonobuaka,Aonobuaba,1.8833,172.9833,Kiribati,KI,KIR,,,,,,371.3,,,3,Pacific/Tarawa,FALSE,1296226832
Noriti,Noriti,,-4.6667,-174.5333,Kiribati,KI,KIR,,,,,,0,,,5,Pacific/Kanton,FALSE,1296103099
Abatiku,Abatiku,,0.3884,173.7770,Kiribati,KI,KIR,,,,,,96.5,,,4,Pacific/Tarawa,FALSE,1296030996
Taboiaki,Taboiaki,,-1.3833,176.0167,Kiribati,KI,KIR,,,,,,1309.6,,,3,Pacific/Tarawa,FALSE,1296826196
