city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"Kuwait City","Kuwait City","Al Kuwait|Koweit|Kuwayt|Kuweit|Al Kuwayt|Madīnat al Kuwayt|Kuwait",29.3697,47.9783,Kuwait,KW,KWT,"Al ‘Āşimah","Al 'Asimah",KW-KU,governorate,primary,3488.4,3000000,2989000,1,Asia/Kuwait,FALSE,1414102075
"Al Jahrā’","Al Jahra'","Jahra Village|Iahara|Al Jahrah|Al Jahara|Al-Jaharah|Jahrah",29.3500,47.6833,Kuwait,KW,KWT,"Al Jahrā’","Al Jahra'",KW-JA,governorate,,28.6,393432,393432,2,Asia/Kuwait,FALSE,1414182001
"Abū Ḩulayfah","Abu Hulayfah","Abu Hulaifah|Abu Hulaifa|Abu Halifah|Abu Halaifah|Halaifa|Abi Huleifa|Abu-Hleifa|Abu Halaifa|Abu Ḩulaifah",29.1322,48.1261,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,164212,164212,2,Asia/Kuwait,FALSE,1414456826
"Al Aḩmadī","Al Ahmadi","Ahmad|Ahmedi|Ahmadi|Al Aħmadi",29.0769,48.0838,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,68763,68763,3,Asia/Kuwait,FALSE,1414024487
"Ar Riqqah","Ar Riqqah",Al-Riqqah|Reqqa,29.1489,48.1057,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,56554,56554,3,Asia/Kuwait,FALSE,1414927245
"Aş Şabāḩīyah","As Sabahiyah",Al-Sabahiyah|Subahiya,29.1058,48.1081,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,,,4,Asia/Kuwait,FALSE,1414308375
Duwaydāt,Duwaydat,,28.5828,48.3992,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,,,4,Asia/Kuwait,FALSE,1414213631
Ju‘aydān,Ju`aydan,Juaidan,28.9667,47.9672,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,,,4,Asia/Kuwait,FALSE,1414050690
"Aţ Ţawīl","At Tawil",,28.9786,47.9072,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,,,4,Asia/Kuwait,FALSE,1414000239
‘Urayfijān,`Urayfijan,Arefjan|‘Araifjān,28.9000,48.1833,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,,,4,Asia/Kuwait,FALSE,1414044554
"Al Qurayn","Al Qurayn",,29.2043,48.0757,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,,,4,Asia/Kuwait,FALSE,1414482185
"Al ‘Ulaymīyah","Al `Ulaymiyah","Al-‘Alaimah|Al Alaymah",29.6881,48.1142,Kuwait,KW,KWT,"Al Jahrā’","Al Jahra'",KW-JA,governorate,,28.6,,,4,Asia/Kuwait,FALSE,1414919859
"Ad Dasht","Ad Dasht",,29.4625,48.3139,Kuwait,KW,KWT,"Al ‘Āşimah","Al 'Asimah",KW-KU,governorate,,28.6,,,4,Asia/Kuwait,FALSE,1414102386
"Aḑ Ḑibā‘īyah","Ad Diba`iyah","Al-Dhubaiyah|Dhuba‘iyah|Al Adhaba-iyah|Dubayeiha",28.9333,48.1667,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,,,4,Asia/Kuwait,FALSE,1414161311
"Al Maqwa‘","Al Maqwa`","Al Magwa|Maqwah|Magwa|Majīwah|Maqwa",29.1667,47.9833,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,,,4,Asia/Kuwait,FALSE,1414561763
"Mazāri‘ al ‘Abdalī","Mazari` al `Abdali","Al ‘Abdalī Farms",30.0422,47.7221,Kuwait,KW,KWT,"Al Jahrā’","Al Jahra'",KW-JA,governorate,,28.6,,,4,Asia/Kuwait,FALSE,1414000001
Shumaymah,Shumaymah,,29.6178,48.1506,Kuwait,KW,KWT,"Al Jahrā’","Al Jahra'",KW-JA,governorate,,28.6,,,4,Asia/Kuwait,FALSE,1414545064
"Al ‘Uqaylah","Al `Uqaylah","‘Uqlah|‘Uqaila|Ugla|‘Uqallah|Al ‘Uqlah",29.1778,48.0947,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,,,4,Asia/Kuwait,FALSE,1414325537
"‘Ashīsh ad Dawḩah","`Ashish ad Dawhah",,29.3853,47.8422,Kuwait,KW,KWT,"Al Jahrā’","Al Jahra'",KW-JA,governorate,,28.6,,,4,Asia/Kuwait,FALSE,1414765748
"Al Farwānīyah","Al Farwaniyah","Farwaniyyeh|Al Farwania|Al-Farawaniyah|Al-Farwaniyyah|Farwaniah",29.2770,47.9590,Kuwait,KW,KWT,"Al Farwānīyah","Al Farwaniyah",KW-FA,governorate,,4983.3,,,2,Asia/Kuwait,FALSE,1414237350
"Al ‘Abdalīyah","Al `Abdaliyah",,29.0425,47.7061,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,58.2,,,4,Asia/Kuwait,FALSE,1414945392
"Al Bulţ","Al Bult",,29.4575,48.2814,Kuwait,KW,KWT,"Al ‘Āşimah","Al 'Asimah",KW-KU,governorate,,28.6,,,4,Asia/Kuwait,FALSE,1414214832
"Al ‘Udaylīyah","Al `Udayliyah",,29.3000,47.9667,Kuwait,KW,KWT,"Al Farwānīyah","Al Farwaniyah",KW-FA,governorate,,4983.3,,,2,Asia/Kuwait,FALSE,1414247066
"Abraq Khayţān","Abraq Khaytan","Abraq Khaitan|Abraq Haytan|Abrak Khetan|Koetan|Khitan|Khaitan|Abraq Khīţān|Abraq Khetan|Abrag Khīţān|Abraq Khayţān",29.2925,47.9689,Kuwait,KW,KWT,"Al Farwānīyah","Al Farwaniyah",KW-FA,governorate,,4983.3,,,2,Asia/Kuwait,FALSE,1414079526
"‘Ushaysh al Jahrā’","`Ushaysh al Jahra'",,29.3158,47.6639,Kuwait,KW,KWT,"Al Jahrā’","Al Jahra'",KW-JA,governorate,,28.6,,,4,Asia/Kuwait,FALSE,1414424638
"An Nuqayyāt","An Nuqayyat","An Nuqay‘āt|An Niggaiyat|Al-Nigaiyat|An Nugayyāt",28.9431,48.1986,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,,,4,Asia/Kuwait,FALSE,1414155325
"Qullat Shujayr","Qullat Shujayr",,29.4592,48.2997,Kuwait,KW,KWT,"Al ‘Āşimah","Al 'Asimah",KW-KU,governorate,,28.6,,,4,Asia/Kuwait,FALSE,1414277923
"An Nijfah","An Nijfah","Al Mijifa|Al-Najafa|Al Nijifa",29.2464,48.0758,Kuwait,KW,KWT,"Mubārak al Kabīr","Mubarak al Kabir",KW-MU,governorate,,4417.4,,,2,Asia/Kuwait,FALSE,1414828883
"Al Qash‘ānīyah","Al Qash`aniyah","Al Qash‘aniya",29.9834,47.7587,Kuwait,KW,KWT,"Al Jahrā’","Al Jahra'",KW-JA,governorate,,28.6,,,4,Asia/Kuwait,FALSE,1414000002
"Az Zawr","Az Zawr","Minā’ az-Zor|Mīnā’ az Zawr|Mīnā’ Sa‘ūd",28.7375,48.3728,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,,,4,Asia/Kuwait,FALSE,1414511187
"Al Manqaf","Al Manqaf","Al Manjaf|Manqaf|Al-Mangaf",29.0961,48.1328,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,,,4,Asia/Kuwait,FALSE,1414744195
Manīfah,Manifah,Munīfah,29.1608,48.0811,Kuwait,KW,KWT,"Al Aḩmadī","Al Ahmadi",KW-AH,governorate,,152.1,,,4,Asia/Kuwait,FALSE,1414045118
