city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Bishkek,Bishkek,Pishkek|Frunze|Pishpek|Bishkek,42.8747,74.6122,Kyrgyzstan,KG,KGZ,Bishkek,Bishkek,KG-GB,city,primary,8825.4,1120827,1120827,1,Asia/Bishkek,FALSE,1417191971
Osh,Osh,Osh,40.5300,72.8000,Kyrgyzstan,KG,KGZ,Osh,Osh,KG-O,province,admin,410.7,353080,353080,2,Asia/Bishkek,FALSE,1417797596
Jalal-Abad,Jalal-Abad,Dzhalal-Abad,40.9333,73.0000,Kyrgyzstan,KG,KGZ,Jalal-Abad,Jalal-Abad,KG-J,province,admin,1011.4,89004,89004,2,Asia/Bishkek,FALSE,1417653652
Karakol,Karakol,Prjeval’sk|Karakol|Przheval’sk,42.4903,78.3917,Kyrgyzstan,KG,KGZ,Ysyk-Köl,Ysyk-Kol,KG-Y,province,admin,7.4,85588,85588,2,Asia/Bishkek,FALSE,1417269527
Tokmok,Tokmok,Tokmak,42.8333,75.2833,Kyrgyzstan,KG,KGZ,Chüy,Chuy,KG-C,province,,961.7,53231,53231,3,Asia/Bishkek,FALSE,1417875875
Kyzyl-Kyya,Kyzyl-Kyya,Kizöl-Kiva|Kizyl-Kiya|Kyzyl-Kiya|Kzyl-Kiya|Qizilqiya,40.2611,72.1306,Kyrgyzstan,KG,KGZ,Batken,Batken,KG-B,province,,39.4,51300,51300,3,Asia/Bishkek,FALSE,1417902733
Özgön,Ozgon,Uzkend|Uzgen,40.7667,73.3000,Kyrgyzstan,KG,KGZ,Osh,Osh,KG-O,province,,87.0,49410,49410,3,Asia/Bishkek,FALSE,1417087485
Kara-Balta,Kara-Balta,Karabaltö|Imeni Mikoyana|Kara-Balty|Kara-Balta,42.8333,73.8500,Kyrgyzstan,KG,KGZ,Chüy,Chuy,KG-C,province,minor,7.5,48278,48278,3,Asia/Bishkek,FALSE,1417201811
Balykchy,Balykchy,Rybach’e|Ysyk-Köl|Issyk-Kul’|Rybach’ye|Balykchy,42.4611,76.1803,Kyrgyzstan,KG,KGZ,Ysyk-Köl,Ysyk-Kol,KG-Y,province,,23.5,42380,42380,3,Asia/Bishkek,FALSE,1417967917
Bazar-Korgon,Bazar-Korgon,Bazar-Korgon|Bozor-Qo‘rg‘on|Bazar,41.0417,72.7472,Kyrgyzstan,KG,KGZ,Jalal-Abad,Jalal-Abad,KG-J,province,minor,69.9,41011,41011,3,Asia/Bishkek,FALSE,1417672814
Talas,Talas,Dmitriyevskoye|Dmitriyevka|Talas|Talass,42.5167,72.2333,Kyrgyzstan,KG,KGZ,Talas,Talas,KG-T,province,admin,310.0,40308,40308,2,Asia/Bishkek,FALSE,1417698287
Naryn,Naryn,Naron|Naryn,41.4333,76.0000,Kyrgyzstan,KG,KGZ,Naryn,Naryn,KG-N,province,admin,6.1,34822,34822,2,Asia/Bishkek,FALSE,1417466970
Isfana,Isfana,Isfana|Isfina,39.8372,69.5333,Kyrgyzstan,KG,KGZ,Batken,Batken,KG-B,province,minor,27.2,34219,34219,3,Asia/Bishkek,FALSE,1417781894
Aravan,Aravan,Aravan,40.5150,72.4992,Kyrgyzstan,KG,KGZ,Osh,Osh,KG-O,province,minor,270.5,32917,32917,3,Asia/Bishkek,FALSE,1417417400
Sokuluk,Sokuluk,Kaganovich|Novo-Troitskoye|Sokuluk,42.8600,74.3000,Kyrgyzstan,KG,KGZ,Chüy,Chuy,KG-C,province,minor,59.7,30540,30540,3,Asia/Bishkek,FALSE,1417050744
Suzak,Suzak,Suzak,40.8981,72.9047,Kyrgyzstan,KG,KGZ,Jalal-Abad,Jalal-Abad,KG-J,province,minor,96.6,30534,30534,3,Asia/Bishkek,FALSE,1417055245
Batken,Batken,Batken,40.0667,70.8167,Kyrgyzstan,KG,KGZ,Batken,Batken,KG-B,province,admin,135.3,27730,27730,2,Asia/Bishkek,FALSE,1417022726
Iradan,Iradan,Radinan,40.2600,72.1000,Kyrgyzstan,KG,KGZ,Batken,Batken,KG-B,province,,47.9,26200,26200,3,Asia/Bishkek,FALSE,1417514470
Novopokrovka,Novopokrovka,Novopokrovskoye|Novoye Pokrovskoye|Novopokrovka,42.8708,74.7508,Kyrgyzstan,KG,KGZ,Chüy,Chuy,KG-C,province,,93.7,21619,21619,3,Asia/Bishkek,FALSE,1417819015
Kant,Kant,Kant,42.8833,74.8500,Kyrgyzstan,KG,KGZ,Chüy,Chuy,KG-C,province,minor,79.0,21400,21400,3,Asia/Bishkek,FALSE,1417254104
Belovodskoe,Belovodskoe,Stalinskoye|Belovodskoye,42.8300,74.1000,Kyrgyzstan,KG,KGZ,Chüy,Chuy,KG-C,province,minor,59.7,21275,21275,3,Asia/Bishkek,FALSE,1417996342
Shark,Shark,Shark|Sharq,40.5569,72.8264,Kyrgyzstan,KG,KGZ,Osh,Osh,KG-O,province,,5579.2,21120,21120,2,Asia/Bishkek,FALSE,1417396850
Jangy-Nookat,Jangy-Nookat,Dzhany-Nookat|Yangi-Naukat,40.2500,72.5500,Kyrgyzstan,KG,KGZ,Osh,Osh,KG-O,province,,64.7,21049,21049,3,Asia/Bishkek,FALSE,1417565816
Kara-Suu,Kara-Suu,Kara-Su|Kara Suu|Qora-Suu,40.7000,72.8833,Kyrgyzstan,KG,KGZ,Osh,Osh,KG-O,province,minor,742.5,20862,20862,3,Asia/Bishkek,FALSE,1417321617
Lebedinovka,Lebedinovka,Lebedinka|Lebedinovka,42.8800,74.6800,Kyrgyzstan,KG,KGZ,Chüy,Chuy,KG-C,province,minor,93.7,20709,20709,3,Asia/Bishkek,FALSE,1417855889
Toktogul,Toktogul,Toktogul,41.8722,72.9389,Kyrgyzstan,KG,KGZ,Jalal-Abad,Jalal-Abad,KG-J,province,minor,13.7,20577,20577,3,Asia/Bishkek,FALSE,1417791878
Kurshab,Kurshab,,40.6917,73.1889,Kyrgyzstan,KG,KGZ,Osh,Osh,KG-O,province,,87.0,20471,20471,3,Asia/Bishkek,FALSE,1417161123
Kashkar-Kyshtak,Kashkar-Kyshtak,Kashgarkishlak|Kashgar|Kashgar Kyshtak|Qashg‘ar-Qishtak,40.6200,72.8300,Kyrgyzstan,KG,KGZ,Osh,Osh,KG-O,province,,129.1,20334,20334,3,Asia/Bishkek,FALSE,1417542891
Mayluu-Suu,Mayluu-Suu,Mayli-Say|Mallisay|Maylysay,41.2457,72.4480,Kyrgyzstan,KG,KGZ,Jalal-Abad,Jalal-Abad,KG-J,province,,168.3,20200,20200,3,Asia/Bishkek,FALSE,1417039122
Voyenno-Antonovka,Voyenno-Antonovka,Voyenno-Antonovskoye,42.8722,74.4500,Kyrgyzstan,KG,KGZ,Chüy,Chuy,KG-C,province,,85.6,20182,20182,3,Asia/Bishkek,FALSE,1417044107
Massy,Massy,Leninjol|Lenin-Dzhol|Massi,41.0608,72.6328,Kyrgyzstan,KG,KGZ,Jalal-Abad,Jalal-Abad,KG-J,province,minor,54.8,19774,19774,3,Asia/Bishkek,FALSE,1417666567
Tash-Kömür,Tash-Komur,Tashkumör|Naryn|Tash-Kumyr,41.3500,72.2167,Kyrgyzstan,KG,KGZ,Jalal-Abad,Jalal-Abad,KG-J,province,,410.9,19310,19310,3,Asia/Bishkek,FALSE,1417242124
Kara-Köl,Kara-Kol,Kara-Kël’|Kara-Kul’,41.6311,72.6686,Kyrgyzstan,KG,KGZ,Jalal-Abad,Jalal-Abad,KG-J,province,,17.9,18843,18843,3,Asia/Bishkek,FALSE,1417090900
Novopavlovka,Novopavlovka,Novopavlovka,42.8700,74.4800,Kyrgyzstan,KG,KGZ,Chüy,Chuy,KG-C,province,,34.9,18332,18332,3,Asia/Bishkek,FALSE,1417769741
Eski-Nookat,Eski-Nookat,Iski-Naukat|Eski-Nookat,40.2658,72.6181,Kyrgyzstan,KG,KGZ,Osh,Osh,KG-O,province,minor,64.7,18228,18228,3,Asia/Bishkek,FALSE,1417348189
Ivanovka,Ivanovka,Ivanovna|Ivanovka,42.8864,75.0822,Kyrgyzstan,KG,KGZ,Chüy,Chuy,KG-C,province,minor,78.7,17513,17513,3,Asia/Bishkek,FALSE,1417486254
Myrza-Ake,Myrza-Ake,Mirza-Ake|Mirza-Aki,40.7500,73.4100,Kyrgyzstan,KG,KGZ,Osh,Osh,KG-O,province,,87.0,16011,16011,3,Asia/Bishkek,FALSE,1417504242
Kara-Kulja,Kara-Kulja,Kara-Kul’dzha,40.6333,73.5925,Kyrgyzstan,KG,KGZ,Osh,Osh,KG-O,province,minor,16.4,15616,15616,3,Asia/Bishkek,FALSE,1417892733
Kyzyl-Suu,Kyzyl-Suu,Pokrovka|Leninskoye|Novo-Pokrovskoye|Nov Pokrovka,42.3425,78.0047,Kyrgyzstan,KG,KGZ,Ysyk-Köl,Ysyk-Kol,KG-Y,province,minor,6.4,15464,15464,3,Asia/Bishkek,FALSE,1417060130
