city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Ban Dôngkô,Ban Dongko,,15.5943,106.3078,Laos,LA,LAO,Salavan,Salavan,LA-SL,province,,457.3,,,3,Asia/Vientiane,FALSE,1418209541
Ban Kèokoup,Ban Keokoup,,19.9667,104.0167,Laos,LA,LAO,Houaphan,Houaphan,LA-HO,province,,51.6,,,4,Asia/Vientiane,FALSE,1418938214
Ban Houana,Ban Houana,,21.0762,101.8850,Laos,LA,LAO,Oudômxai,Oudomxai,LA-OU,province,,27.1,,,4,Asia/Vientiane,FALSE,1418529248
Ban Chouang,Ban Chouang,,19.3454,102.6357,Laos,LA,LAO,Louangphabang,Louangphabang,LA-LP,province,,1.5,,,5,Asia/Vientiane,FALSE,1418321352
Ban Phoulouang,Ban Phoulouang,,20.3565,100.3932,Laos,LA,LAO,Bokèo,Bokeo,LA-BK,province,,30.5,,,4,Asia/Vientiane,FALSE,1418973392
Ban Sathan,Ban Sathan,,19.6902,100.5670,Laos,LA,LAO,Xaignabouli,Xaignabouli,LA-XA,province,,187.9,,,4,Asia/Vientiane,FALSE,1418036130
Ban Tum,Ban Tum,,15.7345,106.9532,Laos,LA,LAO,Xékong,Xekong,LA-XE,province,,4.1,,,5,Asia/Vientiane,FALSE,1418400696
Ban Dang-Tai,Ban Dang-Tai,Ban Dang Ta,17.0993,104.9509,Laos,LA,LAO,Khammouan,Khammouan,LA-KH,province,,198.6,,,4,Asia/Vientiane,FALSE,1418065803
Ban Hatmala,Ban Hatmala,Ban Na La,18.3183,102.5728,Laos,LA,LAO,Viangchan,Viangchan,LA-VI,province,,51.8,,,4,Asia/Vientiane,FALSE,1418490570
Ban Pounghiang,Ban Pounghiang,Pounghiang|Pouaghiang|Pung Heng,20.7822,102.1132,Laos,LA,LAO,Oudômxai,Oudomxai,LA-OU,province,,88.0,,,4,Asia/Vientiane,FALSE,1418620627
Ban Nongkalong,Ban Nongkalong,,16.5592,105.1037,Laos,LA,LAO,Savannakhét,Savannakhet,LA-SV,province,,339.6,,,3,Asia/Vientiane,FALSE,1418168895
Ban Kôkva,Ban Kokva,Ban Nônkoung,16.2216,105.2579,Laos,LA,LAO,Savannakhét,Savannakhet,LA-SV,province,,52.2,,,4,Asia/Vientiane,FALSE,1418020691
Ban Xiangkèo,Ban Xiangkeo,Ban Sieng Kèou|Ban Sieng Keo,19.8642,102.1182,Laos,LA,LAO,Louangphabang,Louangphabang,LA-LP,province,,1157.2,,,3,Asia/Vientiane,FALSE,1418028916
Ban Songphou,Ban Songphou,,20.0151,104.7108,Laos,LA,LAO,Houaphan,Houaphan,LA-HO,province,,18.5,,,4,Asia/Vientiane,FALSE,1418998831
Ban Namxang,Ban Namxang,Ban Namkang,21.6388,102.7756,Laos,LA,LAO,Phôngsali,Phongsali,LA-PH,province,,2.1,,,5,Asia/Vientiane,FALSE,1418024680
Ban Bouamthon,Ban Bouamthon,,18.0112,101.3625,Laos,LA,LAO,Xaignabouli,Xaignabouli,LA-XA,province,,66.8,,,4,Asia/Vientiane,FALSE,1418988304
Ban Phônmoung,Ban Phonmoung,,16.7048,106.1934,Laos,LA,LAO,Savannakhét,Savannakhet,LA-SV,province,,86.9,,,4,Asia/Vientiane,FALSE,1418305071
Ban Houaykaphala,Ban Houaykaphala,Ban Houei Kapha|Ban Hong Seng|Ban Houaykaphra,17.2140,105.2360,Laos,LA,LAO,Khammouan,Khammouan,LA-KH,province,,16.7,,,4,Asia/Vientiane,FALSE,1418543224
Ban Xiang Ay,Ban Xiang Ay,Xiang Ay|Xieng Ai,19.6718,103.2989,Laos,LA,LAO,Xiangkhouang,Xiangkhouang,LA-XI,province,,17.9,,,4,Asia/Vientiane,FALSE,1418582034
Ban Lak Si Sip Pèt,Ban Lak Si Sip Pet,,15.1873,106.2097,Laos,LA,LAO,Champasak,Champasak,LA-CH,province,,150.6,,,4,Asia/Vientiane,FALSE,1418009890
Ban Phoulouang-Tai,Ban Phoulouang-Tai,,19.9990,102.1472,Laos,LA,LAO,Louangphabang,Louangphabang,LA-LP,province,,30.6,,,4,Asia/Vientiane,FALSE,1418480944
Ban Ay,Ban Ay,Muong Hai|Muang Ay|Muang Hay|Muang Hai,21.0497,101.8121,Laos,LA,LAO,Oudômxai,Oudomxai,LA-OU,province,,82.6,,,4,Asia/Vientiane,FALSE,1418128755
Ban Duhang,Ban Duhang,,20.7227,102.5921,Laos,LA,LAO,Louangphabang,Louangphabang,LA-LP,province,,28.2,,,4,Asia/Vientiane,FALSE,1418923302
Ban Kamèp,Ban Kamep,Ban Kmep,16.2795,105.9183,Laos,LA,LAO,Savannakhét,Savannakhet,LA-SV,province,,10.0,,,5,Asia/Vientiane,FALSE,1418018111
Ban Thamouang,Ban Thamouang,,14.5491,105.8340,Laos,LA,LAO,Champasak,Champasak,LA-CH,province,,28.2,,,4,Asia/Vientiane,FALSE,1418294669
Ban Dèndin,Ban Dendin,,19.1403,102.3103,Laos,LA,LAO,Viangchan,Viangchan,LA-VI,province,,14.8,,,4,Asia/Vientiane,FALSE,1418572771
Ban Houaylai-Noy,Ban Houaylai-Noy,,19.7980,101.4629,Laos,LA,LAO,Xaignabouli,Xaignabouli,LA-XA,province,,15.5,,,4,Asia/Vientiane,FALSE,1418507909
Ban Kèngxai-Noi,Ban Kengxai-Noi,Ban Ken Sai|Ban Kèngxai Noy,16.5585,105.5617,Laos,LA,LAO,Savannakhét,Savannakhet,LA-SV,province,,53.3,,,4,Asia/Vientiane,FALSE,1418222274
Ban Sanamsisanga,Ban Sanamsisanga,,19.3363,101.8660,Laos,LA,LAO,Louangphabang,Louangphabang,LA-LP,province,,7.5,,,5,Asia/Vientiane,FALSE,1418582691
Ban Keo Vok,Ban Keo Vok,,19.4833,102.5333,Laos,LA,LAO,Louangphabang,Louangphabang,LA-LP,province,,33.0,,,4,Asia/Vientiane,FALSE,1418305615
Ban Houaykapô-Iang,Ban Houaykapo-Iang,,18.9048,102.9385,Laos,LA,LAO,Xaisômboun,Xaisomboun,LA-XS,province,,19.9,,,4,Asia/Vientiane,FALSE,1418270937
Ban Sangkhao,Ban Sangkhao,,21.2839,102.3660,Laos,LA,LAO,Phôngsali,Phongsali,LA-PH,province,,8.4,,,5,Asia/Vientiane,FALSE,1418865430
Ta Meut,Ta Meut,,19.2167,102.9167,Laos,LA,LAO,Xiangkhouang,Xiangkhouang,LA-XI,province,,0.6,,,5,Asia/Vientiane,FALSE,1418109813
Ban Lanpa,Ban Lanpa,,21.9345,101.8729,Laos,LA,LAO,Phôngsali,Phongsali,LA-PH,province,,5.5,,,5,Asia/Vientiane,FALSE,1418902262
Ban Sômboun,Ban Somboun,,19.4691,102.6849,Laos,LA,LAO,Xiangkhouang,Xiangkhouang,LA-XI,province,,104.3,,,4,Asia/Vientiane,FALSE,1418016775
Ban Phakphèo,Ban Phakpheo,,17.8758,105.3564,Laos,LA,LAO,Khammouan,Khammouan,LA-KH,province,,20.9,,,4,Asia/Vientiane,FALSE,1418657163
Ban Pangandao,Ban Pangandao,Pa Gnham|Pa Gnham (3)|Po Teul,16.2263,106.6831,Laos,LA,LAO,Salavan,Salavan,LA-SL,province,,45.9,,,4,Asia/Vientiane,FALSE,1418161292
Ban Nakhai,Ban Nakhai,Ban Nakhay,17.4799,105.3499,Laos,LA,LAO,Khammouan,Khammouan,LA-KH,province,,74.9,,,4,Asia/Vientiane,FALSE,1418765564
Lao Sieu,Lao Sieu,,22.0167,102.0500,Laos,LA,LAO,Phôngsali,Phongsali,LA-PH,province,,7.9,,,5,Asia/Vientiane,FALSE,1418314724
Ban Nathong,Ban Nathong,,19.4500,102.6333,Laos,LA,LAO,Louangphabang,Louangphabang,LA-LP,province,,8.3,,,5,Asia/Vientiane,FALSE,1418238102
Ban Ping,Ban Ping,,22.2636,101.7603,Laos,LA,LAO,Phôngsali,Phongsali,LA-PH,province,,6.5,,,5,Asia/Vientiane,FALSE,1418181474
Ban Kôktè,Ban Kokte,,16.7833,104.9833,Laos,LA,LAO,Savannakhét,Savannakhet,LA-SV,province,,70.3,,,4,Asia/Vientiane,FALSE,1418058079
