city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Azara Bodži,Azara Bodzi,,56.4948,27.1822,Latvia,LV,LVA,Rēzekne,Rezekne,LV-077,municipality,,15.7,,,4,Europe/Riga,FALSE,1428000192
Brokas,Brokas,,56.6357,27.2887,Latvia,LV,LVA,Rēzekne,Rezekne,LV-077,municipality,,15.7,,,4,Europe/Riga,FALSE,1428000282
Ķoniņciems,Koninciems,Tonyn’tsiyems|Ķoniņi,56.8285,21.7376,Latvia,LV,LVA,Kuldīga,Kuldiga,LV-050,municipality,,17.3,,,4,Europe/Riga,FALSE,1428443866
Viļņi,Vilni,Vitynyu|Vītiņu Pusmuiža|Vitiņi|Vitnu,56.5126,21.1447,Latvia,LV,LVA,Dienvidkurzeme,Dienvidkurzeme,LV-112,,,23.7,,,4,Europe/Riga,FALSE,1428680441
Zelkalis,Zelkalis,,57.2333,25.6001,Latvia,LV,LVA,Cēsis,Cesis,LV-022,municipality,,10.4,,,4,Europe/Riga,FALSE,1428440617
Kušneri,Kusneri,,56.3458,27.5958,Latvia,LV,LVA,Ludza,Ludza,LV-058,municipality,,17.8,,,4,Europe/Riga,FALSE,1428406555
Asāni,Asani,Osani,56.3769,27.5910,Latvia,LV,LVA,Rēzekne,Rezekne,LV-077,municipality,,15.7,,,4,Europe/Riga,FALSE,1428801159
Platači,Plataci,Platachi,56.3010,27.7597,Latvia,LV,LVA,Ludza,Ludza,LV-058,municipality,,17.8,,,4,Europe/Riga,FALSE,1428224343
Graši,Grasi,,56.9872,26.2746,Latvia,LV,LVA,Madona,Madona,LV-059,municipality,,18.8,,,4,Europe/Riga,FALSE,1428097992
Zeltiņi,Zeltini,Mildas|Mieldas,57.5033,25.2879,Latvia,LV,LVA,Valmiera,Valmiera,LV-113,,,14.6,,,4,Europe/Riga,FALSE,1428554247
Plaudiši,Plaudisi,Plaudīši|Plavdishi,56.6314,27.8732,Latvia,LV,LVA,Ludza,Ludza,LV-058,municipality,,7.7,,,5,Europe/Riga,FALSE,1428669973
Blome,Blome,Blomi|Myza Blome,57.1983,26.6818,Latvia,LV,LVA,Gulbene,Gulbene,LV-033,municipality,,14.9,,,4,Europe/Riga,FALSE,1428792878
Rudgalvji,Rudgalvji,,57.1911,26.0799,Latvia,LV,LVA,Cēsis,Cesis,LV-022,municipality,,11.6,,,4,Europe/Riga,FALSE,1428977161
Krustpils,Krustpils,,56.5049,25.8761,Latvia,LV,LVA,Jēkabpils,Jekabpils,LV-042,municipality,,1253.4,,,3,Europe/Riga,FALSE,1428652261
Buiva,Buiva,,57.6532,25.0040,Latvia,LV,LVA,Limbaži,Limbazi,LV-054,municipality,,11.0,,,4,Europe/Riga,FALSE,1428506865
Konogoļci,Konogolci,,56.4761,28.1056,Latvia,LV,LVA,Ludza,Ludza,LV-058,municipality,,17.8,,,4,Europe/Riga,FALSE,1428793342
Šķēde,Skede,Šķede Muižas Centrs|Myza Shtede|Šķēdes,57.2559,22.7319,Latvia,LV,LVA,Talsi,Talsi,LV-097,municipality,,21.8,,,4,Europe/Riga,FALSE,1428769731
Veipi,Veipi,,56.6398,26.5934,Latvia,LV,LVA,Varakļāni,Varaklani,LV-102,municipality,,15.5,,,4,Europe/Riga,FALSE,1428046210
Antropova,Antropova,Polumyza Antropova|Antropovas,56.2806,27.5460,Latvia,LV,LVA,Rēzekne,Rezekne,LV-077,municipality,,15.7,,,4,Europe/Riga,FALSE,1428778700
Garjuri,Garjuri,Gariyuri|Gariejuri|Gara Yura|Gara-Jura,57.4398,27.1678,Latvia,LV,LVA,Alūksne,Aluksne,LV-007,municipality,,12.6,,,4,Europe/Riga,FALSE,1428879045
Promulti,Promulti,,57.8515,25.0985,Latvia,LV,LVA,Valmiera,Valmiera,LV-113,,,10.7,,,4,Europe/Riga,FALSE,1428522950
Stapuļi,Stapuli,,56.6044,27.4660,Latvia,LV,LVA,Rēzekne,Rezekne,LV-077,municipality,,15.7,,,4,Europe/Riga,FALSE,1428000363
Stogoršņi,Stogorsni,,56.6455,27.4160,Latvia,LV,LVA,Rēzekne,Rezekne,LV-077,municipality,,15.7,,,4,Europe/Riga,FALSE,1428000322
Kaļandri,Kalandri,,56.5902,25.4478,Latvia,LV,LVA,Aizkraukle,Aizkraukle,LV-002,municipality,,11.4,,,4,Europe/Riga,FALSE,1428410386
Ciukori,Ciukori,Civkori,56.5400,27.1438,Latvia,LV,LVA,Rēzekne,Rezekne,LV-077,municipality,,15.7,,,4,Europe/Riga,FALSE,1428000090
Roņi,Roni,,57.0453,25.8861,Latvia,LV,LVA,Cēsis,Cesis,LV-022,municipality,,10.4,,,4,Europe/Riga,FALSE,1428000010
Ružusola,Ruzusola,Ruži,56.1582,26.3035,Latvia,LV,LVA,Jēkabpils,Jekabpils,LV-042,municipality,,12.4,,,4,Europe/Riga,FALSE,1428694903
Biksi,Biksi,,56.2375,28.1279,Latvia,LV,LVA,Ludza,Ludza,LV-058,municipality,,12.3,,,4,Europe/Riga,FALSE,1428000069
