city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Es Salhîyé,Es Salhiye,‘Ayn aş Şāliḩīyah|Ain Slaïyé|Ain Slaïe|Ain Essalhiye|‘Ain es-Salhiyah|Aş Şāliḩīyah,34.0761,35.7130,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,264.1,,,3,Asia/Beirut,FALSE,1422564389
Mrâh el Biyâd,Mrah el Biyad,Marāḩ al Bayāḑ,34.3728,36.3053,Lebanon,LB,LBN,Baalbek-Hermel,Baalbek-Hermel,LB-BH,governorate,,26.8,,,4,Asia/Beirut,FALSE,1422160575
Habramoûn,Habramoun,Jaramoûn|Ḩabrammūn|Habrammoun|Ḩabramūn,33.7603,35.6453,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,281.7,,,3,Asia/Beirut,FALSE,1422600900
Aalmâne ed Daïaa,Aalmane ed Daiaa,Aalmane|‘Almān|‘Almān aḑ Ḑay‘ah,33.5947,35.4117,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,396.6,,,3,Asia/Beirut,FALSE,1422468451
Er Raouda,Er Raouda,Ar Rawḑah,33.8797,35.5556,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,35979.5,,,2,Asia/Beirut,FALSE,1422832602
Saint Michel,Saint Michel,,33.8597,35.4839,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,100375.0,,,2,Asia/Beirut,FALSE,1422911982
Bioût el Kraïm,Biout el Kraim,Buyūt al Kuraym,34.0100,35.7706,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,278.4,,,3,Asia/Beirut,FALSE,1422212971
El Mahroûqa,El Mahrouqa,Al Maḩrūqah,33.9508,35.8244,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,319.7,,,3,Asia/Beirut,FALSE,1422064277
Mafraq ech Chellâlât,Mafraq ech Chellalat,Mafraq ash Shallālāt,34.0636,35.6436,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,3156.3,,,2,Asia/Beirut,FALSE,1422835828
Tariq ej Jdîdé,Tariq ej Jdide,Ţarīq al Jadīdah,33.7956,35.8253,Lebanon,LB,LBN,Béqaa,Beqaa,LB-BI,governorate,,1916.5,,,3,Asia/Beirut,FALSE,1422845148
Khalsa,Khalsa,Al Khālişah|El-Khalsah,34.6333,36.3128,Lebanon,LB,LBN,Aakkâr,Aakkar,LB-AK,governorate,,220.4,,,3,Asia/Beirut,FALSE,1422216064
Aïn et Tîné,Ain et Tine,‘Ayn at Tīnah,34.3928,36.0511,Lebanon,LB,LBN,Liban-Nord,Liban-Nord,LB-AS,governorate,,3917.4,,,2,Asia/Beirut,FALSE,1422859174
Râs Nhâch,Ras Nhach,Ra’s Nḩāsh|Ra’s Naḩāsh,34.2828,35.7150,Lebanon,LB,LBN,Liban-Nord,Liban-Nord,LB-AS,governorate,,909.6,,,3,Asia/Beirut,FALSE,1422041325
Mrâh Sahlet el Barghach,Mrah Sahlet el Barghach,Marāḩ Sahlat al Barghash,34.3750,36.2922,Lebanon,LB,LBN,Baalbek-Hermel,Baalbek-Hermel,LB-BH,governorate,,26.8,,,4,Asia/Beirut,FALSE,1422650659
Er Rama,Er Rama,,34.6192,36.3764,Lebanon,LB,LBN,Aakkâr,Aakkar,LB-AK,governorate,,243.6,,,3,Asia/Beirut,FALSE,1422586255
Batloûn,Batloun,Batlūn,33.6956,35.6531,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,1115.9,,,3,Asia/Beirut,FALSE,1422874831
Mrâh el Aarab,Mrah el Aarab,Marāḩ al ‘Arab,34.4778,36.3544,Lebanon,LB,LBN,Baalbek-Hermel,Baalbek-Hermel,LB-BH,governorate,,93.6,,,4,Asia/Beirut,FALSE,1422620539
Râs el Masri,Ras el Masri,Ra’s al Mişrī|Rās al Maşrī,33.1139,35.1719,Lebanon,LB,LBN,Liban-Sud,Liban-Sud,LB-JA,governorate,,199.1,,,4,Asia/Beirut,FALSE,1422534385
Sfaïnet el Qaïtaa,Sfainet el Qaitaa,Safīnat al Qayţi‘|Es Soûfaïne|Es Sfiné,34.4614,36.0289,Lebanon,LB,LBN,Aakkâr,Aakkar,LB-AK,governorate,,117.7,,,4,Asia/Beirut,FALSE,1422268975
El Hebbâq,El Hebbaq,Al Ḩabbāq,34.1472,35.7422,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,65.9,,,4,Asia/Beirut,FALSE,1422749830
Mafraq Ghazîr,Mafraq Ghazir,,34.0058,35.6453,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,3945.5,,,2,Asia/Beirut,FALSE,1422515371
Bdédoun,Bdedoun,Bidadūn|Bdādūn,33.8100,35.5611,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,4599.4,,,2,Asia/Beirut,FALSE,1422629232
EJ Jâhlîyé,EJ Jahliye,El Jalieh|Al Jāhilīyih|El-Jahliyah|Ej Jâlîyé|Jâhlîyé|Al Jāhilīyah,33.6672,35.5111,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,2145.8,,,2,Asia/Beirut,FALSE,1422997734
Aaley ej Jdidé,Aaley ej Jdide,‘Āliyah al Jadīdah,33.8181,35.6103,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,2449.2,,,2,Asia/Beirut,FALSE,1422100397
Kfar Beït,Kfar Beit,Kafr Bayt,33.4957,35.4613,Lebanon,LB,LBN,Liban-Sud,Liban-Sud,LB-JA,governorate,,440.6,,,3,Asia/Beirut,FALSE,1422252248
El Qreiaâ,El Qreiaa,El Qréha|El Greha|Al Quray‘ah,33.5975,35.4928,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,21.6,,,4,Asia/Beirut,FALSE,1422702209
Haï el Faouqa,Hai el Faouqa,‘Almāt al Janūbīyah|Ḩayy al Fawqā,34.1008,35.7800,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,72.4,,,4,Asia/Beirut,FALSE,1422455410
Jibla,Jibla,Jabla|Jebla|Jablā,34.2464,35.7775,Lebanon,LB,LBN,Liban-Nord,Liban-Nord,LB-AS,governorate,,522.8,,,3,Asia/Beirut,FALSE,1422893948
Qoussaya,Qoussaya,Qūsāyā|Hosaya|Kūsāyā,33.8122,36.0250,Lebanon,LB,LBN,Béqaa,Beqaa,LB-BI,governorate,,58.1,,,4,Asia/Beirut,FALSE,1422210096
Kfar Tibnît,Kfar Tibnit,Kafr Tibnīt,33.3531,35.5133,Lebanon,LB,LBN,Nabatîyé,Nabatiye,LB-NA,governorate,,1452.2,,,3,Asia/Beirut,FALSE,1422777548
El Mraïjât,El Mraijat,El Mreijat|Al Murayjāt,33.8075,35.8158,Lebanon,LB,LBN,Béqaa,Beqaa,LB-BI,governorate,,659.3,,,3,Asia/Beirut,FALSE,1422107333
Darjet el Qarn,Darjet el Qarn,Darajat al Qarn,34.2422,35.9675,Lebanon,LB,LBN,Liban-Nord,Liban-Nord,LB-AS,governorate,,637.7,,,3,Asia/Beirut,FALSE,1422059638
El Harâyeq,El Harayeq,El Harayeq|Al Ḩarāyiq|Al Ḩarā’iq,33.8233,35.9982,Lebanon,LB,LBN,Béqaa,Beqaa,LB-BI,governorate,,486.5,,,3,Asia/Beirut,FALSE,1422000040
El Fourzol,El Fourzol,Al Furzul|Fourzol,33.8633,35.9497,Lebanon,LB,LBN,Béqaa,Beqaa,LB-BI,governorate,,288.5,,,3,Asia/Beirut,FALSE,1422444204
Haoucharîyé,Haouchariye,,34.4953,36.3961,Lebanon,LB,LBN,Baalbek-Hermel,Baalbek-Hermel,LB-BH,governorate,,347.5,,,3,Asia/Beirut,FALSE,1422289576
Ej Jendi,Ej Jendi,Jeundi|Al Jundī,34.1956,35.7631,Lebanon,LB,LBN,Liban-Nord,Liban-Nord,LB-AS,governorate,,689.8,,,3,Asia/Beirut,FALSE,1422808800
El Faqrât,El Faqrat,Al Faqarāt,34.2517,36.1231,Lebanon,LB,LBN,Baalbek-Hermel,Baalbek-Hermel,LB-BH,governorate,,46.4,,,4,Asia/Beirut,FALSE,1422330094
Cheïkh Zennâd,Cheikh Zennad,Esh-Sheikh Zinnad|Ash Shaykh Zinād|Ech Cheïkh Zénâd|Cheïkh Zénâdé,34.6069,35.9867,Lebanon,LB,LBN,Aakkâr,Aakkar,LB-AK,governorate,,88.9,,,4,Asia/Beirut,FALSE,1422127350
Haouqa,Haouqa,Al Ḩawqā|Hoûka|Ḩawqā|Ḩawqā an Nahr,34.2722,35.9417,Lebanon,LB,LBN,Liban-Nord,Liban-Nord,LB-AS,governorate,,351.0,,,3,Asia/Beirut,FALSE,1422378258
El Ghandoûrîyé,El Ghandouriye,Ghandūrīyah|Al Ghandūrīyah,33.6931,35.4217,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,328.3,,,3,Asia/Beirut,FALSE,1422992135
Makhadet Nahr el Kalb,Makhadet Nahr el Kalb,Makhāḑat Nahr al Kalb,33.9453,35.6153,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,7285.9,,,2,Asia/Beirut,FALSE,1422460882
Dahr ed Douaïr,Dahr ed Douair,Duwayr|Ḑahr ad Duwayr,33.6708,35.4819,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,82.0,,,4,Asia/Beirut,FALSE,1422611931
El Mghârîq,El Mghariq,Al Maghārīq,33.5336,35.4339,Lebanon,LB,LBN,Liban-Sud,Liban-Sud,LB-JA,governorate,,1075.9,,,3,Asia/Beirut,FALSE,1422440381
Harîssa,Harissa,Al Ḩarīşah|Ḩarīşā|Al Ḩurayşah,34.1997,35.9444,Lebanon,LB,LBN,Liban-Nord,Liban-Nord,LB-AS,governorate,,98.3,,,4,Asia/Beirut,FALSE,1422880007
Béjjé,Bejje,Bajjé|Bijjah|Bajjah,34.1800,35.7150,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,108.8,,,4,Asia/Beirut,FALSE,1422860014
El Ghabbît,El Ghabbit,Al Ghabbīţ,33.9011,35.8206,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,599.5,,,3,Asia/Beirut,FALSE,1422321533
Mazraat es Souaïri,Mazraat es Souairi,Mazra‘at aş Şuwayrī,33.4119,35.5761,Lebanon,LB,LBN,Liban-Sud,Liban-Sud,LB-JA,governorate,,97.1,,,4,Asia/Beirut,FALSE,1422564936
Ijd Aabrîne,Ijd Aabrine,Ijdi‘brīn|Ejdabrine|Ajd Aabrîne|Ajd ‘Abrīn,34.2719,35.7469,Lebanon,LB,LBN,Liban-Nord,Liban-Nord,LB-AS,governorate,,306.2,,,3,Asia/Beirut,FALSE,1422289358
Zouaïtîni,Zouaitini,Zuwaytīnah,33.8642,35.7775,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,446.3,,,3,Asia/Beirut,FALSE,1422470647
Joûn,Joun,Jūn,33.5808,35.4436,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,594.2,,,3,Asia/Beirut,FALSE,1422770265
Ḩārat Ḩamzah,Harat Hamzah,Hâret Hamzé,33.7500,35.6500,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,761.4,,,3,Asia/Beirut,FALSE,1422834453
Behinna,Behinna,,33.9083,35.8778,Lebanon,LB,LBN,Béqaa,Beqaa,LB-BI,governorate,,127.0,,,4,Asia/Beirut,FALSE,1422673335
Shawyet Aaley,Shawyet Aaley,Shāwiyah ‘Āliyah,33.7936,35.5948,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,3923.3,,,2,Asia/Beirut,FALSE,1422000025
El Aazra,El Aazra,El-‘Adhrah|El Aadra|Al ‘Adhrā’|El-Azrah|Al ‘Adhrah|Al ‘Udhrah wa al ‘Udhr,34.0636,35.6963,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,552.2,,,3,Asia/Beirut,FALSE,1422886311
Kfar Dlâqos,Kfar Dlaqos,Kafr Dlāqūs|Kafr Dalāqūs|Kafr Dalāqus,34.3933,35.9058,Lebanon,LB,LBN,Liban-Nord,Liban-Nord,LB-AS,governorate,,1784.2,,,3,Asia/Beirut,FALSE,1422000417
Hasroût,Hasrout,Hasroûte|Ḩaşrūt,33.6283,35.5350,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,630.2,,,3,Asia/Beirut,FALSE,1422580858
Qboula,Qboula,,34.5350,36.1814,Lebanon,LB,LBN,Aakkâr,Aakkar,LB-AK,governorate,,273.7,,,3,Asia/Beirut,FALSE,1422986295
Khirbat ‘Ayn al Qanāţir,Khirbat `Ayn al Qanatir,,33.3333,35.2500,Lebanon,LB,LBN,Liban-Sud,Liban-Sud,LB-JA,governorate,,860.5,,,3,Asia/Beirut,FALSE,1422019311
Ghobeïré,Ghobeire,Al Ghubayri|Ghobairé|El-Ghbeirih|Al Ghubayrah|Ghbaïré|Al Ghubayrī,33.8589,35.5042,Lebanon,LB,LBN,Mont-Liban,Mont-Liban,LB-JL,governorate,,101628.6,,,2,Asia/Beirut,FALSE,1422342335
Es Soultânîyé,Es Soultaniye,Sulţānīyah|Al Yahūdīyah|El-Yahoudiyah|El Yahoudiyé|As Sulţānīyah,33.2070,35.4034,Lebanon,LB,LBN,Nabatîyé,Nabatiye,LB-NA,governorate,,135.6,,,4,Asia/Beirut,FALSE,1422002717
