city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Maseru,Maseru,,-29.3100,27.4800,Lesotho,LS,LSO,Maseru,Maseru,LS-A,district,primary,2489.4,343541,343541,1,Africa/Maseru,FALSE,1426977668
Teyateyaneng,Teyateyaneng,,-29.1511,27.7425,Lesotho,LS,LSO,Berea,Berea,LS-D,district,admin,328.7,75115,75115,2,Africa/Maseru,FALSE,1426159118
Mafeteng,Mafeteng,,-29.8167,27.2500,Lesotho,LS,LSO,Mafeteng,Mafeteng,LS-E,district,admin,340.3,57059,57059,2,Africa/Maseru,FALSE,1426506047
Leribe,Leribe,Hlotse,-28.8734,28.0416,Lesotho,LS,LSO,Leribe,Leribe,LS-C,district,admin,323.8,38558,38558,2,Africa/Maseru,FALSE,1426721246
Maputsoe,Maputsoe,,-28.8950,27.9070,Lesotho,LS,LSO,Leribe,Leribe,LS-C,district,,319.7,32117,32117,3,Africa/Maseru,FALSE,1426999579
Mazenod,Mazenod,,-29.4642,27.4969,Lesotho,LS,LSO,Maseru,Maseru,LS-A,district,,180.4,27553,27553,3,Africa/Maseru,FALSE,1426996323
Ratau,Ratau,Theko,-29.3828,27.7892,Lesotho,LS,LSO,Maseru,Maseru,LS-A,district,,126.4,26582,26582,3,Africa/Maseru,FALSE,1426355442
"Mohale’s Hoek","Mohale's Hoek",,-30.1500,27.4667,Lesotho,LS,LSO,"Mohale’s Hoek","Mohale's Hoek",LS-F,district,admin,227.3,24992,24992,2,Africa/Maseru,FALSE,1426343192
Qiloane,Qiloane,,-29.3625,27.6319,Lesotho,LS,LSO,Maseru,Maseru,LS-A,district,,176.7,24093,24093,3,Africa/Maseru,FALSE,1426291915
Mapoteng,Mapoteng,,-29.1097,27.9739,Lesotho,LS,LSO,Berea,Berea,LS-D,district,,169.3,23926,23926,3,Africa/Maseru,FALSE,1426371012
Senekane,Senekane,Senekals|Senekal,-29.2525,27.7433,Lesotho,LS,LSO,Berea,Berea,LS-D,district,,100.3,22262,22262,3,Africa/Maseru,FALSE,1426773784
Kueneng,Kueneng,,-29.0161,27.9981,Lesotho,LS,LSO,Berea,Berea,LS-D,district,,166.7,21887,21887,3,Africa/Maseru,FALSE,1426216569
Maghalleen,Maghalleen,Maghaleen,-30.0942,27.4189,Lesotho,LS,LSO,"Mohale’s Hoek","Mohale's Hoek",LS-F,district,,0.5,21869,21869,3,Africa/Johannesburg,FALSE,1426440371
Pitseng,Pitseng,,-29.0097,28.2575,Lesotho,LS,LSO,Leribe,Leribe,LS-C,district,,84.1,18948,18948,3,Africa/Maseru,FALSE,1426276649
Siloe,Siloe,,-29.9836,27.2792,Lesotho,LS,LSO,"Mohale’s Hoek","Mohale's Hoek",LS-F,district,,64.3,18261,18261,3,Africa/Maseru,FALSE,1426116869
Peka,Peka,,-28.9667,27.7667,Lesotho,LS,LSO,Leribe,Leribe,LS-C,district,,107.9,17161,17161,3,Africa/Maseru,FALSE,1426883047
Quthing,Quthing,Moyeni,-30.4001,27.7002,Lesotho,LS,LSO,Quthing,Quthing,LS-G,district,admin,91.1,15000,15000,2,Africa/Maseru,FALSE,1426618526
Nako,Nako,Naku|Makhalaneng,-29.6481,27.7336,Lesotho,LS,LSO,Maseru,Maseru,LS-A,district,,48.4,13146,13146,3,Africa/Maseru,FALSE,1426816465
Ramabitsa,Ramabitsa,Motanyane,-29.7625,27.6139,Lesotho,LS,LSO,Maseru,Maseru,LS-A,district,,48.4,12234,12234,3,Africa/Maseru,FALSE,1426883500
