city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Ojo,Ojo,Jojo,6.4336,-9.0281,Liberia,LR,LBR,Nimba,Nimba,LR-NI,county,,30.2,,,4,Africa/Monrovia,FALSE,1430917986
Tromue,Tromue,,6.3989,-9.6031,Liberia,LR,LBR,Grand Bassa,Grand Bassa,LR-GB,county,,25.4,,,4,Africa/Monrovia,FALSE,1430399053
Dasabli,Dasabli,,5.5859,-9.6503,Liberia,LR,LBR,River Cess,River Cess,LR-RI,county,,67.5,,,4,Africa/Monrovia,FALSE,1430102431
Jaba Wanabo,Jaba Wanabo,,5.2483,-8.8136,Liberia,LR,LBR,Sinoe,Sinoe,LR-SI,county,,8.1,,,5,Africa/Monrovia,FALSE,1430111929
Saygbeken,Saygbeken,Sibwekehn|Sibwekohn,5.3809,-8.1568,Liberia,LR,LBR,Sinoe,Sinoe,LR-SI,county,,5.9,,,5,Africa/Monrovia,FALSE,1430672994
Saygbeken,Saygbeken,,5.3714,-8.5591,Liberia,LR,LBR,Sinoe,Sinoe,LR-SI,county,,5.9,,,5,Africa/Monrovia,TRUE,1430252524
Bewala,Bewala,Tanyata,6.6333,-9.7000,Liberia,LR,LBR,Grand Bassa,Grand Bassa,LR-GB,county,,16.6,,,4,Africa/Monrovia,FALSE,1430799381
Gborgar Village,Gborgar Village,Zelubli,5.8118,-9.9479,Liberia,LR,LBR,Grand Bassa,Grand Bassa,LR-GB,county,,74.0,,,4,Africa/Monrovia,FALSE,1430032268
Garhn,Garhn,Gra Town|Granh|Grahn,6.2572,-8.9342,Liberia,LR,LBR,Nimba,Nimba,LR-NI,county,,4.7,,,4,Africa/Monrovia,FALSE,1430258864
Jimmie Roberts,Jimmie Roberts,,5.1178,-8.9997,Liberia,LR,LBR,Sinoe,Sinoe,LR-SI,county,,8.1,,,5,Africa/Monrovia,FALSE,1430460133
Basagia,Basagia,,6.3378,-9.6361,Liberia,LR,LBR,Grand Bassa,Grand Bassa,LR-GB,county,,25.4,,,4,Africa/Monrovia,FALSE,1430266306
Kotuta,Kotuta,,6.9667,-9.4500,Liberia,LR,LBR,Bong,Bong,LR-BG,county,,68.9,,,4,Africa/Monrovia,FALSE,1430894098
Dowo,Dowo,Gawonpa|Gawumpa,6.8575,-8.9131,Liberia,LR,LBR,Nimba,Nimba,LR-NI,county,,92.6,,,4,Africa/Monrovia,FALSE,1430939875
Banjo,Banjo,Barhney|Bani,5.8724,-9.6366,Liberia,LR,LBR,River Cess,River Cess,LR-RI,county,,31.3,,,4,Africa/Monrovia,FALSE,1430965507
Gakpe,Gakpe,Gaakpee Town,6.3249,-10.6274,Liberia,LR,LBR,Margibi,Margibi,LR-MG,county,,93.4,,,4,Africa/Monrovia,FALSE,1430236946
Than Town A,Than Town A,Tahn|Than Town,7.1085,-10.8997,Liberia,LR,LBR,Grand Cape Mount,Grand Cape Mount,LR-CM,county,,16.4,,,4,Africa/Monrovia,FALSE,1430866027
Gonuwehn,Gonuwehn,,6.4892,-10.1207,Liberia,LR,LBR,Grand Bassa,Grand Bassa,LR-GB,county,,24.6,,,4,Africa/Monrovia,FALSE,1430651205
Dakui,Dakui,Daqui,5.8667,-9.7833,Liberia,LR,LBR,Grand Bassa,Grand Bassa,LR-GB,county,,30.2,,,4,Africa/Monrovia,FALSE,1430153070
Pubaken,Pubaken,,5.4119,-8.5803,Liberia,LR,LBR,Sinoe,Sinoe,LR-SI,county,,5.0,,,5,Africa/Monrovia,FALSE,1430900763
Domvapie,Domvapie,,6.7053,-8.8778,Liberia,LR,LBR,Nimba,Nimba,LR-NI,county,,33.9,,,4,Africa/Monrovia,FALSE,1430729536
Gboli,Gboli,Penoke,5.6167,-8.1500,Liberia,LR,LBR,Grand Gedeh,Grand Gedeh,LR-GG,county,,21.1,,,4,Africa/Monrovia,FALSE,1430723620
Willieta,Willieta,,6.7680,-9.2426,Liberia,LR,LBR,Bong,Bong,LR-BG,county,,34.4,,,4,Africa/Monrovia,FALSE,1430356003
Pulah,Pulah,,4.3920,-7.6059,Liberia,LR,LBR,Maryland,Maryland,LR-MY,county,,170.1,,,4,Africa/Monrovia,FALSE,1430919352
Keke,Keke,,6.2167,-10.0333,Liberia,LR,LBR,Grand Bassa,Grand Bassa,LR-GB,county,,16.6,,,4,Africa/Monrovia,FALSE,1430678790
Jekwikpo,Jekwikpo,,4.6627,-8.4168,Liberia,LR,LBR,Grand Kru,Grand Kru,LR-GK,county,,12.0,,,4,Africa/Monrovia,FALSE,1430418154
Mara Grand,Mara Grand,,6.1167,-9.9667,Liberia,LR,LBR,Grand Bassa,Grand Bassa,LR-GB,county,,27.2,,,4,Africa/Monrovia,FALSE,1430582795
Yamatahun,Yamatahun,,8.1833,-10.2000,Liberia,LR,LBR,Lofa,Lofa,LR-LO,county,,32.1,,,4,Africa/Monrovia,FALSE,1430081481
Barblozohn,Barblozohn,Balosa,5.5112,-9.5604,Liberia,LR,LBR,River Cess,River Cess,LR-RI,county,,51.6,,,4,Africa/Monrovia,FALSE,1430883545
Chuante,Chuante,,7.1333,-9.4667,Liberia,LR,LBR,Bong,Bong,LR-BG,county,,68.9,,,4,Africa/Monrovia,FALSE,1430357558
