city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Monrovia,Monrovia,,6.3133,-10.8014,Liberia,LR,LBR,Montserrado,Montserrado,LR-MO,county,primary,5260.0,1021762,1021762,1,Africa/Monrovia,FALSE,1430477826
"New Kru Town","New Kru Town",,6.3733,-10.7928,Liberia,LR,LBR,Montserrado,Montserrado,LR-MO,county,,16452.0,84399,84399,2,Africa/Monrovia,FALSE,1430152542
"Upper Buchanan","Upper Buchanan","Buchanan|Gran Bassa|Grand Bassa",5.9161,-10.0525,Liberia,LR,LBR,"Grand Bassa","Grand Bassa",LR-GB,county,,1754.3,48315,48315,3,Africa/Monrovia,FALSE,1430177860
Ganta,Ganta,Gahnpa,7.2375,-8.9814,Liberia,LR,LBR,Nimba,Nimba,LR-NI,county,,194.0,41106,41106,3,Africa/Monrovia,FALSE,1430766691
Buchanan,Buchanan,"Fish Town|Lower Buchanan|Grand Bassa",5.8808,-10.0467,Liberia,LR,LBR,"Grand Bassa","Grand Bassa",LR-GB,county,admin,2019.1,34270,34270,2,Africa/Monrovia,FALSE,1430478203
Gbarnga,Gbarnga,"Gbarnka|Gbanka|Gbanga|Gbarnga City",6.9980,-9.4730,Liberia,LR,LBR,Bong,Bong,LR-BG,county,admin,68.9,34046,34046,2,Africa/Monrovia,FALSE,1430269323
Kakata,Kakata,"Kakata City",6.5300,-10.3517,Liberia,LR,LBR,Margibi,Margibi,LR-MG,county,admin,96.7,33945,33945,2,Africa/Monrovia,FALSE,1430656307
Voinjama,Voinjama,Vonjama|Voinyamai,8.4167,-9.7500,Liberia,LR,LBR,Lofa,Lofa,LR-LO,county,admin,26.2,26594,26594,2,Africa/Monrovia,FALSE,1430858471
Harbel,Harbel,,6.2833,-10.3500,Liberia,LR,LBR,Margibi,Margibi,LR-MG,county,,176.2,25309,25309,3,Africa/Monrovia,FALSE,1430289576
Zwedru,Zwedru,Zwadhru|Tchien,6.0667,-8.1333,Liberia,LR,LBR,"Grand Gedeh","Grand Gedeh",LR-GG,county,admin,33.4,23903,23903,2,Africa/Monrovia,FALSE,1430130578
"Foya Tangia","Foya Tangia","Foya Tengia|Foya",8.2713,-10.2283,Liberia,LR,LBR,Lofa,Lofa,LR-LO,county,,149.7,20569,20569,3,Africa/Monrovia,FALSE,1430908591
Harper,Harper,"Cape Palmas|Harper City",4.3667,-7.7167,Liberia,LR,LBR,Maryland,Maryland,LR-MY,county,admin,170.1,17837,17837,2,Africa/Monrovia,FALSE,1430540258
Greenville,Greenville,"Sinu Village|Sinu|Sino|Sinoe|Greenville City",5.0167,-9.0333,Liberia,LR,LBR,Sinoe,Sinoe,LR-SI,county,admin,238.1,16434,16434,2,Africa/Monrovia,FALSE,1430362799
Tubmanburg,Tubmanburg,"Vai Tieda|Bomi Hills|Vaitown",6.8667,-10.8167,Liberia,LR,LBR,Bomi,Bomi,LR-BM,county,admin,62.8,13114,13114,2,Africa/Monrovia,FALSE,1430503114
Saclepea,Saclepea,,7.1167,-8.8333,Liberia,LR,LBR,Nimba,Nimba,LR-NI,county,,84.1,12117,12117,3,Africa/Monrovia,FALSE,1430824666
Sanniquellie,Sanniquellie,"Senbui|Sanokwelle|Sanokole|Sanniguellie|Saniquellie|Sanquilly|Sangbui|Sanokwele|Sanaquelli|Sanoquelli|Sanniquellie City",7.3622,-8.7061,Liberia,LR,LBR,Nimba,Nimba,LR-NI,county,admin,65.2,11415,11415,2,Africa/Monrovia,FALSE,1430949102
Bensonville,Bensonville,"Bensonville City|Bentol City|Bentol",6.4456,-10.6097,Liberia,LR,LBR,Montserrado,Montserrado,LR-MO,county,admin,139.8,4089,4089,2,Africa/Monrovia,FALSE,1430964557
Robertsport,Robertsport,"Roberts Port|Robertson|Robert Port|Port Robert|Robertstown",6.7500,-11.3667,Liberia,LR,LBR,"Grand Cape Mount","Grand Cape Mount",LR-CM,county,admin,42.1,3933,3933,2,Africa/Monrovia,FALSE,1430885010
"Fish Town","Fish Town","Tendekehn|Datoda|Fish Town City",5.1964,-7.8756,Liberia,LR,LBR,"River Gee","River Gee",LR-RG,county,admin,10.2,3328,3328,2,Africa/Monrovia,FALSE,1430204172
Bopolu,Bopolu,Boporo|Bopora,7.0667,-10.4875,Liberia,LR,LBR,Gbarpolu,Gbarpolu,LR-GP,county,admin,10.1,2908,2908,2,Africa/Monrovia,FALSE,1430414456
Barclayville,Barclayville,Barlayville,4.6797,-8.2339,Liberia,LR,LBR,"Grand Kru","Grand Kru",LR-GK,county,admin,20.5,2733,2733,2,Africa/Monrovia,FALSE,1430129873
"Cestos City","Cestos City","River Cess Settlement|River Cess|Niboinkui",5.4667,-9.5833,Liberia,LR,LBR,"River Cess","River Cess",LR-RI,county,admin,51.6,2578,2578,2,Africa/Monrovia,FALSE,1430708587
Palala,Palala,,7.0014,-9.2881,Liberia,LR,LBR,Bong,Bong,LR-BG,county,,43.9,1230,1230,4,Africa/Monrovia,FALSE,1430509128
Jekwikpo/Sasstown,Jekwikpo/Sasstown,"Sasstown|Sass Town|Sess Town",4.6750,-8.4210,Liberia,LR,LBR,"Grand Kru","Grand Kru",LR-GK,county,,12.0,500,500,4,Africa/Monrovia,FALSE,1430889135
Mehnzohn,Mehnzohn,,5.6169,-9.7325,Liberia,LR,LBR,"Grand Bassa","Grand Bassa",LR-GB,county,,30.2,,,4,Africa/Monrovia,FALSE,1430075579
