city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Tripoli,Tripoli,"Tarabulus el Gharb|Ea|Ţarābulus al Gharb|Oea|Aea|Taràbles|Ţarābulus",32.8872,13.1914,Libya,LY,LBY,Ţarābulus,Tarabulus,LY-TB,popularate,primary,785.0,1183000,1183000,1,Africa/Tripoli,FALSE,1434201852
Benghazi,Benghazi,Bengasi|Benghasi|Berenice|Hesperides|Binghāzī|Bengazi|Banghāzī,32.1167,20.0667,Libya,LY,LBY,Banghāzī,Banghazi,LY-BA,popularate,admin,61.1,631555,631555,2,Africa/Tripoli,FALSE,1434915572
Ajdābiyā,Ajdabiya,Ajdābiyah|Adjadabia|Agedabia,30.7556,20.2253,Libya,LY,LBY,"Al Wāḩāt","Al Wahat",LY-WA,popularate,admin,1.1,416000,416000,2,Africa/Tripoli,FALSE,1434401280
Mişrātah,Misratah,"Misurata|Madīnat Mişrātah",32.3775,15.0920,Libya,LY,LBY,Mişrātah,Misratah,LY-MI,popularate,admin,22.8,259056,259056,2,Africa/Tripoli,FALSE,1434518407
"Al Bayḑā’","Al Bayda'","Beda|Al-Baida|Az Zāwiyah al Bayḑā’|Zauia el Beda|Zāwiyat el-Bēḑā’|Bayda|El Beida|White Monastery|Zāwiyat al Bayḑā’|Zawiat al-Baida|Balis|Balagrae|Baida|Beida",32.7664,21.7417,Libya,LY,LBY,"Al Jabal al Akhḑar","Al Jabal al Akhdar",LY-JA,popularate,admin,30.1,250000,250000,2,Africa/Tripoli,FALSE,1434263017
"Al Khums","Al Khums",Homs,32.6497,14.2644,Libya,LY,LBY,"Al Marqab","Al Marqab",LY-MB,popularate,,77.1,201943,201943,2,Africa/Tripoli,FALSE,1434172839
"Az Zāwīyah","Az Zawiyah","Ez Zauia|Az Zāwiyah al Gherbīyah|Zawia|Zavia|Zauia",32.7522,12.7278,Libya,LY,LBY,"Az Zāwiyah","Az Zawiyah",LY-ZA,popularate,admin,129.3,200000,200000,2,Africa/Tripoli,FALSE,1434421178
Gharyān,Gharyan,"Gasr Gariàn|Garian",32.1697,13.0167,Libya,LY,LBY,"Al Jabal al Gharbī","Al Jabal al Gharbi",LY-JG,popularate,admin,4.8,187854,187854,2,Africa/Tripoli,FALSE,1434507846
"Al Marj","Al Marj","El Merj",32.5005,20.8300,Libya,LY,LBY,"Al Marj","Al Marj",LY-MJ,popularate,admin,20.9,169540,169540,2,Africa/Tripoli,FALSE,1434742923
Tobruk,Tobruk,Ţubruq|Tobruck|Antipyrgos|Tóbruch|Antipyrgus,32.0761,23.9614,Libya,LY,LBY,"Al Buţnān","Al Butnan",LY-BU,popularate,admin,2.4,135832,135832,2,Africa/Tripoli,FALSE,1434068493
