city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Vilnius,Vilnius,Vil’nyus|Vil’no|Vilna|Vilnia|Wilno|Wilna,54.6872,25.2800,Lithuania,LT,LTU,"Vilniaus Miestas","Vilniaus Miestas",LT-57,"city municipality",primary,1450.1,716856,581475,1,Europe/Vilnius,FALSE,1440887149
Kaunas,Kaunas,Kowno|Kauno|Kauen|Kovno|Caunas|Palemonas,54.8972,23.8861,Lithuania,LT,LTU,"Kauno Miestas","Kauno Miestas",LT-15,"city municipality",admin,1943.4,393397,305120,2,Europe/Vilnius,FALSE,1440302852
Klaipėda,Klaipeda,Klaipada|Klaypeda|Memel|Kłajpeda,55.7125,21.1350,Lithuania,LT,LTU,"Klaipėdos Miestas","Klaipedos Miestas",LT-20,"city municipality",admin,1616.5,158420,158420,2,Europe/Vilnius,FALSE,1440897790
Panevėžys,Panevezys,Panevėžio|Poniewież|Poniewiesh|Panevezhis|Poniewesch|Panevezhi,55.7333,24.3500,Lithuania,LT,LTU,"Panevėžio Miestas","Panevezio Miestas",LT-32,"city municipality",admin,1628.0,124412,87913,2,Europe/Vilnius,FALSE,1440120065
Šiauliai,Siauliai,Shaulyay|Szawle|Shyaulyay|Sokniai|Šiaulių|Shavli|Schaulen,55.9333,23.3167,Lithuania,LT,LTU,"Šiaulių Miestas","Siauliu Miestas",LT-43,"city municipality",admin,1285.6,104300,104300,2,Europe/Vilnius,FALSE,1440593416
Alytus,Alytus,Alytaus|Alitus|Olita,54.4014,24.0492,Lithuania,LT,LTU,"Alytaus Miestas","Alytaus Miestas",LT-02,"city municipality",admin,1080.3,51856,51856,2,Europe/Vilnius,FALSE,1440273296
Marijampolė,Marijampole,Kapsukas|Mariyampole|Mariyampol’|Mariampol’|Pašešupiai|Mariampolė|Mariampolės|Starapolė|Marjampol,54.5472,23.3500,Lithuania,LT,LTU,Marijampolė,Marijampole,LT-25,"district municipality",admin,73.3,36807,36807,2,Europe/Vilnius,FALSE,1440180524
Mažeikiai,Mazeikiai,Mazheykyay|Mažeikių|Muravjovo|Murawlewo|Możejki,56.3167,22.3333,Lithuania,LT,LTU,Mažeikiai,Mazeikiai,LT-26,"district municipality",admin,40.2,33249,33249,2,Europe/Vilnius,FALSE,1440746512
Jonava,Jonava,"Janów|Ionava|Yonava|Jonavos Miestelis",55.0722,24.2806,Lithuania,LT,LTU,Jonava,Jonava,LT-10,"district municipality",admin,44.9,27134,27134,2,Europe/Vilnius,FALSE,1440040612
Utena,Utena,Uzjany|Utenos|Uciany|Utyana|Uciana,55.5000,25.6000,Lithuania,LT,LTU,Utena,Utena,LT-54,"district municipality",admin,32.5,25608,25608,2,Europe/Vilnius,FALSE,1440298742
Kėdainiai,Kedainiai,Kiejdany|Keydany|Keidany|Kedaynyay|Kedaynyai|Kedainių|Kedayny,55.2833,23.9667,Lithuania,LT,LTU,Kėdainiai,Kedainiai,LT-18,"district municipality",admin,27.3,23447,23447,2,Europe/Vilnius,FALSE,1440351434
Telšiai,Telsiai,Telsze|Telšių|Telshyay|Telshi|Telshay|Telšai|Telsche,55.9833,22.2500,Lithuania,LT,LTU,Telšiai,Telsiai,LT-51,"district municipality",admin,27.4,22261,22261,2,Europe/Vilnius,FALSE,1440908000
Tauragė,Taurage,Taurogi|Taurogen|Tauragės|Tauroggen,55.2522,22.2897,Lithuania,LT,LTU,Tauragė,Taurage,LT-50,"district municipality",admin,31.6,21416,21416,2,Europe/Vilnius,FALSE,1440115384
Ukmergė,Ukmerge,Vilkomir|Vilkmergė|Wilkomir|Wiłkomierz|Ukmergės,55.2500,24.7500,Lithuania,LT,LTU,Ukmergė,Ukmerge,LT-53,"district municipality",admin,24.2,21048,21048,2,Europe/Vilnius,FALSE,1440784663
Visaginas,Visaginas,Sniečkus|Snechkus,55.5980,26.4380,Lithuania,LT,LTU,Visaginas,Visaginas,LT-59,municipality,admin,337.7,19586,19586,2,Europe/Vilnius,FALSE,1440984232
Palanga,Palanga,Palangos|Polanga|Polaga|Polangen,55.9167,21.0667,Lithuania,LT,LTU,"Palangos Miestas","Palangos Miestas",LT-31,"city municipality",admin,229.5,18132,18132,2,Europe/Vilnius,FALSE,1440868798
Plungė,Plunge,Plungės|Płungiany,55.9167,21.8500,Lithuania,LT,LTU,Plungė,Plunge,LT-35,"district municipality",admin,35.6,17385,17385,2,Europe/Vilnius,FALSE,1440542185
Kretinga,Kretinga,"Kretingos|Kratinga|Myasto Kretinga|Krottingen|Kretynga",55.8900,21.2422,Lithuania,LT,LTU,Kretinga,Kretinga,LT-22,"district municipality",admin,38.5,17207,17207,2,Europe/Vilnius,FALSE,1440720895
Šilutė,Silute,Heydekrug|Heydekrug-Matzicken|Szyłokarczma|Shilute|Heidekrug,55.3500,21.4833,Lithuania,LT,LTU,Šilutė,Silute,LT-46,"district municipality",admin,32.9,16200,16200,2,Europe/Vilnius,FALSE,1440568024
Gargždai,Gargzdai,Gargzhday|Garsden|Gargždų|Gardždai|Garždai|Gorzdy,55.7128,21.4033,Lithuania,LT,LTU,Klaipėda,Klaipeda,LT-21,"district municipality",,46.6,15932,15932,3,Europe/Vilnius,FALSE,1440368270
Radviliškis,Radviliskis,Radvilai|Radviliškio|Radziwiliszki|Radvilišks|Radviliskis-Nemunelio|Radvilishkis,55.8000,23.5500,Lithuania,LT,LTU,Radviliškis,Radviliskis,LT-37,"district municipality",admin,22.1,15112,15112,2,Europe/Vilnius,FALSE,1440712589
Druskininkai,Druskininkai,Druskininkay|Druskiniki|Druśkieniki|Druskeniki,54.0167,23.9667,Lithuania,LT,LTU,Druskininkai,Druskininkai,LT-07,municipality,admin,40.1,13170,13170,2,Europe/Vilnius,FALSE,1440489111
Elektrėnai,Elektrenai,Elektrenay,54.7878,24.6711,Lithuania,LT,LTU,Elektrénai,Elektrenai,LT-08,municipality,admin,70.0,11753,11753,2,Europe/Vilnius,FALSE,1440272776
Rokiškis,Rokiskis,"Myasto Rokishkis|Rokiškio|Rokishkis|Rakiszki|Rakischki|Rakiškis|Rakishki",55.9667,25.5833,Lithuania,LT,LTU,Rokiškis,Rokiskis,LT-40,"district municipality",admin,16.6,11606,11606,2,Europe/Vilnius,FALSE,1440918695
"Aukštieji Paneriai","Aukstieji Paneriai",,54.6262,25.1810,Lithuania,LT,LTU,"Vilniaus Miestas","Vilniaus Miestas",LT-57,"city municipality",,1183.2,11149,11149,3,Europe/Vilnius,FALSE,1440349529
Kuršėnai,Kursenai,Kurshchenay|Kuržėnų|Kurszany|Kurshenay,55.9833,22.9167,Lithuania,LT,LTU,Šiauliai,Siauliai,LT-44,"district municipality",,8.9,10651,10651,3,Europe/Vilnius,FALSE,1440741018
Jurbarkas,Jurbarkas,Yurburg|Georgenburg|Jurbork|Jurbarko|Yurbarkas,55.0833,22.7667,Lithuania,LT,LTU,Jurbarkas,Jurbarkas,LT-12,"district municipality",admin,16.5,10571,10571,2,Europe/Vilnius,FALSE,1440845969
Likiškiai,Likiskiai,"Likiškis|Likishki Vel’ke|Likishkis",54.4000,23.9810,Lithuania,LT,LTU,Alytus,Alytus,LT-03,"district municipality",,17.7,10489,10489,3,Europe/Vilnius,FALSE,1440824158
Biržai,Birzai,"Myasto Birzhay|Biržų|Birzhay|Birsen|Birże|Birzhi|Birsche",56.2000,24.7500,Lithuania,LT,LTU,Biržai,Birzai,LT-06,"district municipality",admin,15.7,10444,10444,2,Europe/Vilnius,FALSE,1440132489
Vilkaviškis,Vilkaviskis,Vilkaviškio|Vilkavishkis|Wiłkowyszki|Wyłkowyszki,54.6500,23.0333,Lithuania,LT,LTU,Vilkaviškis,Vilkaviskis,LT-56,"district municipality",admin,29.1,10291,10291,2,Europe/Vilnius,FALSE,1440557692
Garliava,Garliava,Godlezo|Godlewo|Garliavos|Gorleva|Garlyava,54.8167,23.8667,Lithuania,LT,LTU,Kaunas,Kaunas,LT-16,"district municipality",,61.6,10110,10110,3,Europe/Vilnius,FALSE,1440296799
Grigiškės,Grigiskes,Grigor’yevo,54.6694,25.0917,Lithuania,LT,LTU,"Vilniaus Miestas","Vilniaus Miestas",LT-57,"city municipality",,44.9,9750,9750,3,Europe/Vilnius,FALSE,1440322258
