city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Luxembourg,Luxembourg,"Letzeburg|Lucilinburhuc|Lëtzebuerg|Luxemburg|Stadt Luxemburg|Ville de Luxembourg|Stad Lëtzebuerg",49.6117,6.1319,Luxembourg,LU,LUX,Luxembourg,Luxembourg,LU-LU,canton,primary,2580.3,132780,132780,1,Europe/Luxembourg,FALSE,1442262731
Esch-sur-Alzette,Esch-sur-Alzette,Esch|Esch-Uelzecht|Esch-an-der-Alzig|Esch-an-der-Alzette,49.4969,5.9806,Luxembourg,LU,LUX,Esch-sur-Alzette,Esch-sur-Alzette,LU-ES,canton,admin,2552.3,36625,36625,2,Europe/Luxembourg,FALSE,1442192663
Dudelange,Dudelange,Dudelingen,49.4833,6.0833,Luxembourg,LU,LUX,Esch-sur-Alzette,Esch-sur-Alzette,LU-ES,canton,minor,883.6,21953,21953,3,Europe/Luxembourg,FALSE,1442627138
Differdange,Differdange,Differdingen,49.5222,5.8917,Luxembourg,LU,LUX,Esch-sur-Alzette,Esch-sur-Alzette,LU-ES,canton,minor,1071.8,15455,15455,3,Europe/Luxembourg,FALSE,1442264411
Belvaux,Belvaux,Beles,49.5167,5.9333,Luxembourg,LU,LUX,Esch-sur-Alzette,Esch-sur-Alzette,LU-ES,canton,,596.3,7826,7826,3,Europe/Luxembourg,FALSE,1442736816
Rodange,Rodange,,49.5467,5.8397,Luxembourg,LU,LUX,Esch-sur-Alzette,Esch-sur-Alzette,LU-ES,canton,,1582.6,7485,7485,3,Europe/Luxembourg,FALSE,1442461593
Niedercorn,Niedercorn,Niederkorn,49.5333,5.9000,Luxembourg,LU,LUX,Esch-sur-Alzette,Esch-sur-Alzette,LU-ES,canton,,1071.8,7354,7354,3,Europe/Luxembourg,FALSE,1442047773
Diekirch,Diekirch,,49.8681,6.1567,Luxembourg,LU,LUX,Diekirch,Diekirch,LU-DI,canton,admin,533.5,7047,7047,2,Europe/Luxembourg,FALSE,1442382721
Soleuvre,Soleuvre,Zolver|Zolwer,49.5333,5.9333,Luxembourg,LU,LUX,Esch-sur-Alzette,Esch-sur-Alzette,LU-ES,canton,,596.3,6248,6248,3,Europe/Luxembourg,FALSE,1442886695
Bascharage,Bascharage,Niederkerschen,49.5667,5.9167,Luxembourg,LU,LUX,Capellen,Capellen,LU-CA,canton,minor,311.1,5955,5955,3,Europe/Luxembourg,FALSE,1442556101
Steinfort,Steinfort,,49.6600,5.9156,Luxembourg,LU,LUX,Capellen,Capellen,LU-CA,canton,minor,482.8,5871,5871,3,Europe/Luxembourg,FALSE,1442825743
Echternach,Echternach,Iechternach,49.8117,6.4217,Luxembourg,LU,LUX,Echternach,Echternach,LU-EC,canton,admin,286.5,5870,5870,2,Europe/Luxembourg,FALSE,1442794725
Rumelange,Rumelange,Rumelingen,49.4597,6.0306,Luxembourg,LU,LUX,Esch-sur-Alzette,Esch-sur-Alzette,LU-ES,canton,minor,833.4,5692,5692,3,Europe/Luxembourg,FALSE,1442912029
Kayl,Kayl,,49.4861,6.0389,Luxembourg,LU,LUX,Esch-sur-Alzette,Esch-sur-Alzette,LU-ES,canton,minor,490.5,5658,5658,3,Europe/Luxembourg,FALSE,1442304367
Wiltz,Wiltz,Wilz|Wolz,49.9661,5.9325,Luxembourg,LU,LUX,Wiltz,Wiltz,LU-WI,canton,admin,271.7,5427,5427,2,Europe/Luxembourg,FALSE,1442345477
Mondorf-les-Bains,Mondorf-les-Bains,Bains,49.5069,6.2806,Luxembourg,LU,LUX,Remich,Remich,LU-RM,canton,minor,397.1,5424,5424,3,Europe/Luxembourg,FALSE,1442368398
Grevenmacher,Grevenmacher,Gréiwemaacher,49.6806,6.4417,Luxembourg,LU,LUX,Grevenmacher,Grevenmacher,LU-GR,canton,admin,222.7,4981,4981,2,Europe/Berlin,FALSE,1442392954
Frisange,Frisange,,49.5150,6.1917,Luxembourg,LU,LUX,Esch-sur-Alzette,Esch-sur-Alzette,LU-ES,canton,minor,266.5,4912,4912,3,Europe/Luxembourg,FALSE,1442673476
Obercorn,Obercorn,Oberkorn,49.5167,5.9000,Luxembourg,LU,LUX,Esch-sur-Alzette,Esch-sur-Alzette,LU-ES,canton,,1071.8,4613,4613,3,Europe/Luxembourg,FALSE,1442535199
Béreldange,Bereldange,,49.6500,6.1333,Luxembourg,LU,LUX,Luxembourg,Luxembourg,LU-LU,canton,,858.2,4454,4454,3,Europe/Luxembourg,FALSE,1442367766
Remich,Remich,Réimech,49.5444,6.3667,Luxembourg,LU,LUX,Remich,Remich,LU-RM,canton,admin,759.0,4015,4015,2,Europe/Luxembourg,FALSE,1442971283
Tétange,Tetange,,49.4833,6.0500,Luxembourg,LU,LUX,Esch-sur-Alzette,Esch-sur-Alzette,LU-ES,canton,,490.5,4010,4010,3,Europe/Luxembourg,FALSE,1442628761
Sandweiler,Sandweiler,,49.6133,6.2189,Luxembourg,LU,LUX,Luxembourg,Luxembourg,LU-LU,canton,minor,390.8,3667,3667,3,Europe/Luxembourg,FALSE,1442611405
Junglinster,Junglinster,,49.7111,6.2514,Luxembourg,LU,LUX,Grevenmacher,Grevenmacher,LU-GR,canton,minor,128.1,3576,3576,3,Europe/Luxembourg,FALSE,1442912470
Wasserbillig,Wasserbillig,,49.7167,6.5000,Luxembourg,LU,LUX,Grevenmacher,Grevenmacher,LU-GR,canton,,186.3,3160,3160,3,Europe/Berlin,FALSE,1442133009
