city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Ambinanisahasanda,Ambinanisahasanda,Ambinanysahasanda,-18.2795,49.0701,Madagascar,MG,MDG,Toamasina,Toamasina,MG-A,province,,9.2,,,5,Indian/Antananarivo,FALSE,1450134768
Maroaboaly,Maroaboaly,,-16.8133,48.3294,Madagascar,MG,MDG,Toamasina,Toamasina,MG-A,province,,16.6,,,4,Indian/Antananarivo,FALSE,1450212755
Iharanandriana,Iharanandriana,,-19.3741,47.8357,Madagascar,MG,MDG,Antananarivo,Antananarivo,MG-T,province,,118.7,,,4,Indian/Antananarivo,FALSE,1450858250
Sahavandronina,Sahavandronina,,-17.7672,49.0612,Madagascar,MG,MDG,Toamasina,Toamasina,MG-A,province,,50.7,,,4,Indian/Antananarivo,FALSE,1450063373
Ankadinondry,Ankadinondry,,-18.9874,46.4575,Madagascar,MG,MDG,Antananarivo,Antananarivo,MG-T,province,,70.0,,,4,Indian/Antananarivo,FALSE,1450749417
Ambalavondrona,Ambalavondrona,,-16.5035,47.1480,Madagascar,MG,MDG,Mahajanga,Mahajanga,MG-M,province,,106.1,,,4,Indian/Antananarivo,FALSE,1450208769
Fasimena,Fasimena,,-20.2805,46.8092,Madagascar,MG,MDG,Fianarantsoa,Fianarantsoa,MG-F,province,,78.2,,,4,Indian/Antananarivo,FALSE,1450873272
Beambora,Beambora,,-17.1166,48.3136,Madagascar,MG,MDG,Toamasina,Toamasina,MG-A,province,,51.0,,,4,Indian/Antananarivo,FALSE,1450117187
Zafintany,Zafintany,,-14.5000,49.5667,Madagascar,MG,MDG,Antsiranana,Antsiranana,MG-D,province,,40.8,,,4,Indian/Antananarivo,FALSE,1450050909
Angebo,Angebo,,-23.5019,44.9162,Madagascar,MG,MDG,Toliara,Toliara,MG-U,province,,14.0,,,4,Indian/Antananarivo,FALSE,1450676593
Angebo,Angebo,,-24.2029,45.8674,Madagascar,MG,MDG,Toliara,Toliara,MG-U,province,,13.9,,,4,Indian/Antananarivo,TRUE,1450712441
Angebo,Angebo,,-19.9772,44.6059,Madagascar,MG,MDG,Toliara,Toliara,MG-U,province,,11.6,,,4,Indian/Antananarivo,TRUE,1450166774
