city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Antananarivo,Antananarivo,Antananarivu|Tana|Antananarivo-Renivohitra|Tananarive-Renivohitra|Tananarive,-18.9100,47.5250,Madagascar,MG,MDG,Antananarivo,Antananarivo,MG-T,province,primary,14990.9,2300000,1275207,1,Indian/Antananarivo,FALSE,1450978461
Androtsy,Androtsy,,-24.1000,46.3000,Madagascar,MG,MDG,Toliara,Toliara,MG-U,province,,10.5,809313,809313,2,Indian/Antananarivo,FALSE,1450017816
Betsiboka,Betsiboka,,-16.9500,46.8300,Madagascar,MG,MDG,Mahajanga,Mahajanga,MG-M,province,,13.1,394561,394561,2,Indian/Antananarivo,FALSE,1450524066
Antsirabe,Antsirabe,"Sirabe|Antsirabe I",-19.8667,47.0333,Madagascar,MG,MDG,Antananarivo,Antananarivo,MG-T,province,minor,155.4,265018,265018,2,Indian/Antananarivo,FALSE,1450791699
Mahajanga,Mahajanga,"Majunga I|Mahajanga I|Majunga",-15.7167,46.3167,Madagascar,MG,MDG,Mahajanga,Mahajanga,MG-M,province,admin,51.6,246022,246022,2,Indian/Antananarivo,FALSE,1450421961
Toamasina,Toamasina,"Tamatave I|Toamasina I|Tamatave",-18.1550,49.4100,Madagascar,MG,MDG,Toamasina,Toamasina,MG-A,province,admin,904.5,225116,225116,2,Indian/Antananarivo,FALSE,1450540529
Fianarantsoa,Fianarantsoa,"Fianarantsoa I",-21.4536,47.0858,Madagascar,MG,MDG,Fianarantsoa,Fianarantsoa,MG-F,province,admin,71.2,191776,191776,2,Indian/Antananarivo,FALSE,1450070223
Toliara,Toliara,"Tullear|Toliary|Tuléar I|Toliara I|Tulear",-23.3500,43.6667,Madagascar,MG,MDG,Toliara,Toliara,MG-U,province,admin,544.2,168756,168756,2,Indian/Antananarivo,FALSE,1450593748
Antsiranana,Antsiranana,"Antsirana|Antsirane|Diégo-Suarez|Diego Soarez|Antseranana|Diego I",-12.3000,49.2833,Madagascar,MG,MDG,Antsiranana,Antsiranana,MG-D,province,admin,1798.6,129320,129320,2,Indian/Antananarivo,FALSE,1450106928
Ambovombe,Ambovombe,Ambovombe-Androy,-25.1764,46.0833,Madagascar,MG,MDG,Toliara,Toliara,MG-U,province,minor,258.0,114230,114230,2,Indian/Antananarivo,FALSE,1450135666
Ambohimangakely,Ambohimangakely,,-18.9167,47.6000,Madagascar,MG,MDG,Antananarivo,Antananarivo,MG-T,province,,786.0,91056,91056,3,Indian/Antananarivo,FALSE,1450074776
Sambava,Sambava,Sambaha|Sahambavany|Sahambava,-14.2667,50.1667,Madagascar,MG,MDG,Antsiranana,Antsiranana,MG-D,province,minor,849.7,84039,84039,3,Indian/Antananarivo,FALSE,1450004590
Antehiroka,Antehiroka,,-18.8500,47.4833,Madagascar,MG,MDG,Antananarivo,Antananarivo,MG-T,province,,7917.2,80360,80360,2,Indian/Antananarivo,FALSE,1450838187
"Belo Tsiribihina","Belo Tsiribihina","Belo sur Tsiribihina|Belo",-19.7000,44.5500,Madagascar,MG,MDG,Toliara,Toliara,MG-U,province,,10.9,72000,72000,3,Indian/Antananarivo,FALSE,1450104370
Imerintsiatosika,Imerintsiatosika,,-18.9833,47.3167,Madagascar,MG,MDG,Antananarivo,Antananarivo,MG-T,province,,404.4,69953,69953,3,Indian/Antananarivo,FALSE,1450857841
