city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Kuala Lumpur,Kuala Lumpur,Kuala Lumpor,3.1478,101.6953,Malaysia,MY,MYS,Kuala Lumpur,Kuala Lumpur,MY-14,federal territory,primary,4119.7,8911000,1768000,1,Asia/Kuala_Lumpur,FALSE,1458988644
Seberang Jaya,Seberang Jaya,,5.4083,100.3695,Malaysia,MY,MYS,Pulau Pinang,Pulau Pinang,MY-07,state,,1264.8,946092,946092,2,Asia/Kuala_Lumpur,FALSE,1458417183
Klang,Klang,Kelang,3.0333,101.4500,Malaysia,MY,MYS,Selangor,Selangor,MY-10,state,,1532.3,878000,878000,2,Asia/Kuala_Lumpur,FALSE,1458509635
Ipoh,Ipoh,,4.5972,101.0750,Malaysia,MY,MYS,Perak,Perak,MY-08,state,admin,1083.9,866772,866772,2,Asia/Kuala_Lumpur,FALSE,1458423505
George Town,George Town,Pinang|Penang|Pinang George Town,5.4144,100.3292,Malaysia,MY,MYS,Pulau Pinang,Pulau Pinang,MY-07,state,admin,2596.0,708127,708127,2,Asia/Kuala_Lumpur,FALSE,1458236750
Petaling Jaya,Petaling Jaya,,3.0972,101.6444,Malaysia,MY,MYS,Selangor,Selangor,MY-10,state,,6569.1,638516,638516,2,Asia/Kuala_Lumpur,FALSE,1458989343
Kuantan,Kuantan,Kuala Kuatan|Kuala Kuantan,3.8167,103.3333,Malaysia,MY,MYS,Pahang,Pahang,MY-06,state,admin,205.3,607778,607778,2,Asia/Kuala_Lumpur,FALSE,1458763489
Shah Alam,Shah Alam,,3.0722,101.5167,Malaysia,MY,MYS,Selangor,Selangor,MY-10,state,admin,2015.0,584340,584340,2,Asia/Kuala_Lumpur,FALSE,1458194263
Sungai Petani,Sungai Petani,Sungei Patani|Sungai Patani,5.6500,100.5000,Malaysia,MY,MYS,Kedah,Kedah,MY-02,state,,1456.0,544851,544851,2,Asia/Kuala_Lumpur,FALSE,1458639918
Johor Bahru,Johor Bahru,Johor Baharu|Baru|Bharu|Johor|Johore Baru|Johore Bharu|Jahore Bahru|Johore|Johore Bahru,1.4556,103.7611,Malaysia,MY,MYS,Johor,Johor,MY-01,state,admin,1332.1,497097,497097,2,Asia/Kuala_Lumpur,FALSE,1458747615
Kota Bharu,Kota Bharu,Kota Baharu|Khota Baharu|Kota Bahru|Khota Bahru,6.1333,102.2500,Malaysia,MY,MYS,Kelantan,Kelantan,MY-03,state,admin,4248.0,491237,491237,2,Asia/Kuala_Lumpur,FALSE,1458150101
Melaka,Melaka,Malacca Town|Malacca|Malaka,2.1944,102.2486,Malaysia,MY,MYS,Melaka,Melaka,MY-04,state,admin,1643.7,455300,455300,2,Asia/Kuala_Lumpur,FALSE,1458467506
Kota Kinabalu,Kota Kinabalu,Jesselton|Kinabalu,5.9750,116.0725,Malaysia,MY,MYS,Sabah,Sabah,MY-12,state,admin,1283.4,452058,452058,2,Asia/Kuching,FALSE,1458441859
