city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Sendé Gorbo,Sende Gorbo,Sendé Korbo|Sindé-Gorbo,14.4992,-4.8260,Mali,ML,MLI,Mopti,Mopti,ML-5,region,,31.3,,,4,Africa/Bamako,FALSE,1466289841
Wourou,Wourou,,13.0525,-6.7768,Mali,ML,MLI,Ségou,Segou,ML-4,region,,69.7,,,4,Africa/Bamako,FALSE,1466334173
Téna,Tena,,13.8502,-3.3729,Mali,ML,MLI,Mopti,Mopti,ML-5,region,,101.5,,,4,Africa/Bamako,FALSE,1466874842
Téna,Tena,,15.0282,-1.6732,Mali,ML,MLI,Mopti,Mopti,ML-5,region,,18.0,,,4,Africa/Bamako,TRUE,1466683512
Bouloukou,Bouloukou,,14.9981,-7.3755,Mali,ML,MLI,Koulikoro,Koulikoro,ML-2,region,,23.0,,,4,Africa/Bamako,FALSE,1466805836
Birala,Birala,Bérala,11.7734,-7.3092,Mali,ML,MLI,Sikasso,Sikasso,ML-3,region,,25.7,,,4,Africa/Bamako,FALSE,1466458253
Ndiré Foula,Ndire Foula,,12.0000,-10.7167,Mali,ML,MLI,,,,,,13.7,,,4,Africa/Bamako,FALSE,1466128036
Kèlèfabougou,Kelefabougou,Kelfabougou,13.7914,-7.7645,Mali,ML,MLI,Koulikoro,Koulikoro,ML-2,region,,38.2,,,4,Africa/Bamako,FALSE,1466415142
Molasso,Molasso,,11.3160,-5.9999,Mali,ML,MLI,,,,,,34.8,,,4,Africa/Bamako,FALSE,1466788405
Dièndjila,Diendjila,Dyèdyila,12.8925,-7.5972,Mali,ML,MLI,Koulikoro,Koulikoro,ML-2,region,,32.9,,,4,Africa/Bamako,FALSE,1466979417
Sambalaké,Sambalake,Sanbalaké,15.3037,-11.7464,Mali,ML,MLI,Kayes,Kayes,ML-1,region,,21.5,,,4,Africa/Bamako,FALSE,1466471920
Madina Goungou,Madina Goungou,Médina,13.2476,-10.6254,Mali,ML,MLI,Kayes,Kayes,ML-1,region,,7.9,,,5,Africa/Bamako,FALSE,1466461590
Dioko,Dioko,Dyoko|Diogo,12.8315,-7.7885,Mali,ML,MLI,Koulikoro,Koulikoro,ML-2,region,,34.8,,,4,Africa/Bamako,FALSE,1466830698
